wow_questid|zone_shortname|questgiver_name|Type|ReactionValue|PositionX|PositionY|PositionZ|Heading|AddedX|AddedY
30015|airplane|Dason_Goldblade|say|Dirkog is a gruff one, but his faith is what all paladins should strive to equal.  Read this book and return it to me.  After you have done so, I shall summon Dirkog to test you.||||||
30016|airplane|Dason_Goldblade|despawn|self||||||
30016|airplane|Dason_Goldblade|say|Farewell.||||||
30016|airplane|Dason_Goldblade|spawn|71089|1331.1|563|-766.9|63.4||
30017|airplane|Dason_Goldblade|despawn|self||||||
30017|airplane|Dason_Goldblade|say|Farewell.||||||
30017|airplane|Dason_Goldblade|spawn|71077|1331.1|563|-766.9|63.4||
30018|airplane|Denise_Songweaver|say|The horn of Denon will aid you greatly, I believe.||||||
30019|airplane|Denise_Songweaver|say|I hope you find this amulet useful,  $N.||||||
30020|airplane|Denise_Songweaver|say|The spear of harmony is a powerful weapon indeed. I hope you find it useful,  $N.||||||
30021|airplane|Deric_Lennox|say|This necklace suits you well,  $N.||||||
30022|airplane|Deric_Lennox|say|This weapon will aid you even as you fight. Use it wisely,  $N.||||||
30023|airplane|Deric_Lennox|say|You are a legend among clerics,  $N. Your deeds will be well remembered. Please, take this baton as a token of my admiration.||||||
30024|airplane|Dirkog_Steelhand|despawn|self||||||
30024|airplane|Dirkog_Steelhand|say|Thank ye, laddie! He's awaitin' ya up top!||||||
30024|airplane|Dirkog_Steelhand|spawn|71091|767|-586|176|64||
30025|airplane|Dirkog_Steelhand|say|Ye surprised me,  $N. Wear me girdle with pride!||||||
30026|airplane|Drakis_Bloodcaster|say|Take this book and read it then.  When you are finished, hand it back to me and I will summon the vile Dugaas.||||||
30027|airplane|Drakis_Bloodcaster|despawn|self||||||
30027|airplane|Drakis_Bloodcaster|say|Farewell.||||||
30027|airplane|Drakis_Bloodcaster|spawn|71074|1305|654.9|-762.2|22||
30028|airplane|Drakis_Bloodcaster|despawn|self||||||
30028|airplane|Drakis_Bloodcaster|say|Farewell.||||||
30028|airplane|Drakis_Bloodcaster|spawn|71084|1305|661.6|-762.2|22||
30029|airplane|Dugaas_Helpyre|say|A sphinx's heart holds many magical properties,  $N.  Wear this amulet and reap the benefits.||||||
30030|airplane|Dugaas_Helpyre|say|You surpise even me,  $N.  A great necromancer you are and now you have the staff to prove it!||||||
30031|airplane|Dugaas_Helpyre|say|Take this ring,  $N.  Oh, and just Ignore the wailing, you will get used to it in time.||||||
30032|airplane|Enchanter_Jolas|say|Lelulean it shall be.  Take this book and read it.  When you are finished, hand it back to me and I shall summon Enchantress Lelulean to test you.||||||
30033|airplane|Enchanter_Jolas|despawn|self||||||
30033|airplane|Enchanter_Jolas|say|Till next time!  Farewell!||||||
30033|airplane|Enchanter_Jolas|spawn|71085|1303.2|640|-766.9|0.4||
30034|airplane|Enchanter_Jolas|despawn|self||||||
30034|airplane|Enchanter_Jolas|say|Till next time!  Farewell!||||||
30034|airplane|Enchanter_Jolas|spawn|71104|1303.2|640|-766.9|0.4||
30035|airplane|Enderbite|say| $N, you have come far and done well.  This earring should aid you in the future.||||||
30036|airplane|Enderbite|say|Since you have done as I asked,  $N, I will give you this necklace. May Veeshan watch over you.||||||
30037|airplane|Enderbite|say|A great day this is! Here! Take this staff as a token of my gratitude,  $N.||||||
30038|airplane|Falorn|say|I am impressed,  $N. You are stronger than I thought.||||||
30041|airplane|Fenalla_Moonshadow|say|I am honored to know one such as you,  $N. I beg you to wield Espri with as much grace you have shown during the travails to obtain it.||||||
30042|airplane|Fenalla_Moonshadow|say|This belt suits your nature,  $N.  Take it.||||||
30043|airplane|Fenalla_Moonshadow|say|The totem of the spirocs will aid you in your search for oneness with nature.  Take it and use it well.||||||
30044|airplane|Frederic_Calermin|say|Take this cape, mage, you have earned it.||||||
30045|airplane|Frederic_Calermin|say|This mask will suit you well, mage. Use it sparingly.||||||
30046|airplane|Frederic_Calermin|say|A pendant of gold and white,  $N, wear it and beat back the night.||||||
30047|airplane|Gina_McStargan|say|Take this amulet.  You deserve it.||||||
30048|airplane|Gina_McStargan|say|The bracelet of the spirits will fit you well,  $N.||||||
30049|airplane|Gina_McStargan|say|Great work,  $N! Take this mantle as a token of my respect for you.||||||
30050|airplane|Gkzzallk|despawn|self||||||
30050|airplane|Gkzzallk|emote|%s screams as he touches the book. His body shimmers as he shrinks smaller and smaller until it's no larger than an insect. The book shimmers, shifting into the shape of a small, black box. Gkzzallk holds on to the opening of the box as he is sucked backward into it. The tiny screams are finally silenced as the box top closes.||||||
30051|airplane|Gordon_Treecaller|say|Great work,  $N, take this earring as a token of my admiration.||||||
30052|airplane|Gordon_Treecaller|say|You are indeed a ranger of noble bearing. The sword Arydryidriyorn will do well at your side.||||||
30053|airplane|Gordon_Treecaller|say|You are a walking legend,  $N. Please take Windstriker. It needs one such as yourself to wield it.||||||
30054|airplane|Gragrot|say|Gragrot see uuz strong barsher so Gragrot give uuz amulet!||||||
30055|airplane|Gragrot|say|Gragrot give uuz ring, now uuz use it!||||||
30056|airplane|Gragrot|say|Take this belt with the blessing of Veeshan,  $N.||||||
30057|airplane|Gregori_Lightbringer|say|Truvinan is now yours,  $N. I pray that you use the Divine Wind wisely.||||||
30058|airplane|Gregori_Lightbringer|say|Rare is it to see one such as yourself go so far. Wield Aldryn with pride,  $N, and know that you are perhaps unique among your peers.||||||
30059|airplane|Gregori_Lightbringer|say|You are indeed worthy of this divine sword,  $N. As long as you wield Thelvorn, you will follow the true path.||||||
30060|airplane|Holwin|say|Take this book and read about the legendary Ton Po.  When you are finished, hand it back, and I will summon the master for you.||||||
30061|airplane|Holwin|despawn|self||||||
30061|airplane|Holwin|say|Farewell.||||||
30061|airplane|Holwin|spawn|71097|1332.3|660|-766.9|189.9||
30062|airplane|Holwin|despawn|self||||||
30062|airplane|Holwin|say|Farewell.||||||
30062|airplane|Holwin|spawn|71096|1315|660|-766.9|189.9||
30063|airplane|Inte_Akera|say|You have chosen wisely, my friend. Take this note as a token of my blessing upon you.||||||
30064|airplane|Inte_Akera|say|You have chosen wisely, my friend. Take this note as a token of my blessing upon you.||||||
30065|airplane|Inte_Akera|despawn|self||||||
30065|airplane|Inte_Akera|say|Long have I awaited this moment. You have done what even I thought impossible. Take this sword, the Fiery Avenger. You have earned both it and my deepest respect.||||||
30066|airplane|Josin_Faithbringer|say|Take and read this book. When you are done, hand it back to me and I will summon him.||||||
30067|airplane|Josin_Faithbringer|despawn|self||||||
30067|airplane|Josin_Faithbringer|say|Farewell.||||||
30067|airplane|Josin_Faithbringer|spawn|71080|1361.6|660.7|-766.9|193.2||
30068|airplane|Josin_Faithbringer|despawn|self||||||
30068|airplane|Josin_Faithbringer|say|Farewell.||||||
30068|airplane|Josin_Faithbringer|spawn|71083|1338|660.7|-766.9|193.2||
30069|airplane|Jzil_GSix|say|Yesss? You do well,  $N.  Take thisss sssmall token to show my ressspect for you.||||||
30070|airplane|Jzil_GSix|say|This feathered cape should be more than enough payment, now be gone from my sight!||||||
30072|airplane|Kendrick|say|Very good,  $N!  Take this choker as evidence of your abilities.||||||
30073|airplane|Kendrick|say|These spauldors made from griffon wings will aid you in your ascent to greatness,  $N.||||||
30074|airplane|Kendrick|say|If one is slow, he dies a quick death. With this belt, you can avoid all that with nary a breath.||||||
30075|airplane|Kihun_Solstin|say|If you have obtained the other, lesser Elements, go speak with The Master of Elements, who is now waiting for you. I wish you luck. If you have not completed all the tasks set for you, let me know, and I shall let you see the Master.||||||
30075|airplane|Kihun_Solstin|spawnunique|71040|1346.3|604.5|-766|0||
30076|airplane|Lelulean|say|Good work,  $N, I hope you find this as useful as I find the items you retrieved for me.||||||
30077|airplane|Lelulean|say|The Wind Walker's Mantle will sit well upon your shoulders,  $N.  Be well this day.||||||
30078|airplane|Lelulean|say|My thanks to you,  $N.  Take this mask as a token of my gratitude.||||||
30079|airplane|Magus_Frinon|say|Roanis it shall be.  Take this book and read it.  When you are finished, hand it back to me and I shall summon the magician Roanis to test you.||||||
30080|airplane|Magus_Frinon|despawn|self||||||
30080|airplane|Magus_Frinon|say|Till next time!  Farewell!||||||
30080|airplane|Magus_Frinon|spawn|71088|1304.1|614.5|-766.9|255||
30081|airplane|Magus_Frinon|despawn|self||||||
30081|airplane|Magus_Frinon|say|Till next time!  Farewell!||||||
30081|airplane|Magus_Frinon|spawn|71094|1304.1|614.5|-766.9|255||
30082|airplane|Medicine_Man_Veetra|say|Return this tome if you wish me to summon Ooga to assist you. Destroy it if you do not.||||||
30083|airplane|Medicine_Man_Veetra|despawn|self||||||
30083|airplane|Medicine_Man_Veetra|say|I am no longer needed and will take my leave.||||||
30083|airplane|Medicine_Man_Veetra|spawnunique|71087|1401.9|631.9|-766.9|129.8||
30084|airplane|Medicine_Man_Veetra|despawn|self||||||
30084|airplane|Medicine_Man_Veetra|say|I am no longer needed and will take my leave.||||||
30084|airplane|Medicine_Man_Veetra|spawnunique|71093|1399|653.4|-766.9|129.8||
30087|airplane|Neasin_Leornic|say|This mantle will sit well on your shoulders,  $N.  Take it as a reward for your troubles.||||||
30088|airplane|Ogog|say|Good job! Ogog give you Fangol for being good smasher!||||||
30089|airplane|Ogog|say|This Dagas, blade of stinging wind. You bash good with this.||||||
30091|airplane|Ooga|say|Take this warhammer of the wind as your reward,  $N.||||||
30092|airplane|Ooga|say|This ring should aid you greatly,  $N. Use it wisely.||||||
30093|airplane|Ooga|say|Your deeds are beyond compare,  $N. Use Garduk with care though, for it is more powerful than any other weapon you have wielded.||||||
30094|airplane|Ranger_Spirit|say|Ahhh, Gordon Treecaller.  Many say he is the finest swordsman ever. Read of his tale and return the book when you are finished.||||||
30095|airplane|Ranger_Spirit|despawn|self||||||
30095|airplane|Ranger_Spirit|say|Relinin Skyrunner, I summon thee.||||||
30095|airplane|Ranger_Spirit|spawn|71095|1399.5|617.1|-766.9|129.4||
30096|airplane|Ranger_Spirit|despawn|self||||||
30096|airplane|Ranger_Spirit|say|Gordon Treecaller, I summon thee.||||||
30096|airplane|Ranger_Spirit|spawn|71090|1400.1|592.8|-766.9|129.4||
30097|airplane|Rayne|say|They call this blade 'Rampage Bringer'. Use it wisely and it will serve you well.||||||
30098|airplane|Rayne|say|I hope you find this bracelet of many colors useful in your journeys. Use its abilities wisely,  $N.'||||||
30099|airplane|Rayne|say|Take this mask,  $N. It will aid you in the art of stealth.||||||
30100|airplane|Relinin_Skyrunner|say|This necklace will aid you greatly,  $N. Wear it with pride.||||||
30101|airplane|Relinin_Skyrunner|say|You should find this cloak useful.||||||
30102|airplane|Relinin_Skyrunner|say|The mantle I give you to wear houses a powerful enchantment. Use it with care.||||||
30103|airplane|Roanis_Elindar|say|This amice suits you,  $N.  Wear it.||||||
30104|airplane|Roanis_Elindar|say|The ring of Duennan will protect you in times of trouble, mage. Take it and wear it with pride.||||||
30105|airplane|Roanis_Elindar|say|Finally you return,  $N. This staff will aid you, I hope.||||||
30106|airplane|Roanis_Elindar|say|Congratulations,  $N.||||||
30107|airplane|Sarkis_Ebonblade|say|Tynicon it is!  Take this book and read it.  When you are finished, hand it back to me and I shall summon Tynicon to test you.||||||
30108|airplane|Sarkis_Ebonblade|despawn|self||||||
30108|airplane|Sarkis_Ebonblade|say|Farewell.||||||
30108|airplane|Sarkis_Ebonblade|spawn|71063|1351.9|563.3|-766.9|63.4||
30109|airplane|Sarkis_Ebonblade|despawn|self||||||
30109|airplane|Sarkis_Ebonblade|say|Till next time!  Farewell!||||||
30109|airplane|Sarkis_Ebonblade|spawn|71098|1351.9|563.3|-766.9|63.4||
30110|airplane|Strandar_Pinemist|say|Please read this tome. It wll explain what Fenalla Moonshadow can assist you with. When you are finished, please return this to me. We have but a single copy of such a tome in the world, for which a tree gave its life.||||||
30111|airplane|Strandar_Pinemist|despawn|self||||||
30111|airplane|Strandar_Pinemist|say|Welcome, Will Treewalker.||||||
30111|airplane|Strandar_Pinemist|spawn|71099|1311.4|563|-766.9|65.4||
30112|airplane|Strandar_Pinemist|despawn|self||||||
30112|airplane|Strandar_Pinemist|say|Welcome, Fenalla Moonshadow.||||||
30112|airplane|Strandar_Pinemist|spawn|71086|1329.3|562.5|-766.9|65.4||
30113|airplane|Thalik_Silenthand|say|Kendrick it shall be.  Take this book and read it.  When you are finished, hand it back to me and I shall summon the mighty rogue Kendrick to test you.||||||
30114|airplane|Thalik_Silenthand|despawn|self||||||
30114|airplane|Thalik_Silenthand|say|Farewell.||||||
30114|airplane|Thalik_Silenthand|spawn|71061|1372.6|563.3|-766.9|63.4||
30115|airplane|Thalik_Silenthand|despawn|self||||||
30115|airplane|Thalik_Silenthand|say|Farewell.||||||
30115|airplane|Thalik_Silenthand|spawn|71068|1372.6|563.3|-766.9|63.4||
30116|airplane|Ton_Po|say|You are truly enlightened,  $N.  I am honored by your presence.||||||
30117|airplane|Ton_Po|say|This eye patch once belonged to the great Ton Po. Please, you must take it as you are far more enlightened than I.||||||
30118|airplane|Ton_Po|say|Take these sandals,  $N.  It is you who deserves to wear them, not I.||||||
30119|airplane|Torgon_Blademaster|say|Ogog?  You are indeed brave for choosing that brute.  Take this book telling the tale of Ogog and read it.  When you are finished, hand it back to me.||||||
30120|airplane|Torgon_Blademaster|despawn|self||||||
30120|airplane|Torgon_Blademaster|say|Falorn, come forth!||||||
30120|airplane|Torgon_Blademaster|spawn|71067|1392.4|563.3|-766.9|63.4||
30121|airplane|Torgon_Blademaster|despawn|self||||||
30121|airplane|Torgon_Blademaster|say|Farewell.||||||
30121|airplane|Torgon_Blademaster|spawn|71064|1392.4|563.3|-766.9|63.4||
30123|airplane|Tynicon_DLin|say|This shield of evil shall guard you well, dark one.||||||
30124|airplane|Tynicon_DLin|say|Be fooled not by their appearance. They are as evil as you, and will protect you well.||||||
30125|airplane|Tynicon_DLin|say|The blade I have given you is called Khyldorn, Drinker of Blood.  It was forged a millennium ago and tempered in the blood of Veeshan herself.  Wield it well,  $N.  For if you do, it will never fail you.||||||
30126|airplane|Will_Treewalker|say|Take this mask, nature friend.||||||
30127|airplane|Will_Treewalker|say|This mantle will protect you from the winds on your journeys naturewalker.||||||
30128|airplane|Will_Treewalker|say|Great work,  $N.||||||
30129|airplane|Wizard_Schrock|say|Abec it shall be.  Take this book and read it.  When you are finished, hand it back to me and I shall summon the mighty wizard Abec to test you.||||||
30130|airplane|Wizard_Schrock|despawn|self||||||
30130|airplane|Wizard_Schrock|say|Till next time!  Farewell!||||||
30130|airplane|Wizard_Schrock|spawn|71092|1304.3|585|-766.9|0.1||
30131|airplane|Wizard_Schrock|despawn|self||||||
30131|airplane|Wizard_Schrock|say|Till next time!  Farewell!||||||
30131|airplane|Wizard_Schrock|spawn|71079|1304.3|585|-766.9|0.1||
30132|airplane|Wu_the_Enlightened|say|You have come a long way in your search for enlightenment,  $N.  Please, take these shoulder wraps of the legendary Ton Po.||||||
30133|airplane|Wu_the_Enlightened|say|You embody tranquility,  $N. You may now wield the Fist of Wu.  May Quellious bless you with peace.||||||
30134|airplane|Wu_the_Enlightened|say|You have done well,  $N.  You have both my respect and the legendary golden sash.  Wear it well, enlightened one.||||||
30135|akanon|#clockwork_scrubber|say|.wizz.click.628.||||||
30136|akanon|Baxok_Curhunter|say|I, Baxok, guildmaster, welcome you to Gemchopper Hall, young warrior! You are expected to serve his majesty, King Ak'Anon, with pride. You have much to learn. You may report to any of the trainers for further guidance. Go forth and serve!||||||
30137|akanon|Baxok_Curhunter|say|I can hardly believe you destroyed the clockwork. The last ten men I sent became fairy fodder. Thank you. Here is a token of my appreciation. Serve Ak'Anon well and we shall treat you well.||||||
30138|akanon|Clockwork_SmithXIII|emote|%s fashions the ebon drakeling scales into a grip on the shaft of the staff, places the harpies eye within a metal fixture, fastens the fixture to the top of the staff and carves some delicate runes into the wood. 'click... wrrrr... a staff for you sir. Click... wrrr.'||||||
30139|akanon|Clockwork_SmithXIII|emote|%s fashions the coyote pelt into a grip on the shaft of the axe and carves some delicate runes into the blade. 'click... wrrrr... an axe for you sir. Click... wrrr.'||||||
30140|akanon|Clockwork_SmithXIII|emote|%s fashions the giant rat pelt into a grip on the hilt of the stiletto and carves some delicate runes into the blade. 'click... wrrrr... a stiletto for you sir. Click... wrrr.||||||
30141|akanon|Clockwork_VIIX|say|It is time then, are you ready to get the required components?||||||
30142|akanon|Clockwork_VIIX|say|Oh excellent, you have done what is required. Here take this part, and seek the third master, you are well on your way.||||||
30143|akanon|Clockwork_XIIC|say|Tick.. Pop.. Access granted.||||||
30144|akanon|Clockwork_XVIIC|say|Tick.. Pop.. Access granted.||||||
30145|akanon|Clockwork_XXVIC|say|Tick.. Pop.. Access granted.||||||
30146|akanon|Clockwork_XXVIIC|say|Tick.. Pop.. Access granted.||||||
30147|akanon|Derthix_Gibblix|say|We faithful of Bertoxxulous are misunderstood even by the majority of the gnomes of Ak'Akanon. The Eldrich Collective and the Deep Muses would have us chased from the Mines of Malfunction and exiled from these lands. They are not gifted with the vision of the Dark Reflection and thus are blind to the necessity of our actions. In the Steamfont Mountains you will find a Cleric of the Deep Muses, Vyntok Bonkle. Vyntok has been aiding others of our enemies in their mission to eliminate the Dark Reflection from Ak'Anon. Find Vyntok and slay him. When you have accomplished this task return to me with Vyntok's Mace.||||||
30148|akanon|Derthix_Gibblix|say|It is good you returned with this. I almost thought you had lost to Vyntok, or worse become merciful to his cause. I suppose a reward is in order. A mace for a mace, now go forth and spread the word of Bertoxxulous.||||||
30149|akanon|Drekon_Vebnebber|say|Why, thank you. Hey!! This log indicates some messy business is going on at the scrapyard. Something happened to a group of gnomes. They never came out!! Go check out the scrapyard! I believe the rumors of Red 5 are true.||||||
30150|akanon|Drekon_Vebnebber|say|Oh my! It seems two of the obsolete duster models were not fully shut down. You must find them. They could be anywhere in Ak'Anon! After you destroy them, take their scraps to Sanfyrd Montop. He is the operator of the scrapyard.||||||
30150|akanon|Drekon_Vebnebber|spawnunique|55001|1504|-300|-120|0||
30151|akanon|Drigaz_Grumblegrowl|say|I had hoped to see the last of these sorrowful symbols. There is little I can tell you of the details of the kobold religion as I was rescued from death as a pup by the Deep Muses and reunited with Brell Serilis. What I know is this, the deity this symbol represents is named Rolfron Zek. He was a devoted shaman of Brell before the Abandonment, now he is the lord of Despair and Hopelessness. There is a shaman of Rolfron that teaches the local kobolds, he carries with him a doctrine. Recover the doctrine and take it with this translation scroll back to your Temple||||||
30152|akanon|Eonis_Mournunder|say|Hmmm... As you wish, we will train you in our dark ways. But know this: our art carries a high price, and there is no turning back for you now.||||||
30153|akanon|Evah_Xokez|say|Join us in fulfilling teh will of Bertoxxulous. You can train with us here, in the shadows of the Abbey. Wear this tunic to help conceal your true identity.||||||
30154|akanon|Evah_Xokez|say|I hope you enjoyed the thrill of your first lesson and the awakening of your vision. Now you must prove your utility to our society. Take this airtight container and gather the components for another dose of the plague rat disease.||||||
30155|akanon|Evah_Xokez|say|It appears that you truly seek to expand your vision into the Dark Reflection,  $N. I grant you the Initiate Symbol of Bertoxxulous!||||||
30156|akanon|Garret_Zethkog|say|There are many through out Norrath who oppose the Dark Reflection. Even here in our home, Ak'Anon, the Eldrich Collective and the Deep Muses oppose us and wish to see us exiled or eradicated. A Paladin of the Deep Muses, Donlix Bonkle, has been leading a group of zealots that is hunting young members of the Dark Reflection in the Steamfont Mountains. Seek Donlix Bonkle and eliminate him. When you have accomplished this task return to me with Donlix's Short Sword.||||||
30157|akanon|Garret_Zethkog|say|Ah! Donlix's sword! You have done well to bring this to me... but oh! Look at your corruption seep into it. I think now this sword belongs to you. Use it well.||||||
30158|akanon|Garret_Zethkog|say|Welcome to the Dark Reflection,  $N ! Take this tunic as a gift for your desire to serve the will of Bertoxxulous, The Plague Lord. Beware of the followers of Brell Serilis, they would see us members of the Dark Reflection exiled from Ak'Anon.||||||
30159|akanon|Glerbella_Gibblix|say|To assemble a Plague Raiser Breastplate you will need to obtain four bricks of crude bronze and smelt them in a forge with a Water Flask and this Crude Breastplate Mold. Once that is done combine the Crude Bronze Breastplate with a Coyote Pelt, a Clockwork Spider Thorax Plate, and two Ebon Drake Wings in the Mail Assembly Kit.||||||
30160|akanon|Glerbella_Gibblix|say|Hail  $N! You must be one of Derthix new disciples. Derthix has asked me to help get you outfitted in a suit of armor to protect you from the weapons of our foes. I have assembled a kit for you that will allow you to construct the armor pieces once you have gathered the necessary components. The required components vary according to which piece of Plague Raiser Armor you are planning on assembling. Do you wish to craft a plague raiser helm, a plague raiser bracer, plague raiser gauntlets, plague raiser boots, plague raiser vambraces, plague raiser greaves, or a plague raiser breastplate.||||||
30161|akanon|Iony_Gredlong|say|I need 3 Flawless Harpy Claws and 1 Ebon Drake Backbone still to have all the items necessary to craft this new mace. Once I have these items I can make a Shortnobles Walking Staff. For your trouble I will offer you my first staff made should I be able to create one. I hope to see you soon!||||||
30162|akanon|Iony_Gredlong|say|Thank you! Here, take this staff and good luck on your journey.||||||
30163|akanon|Iony_Gredlong|say|Welcome to the Abbey of Deep Musing.  Here you can train and raise your abilities to the peak of perfection. Take this tunic and wear it with pride.||||||
30164|akanon|Jarah_Reskan|say|I heard our shipment made it back safely. These heads will send a message to any other thief that plans on robbing our cargo shipments. Thank you  $N, take this coin as your reward. I’m sorry to say we’re currently out of masks.||||||
30165|akanon|Juline_Urncaller|say|Welcome! I am Juline Urncaller, I will help to guide you on your path to becoming a powerful enchanter.||||||
30166|akanon|Kaxon_Frennor|say|There are many of our kind that do not understand the necessity of the Dark Reflection. The Eldrich Collective and The Deep Muses seek to root us out and have us put to death or exiled from Ak'Anon. In the Steamfont Mountains a Rogue of the Deep Muses, Jibble Blexnik, has been hunting and killing young members of the Dark Reflection that venture from Ak'Anon. Find this self-righteous rogue and eliminate him. When you have accomplished this task bring me Jibble's Stiletto.||||||
30167|akanon|Kaxon_Frennor|say|At last that haughty rogue has met his end. Take this Dull Dark Reflection Stiletto and sharpen it in a forge with a sharpening stone. It may take several attempts if you are unfamiliar with the process. Once the blade has been sharpened take the sharpened stiletto to Clockwork Smith XIII with a Giant Rat Pelt and he will put the finishing touches on your new weapon.||||||
30169|akanon|Kimble_Nogflop|say|The flask of nitrates I sent for!! As was the deal, here is my Regurgitonic. Give it to whoever may need it and they will surely cough up whatever may be inside them with no harm to them whatsoever.||||||
30170|akanon|Larkon_Theardor|say|Fine work. You have earned the respect of the Library. Here is a small token of our appreciation. We shall have this ground down as soon as we find someone to go to Kaladim.||||||
30171|akanon|Larkon_Theardor|say|Whew! What smells of rotting disease? Oh... It's you. I see you've gathered all the diseased livers. I shall have them incinerated in the scrapyard. The only reason we do this is to keep the Dark Reflection from using these components in their black arts. Take this. I hope you use it wisely. Oh, and... take a bath. You stink!||||||
30172|akanon|Larkon_Theardor|say|Very very good! I can use these in some of our experiments. These tongues are hard to come by and more than a few of our scouts have been turned to stone because of these creatures, but I'm sure you found that out by now, eh?||||||
30173|akanon|Larkon_Theardor|say|The Eldritch Collective thanks you. You have done a great service. We need these special bozinite pestles for use with our eldritch mortars. Here is a scroll from our library. Study it and use it wisely.||||||
30174|akanon|Lewis_Reldnok|say|Ok I will need 4 things to construct this blade. Bring me a Finished Sheet of Metal, a Kobold Backbone, Preserved Rat Pelt and 1 Bottle of Clockwork Oil that was stolen from me from some renegade clockworks not too long ago. Once I have these items I can make you a sword worthy of Brells finest heroes.||||||
30175|akanon|Lewis_Reldnok|say|Welcome to the Abbey of Deep Musing,  $N! Here is a tunic that you may wear to announce the beginning of your training as a Paladin of Brell Serilis! Be warned that the only dangers do not lie without Ak'Anon. There is an evil society that lurks in the deepest recesses and shadows of our magnificent city.||||||
30176|akanon|Lewis_Reldnok|say|Here  $N , I have crafted this for you! May it always strike true!||||||
30177|akanon|Lobal_Postugger|emote|%s laughs. 'Here, take this then!'||||||
30178|akanon|Lyra_Lyrestringer|say|Take this letter to Jakum Webdancer in Kelethin.  You can find him at the bard guild hall.  I am sure he will compensate you for your troubles.||||||
30179|akanon|Manik_Compolten|say|The Asylum of the Mad was formed by the mad gnome, Meldrath. Under his direction, they were trying to build some giant mechanical titan.  We recently sent all of our clockworks into the Steamfont Mountains to destroy their evil cult.||||||
30180|akanon|Manik_Compolten|say|Excellent work! You were born to be a warrior. Here is a little bonus for the good job.||||||
30181|akanon|Manik_Compolten|say|Ah!! I see you had no problem finding all of the C series clockworks. Good work. Here. Take this blackbox. We received it from Clockwork 27C. Take it to Jogl Doobraugh. He is the operator of the only blackbox definer in Ak'Anon. He is out at the windmills checking on their operation.||||||
30182|akanon|Mimtia_Zethkog|say|To assemble Plague Knight Vambraces you will need to obtain two bricks of crude bronze and smelt them in a forge with a Water Flask and this Crude Vambrace Mold. Once that is done combine the Crude Bronze Vambraces with a Low Quality Cat Pelt and two Clockwork Spider Leg Sections in the Mail Assembly Kit.||||||
30183|akanon|Mimtia_Zethkog|say|Hail  $N! You must be one of Garret's new knights. Garret has asked me to help get you outfitted in a suit of armor to protect you from the weapons of our foes. I have assembled a kit for you that will allow you to construct the armor pieces once you have gathered the necessary components. The required components vary according to which piece of Plague Knight Armor you are planning on assembling. Do you wish to craft a plague knight helm, a plague knight bracer, plague knight gauntlets, plague knight boots, plague knight vambraces, plague knight greaves, or a plague knight breastplate.||||||
