ZoneShortName|ShapeType|LiquidType|SlantType|MaterialName|NorthX|SouthX|WestY|EastY|TopOrOnlyZ|BottomZ|MinDepthOrHeight|StepSize|NorthY|SouthY|WestX|EastX|NorthXLimit|SouthXLimit|WestYLimit|EastYLimit|NorthWestY|NorthEastY|SouthWestY|SouthEastY|EastNorthX|EastSouthX|WestNorthX|WestSouthX|CylinderCenterX|CylinderCenterY|CylinderRadius|ForcedAlignedAreaName|Comment
akanon|levelplane|water||d_m0004|1159.3252|1069.1497|-600.3002|-624.3639|-29.00001|0|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1147.0239|1076.3427|-455.3284|-600.29016|-29.00001|0|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1162.6221|1147.0139|-455.3284|-488.69073|-29.00001|0|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1303.9375|1249.8707|-615.75275|-624.3439|-29.00001|0|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|slantedplane|water|easthighwestlow|d_m0004|1315.2001|1268.0356|-609.89716|-615.75275|-29.00001|-34.65682|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|The Falls|
akanon|slantedplane|water|easthighwestlow|d_m0004|1319.2351|1276.2383|-601.7281|-609.89813|-34.65682|-42.56972|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|The Falls|
akanon|levelplane|water||d_m0004|1385.4249|1235.0449|-219.52422|-601.7381|-83.96967|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1690.8901|1583.3157|-222.21872|-459.79507|-125.9375|0|250|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1749.4392|1690.8801|-264.3371|-323.68964|-125.9375|0|250|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1583.3257|1441.4542|-180.39513|-337.8899|-125.9375|0|250|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|slantedplane|water|southhighnorthlow|d_m0004|1387.3799|1385.4149|-219.52422|-363.84793|-83.96864|-85.39191|250|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1399.4203|1387.3699|-219.52422|-363.82736|-85.96851|0|250|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|slantedplane|water|southhighnorthlow|d_m0004|1401.4342|1399.4103|-219.52422|-349.88687|-85.96851|-86.97511|250|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1413.4303|1401.4242|-219.52422|-349.88196|-97.96842|0|250|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|slantedplane|water|southhighnorthlow|d_m0004|1415.4075|1413.4203|-219.52422|-349.88727|-97.96842|-99.14719|250|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|slantedplane|water|southhighnorthlow|d_m0004|1441.4417|1415.3975|-206.76945|-349.8568|-110.01394|-113.80676|250|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|slantedplane|water|southhighnorthlow|d_m0004|1443.4642|1441.4316|-206.76945|-335.9046|-119.95567|-120.58489|250|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1511.3029|1384.3383|-503.852|-560.39984|-83.96864|0|250|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|trianglepointnorth|water||d_m0004|1515.4263|1385.4149|0|0|-83.96864|0|250|1.5|-504.05353|0|0|0|0|0|0|0|0|0|-358.4036|-504.1953|0|0|0|0|0|0|0||
akanon|quadrilateral|water||d_m0004|1542.2229|1384.8964|-348.0088|-517.40015|-85.96862|0|250|1.5|-501.8448|-363.39062|1401.3864|1521.5305|2000|-3000|3000|-2000|0|0|0|0|0|0|0|0|0|0|0||
akanon|quadrilateral|water||d_m0004|1567.4414|1396.8116|-347.6942|-503.29797|-97.96872|0|250|1.5|-499.123|-349.5377|1414.4562|1540.3787|2000|-2000|2000|-2000|0|0|0|0|0|0|0|0|0|0|0||
akanon|quadrilateral|water||d_m0004|1570.0034|1410.2202|-340.19473|-504.06088|-113.5|0|250|1.5|-473.29163|-349.92325|1432.5289|1566.1898|5000|-5000|5000|-5000|0|0|0|0|0|0|0|0|0|0|0||
akanon|quadrilateral|water||d_m0004|1583.7764|1428.511|-334.38452|-478.16577|-116.64292|0|250|1.5|-461.869|-337.8342|1441.3265|1566.2206|2000|-2000|2000|-2000|0|0|0|0|0|0|0|0|0|0|0||
akanon|quadrilateral|water||d_m0004|1585.882|1441.5486|-334.3421|-466.68677|-120|0|250|1.5|-460.3131|-340.0782|1443.0035|1581.3461|5000|-5000|5000|-5000|0|0|0|0|0|0|0|0|0|0|0||
akanon|quadrilateral|water||d_m0004|1583.5477|1441.0004|-335.9602|-462.52145|-125.93636|0|250|1.5|-335.61624|-337.99335|1445.9495|1582.3676|2000|-2000|2000|-2000|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|1973.2115|1749.4292|-193.27124|-380.6534|-126.93732|0|500|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|slantedplane|water|southhighnorthlow|d_m0004|1987.2008|1973.2015|-264.23907|-322.7802|-126.93732|-140.04451|500|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
akanon|levelplane|water||d_m0004|2086.4143|1987.1908|-264.97446|-322.66727|-197.90918|0|500|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|43.03659|-16.7851|68.5923|-17.38167|-1.99999|0|3.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|28.46357|4.95075|-17.39167|-22.96457|-1.99999|0|3.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|106.13968|-237.14334|496.87283|-10|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|267.53906|94|-9.99|-90.9735|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|276.31134|267.52905|-72.86496|-79.54813|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|271.27722|267.51907|-64.91201|-68.90201|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|272.27722|267.51907|-68.89201|-72.87496|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|240.89845|234.57425|-90.9635|-113.81216|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|234.58424|170.94421|-90.9635|-124.50333|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|170.95421|93.9641|-90.9635|-160.56203|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|282.8436|267.52905|-79.54813|-90.9735|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|quadrilateral|water||t50_agua1|259.91852|237.38652|-77.37752|-108.1282|-158.94748|0|150|0.2|-90.9548|-90.41022|248.86317|240.7334|259.91852|237.38652|-77.37752|-108.1282|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|324.69394|238.57011|-41.14228|-153.17157|-169.9445|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|93.974106|-97.21474|-120.65464|-158.70262|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-6.0931|-127.04298|-96.2526|-120.66464|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-11.50178|-127.04298|-85.92596|-96.2626|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-49.84839|-133.48015|-41.48121|-85.93596|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-60.16524|-133.48015|-28.77068|-41.491207|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-60.16524|-133.48015|-9.97403|-28.78068|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-14.39577|-60.33785|-9.97541|-23.37661|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|103.3568|-14.54458|-9.91237|-14.24581|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|110|27.33245|-14.23874|-22.73568|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|115|66.7952|-22.71107|-31.8|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|96.46191|73.30509|-30.79|-36.92993|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|94.13046|82.63846|-36.91993|-77.02634|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|94.19266|91.83483|-76.99412|-89.97002|-158.94748|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|93.89384|-0.24899|-89.786736|-126.75733|-147.93748|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|88.16903|-12.52269|-55.6708|-89.79674|-147.93748|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|75.67403|-49.41912|-35.12955|-55.680798|-147.93748|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|68.68494|-60.28065|-28.67322|-35.13955|-147.93748|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|50.17927|-12.93359|-22.45914|-28.68322|-147.93748|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|6.84921|-12.31534|-17.74756|-22.969141|-147.93748|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|51|50.17927|-26.72133|-28.67322|-147.93748|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-6.83073|-9.55757|-88.57653|-94.19556|-147.93748|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-0.23899|-7.25061|-89.77673|-116.1608|-147.93748|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-12.02359|-48.0718|-55.57517|-86.33044|-147.93748|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-48.65636|-53.5|-34.43561|-39.85767|-147.93748|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|volume|water|||95.97704|-69.91461|-8.34308|-134.8999|-168.94748|-244.46149|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-32.24492|-81.21978|123.82237|68.93976|-42.96874|0|12.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|slantedplane|water|westhigheastlow|t50_agua1|-46.53767|-63.37746|68.945755|62.11811|-42.96874|-45.99928|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-47.38359|-71.28588|62.128113|29.98639|-45.99928|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
blackburrow|levelplane|water||t50_agua1|-46.32832|-131.53601|30.17706|-113.02352|-55.96875|0|12.2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
butcher|levelplane|water||d_w1|3407.2527|-2835.5894|5015.646|2882.9033|-12.71805|0|500|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabeast|levelplane|water||t75_cbw1|968.3339|596.1669|13.22714|-297.5847|-14|0|45|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabeast|levelplane|water||t75_cbw1|633.1576|-352.4831|599.12256|-568.37335|-14|0|45|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabeast|levelplane|water||t75_cbw1|728.48773|-321.54376|-255.75755|-563.57184|-14|0|45|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabeast|levelplane|water||t75_cbw1|607.3916|396.92233|-424.374|-1025.5326|-14|0|45|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabeast|levelplane|water||t75_cbw1|873.1787|821.3178|-495.65848|-551.59106|-125.93742|0|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabeast|levelplane|water||t75_cbw1|-348.48743|-496.76077|-39.96838|-213.09637|-0.99994|0|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabwest|levelplane|water||t75_cbw1|422.9229|-220.80325|897.53906|56.28087|-13.99995|0|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabwest|levelplane|water||t75_cbw1|407.93225|362.91663|588.87396|544.1323|-0.99995|0|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabwest|levelplane|water||t75_cbw1|-147.91934|-479.545|441.18207|195.29143|-13.99995|0|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabwest|levelplane|water||t75_cbw1|-369.98013|-497.52435|208.1827|153.89629|-13.99995|0|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabwest|levelplane|water||t75_cbw1|-442.5319|-495.21664|210.27039|143.65546|-13.99995|0|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabwest|levelplane|water||t75_cbw1|-441.49927|-493.87103|147.3914|87.82409|-27.99992|0|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabwest|levelplane|water||t75_cbw1|-465.67133|-517.4407|91.79568|-41.57302|-41.96873|0|67|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabwest|levelplane|water||t75_cbw1|-432.14255|-467.75415|35.03262|-17.949|-85.96873|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cabwest|levelplane|blood||t75_b1|322.49466|292.49466|798.30365|768.63336|12|0|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cauldron|levelplane|water||d_w1|1117.5808|-1619.7158|439.3586|-2118.5574|-7.56245|0|500|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|greenwater||t50_grnwtr1|219.55928|118.93922|-267.58423|-513.3554|-209.91621|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|205.58572|7.61939|-62.91235|-261.9912|-209.91623|0|150|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|34.71593|20.30307|6.89001|-7.67734|-41.96875|0|250|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|72.39464|-13.65873|-7.66734|-63.7263|-217.888|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|20.31307|-13.65873|11.79987|-7.67734|-217.888|0|100|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|407.61853|389.91473|43.79805|19.07597|16.00003|0|3.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|407.7318|390.06537|-19.08625|-43.80645|16.00003|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|523.01166|357.89825|126.71968|-19.09625|-83.96873|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|523.01166|407.74182|-19.08625|-89.00818|-83.96873|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|390.07538|357.89825|-19.08625|-89.00818|-83.96873|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|407.7318|390.06537|-43.79645|-89.00818|-83.96873|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|982.36|919.42017|1.66742|-125.41197|-83.96872|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1095.4646|808.3161|-102.12173|-223.34843|-83.96872|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1095.4646|808.3161|-266.56754|-293.22736|-83.96872|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1095.4646|808.3161|-336.59427|-425.9626|-83.96872|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1095.4646|1010.18176|-102.12173|-425.9626|-83.96872|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|966.70825|936.31824|-102.12173|-425.9626|-83.96872|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|892.90625|808.3161|-102.12173|-425.9626|-83.96872|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1012.89966|964.4897|-220.57455|-269.06445|-102.96873|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1012.69385|964.413|-290.77005|-338.9235|-102.96873|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|938.5286|890.57965|-220.66312|-268.77585|-102.96873|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|938.574|890.7567|-290.6656|-338.77692|-102.96873|0|200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1046.9812|1023.5199|-184.25954|-207.94034|12.00003|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1047.297|1023.7145|-352.0262|-375.89536|12.00003|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|879.56384|855.74225|-184.10786|-208.06564|12.00003|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|879.4315|855.7282|-351.9904|-375.7918|12.00003|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1068.3373|1044.3542|-268.07852|-292.10617|-1.99996|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|963.26355|939.50934|-163.23505|-186.8444|-1.99996|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|858.4501|834.73206|-267.74924|-291.82343|-1.99996|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|963.366|939.55115|-373.0226|-396.70337|-1.99996|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1089.363|1065.9427|-212.14862|-235.57878|-15.99999|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1089.1261|1065.7712|-324.10263|-347.7711|-15.99999|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|837.30304|813.8193|-212.14642|-235.87556|-15.99999|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|837.32513|813.6941|-324.0708|-347.81555|-15.99999|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1019.39307|995.59265|-142.06337|-166.00464|-15.99999|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|907.4461|883.72614|-142.29922|-165.84972|-15.99999|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|1019.35406|995.515|-394.0241|-417.75116|-15.99999|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
cazicthule|levelplane|water||t50_water1|907.56854|883.6732|-394.0174|-417.8846|-15.99999|0|25.25|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||
