id|enabled|wow_itemid|wow_spelltemplateid|drop_rate|name|size_mod|race_id|match_gender|match_texture|match_helmtexture|match_face|display_gender|display_texture|display_helmtexture|display_face
55|1|123054|120055|low|Froglok (Geared)|1|26|-1|-1|-1|-1|2|0|0|0
56|1|123055|120056|low|Froglok (Ungeared)|1|27|-1|0|-1|-1|2|0|0|0
57|1|123056|120057|low|Undead Froglok|1|27|-1|1|-1|-1|2|1|0|0
58|1|123057|120058|low|Fungusman|1|28|-1|0|0|-1|2|0|0|0
59|1|123058|120059|low|Tall Fungusman|1|28|-1|0|1|-1|2|0|1|0
60|1|123059|120060|low|Wedge Fungusman|1|28|-1|0|2|-1|2|0|2|0
61|1|123060|120061|low|Dark Fungusman|1|28|-1|1|0|-1|2|1|0|0
62|1|123061|120062|low|Tall Dark Fungusman|1|28|-1|1|1|-1|2|1|1|0
63|1|123062|120063|low|Spongy Fungusman|1|28|-1|2|0|-1|2|2|0|0
64|1|123063|120064|low|Tall Spongy Fungusman|1|28|-1|2|1|-1|2|2|1|0
65|1|123064|120065|low|Wedge Spongy Fungusman|1|28|-1|2|2|-1|2|2|2|0
66|1|123065|120066|low|Crystal Gargoyle|1|29|0|-1|-1|-1|0|0|0|0
67|1|123066|120067|low|Stone Gargoyle|1|29|2|-1|-1|-1|2|0|0|0
68|1|123067|120068|low|Gelatinous Cube|1|31|-1|0|-1|-1|2|0|0|0
69|1|123068|120069|low|Frozen Gelatinous Cube|1|31|-1|1|-1|-1|2|1|0|0
70|1|123069|120070|low|Ghoul|1|33|-1|-1|-1|-1|2|0|0|0
71|1|123070|120071|low|Bat|1|34|-1|0|-1|-1|2|0|0|0
72|1|123071|120072|low|Dark Bat|1|34|-1|1|-1|-1|2|1|0|0
73|1|123072|120073|low|Rat|0.3|36|2|0|-1|-1|2|0|0|0
74|1|123073|120074|low|Mechanical Rat|0.3|36|2|1|-1|-1|2|1|0|0
75|1|123074|120075|low|Plague Rat|0.3|36|2|2|-1|-1|2|2|0|0
76|1|123075|120076|low|Snake|0.1|37|-1|0|-1|-1|2|0|0|0
77|1|123076|120077|low|Green Snake|0.1|37|-1|1|-1|-1|2|1|0|0
78|1|123077|120078|low|Brown Snake|0.1|37|-1|2|-1|-1|2|2|0|0
79|1|123078|120079|low|Stone Snake|0.1|37|-1|3|-1|-1|2|3|0|0
80|1|123079|120080|low|Brown Spider|0.4|38|-1|0|-1|-1|2|0|0|0
81|1|123080|120081|low|Black Spider|0.4|38|-1|1|-1|-1|2|1|0|0
82|1|123081|120082|low|Yellow Spider|0.4|38|-1|2|-1|-1|2|2|0|0
83|1|123082|120083|low|Mechanical Spider|0.4|38|-1|3|-1|-1|2|3|0|0
84|1|123083|120084|low|White Spider|0.4|38|-1|4|-1|-1|2|4|0|0
85|1|123084|120085|low|Crystal Spider|0.4|38|-1|5|-1|-1|2|5|0|0
86|1|123085|120086|low|Brown Gnoll|1|39|-1|0|-1|-1|2|0|0|0
87|1|123086|120087|low|Grey Gnoll|1|39|-1|1|-1|-1|2|1|0|0
88|1|123087|120088|low|Blue Gnoll|1|39|-1|2|-1|-1|2|2|0|0
89|1|123088|120089|low|Undead Gnoll|1|39|-1|3|-1|-1|2|3|0|0
90|1|123089|120090|low|Snow Gnoll|1|39|-1|4|-1|-1|2|4|0|0
91|1|123090|120091|low|Forest Goblin|1|40|-1|0|-1|-1|2|0|0|0
92|1|123091|120092|low|Fire Goblin|1|40|-1|1|-1|-1|2|1|0|0
93|1|123092|120093|low|Ice Goblin|1|40|-1|2|-1|-1|2|2|0|0
94|1|123093|120094|low|Aqua Goblin|1|40|-1|3|-1|-1|2|3|0|0
95|1|123094|120095|low|Gorilla|1|41|-1|0|-1|-1|2|0|0|0
96|1|123095|120096|low|Undead Gorilla|1|41|-1|1|-1|-1|2|1|0|0
97|1|123096|120097|low|Snow Gorilla|1|41|-1|2|-1|-1|2|2|0|0
98|1|123097|120098|low|Wolf|0.7|42|-1|0|-1|-1|1|0|0|0
99|1|123098|120099|low|Shadow Wolf|0.7|42|-1|1|-1|-1|1|1|0|0
100|1|123099|120100|low|Snow Wolf|0.7|42|-1|2|-1|-1|2|2|0|0
101|1|123100|120101|low|Coyote|0.7|42|-1|3|-1|-1|2|3|0|0
102|1|123101|120102|low|Brown Bear|0.8|43|-1|0|-1|-1|2|0|0|0
103|1|123102|120103|low|Black Bear|0.8|43|-1|1|-1|-1|2|1|0|0
104|1|123103|120104|low|Polar Bear|0.8|43|-1|2|-1|-1|2|2|2|0
105|1|123104|120105|low|Human Merchant|1|44|-1|0|-1|-1|0|0|0|0
106|1|123105|120106|low|Freeport Militia Guard|1|44|-1|1|-1|-1|0|1|1|0
107|1|123106|120107|low|Freeport Knight|1|44|-1|2|-1|-1|0|2|1|0
108|1|123107|120108|high|Demi Lich|1|45|-1|-1|-1|-1|2|0|0|0
109|1|123108|120109|low|Imp|1|46|-1|-1|-1|-1|2|0|0|0
110|1|123109|120110|low|Plains Griffin|1|47|-1|0|-1|-1|2|0|0|0
111|1|123110|120111|low|Snow Griffin|1|47|-1|1|-1|-1|2|1|0|0
112|1|123111|120112|low|Snow Kobold|1|48|-1|3|-1|-1|2|3|0|0
113|1|123112|120113|low|Regal Kobold|1|48|-1|4|-1|-1|2|4|0|0
114|1|123113|120114|low|Werebat|1|48|-1|-1|1|-1|2|1|1|0
115|1|123114|120115|low|Kobold|1|48|-1|-1|-1|-1|2|0|0|0
116|1|123115|120116|low|Lava Dragon|1|49|-1|0|0|-1|2|0|0|0
117|1|123116|120117|low|Ice Dragon|1|49|-1|1|1|-1|2|1|1|0
118|1|123117|120118|low|Blue Dragon|1|49|-1|2|2|-1|2|2|2|0
119|1|123118|120119|low|Klandicar|1|49|-1|3|0|-1|2|3|0|0
120|1|123119|120120|low|Grey Dragon|1|49|-1|3|3|-1|2|3|3|0
121|1|123120|120121|low|Brown and Green Dragon|1|49|-1|4|4|-1|2|4|4|0
122|1|123121|120122|low|Dark Teal Dragon|1|49|-1|5|5|-1|2|5|5|0
123|1|123122|120123|low|Purple Dragon|1|49|-1|6|6|-1|2|6|6|0
124|1|123123|120124|low|Gold Dragon|1|49|-1|7|3|-1|2|7|3|0
125|1|123124|120125|low|Lion (Male)|0.7|50|0|-1|-1|-1|0|0|0|0
126|1|123125|120126|low|Lion (Female)|0.7|50|1|-1|-1|-1|1|0|0|0
127|1|123126|120127|low|Green Lizard Man|1|51|-1|0|-1|-1|2|0|0|0
128|1|123127|120128|low|Brown Lizard Man|1|51|-1|1|-1|-1|2|1|0|0
129|1|123128|120129|low|Mimic|0.6|52|-1|-1|-1|-1|0|0|0|0
130|1|123129|120130|low|Minotaur|1|53|-1|-1|-1|-1|2|0|0|0
131|1|123130|120131|low|Antonica Orc|1|54|-1|0|-1|-1|2|0|0|0
132|1|123131|120132|low|Faydwer Orc|1|54|-1|1|-1|-1|2|1|0|0
133|1|123132|120133|low|Snow Orc|1|54|-1|2|-1|-1|2|2|0|0
134|1|123133|120134|low|Velious Orc|1|54|-1|3|-1|-1|2|3|0|0
135|1|123134|120135|low|Human Beggar|1|55|-1|-1|-1|-1|0|0|0|0
136|1|123135|120136|low|Pixie|1|56|-1|-1|-1|-1|1|0|0|0
137|1|123136|120137|low|Black Dracnid (Male)|1|57|0|0|-1|-1|0|0|0|0
138|1|123137|120138|low|Black Dracnid (Female)|1|57|0|1|-1|-1|0|1|0|0
139|1|123138|120139|low|Cavern Dracnid (Male)|1|57|1|0|-1|-1|1|0|0|0
140|1|123139|120140|high|Cavern Dracnid (Female)|1|57|1|1|-1|-1|1|1|0|0
141|1|123140|120141|low|Bloodgill Goblin|1|59|-1|-1|-1|-1|2|0|0|0
142|1|123141|120142|low|Dark Skeleton|1|60|-1|1|-1|-1|2|1|0|0
143|1|123142|120143|low|Light Skeleton|1|60|-1|-1|-1|-1|2|0|0|0
144|1|123143|120144|low|Bull Shark|0.6|61|-1|-1|0|-1|2|0|0|0
145|1|123144|120145|low|Hammerhead Shark|1|61|-1|-1|1|-1|2|0|1|0
146|1|123145|120146|high|Tunare|1|62|-1|-1|-1|-1|2|3|0|0
147|1|123146|120147|low|White Tiger|0.7|63|-1|1|-1|-1|2|1|0|0
148|1|123147|120148|low|Orange Tiger|0.7|63|-1|-1|-1|-1|2|0|0|0
149|1|123148|120149|low|Treant|1|64|-1|-1|-1|-1|2|0|0|0
150|1|123149|120150|high|Maestro of Rancor|1|65|-1|-1|-1|-1|0|0|0|0
151|1|123150|120151|high|Avatar of War|1|66|-1|0|-1|-1|2|0|0|0
152|1|123151|120152|high|Rallos Zek|1|66|-1|1|-1|-1|2|1|0|0
153|1|123152|120153|low|Highpass Guard|1|67|-1|-1|-1|-1|0|0|0|0
154|1|123153|120154|low|Tentacle Terror|1|68|-1|0|-1|-1|2|0|0|0
155|1|123154|120155|low|Icy Tentacle Terror|1|68|-1|1|-1|-1|2|1|0|0
156|1|123155|120156|low|Blue Will O Wisp|1|69|-1|0|-1|-1|2|0|0|0
157|1|123156|120157|low|Purple Will O Wisp|1|69|-1|1|-1|-1|2|1|0|0
158|1|123157|120158|low|Green Will O Wisp|1|69|-1|2|-1|-1|2|2|0|0
159|1|123158|120159|low|Red Will O Wisp|1|69|-1|3|-1|-1|2|3|0|0
160|1|123159|120160|low|Yellow Will O Wisp|1|69|-1|4|-1|-1|2|4|0|0
161|1|123160|120161|low|Mummy|1|70|0|1|-1|-1|0|1|0|0
162|1|123161|120162|low|Zombie (Female)|1|70|1|0|-1|-1|1|0|0|0
163|1|123162|120163|low|Zombie (Male)|1|70|0|-1|-1|-1|0|0|0|0
164|1|123163|120164|low|Merchant (Male)|1|71|0|0|-1|-1|0|0|0|0
165|1|123164|120165|low|Qeynos Guard|1|71|0|1|-1|-1|0|1|1|0
166|1|123165|120166|high|Human Smuggler|1|71|0|2|-1|-1|0|2|0|0
167|1|123166|120167|high|Human Merchant (Brown, Male)|1|71|0|3|-1|-1|0|3|0|0
168|1|123167|120168|high|Human Merchant (Green, Male)|1|71|0|4|-1|-1|0|4|0|0
169|1|123168|120169|high|Human Merchant (Pink)|1|71|0|5|-1|-1|0|5|0|0
170|1|123169|120170|high|Human Merchant (Apron)|1|71|0|6|-1|-1|0|6|0|0
171|1|123170|120171|low|Human Merchant (Purple)|1|71|1|0|-1|-1|1|0|0|0
172|1|123171|120172|low|Human Merchant (Green, Female)|1|71|1|1|-1|-1|1|1|0|0
173|1|123172|120173|high|Human Merchant (Brown, Female)|1|71|1|2|-1|-1|1|2|0|0
174|1|123173|120174|high|Human Merchant (Yellow)|1|71|1|3|-1|-1|1|3|0|5
175|1|123174|120175|high|Human Merchant (Brown and White, Female)|1|71|1|4|-1|-1|1|4|0|4
176|1|123175|120176|high|Human Merchant (Blue Dress)|1|71|1|5|-1|-1|1|5|0|0
177|1|123176|120177|low|Piranha|0.3|74|-1|-1|-1|-1|2|0|0|0
178|1|123177|120178|low|Earth Elemental|1|75|-1|0|-1|-1|2|0|0|0
179|1|123178|120179|low|Fire Elemental|1|75|-1|1|-1|-1|2|1|0|0
180|1|123179|120180|low|Water Elemental|1|75|-1|2|-1|-1|2|2|0|0
181|1|123180|120181|low|Air Elemental|1|75|-1|3|-1|-1|2|3|0|0
182|1|123181|120182|low|Plains Cat|0.7|76|-1|0|-1|-1|2|0|0|0
183|1|123182|120183|low|Snow Leopard|0.7|76|-1|1|-1|-1|2|1|0|0
184|1|123183|120184|low|Snow Cougar|0.7|76|-1|2|-1|-1|2|2|0|0
185|1|123184|120185|low|Panther|0.7|76|-1|3|-1|-1|2|3|0|0
186|1|123185|120186|low|Neriak Guard|1|77|-1|0|-1|-1|0|0|0|0
187|1|123186|120187|low|Dark Elf Merchant|1|77|-1|1|-1|-1|0|1|1|0
188|1|123187|120188|low|Erudite Merchant|1|78|-1|1|-1|-1|0|1|1|0
189|1|123188|120189|low|Erudin Guard|1|78|-1|-1|-1|-1|0|0|0|0
190|1|123189|120190|low|Bixie|1|79|-1|-1|-1|-1|2|0|0|0
191|1|123190|120191|low|Reanimated Hand|1|80|-1|-1|-1|-1|2|0|0|0
192|1|123191|120192|low|Rivervale Guard|1|81|0|0|-1|-1|0|0|0|0
193|1|123192|120193|low|Halfling Merchant (Male)|1|81|0|1|-1|-1|0|1|1|0
194|1|123193|120194|low|Halfling Merchant (Female)|1|81|1|-1|-1|-1|1|0|0|0
195|1|123194|120195|low|Scarecrow|1|82|-1|-1|-1|-1|2|0|0|0
196|1|123195|120196|low|Skunk|0.4|83|-1|-1|-1|-1|2|0|0|0
197|1|123196|120197|low|Spectre|1|85|-1|-1|-1|-1|2|0|0|0
198|1|123197|120198|low|Sphinx|1|86|-1|-1|-1|-1|2|0|0|0
199|1|123198|120199|low|Armadillo|0.5|87|-1|-1|-1|-1|2|0|0|0
200|1|123199|120200|low|Clockwork Gnome (Male)|1|88|0|-1|-1|-1|0|0|0|0
201|1|123200|120201|low|Clockwork Gnome (Female)|1|88|1|-1|-1|-1|1|0|0|0
202|1|123201|120202|low|Green Drake|1|89|-1|1|-1|-1|2|1|0|0
203|1|123202|120203|low|Red Drake|1|89|-1|2|-1|-1|2|2|0|0
204|1|123203|120204|low|Blue Drake|1|89|-1|3|-1|-1|2|3|0|0
205|1|123204|120205|low|Black Drake|1|89|-1|-1|-1|-1|2|0|0|0
206|1|123205|120206|low|Halas Guard|1|90|0|0|-1|-1|0|0|0|0
207|1|123206|120207|low|Barbarian Merchant (Male)|1|90|0|1|-1|-1|0|1|1|0
208|1|123207|120208|low|Barbarian Merchant (Female)|1|90|1|-1|-1|-1|1|0|0|0
209|1|123208|120209|low|Alligator|0.3|91|-1|0|0|-1|2|0|0|0
210|1|123209|120210|low|Fire Alligator|0.3|91|-1|1|0|-1|2|1|0|0
211|1|123210|120211|low|Basilisk|0.3|91|-1|1|1|-1|2|1|1|0
212|1|123211|120212|low|Grobb Guard|1|92|0|0|-1|-1|0|0|0|0
213|1|123212|120213|low|Troll Merchant (Male)|1|92|0|1|-1|-1|0|1|1|0
214|1|123213|120214|low|Troll Merchant (Female)|1|92|1|-1|-1|-1|1|0|0|0
215|1|123214|120215|low|Oggok Guard|1|93|0|0|-1|-1|0|0|0|0
216|1|123215|120216|low|Ogre Merchant (Male)|1|93|0|1|-1|-1|0|1|1|0
217|1|123216|120217|low|Ogre Merchant (Female)|1|93|1|-1|-1|-1|1|0|0|0
218|1|123217|120218|low|Kaladim Guard|1|94|0|0|-1|-1|0|0|0|0
219|1|123218|120219|low|Dwarf Merchant (Male)|1|94|0|1|-1|-1|0|1|1|0
220|1|123219|120220|low|Dwarf Merchant (Female)|1|94|1|-1|-1|-1|1|0|0|0
221|1|123220|120221|low|Cazic Thule|1|95|-1|-1|-1|-1|2|0|0|0
222|1|123221|120222|low|Cockatrice|1|96|-1|-1|-1|-1|2|0|0|0
223|1|123222|120223|low|Elf Vampire (Male)|1|98|0|-1|-1|-1|0|0|0|0
224|1|123223|120224|low|Elf Vampire (Female)|1|98|1|-1|-1|-1|1|0|0|0
225|1|123224|120225|low|Amygdalan|1|99|-1|-1|-1|-1|2|0|0|0
226|1|123225|120226|low|Weapon Dervish|1|100|-1|-1|0|-1|2|0|0|0
227|1|123226|120227|low|Rock Dervish|1|100|-1|-1|2|-1|2|0|2|0
228|1|123227|120228|high|Fire Efreeti|1|101|-1|0|-1|-1|2|0|0|0
229|1|123228|120229|high|Ice Efreeti|1|101|-1|1|-1|-1|2|1|0|0
230|1|123229|120230|low|Froglok Tadpole|1|102|-1|-1|-1|-1|2|0|0|0
231|1|123230|120231|low|Phinigel Autropos|1|103|-1|-1|-1|-1|2|0|0|0
232|1|123231|120232|low|Leech|0.3|104|-1|-1|-1|-1|2|0|0|0
233|1|123232|120233|low|Swordfish|0.3|105|-1|-1|-1|-1|2|0|0|0
234|1|123233|120234|low|Felwithe Guard|1|106|-1|-1|-1|-1|0|0|0|0
235|1|123234|120235|low|Elephant|1|107|-1|0|0|-1|2|0|0|0
236|1|123235|120236|low|Wooly Mammoth|1|107|-1|1|0|-1|2|1|0|0
237|1|123236|120237|low|Glacier Mastodon|1|107|-1|1|1|-1|2|1|1|0
238|1|123237|120238|low|Thought Bleeder|1|108|-1|-1|-1|-1|2|0|0|0
239|1|123238|120239|low|Wasp|1|109|-1|0|-1|-1|2|0|0|0
240|1|123239|120240|low|Hornet|1|109|-1|1|-1|-1|2|1|0|0
241|1|123240|120241|low|Mermaid|1|110|-1|-1|-1|-1|2|0|0|0
242|1|123241|120242|low|Harpie|1|111|-1|-1|-1|-1|2|0|0|0
243|1|123242|120243|low|Kelethin Guard|1|112|0|0|-1|-1|0|0|0|0
244|1|123243|120244|low|Wood Elf Merchant (Male)|1|112|0|1|-1|-1|0|1|1|0
245|1|123244|120245|low|Wood Elf Merchant (Female)|1|112|1|0|-1|-1|1|0|0|0
246|1|123245|120246|low|Drixie|1|113|-1|-1|-1|-1|2|0|0|0
247|1|123246|120247|low|Sea Horse|0.6|116|-1|-1|-1|-1|2|0|0|0
248|1|123247|120248|high|Angered Ghost Dwarf|1|117|0|0|-1|-1|0|0|0|0
249|1|123248|120249|low|Ghost Dwarf|1|117|0|-1|-1|-1|0|1|0|0
250|1|123249|120250|low|Erudite Ghost (Male)|1|118|0|-1|-1|-1|0|0|0|0
251|1|123250|120251|low|Erudite Ghost (Female)|1|118|1|-1|-1|-1|1|0|0|0
252|1|123251|120252|low|Sabertooth Cat|0.7|119|-1|0|-1|-1|2|0|0|0
253|1|123252|120253|low|Snow Sabertooth Cat|0.7|119|-1|1|-1|-1|2|1|0|0
254|1|123253|120254|low|Spirit  Wolf|0.7|120|-1|0|-1|-1|2|0|0|0
255|1|123254|120255|High|Dire Spirit Wolf|0.7|120|-1|1|-1|-1|2|1|0|0
256|1|123255|120256|low|Gorgon|1|121|-1|-1|-1|-1|2|0|0|0
257|1|123256|120257|high|Dragon Skeleton|1|122|-1|-1|-1|-1|2|0|0|0
258|1|123257|120258|low|Innoruuk|1|123|-1|-1|-1|-1|2|0|0|0
259|1|123258|120259|low|Unicorn|1|124|-1|0|0|-1|2|0|0|0
260|1|123259|120260|low|Dark Unicorn|1|124|-1|1|0|-1|2|1|0|0
261|1|123260|120261|low|Dark Horse|1|124|-1|1|1|-1|2|1|1|0
262|1|123261|120262|low|White Horse|1|124|-1|2|1|-1|2|2|1|0
263|1|123262|120263|low|Flying Horse|1|125|-1|-1|-1|-1|2|0|0|0
264|1|123263|120264|High|Djinn|1|126|-1|-1|-1|-1|2|0|0|0
265|1|123264|120265|low|Iksar (Male)|1|128|0|-1|-1|-1|0|0|0|0
266|1|123265|120266|low|Iksar (Female)|1|128|1|-1|-1|-1|1|0|0|0
267|1|123266|120267|low|Scorpion|0.7|129|-1|-1|-1|-1|2|0|0|0
268|1|123267|120268|low|Sarnak Highborn|1|131|-1|2|-1|-1|2|2|0|0
269|1|123268|120269|low|Sarnak|1|131|-1|-1|-1|-1|2|0|0|0
270|1|123269|120270|low|Drolvarg|1|133|-1|0|-1|-1|2|0|0|0
271|1|123270|120271|low|Shadow Beast|1|133|-1|1|-1|-1|2|1|0|0
272|1|123271|120272|low|Mosquito|0.7|134|-1|-1|-1|-1|2|0|0|0
273|1|123272|120273|low|Kunark Rhino|1|135|-1|0|-1|-1|2|0|0|0
274|1|123273|120274|low|Wooly Rhino|1|135|-1|1|-1|-1|2|1|0|0
275|1|123274|120275|High|Xalgoz|1|136|-1|-1|-1|-1|2|0|0|0
276|1|123275|120276|low|Kunark Goblin Caster|1|137|-1|0|-1|-1|2|0|0|0
277|1|123276|120277|low|Kunark Goblin Fighter|1|137|-1|1|-1|-1|2|1|0|0
278|1|123277|120278|High|Kunark Goblin Spirit Leader|1|137|-1|2|-1|-1|2|2|2|0
279|1|123278|120279|low|Glacier Yeti|1|138|-1|0|-1|-1|2|0|0|0
280|1|123279|120280|low|Hulking Yeti|1|138|-1|1|-1|-1|2|1|0|0
281|1|123280|120281|low|Iksar Bandit|1|139|0|1|-1|-1|0|1|0|0
282|1|123281|120282|low|Cabilis Guard|1|139|2|1|-1|-1|2|1|0|0
283|1|123282|120283|low|Iksar Merchant (Female)|1|139|1|-1|-1|-1|1|0|0|0
284|1|123283|120284|low|Iksar Merchant (Male)|1|139|-1|-1|-1|-1|0|0|0|1
285|1|123284|120285|low|Forest Giant|1|140|-1|0|-1|-1|2|0|0|0
286|1|123285|120286|low|Mountain Giant|1|140|-1|1|-1|-1|2|1|0|0
287|1|123286|120287|low|Burynai Burrower|1|144|-1|0|-1|-1|2|0|0|0
288|1|123287|120288|low|Burynai Excavator|1|144|-1|1|0|-1|2|1|0|0
289|1|123288|120289|low|Burynai Leader|1|144|-1|1|1|-1|2|1|1|1
290|1|123289|120290|low|Burynai Cenobite|1|144|-1|2|-1|-1|2|2|2|0
291|1|123290|120291|low|Red Goo|0.3|145|-1|0|-1|-1|2|0|0|0
292|1|123291|120292|low|Green Goo|0.3|145|-1|1|-1|-1|2|1|0|0
293|1|123292|120293|low|Black Goo|0.3|145|-1|2|-1|-1|2|2|0|0
294|1|123293|120294|low|Spectral Sarnak|1|146|-1|-1|-1|-1|2|0|0|0
295|1|123294|120295|low|Spectral Iksar|1|147|-1|-1|-1|-1|0|0|0|0
296|1|123295|120296|low|Barracuda|1|148|-1|-1|-1|-1|2|0|0|0
297|1|123296|120297|low|Scorpikis|1|149|-1|-1|-1|-1|2|0|0|0
298|1|123297|120298|high|Glimmering Drake|1|154|-1|-1|-1|-1|2|0|0|0
299|1|123298|120299|low|Sarnak Skeleton|1|155|-1|-1|-1|-1|2|0|0|0
300|1|123299|120300|low|Paebala|1|156|-1|0|-1|-1|2|0|0|0
301|1|123300|120301|low|Chetari|1|156|-1|1|-1|-1|2|1|0|0
302|1|123301|120302|low|Ratman|1|156|-1|2|-1|-1|2|2|0|0
303|1|123302|120303|low|Red Wyvern|1|157|-1|0|-1|-1|2|0|0|0
304|1|123303|120304|low|Blue Wyvern|1|157|-1|1|-1|-1|2|1|0|0
305|1|123304|120305|low|Red Wurm|1|158|-1|0|-1|-1|2|0|0|0
306|1|123305|120306|low|Grey Wurm|1|158|-1|1|-1|-1|2|1|0|0
307|1|123306|120307|low|Devourer|0.7|159|-1|0|-1|-1|2|0|0|0
308|1|123307|120308|low|Black Ravenger|1|159|-1|1|-1|-1|2|1|0|0
309|1|123308|120309|low|Iksar Golem|1|160|-1|-1|-1|-1|2|0|0|0
310|1|123309|120310|low|Iksar Skeleton|1|161|-1|-1|-1|-1|2|0|0|0
311|1|123310|120311|low|Man Eating Plant|1|162|-1|-1|-1|-1|2|0|0|0
312|1|123311|120312|low|Jungle Raptor|1|163|-1|0|-1|-1|2|0|0|0
313|1|123312|120313|low|Tiger Raptor|1|163|-1|1|-1|-1|2|1|0|0
314|1|123313|120314|low|Sarnak Golem|1|164|-1|-1|-1|-1|2|0|0|0
