lootdrop_id|item_id|item_charges|equip_item|chance|multiplier|disabled_chance|min_expansion|max_expansion
387|10049|1|1|2|1|0|-1|-1
387|10050|1|1|2|1|0|-1|-1
387|10051|1|1|2|1|0|-1|-1
387|10053|1|0|2|1|0|-1|-1
387|22503|1|0|2|1|0|1|99
526|1297|1|1|100|1|0|-1|-1
529|6048|1|1|100|1|0|-1|-1
543|1317|1|1|25|1|0|-1|-1
543|14311|1|0|75|1|0|-1|-1
556|13676|1|1|100|1|0|-1|-1
561|1344|1|1|100|1|0|-1|-1
561|6048|1|1|100|1|0|-1|-1
566|1355|1|1|60|1|0|-1|-1
593|1367|1|1|25|1|0|-1|-1
593|14307|1|0|75|1|0|-1|-1
598|13409|1|0|50|1|0|-1|-1
598|22524|1|0|50|1|0|-1|-1
615|1412|1|1|75|1|0|-1|-1
615|4408|1|1|25|1|0|-1|-1
617|1413|1|1|18|1|0|-1|-1
694|1548|1|1|100|1|0|-1|-1
843|1681|1|1|100|1|0|-1|-1
848|1688|1|0|100|1|0|-1|-1
851|1715|1|1|100|1|0|-1|-1
852|18174|1|0|100|1|0|-1|-1
940|10154|5|1|100|1|0|-1|-1
941|1815|1|0|50|1|0|-1|-1
941|10155|2|0|50|1|0|-1|-1
942|1827|1|1|100|1|0|-1|-1
1056|2007|1|1|100|1|0|-1|-1
1103|2137|1|1|2|1|0|-1|-1
1103|2138|1|1|2|1|0|-1|-1
1103|2139|1|1|2|1|0|-1|-1
1103|2140|1|1|2|1|0|-1|-1
1103|2141|1|1|2|1|0|-1|-1
1103|2142|1|1|2|1|0|-1|-1
1103|2143|1|1|2|1|0|-1|-1
1103|2144|1|1|2|1|0|-1|-1
1103|2145|1|1|4|1|0|-1|-1
1103|2146|1|1|2|1|0|-1|-1
1103|2147|1|1|2|1|0|-1|-1
1103|2148|1|1|2|1|0|-1|-1
1103|13013|1|1|100|1|0|-1|-1
1220|2320|1|1|25|1|0|-1|-1
1220|6321|1|1|75|1|0|-1|-1
1221|2321|1|1|25|1|0|-1|-1
1221|5357|1|1|75|1|0|-1|-1
1223|2323|1|1|25|1|0|-1|-1
1223|13855|1|0|75|1|0|-1|-1
1228|2325|1|0|25|1|0|-1|-1
1228|13857|1|0|75|1|0|-1|-1
1234|2329|1|1|75|1|0|-1|-1
1234|6322|1|1|25|1|0|-1|-1
1235|13406|1|0|11|1|0|-1|-1
1235|13413|1|0|11|1|0|-1|-1
1235|13414|1|0|11|1|0|-1|-1
1235|13415|1|0|11|1|0|-1|-1
1235|13416|1|0|11|1|0|-1|-1
1235|13418|1|0|11|1|0|-1|-1
1235|13421|1|0|11|1|0|-1|-1
1235|13422|1|0|11|1|0|-1|-1
1235|21968|1|0|12|1|0|-1|-1
1238|2331|1|1|75|1|0|-1|-1
1238|3169|1|1|25|1|0|-1|-1
1245|2335|1|1|100|1|0|-1|-1
1255|2340|1|1|25|1|0|-1|-1
1255|7405|1|1|75|1|0|-1|-1
1299|2373|1|1|75|1|0|-1|-1
1299|2374|1|1|25|1|0|-1|-1
1300|2375|1|1|75|1|0|-1|-1
1300|5325|1|1|25|1|0|-1|-1
1302|2391|1|0|100|1|0|-1|-1
1314|2408|1|1|20|1|0|-1|-1
1314|17404|1|0|80|1|0|-1|-1
1323|2419|1|1|5|1|0|-1|-1
1323|13689|1|1|1|1|0|-1|-1
1325|25798|1|0|100|1|0|-1|-1
1334|2462|1|1|75|1|0|-1|-1
1334|2463|1|1|25|1|0|-1|-1
1336|2466|1|1|25|1|0|-1|-1
1336|10363|1|1|75|1|0|-1|-1
1507|11937|1|1|7.5|1|0|-1|-1
1508|13041|1|0|35|2|0|-1|-1
1508|14018|1|0|15|1|0|-1|-1
1508|16983|1|0|15|1|0|-1|-1
1509|11936|1|0|15|1|0|-1|-1
1509|12878|1|0|15|1|0|-1|-1
1556|2729|1|1|100|1|0|-1|-1
1557|12730|1|0|90|1|0|-1|-1
1557|12731|1|0|10|1|0|-1|-1
1881|3306|1|1|75|1|0|-1|-1
1881|10361|1|1|25|1|0|-1|-1
1953|3402|1|1|100|1|0|-1|-1
1972|20452|1|0|100|1|0|-1|-1
1986|10622|1|0|100|1|0|-1|-1
1987|3808|1|1|25|1|0|-1|-1
1987|5425|1|1|75|1|0|-1|-1
2082|4118|1|1|16.666|1|0|-1|-1
2082|15806|1|1|16.666|1|0|-1|-1
2082|15843|1|1|16.666|1|0|-1|-1
2082|22982|1|0|16.666|1|0|-1|-1
2082|26087|1|0|16.666|1|0|-1|-1
2082|27407|1|1|16.666|1|0|-1|-1
2183|4309|1|1|25|1|0|-1|-1
2183|4405|1|1|75|1|0|-1|-1
2186|4310|1|1|75|1|0|-1|-1
2186|5365|1|1|25|1|0|-1|-1
2198|4324|1|1|33.333|1|0|-1|-1
2198|26213|1|1|33.333|1|0|-1|-1
2198|26863|1|1|33.333|1|0|-1|-1
2202|4324|1|1|1.5|1|0|-1|-1
2202|22838|1|1|1.5|1|0|-1|-1
2203|29539|1|0|100|1|0|-1|-1
2204|28749|1|0|60|1|0|-1|-1
2204|28750|1|0|30|1|0|-1|-1
2223|4406|1|1|75|1|0|-1|-1
2223|5411|1|1|25|1|0|-1|-1
2226|4407|1|1|75|1|0|-1|-1
2226|10366|1|1|25|1|0|-1|-1
2228|4409|1|1|50|1|0|-1|-1
2228|10218|5|1|50|1|0|-1|-1
2267|4505|1|1|75|1|0|-1|-1
2267|10219|1|1|25|1|0|-1|-1
2353|4620|1|1|25|1|0|-1|-1
2353|6408|1|1|75|1|0|-1|-1
2469|4871|1|1|3|1|0|-1|-1
2469|4872|1|1|2|1|0|-1|-1
2469|4873|1|1|4|1|0|-1|-1
2469|4874|1|1|5|1|0|-1|-1
2469|4875|1|1|4|1|0|-1|-1
2469|4876|1|1|3|1|0|-1|-1
2469|4877|1|1|4|1|0|-1|-1
2491|4901|1|1|3|1|0|-1|-1
2491|4902|1|1|2|1|0|-1|-1
2491|4903|1|1|4|1|0|-1|-1
2491|4904|1|1|5|1|0|-1|-1
2491|4905|1|1|4|1|0|-1|-1
2491|4906|1|1|3|1|0|-1|-1
2491|4907|1|1|4|1|0|-1|-1
2581|5001|1|1|34|1|0|-1|-1
2581|5352|1|1|33|1|0|-1|-1
2582|5002|1|1|3|1|0|-1|-1
2582|5013|1|1|3|1|0|-1|-1
2582|5019|1|1|3|1|0|-1|-1
2582|5023|1|1|3|1|0|-1|-1
2582|5026|1|1|3|1|0|-1|-1
2582|5027|1|1|3|1|0|-1|-1
2582|5350|1|1|3|1|0|-1|-1
2582|5352|1|1|3|1|0|-1|-1
2664|5001|1|1|100|1|0|-1|-1
2664|9023|1|1|100|1|0|-1|-1
2726|5005|1|1|100|1|0|-1|-1
2731|5005|1|1|50|1|0|-1|-1
2731|5023|1|1|50|1|0|-1|-1
2738|5005|1|1|50|1|0|-1|-1
2738|5062|1|1|50|1|0|-1|-1
2906|5013|1|1|4|1|0|-1|-1
2906|5014|1|1|4|1|0|-1|-1
2906|5019|1|1|4|1|0|-1|-1
2906|5020|1|1|4|1|0|-1|-1
2906|5021|1|1|4|1|0|-1|-1
2906|5022|1|1|4|1|0|-1|-1
2906|5023|1|1|4|1|0|-1|-1
2906|5025|1|1|3|1|0|-1|-1
2906|5026|1|1|3|1|0|-1|-1
2906|5027|1|1|3|1|0|-1|-1
2906|5028|1|1|3|1|0|-1|-1
2906|5029|1|1|3|1|0|-1|-1
2906|5030|1|1|3|1|0|-1|-1
2906|5032|1|1|3|1|0|-1|-1
2906|5034|1|1|3|1|0|-1|-1
2906|5037|1|1|3|1|0|-1|-1
2906|6011|1|1|3|1|0|-1|-1
2906|6014|1|1|3|1|0|-1|-1
2906|6017|1|1|3|1|0|-1|-1
2906|6019|1|1|3|1|0|-1|-1
2906|6024|1|1|3|1|0|-1|-1
2906|7007|1|1|3|1|0|-1|-1
2906|7008|1|1|3|1|0|-1|-1
2906|7009|1|1|3|1|0|-1|-1
2906|7012|1|1|3|1|0|-1|-1
2906|7013|1|1|3|1|0|-1|-1
2906|7014|1|1|3|1|0|-1|-1
2906|13346|1|1|3|1|0|-1|-1
2965|13921|1|0|45|1|0|-1|-1
3015|5013|1|1|50|1|0|-1|-1
3015|5352|1|1|50|1|0|-1|-1
3067|5013|1|1|34|1|0|-1|-1
3067|5020|1|1|33|1|0|-1|-1
3067|5352|1|1|33|1|0|-1|-1
3069|5013|1|1|6|1|0|-1|-1
3069|5019|1|1|6|1|0|-1|-1
3069|5021|1|1|6|1|0|-1|-1
3069|5026|1|1|6|1|0|-1|-1
3069|5027|1|1|6|1|0|-1|-1
3069|5034|1|1|6|1|0|-1|-1
3069|5351|1|1|6|1|0|-1|-1
3069|6014|1|1|6|1|0|-1|-1
3069|6016|1|1|6|1|0|-1|-1
3069|6022|1|1|6|1|0|-1|-1
3069|6024|1|1|5|1|0|-1|-1
3069|7007|1|1|5|1|0|-1|-1
3069|7008|1|1|5|1|0|-1|-1
3069|7009|1|1|5|1|0|-1|-1
3069|7012|1|1|5|1|0|-1|-1
3069|7013|1|1|5|1|0|-1|-1
3069|7014|1|1|5|1|0|-1|-1
3069|13346|1|1|5|1|0|-1|-1
3101|5013|1|1|12|1|0|-1|-1
3101|5014|1|1|6|1|0|-1|-1
3101|5015|1|1|6|1|0|-1|-1
3101|5016|1|1|6|1|0|-1|-1
3101|5019|1|1|6|1|0|-1|-1
3101|5020|1|1|6|1|0|-1|-1
3101|5021|1|1|6|1|0|-1|-1
3101|5022|1|1|6|1|0|-1|-1
3101|5023|1|1|6|1|0|-1|-1
3101|6011|1|1|6|1|0|-1|-1
3101|6014|1|1|6|1|0|-1|-1
3101|6017|1|1|7|1|0|-1|-1
3101|7008|1|1|7|1|0|-1|-1
3101|7009|1|1|7|1|0|-1|-1
3101|7010|1|1|7|1|0|-1|-1
3102|12244|1|0|75|1|0|-1|-1
3190|5015|1|1|12|1|0|-1|-1
3190|5019|1|1|11|1|0|-1|-1
3190|5020|1|1|11|1|0|-1|-1
3190|5023|1|1|11|1|0|-1|-1
3190|6011|1|1|11|1|0|-1|-1
3190|6012|1|1|11|1|0|-1|-1
3190|6014|1|1|11|1|0|-1|-1
3190|7008|1|1|11|1|0|-1|-1
3190|7010|1|1|11|1|0|-1|-1
3191|13025|1|0|50|1|0|-1|-1
3191|13027|1|0|50|1|0|-1|-1
3204|13915|1|0|40|1|0|-1|-1
3204|20178|1|0|6|1|0|3|99
3204|20179|1|0|6|1|0|3|99
3204|20181|1|0|6|1|0|3|99
3204|27392|1|0|6|1|0|3|99
3204|27405|1|0|6|1|0|3|99
3204|27409|1|0|6|1|0|3|99
3204|27417|1|0|6|1|0|3|99
3204|27421|1|0|6|1|0|3|99
3204|27423|1|0|6|1|0|3|99
3204|27427|1|0|6|1|0|3|99
3301|5028|1|1|100|1|0|-1|-1
3302|5028|1|1|50|1|0|-1|-1
3302|31490|1|1|50|1|0|-1|-1
3314|5038|1|1|75|1|0|-1|-1
3314|10403|1|1|25|1|0|-1|-1
3315|17974|1|0|100|1|0|-1|-1
3327|13050|1|0|41|1|0|-1|-1
3327|13064|1|0|30|1|0|-1|-1
3327|13264|1|0|3|1|0|-1|-1
3349|5040|1|1|100|1|0|-1|-1
3362|5042|1|1|100|1|0|-1|-1
3363|19931|1|0|100|1|0|-1|-1
3364|5044|1|1|100|1|0|-1|-1
3365|19934|1|0|100|1|0|-1|-1
3371|5023|1|1|50|1|0|-1|-1
3371|5070|1|1|50|1|0|-1|-1
3372|19932|1|0|100|1|0|-1|-1
3373|5070|1|1|100|1|0|-1|-1
3374|20186|1|0|100|1|0|-1|-1
3503|5307|1|1|25|1|0|-1|-1
3503|7307|1|1|75|1|0|-1|-1
3581|5350|1|1|4|1|0|-1|-1
3581|5351|1|1|3|1|0|-1|-1
3581|5352|1|1|5|1|0|-1|-1
3581|5353|1|1|6|1|0|-1|-1
3581|6350|1|1|4|1|0|-1|-1
3581|6351|1|1|6|1|0|-1|-1
3581|6352|1|1|5|1|0|-1|-1
3581|7351|1|1|5|1|0|-1|-1
3581|7352|1|1|5|1|0|-1|-1
3582|16904|1|0|10|2|0|-1|-1
3583|12206|1|0|100|1|0|-1|-1
3662|5352|1|1|100|1|0|-1|-1
3670|5356|1|1|25|1|0|-1|-1
3670|9350|1|1|75|1|0|-1|-1
3690|5410|1|1|25|1|0|-1|-1
3690|7406|1|1|75|1|0|-1|-1
3692|5431|1|1|25|1|0|-1|-1
3692|11405|1|1|25|1|0|-1|-1
3692|15838|1|1|25|1|0|-1|-1
3692|24572|1|1|25|1|0|-1|-1
3730|5517|1|1|1.5|1|0|-1|-1
3730|5518|1|1|1.5|1|0|-1|-1
3730|9402|1|1|1.5|1|0|-1|-1
3732|14371|1|0|3|1|0|-1|-1
3810|5593|1|1|12.5|1|0|-1|-1
3810|9443|1|1|12.5|1|0|-1|-1
3810|10109|1|1|12.5|1|0|-1|-1
3810|11033|1|1|12.5|1|0|-1|-1
3810|20624|1|1|12.5|1|0|-1|-1
3810|21864|1|1|12.5|1|0|-1|-1
3810|26081|1|1|12.5|1|0|-1|-1
3810|27285|1|1|12.5|1|0|-1|-1
3915|5742|1|1|33.333|1|0|-1|-1
3915|15830|1|1|33.333|1|0|-1|-1
3915|15845|1|1|33.333|1|0|-1|-1
3947|5797|1|1|20|1|0|-1|-1
3947|7771|1|1|20|1|0|-1|-1
3947|9483|1|1|20|1|0|-1|-1
3947|26739|1|1|20|1|0|-1|-1
3947|27989|1|1|20|1|0|-1|-1
3958|5838|1|1|16.66|1|0|-1|-1
3958|5842|1|1|16.66|1|0|-1|-1
3958|31352|1|1|16.66|1|0|-1|-1
3958|31353|1|1|16.66|1|0|-1|-1
3958|31354|1|1|16.66|1|0|-1|-1
3958|31355|1|1|16.66|1|0|-1|-1
3959|5839|1|1|16.66|1|0|-1|-1
3959|5843|1|1|16.66|1|0|-1|-1
3959|31348|1|1|16.66|1|0|-1|-1
3959|31349|1|1|16.66|1|0|-1|-1
3959|31350|1|1|16.66|1|0|-1|-1
3959|31351|1|1|16.66|1|0|-1|-1
4063|6003|1|1|100|1|0|-1|-1
4066|6004|1|1|100|1|0|-1|-1
4076|5350|1|1|25|1|0|-1|-1
4076|5352|1|1|25|1|0|-1|-1
4076|6005|1|1|25|1|0|-1|-1
4076|6350|1|1|25|1|0|-1|-1
4076|9004|1|1|25|1|0|-1|-1
4078|5352|1|1|5|1|0|-1|-1
4078|6022|1|1|5|1|0|-1|-1
4078|6350|1|1|5|1|0|-1|-1
4078|7350|1|1|5|1|0|-1|-1
4078|7352|1|1|5|1|0|-1|-1
4084|6006|1|1|34|1|0|-1|-1
4084|6022|1|1|33|1|0|-1|-1
4084|6350|1|1|33|1|0|-1|-1
4086|6006|1|1|50|1|0|-1|-1
4086|6022|1|1|50|1|0|-1|-1
4111|6018|1|1|100|1|0|-1|-1
4113|6012|1|1|50|1|0|-1|-1
4113|6020|1|1|50|1|0|-1|-1
4114|19935|1|0|100|1|0|-1|-1
4223|6320|1|1|25|1|0|-1|-1
4223|10356|1|1|75|1|0|-1|-1
4228|6336|1|1|100|1|0|-1|-1
4229|6338|1|1|100|1|0|-1|-1
4272|6404|1|1|75|1|0|-1|-1
4272|10216|1|1|25|1|0|-1|-1
4308|5519|1|1|2|1|0|-1|-1
4308|6500|1|1|2|1|0|-1|-1
4308|9403|1|1|2|1|0|-1|-1
4315|6508|1|1|5|1|0|-1|-1
4315|16359|1|0|5|1|0|-1|-1
4315|21871|1|1|5|1|0|-1|-1
4315|26085|1|1|3|1|0|-1|-1
4318|6509|1|1|30|1|0|-1|-1
4318|10233|1|1|25|1|0|-1|-1
4318|11072|1|1|25|1|0|-1|-1
4318|16295|1|0|5|1|0|-1|-1
4318|16344|1|0|5|1|0|-1|-1
4318|16352|1|0|5|1|0|-1|-1
4318|16359|1|0|5|1|0|-1|-1
4320|28730|1|0|15|1|0|-1|-1
4322|6510|1|0|15|1|0|-1|-1
4322|9960|1|0|65|1|0|-1|-1
4322|11026|1|0|20|1|0|-1|-1
4325|4139|1|0|14.286|1|0|-1|-1
4325|6512|1|1|14.286|1|0|-1|-1
4325|11879|1|1|14.286|1|0|-1|-1
4325|22975|1|1|14.286|1|0|-1|-1
4325|26797|1|1|14.286|1|0|-1|-1
4325|27649|1|1|14.286|1|0|-1|-1
4325|29198|1|1|14.286|1|0|-1|-1
4474|7475|1|1|25|1|0|-1|-1
4696|7002|1|1|100|1|0|-1|-1
4697|7003|1|1|100|1|0|-1|-1
4732|16166|1|0|100|1|0|-1|-1
4748|7007|1|1|25|1|0|-1|-1
4748|7009|1|1|25|1|0|-1|-1
4748|7010|1|1|25|1|0|-1|-1
4748|13346|1|1|25|1|0|-1|-1
4754|7007|1|1|100|1|0|-1|-1
4755|10404|1|1|12|1|0|-1|-1
4755|22570|1|0|20|1|0|-1|-1
4761|7008|1|1|50|1|0|-1|-1
4776|9438|1|0|100|1|0|-1|-1
4788|7017|1|1|100|1|0|-1|-1
4788|24577|1|1|3|1|0|-1|-1
4789|26654|1|0|13|1|0|-1|-1
4789|26655|1|0|8|1|0|-1|-1
4789|26656|1|0|6|1|0|-1|-1
4789|28786|1|0|12|1|0|-1|-1
4789|29527|1|0|40|1|0|-1|-1
4797|13019|1|0|100|1|0|-1|-1
4800|7021|1|1|100|1|0|-1|-1
4801|20204|1|0|100|1|0|-1|-1
4842|7122|1|1|16.666|1|0|-1|-1
4842|11031|1|1|16.666|1|0|-1|-1
4842|11416|1|1|16.666|1|0|-1|-1
4842|11898|1|1|16.666|1|0|-1|-1
4842|14945|1|1|16.666|1|0|-1|-1
4842|21895|1|1|16.666|1|0|-1|-1
4859|7136|1|1|3.5|1|0|-1|-1
4860|29023|1|0|15|1|0|-1|-1
4860|29024|1|0|12|1|0|-1|-1
4860|29025|1|0|13|1|0|-1|-1
4911|7315|1|1|25|1|0|-1|-1
4911|14309|1|0|75|1|0|-1|-1
4912|13257|1|0|20|1|0|-1|-1
4912|13259|1|0|10|1|0|-1|-1
4912|19649|1|0|20|1|0|3|99
4913|3401|1|0|75|1|0|-1|-1
4913|7316|1|1|25|1|0|-1|-1
4922|6941|1|1|25|1|0|-1|-1
4922|7032|1|1|25|1|0|-1|-1
4922|7350|1|1|25|1|0|-1|-1
4922|8867|1|1|25|1|0|-1|-1
4973|13019|1|0|33|1|0|-1|-1
4973|13075|1|0|34|1|0|-1|-1
5396|7968|1|0|100|1|0|-1|-1
5421|7754|1|1|66.666|1|0|-1|-1
5421|27983|1|1|33.333|1|0|-1|-1
5425|7767|1|0|25|1|0|-1|-1
5425|16368|1|0|25|1|0|-1|-1
5425|16382|1|0|25|1|0|-1|-1
5425|16386|1|0|25|1|0|-1|-1
5492|7971|1|0|100|1|0|-1|-1
5515|8004|1|0|100|1|0|-1|-1
5524|8011|1|1|100|1|0|-1|-1
5615|8135|1|1|34|1|0|-1|-1
5615|8136|1|1|33|1|0|-1|-1
5615|8137|1|1|33|1|0|-1|-1
5671|8003|1|1|75|1|0|-1|-1
5671|8325|1|1|25|1|0|-1|-1
5693|8356|1|0|100|1|0|-1|-1
5699|8366|1|1|14.286|1|0|-1|-1
5699|10946|1|1|14.286|1|0|-1|-1
5699|13678|1|1|14.286|1|0|-1|-1
5699|21863|1|1|14.286|1|0|-1|-1
5699|22973|1|1|14.286|1|0|-1|-1
5699|25189|1|1|14.286|1|0|-1|-1
5699|26031|1|1|14.286|1|0|-1|-1
5711|8762|1|0|100|1|0|-1|-1
5722|8776|1|0|40|1|0|-1|-1
5722|9581|1|0|40|1|0|-1|-1
5722|26097|1|0|10|1|0|-1|-1
5722|27819|1|0|10|1|0|-1|-1
5750|8783|1|1|20|1|0|-1|-1
5750|10800|1|1|20|1|0|-1|-1
5750|15820|1|1|20|1|0|-1|-1
5750|22893|1|1|20|1|0|-1|-1
5750|26030|1|1|20|1|0|-1|-1
5756|8787|1|1|40|1|0|-1|-1
5756|9489|1|1|30|1|0|-1|-1
5756|16346|1|0|30|1|0|-1|-1
5759|8789|1|1|14|1|0|-1|-1
5759|13680|1|1|15|1|0|-1|-1
5759|15929|1|1|14|1|0|-1|-1
5759|24592|1|1|14|1|0|-1|-1
5759|25996|1|1|14|1|0|-1|-1
5759|27297|1|1|15|1|0|-1|-1
5759|27816|1|1|14|1|0|-1|-1
5769|8911|1|1|100|1|0|-1|-1
5773|8918|1|0|100|1|0|-1|-1
5774|8951|1|0|100|1|0|-1|-1
5776|8956|1|1|100|1|0|-1|-1
5791|22060|1|0|25|1|0|-1|-1
5791|22061|1|0|25|1|0|-1|-1
5791|22062|1|0|25|1|0|-1|-1
5791|22063|1|0|25|1|0|-1|-1
5792|22059|1|0|100|1|0|-1|-1
5833|9102|1|0|1|1|0|-1|-1
5833|13054|1|0|31|1|0|-1|-1
5833|13055|1|0|50|1|0|-1|-1
5833|27408|1|0|25|1|0|-1|-1
5905|9131|1|0|20|1|0|3|99
5905|13065|1|0|20|1|0|-1|-1
5905|13264|1|0|20|1|0|3|99
5905|27387|1|0|20|1|0|3|99
5905|27408|1|0|20|1|0|3|99
5956|9178|1|0|5|1|0|-1|-1
5956|9179|1|0|6|1|0|-1|-1
5956|9180|1|0|30|2|0|-1|-1
5956|9181|1|0|2|1|0|-1|-1
5956|9184|1|0|5|1|0|-1|-1
5956|9295|1|0|2|1|0|-1|-1
5956|9426|1|0|2|1|0|-1|-1
5956|9434|1|0|2|1|0|-1|-1
5956|14804|1|0|4|1|0|-1|-1
5956|16858|1|0|5|1|0|-1|-1
5956|16859|1|0|5|1|0|-1|-1
5957|31993|1|0|3.5|1|0|-1|-1
5963|28164|1|0|3.5|1|0|-1|-1
5963|29761|1|0|5|1|0|-1|-1
5965|31980|1|0|3|1|0|-1|-1
5965|31981|1|0|2|1|0|-1|-1
5965|31982|1|0|2.5|1|0|-1|-1
5968|11320|1|0|1.5|1|0|-1|-1
5968|15878|1|0|1.5|1|0|-1|-1
5968|28279|1|0|8|1|0|-1|-1
5968|29297|1|0|30|1|0|-1|-1
5968|31986|1|0|4.5|1|0|-1|-1
5968|31987|1|0|3|1|0|-1|-1
5968|31988|1|0|4|1|0|-1|-1
5979|9234|1|0|100|1|0|-1|-1
5982|9239|1|1|25|1|0|-1|-1
5982|13650|1|1|25|1|0|-1|-1
5982|16291|1|0|25|1|0|-1|-1
5982|16355|1|0|25|1|0|-1|-1
6032|9319|1|1|2.25|1|0|-1|-1
6033|26657|1|0|15|1|0|-1|-1
6033|26658|1|0|10|1|0|-1|-1
6033|26659|1|0|8|1|0|-1|-1
6035|9320|1|0|15|1|0|-1|-1
6035|16366|1|0|17|1|0|-1|-1
6035|16374|1|0|26|1|0|-1|-1
6035|16376|1|0|17|1|0|-1|-1
6035|16383|1|0|25|1|0|-1|-1
6041|9325|1|1|25|1|0|-1|-1
6041|15794|1|1|25|1|0|-1|-1
6041|24568|1|1|25|1|0|-1|-1
6041|25843|1|1|25|1|0|-1|-1
6065|16354|1|0|40|1|0|-1|-1
6065|21495|2|1|34|1|0|-1|-1
6065|24799|1|1|20|1|0|-1|-1
6065|27997|1|1|6|1|0|-1|-1
6068|16353|1|0|40|1|0|-1|-1
6068|21495|2|1|34|1|0|-1|-1
6068|24799|1|1|20|1|0|-1|-1
6068|27997|1|1|6|1|0|-1|-1
6075|29112|1|0|2|1|0|-1|-1
6075|29131|1|0|1|1|0|-1|-1
6078|29906|1|0|5|1|0|-1|-1
6078|29907|1|0|2.5|1|0|-1|-1
6078|29908|1|0|2.5|1|0|-1|-1
6085|29768|1|0|20|1|0|-1|-1
6085|29903|1|0|3|1|0|-1|-1
6085|29904|1|0|2.5|1|0|-1|-1
6085|29905|1|0|2.5|1|0|-1|-1
6094|29912|1|0|4|1|0|-1|-1
6094|29913|1|0|3|1|0|-1|-1
6094|29914|1|0|3|1|0|-1|-1
6104|16347|1|0|40|1|0|-1|-1
6104|21495|2|1|34|1|0|-1|-1
6104|24799|1|0|20|1|0|-1|-1
6104|27997|1|0|6|1|0|-1|-1
6106|9441|1|1|5|1|0|-1|-1
6106|14965|1|1|5|1|0|-1|-1
6106|16344|1|0|5|1|0|-1|-1
6106|27166|1|1|3|1|0|-1|-1
6109|9442|1|0|85|1|0|-1|-1
6109|22980|1|0|15|1|0|-1|-1
6112|9444|1|0|20|1|0|-1|-1
6112|25844|1|0|20|1|0|-1|-1
6112|26992|1|0|20|1|0|-1|-1
6112|28655|1|0|20|1|0|-1|-1
6112|28668|1|0|20|1|0|-1|-1
6122|9448|1|1|50|1|0|-1|-1
6122|27283|1|1|50|1|0|-1|-1
6124|9449|1|1|5|1|0|-1|-1
6124|15926|1|1|5|1|0|-1|-1
6124|16295|1|0|5|1|0|-1|-1
6124|22996|1|1|3|1|0|-1|-1
6135|29538|1|0|25|1|0|-1|-1
6136|26672|1|0|3|1|0|-1|-1
6136|26673|1|0|2.5|1|0|-1|-1
6136|26674|1|0|2.5|1|0|-1|-1
6140|9468|1|0|100|1|0|-1|-1
6141|9469|1|1|20|1|0|-1|-1
6141|10241|1|1|20|1|0|-1|-1
6141|19079|1|1|20|1|0|-1|-1
6141|21866|1|1|20|1|0|-1|-1
6141|26865|1|1|20|1|0|-1|-1
6143|9479|1|0|15|1|0|-1|-1
6143|9487|1|0|15|1|0|-1|-1
