id|doorid|zone|type|name|pos_x|pos_y|pos_z|heading|opentype|lockpick|keyitem|altkeyitem|nokeyring|triggerdoor|triggertype|doorisopen|door_param|dest_zone|dest_x|dest_y|dest_z|dest_heading|invert_state|incline|size|islift|close_time|can_open|comments
345|51|crushbone|Door|DOOR620X20|-254.192|-73.9756|10.001|384.78|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
346|52|crushbone|Door|DOOR620X20|-254.993|-71.2349|10.001|383.84|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
347|53|crushbone|Door|DOOR620X20|-289.78|-68.683|10.0003|127.32|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
348|54|crushbone|Door|DOOR620X20|-288.865|-71.9612|10.001|129|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
349|55|crushbone|Door|DOOR620X20|-288.917|-70.9358|10.001|406.079|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
350|56|crushbone|Door|DOOR620X20|-288.753|-74.1469|10.001|407.319|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
351|57|crushbone|Door|DOOR620X20|-307.937|-79.6699|9.94726|407.56|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
352|58|crushbone|Door|DOOR620X20|-308.214|-76.5907|10.001|406.88|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
353|59|crushbone|Door|DOOR620X20|-336.063|-81.8966|9.70514|149.859|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
354|60|crushbone|Door|DOOR620X20|-336.436|-85.8217|10.001|151.9|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
355|61|crushbone|Door|DOOR620X20|-335.782|-84.1099|10.001|379.739|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
356|62|crushbone|Door|DOOR620X20|-335.636|-88.0382|10.001|379|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
357|63|crushbone|Door|DOOR620X20|-355.664|-86.6105|10.001|381.44|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
358|64|crushbone|Door|DOOR620X20|-355.78|-82.8327|10.001|379.299|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
359|65|crushbone|Door|DOOR620X20|-387.785|-78.3649|9.67902|122.16|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
360|66|crushbone|Door|DOOR620X20|-387.717|-80.982|10.001|123.7|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
361|67|crushbone|Door|DOOR620X20|-387.652|-82.9353|10.001|123.6|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
362|68|crushbone|Door|DOOR620X20|144.149|-182.904|10.001|225.06|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
363|69|crushbone|Door|DOOR620X20|145.513|-183.228|10.001|212.1|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
364|70|crushbone|Door|DOOR620X20|155.472|-166.265|10.001|210.44|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
365|71|crushbone|Door|DOOR620X20|151.655|-164.66|10.001|209|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
366|72|crushbone|Door|DOOR620X20|162.447|-147.822|9.99762|192|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
367|73|crushbone|Door|DOOR620X20|166.371|-149.582|10.001|190.84|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
368|74|crushbone|Door|DOOR620X20|176.234|-134.665|9.38916|194.02|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
369|75|crushbone|Door|DOOR620X20|180.795|-135.944|10.001|189.44|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
370|76|crushbone|Door|DOOR620X20|187.711|-122.539|9.36999|200.7|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
371|77|crushbone|Door|DOOR620X20|195.173|-122.663|10.001|209.88|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
372|78|crushbone|Door|DOOR620X20|199.822|-107.699|10.001|210.4|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
373|79|crushbone|Door|DOOR620X20|205.89|-106.018|10.001|209.34|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
374|80|crushbone|Door|DOOR620X20|210.245|-91.2391|10.001|209.92|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
375|81|crushbone|Door|DOOR620X20|216.666|-89.2561|10.001|210.84|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
376|82|crushbone|Door|DOOR620X20|220.96|-74.3387|10.001|210.9|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
377|83|crushbone|Door|DOOR620X20|227.296|-72.4196|10.001|210.24|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
378|84|crushbone|Door|DOOR620X20|231.586|-57.7977|10.001|209.6|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
379|85|crushbone|Door|DOOR620X20|237.116|-56.5572|10.1486|210.34|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
380|86|crushbone|Door|DOOR620X20|241.805|-41.981|10.1434|213.18|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
381|87|crushbone|Door|DOOR620X20|247.791|-39.7186|10.001|210.18|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
382|88|crushbone|Door|DOOR620X20|252.017|-25.0827|10.001|209.8|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
383|89|crushbone|Door|DOOR620X20|258.355|-23.2625|10.001|212.76|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
384|90|crushbone|Door|DOOR620X20|262.562|-8.76766|10.0383|209.48|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
385|91|crushbone|Door|DOOR620X20|268.572|-5.99251|10.001|210.08|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
386|92|crushbone|Door|DOOR620X20|272.9|6.96941|10.001|211|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
387|93|crushbone|Door|DOOR620X20|278.891|10.7511|10.001|210.84|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
388|94|crushbone|Door|DOOR620X20|283.449|23.9047|10.001|214.88|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
389|95|crushbone|Door|DOOR620X20|289.287|27.4695|10.001|213.7|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
390|96|crushbone|Door|DOOR620X20|293.315|41.0044|10.001|205.78|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
391|97|crushbone|Door|DOOR620X20|298.883|44.596|10.001|195.56|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
392|98|crushbone|Door|DOOR620X20|311.681|58.5746|10.001|193.62|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
393|99|crushbone|Door|DOOR620X20|304.833|56.8267|10.001|208|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
394|100|crushbone|Door|DOOR620X20|317.833|78.4104|10.001|483|54|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
395|8|eastkarana|Door|DOOR5|-2683.04|-2005.76|3.68745|5|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
396|7|eastkarana|Door|DOOR5|-2423.31|-1274.01|1.61882|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
397|6|eastkarana|Door|DOOR5|1490.79|-2673.6|2.12242|486|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
398|5|eastkarana|Door|DOOR1|1317.66|-2710.11|7.00637|396|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
399|1|eastkarana|Door|DOOR5|1242.3|-2643.77|5.5814|267|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
400|3|eastkarana|Door|DOOR1|1312.29|-2542.18|7.90536|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
401|2|eastkarana|Door|DOOR1|-847.513|-17.7518|11.0889|223|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
402|9|eastkarana|Door|DOOR1|-736.027|-170.216|6.20571|471|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
403|10|eastkarana|Door|DOOR5|-844.424|-118.833|12.0379|266.8|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
428|18|ecommons|Door|BBDOOR1|263.308|4889.43|-52.1715|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
429|1|ecommons|Door|BBDOOR1|297.215|4847.43|-51.9283|1|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
430|2|ecommons|Door|BBDOOR1|240.019|4755.9|-52.3623|384|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
431|3|ecommons|Door|BBDOOR1|-100.439|4725.36|-53.9566|256|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
432|4|ecommons|Door|BBDOOR1|320.371|4068.91|-52.6582|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
433|5|ecommons|Door|BBDOOR1|972.678|3741.07|-52.8213|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
434|6|ecommons|Door|BBDOOR1|1002.17|3687.37|-53.2539|0|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
435|7|ecommons|Door|BBDOOR1|-300.137|3018.89|-54.792|256|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
436|8|ecommons|Door|BBDOOR1|-272.171|3113.37|-58.0855|128|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
437|9|ecommons|Door|DOOR1|-79.9643|1665.22|-52.4622|256|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
438|10|ecommons|Door|BBDOOR1|-178.266|96.2232|-53.0117|384|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
439|11|ecommons|Door|BBDOOR1|-165.287|111.514|-53.1063|256|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
440|12|ecommons|Door|BBDOOR1|-124.208|213.158|-52.0733|127.38|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
441|13|ecommons|Door|BBDOOR1|-130.177|48.5817|-54.0531|382.24|0|0|0|0|1|0|0|0|0|NONE|0|0|0|0|0|0|100|0|5|1|
