zone_short_name|eq_itemid|chance|min_expansion|max_expansion
eastkarana|13048|4|-1|-1
eastkarana|13106|2|-1|-1
eastkarana|13419|8|-1|-1
eastkarana|14915|14|-1|-1
eastwastes|13044|4|-1|-1
eastwastes|13048|14|-1|-1
eastwastes|19122|8|-1|-1
eastwastes|19123|16|-1|-1
eastwastes|19125|6|-1|-1
eastwastes|19128|10|-1|-1
eastwastes|19130|24|-1|-1
eastwastes|19131|4|-1|-1
eastwastes|19140|14|-1|-1
ecommons|13044|30|-1|-1
ecommons|13045|8|-1|-1
ecommons|13046|2|-1|-1
ecommons|13047|10|-1|-1
ecommons|13048|6|-1|-1
ecommons|13106|2|-1|-1
ecommons|13419|14|-1|-1
ecommons|14921|14|-1|-1
ecommons|14922|14|-1|-1
emeraldjungle|12767|10|-1|-1
emeraldjungle|12768|8|-1|-1
emeraldjungle|12769|6|-1|-1
emeraldjungle|12770|2|-1|-1
emeraldjungle|13044|26|-1|-1
emeraldjungle|13045|14|-1|-1
emeraldjungle|13047|2|-1|-1
emeraldjungle|13048|2|-1|-1
emeraldjungle|13106|6|-1|-1
emeraldjungle|13419|24|-1|-1
erudnext|13044|20|-1|-1
erudnext|13045|14|-1|-1
erudnext|13046|14|-1|-1
erudnext|13047|16|-1|-1
erudnext|13048|6|-1|-1
erudnext|13106|10|-1|-1
erudnext|13419|20|-1|-1
erudnint|13044|20|-1|-1
erudnint|13045|14|-1|-1
erudnint|13046|14|-1|-1
erudnint|13047|16|-1|-1
erudnint|13048|6|-1|-1
erudnint|13106|10|-1|-1
erudnint|13419|20|-1|-1
erudsxing|13044|12|-1|-1
erudsxing|13045|4|-1|-1
erudsxing|13046|8|-1|-1
erudsxing|13047|28|-1|-1
erudsxing|13048|14|-1|-1
erudsxing|13106|6|-1|-1
erudsxing|13419|10|-1|-1
erudsxing|14998|18|-1|-1
everfrost|13044|26|-1|-1
everfrost|13045|8|-1|-1
everfrost|13046|4|-1|-1
everfrost|13047|10|-1|-1
everfrost|13048|4|-1|-1
everfrost|13106|4|-1|-1
everfrost|13419|18|-1|-1
everfrost|14930|16|-1|-1
everfrost|20467|10|1|99
fearplane|13044|30|-1|-1
fearplane|13045|12|-1|-1
fearplane|13046|8|-1|-1
fearplane|13047|6|-1|-1
fearplane|13048|12|-1|-1
fearplane|13106|14|-1|-1
fearplane|13419|18|-1|-1
feerrott|13044|32|-1|-1
feerrott|13045|6|-1|-1
feerrott|13046|8|-1|-1
feerrott|13047|12|-1|-1
feerrott|13048|8|-1|-1
feerrott|13106|6|-1|-1
feerrott|13419|14|-1|-1
feerrott|14947|14|-1|-1
felwithea|13044|30|-1|-1
felwithea|13045|2|-1|-1
felwithea|13046|14|-1|-1
felwithea|13047|14|-1|-1
felwithea|13048|10|-1|-1
felwithea|13106|6|-1|-1
felwithea|13419|24|-1|-1
felwitheb|13044|30|-1|-1
felwitheb|13045|2|-1|-1
felwitheb|13046|14|-1|-1
felwitheb|13047|14|-1|-1
felwitheb|13048|10|-1|-1
felwitheb|13106|6|-1|-1
felwitheb|13419|24|-1|-1
fieldofbone|12464|8|-1|-1
fieldofbone|12633|28|-1|-1
fieldofbone|12771|6|-1|-1
fieldofbone|12772|12|-1|-1
fieldofbone|13044|32|-1|-1
fieldofbone|13046|8|-1|-1
fieldofbone|13047|14|-1|-1
firiona|12633|2|-1|-1
firiona|12773|8|-1|-1
firiona|12774|4|-1|-1
firiona|12878|12|-1|-1
firiona|13044|24|-1|-1
firiona|13045|10|-1|-1
firiona|13046|12|-1|-1
firiona|13047|14|-1|-1
firiona|13048|2|-1|-1
firiona|13106|4|-1|-1
firiona|13419|8|-1|-1
freporte|13044|24|-1|-1
freporte|13045|12|-1|-1
freporte|13046|4|-1|-1
freporte|13047|10|-1|-1
freporte|13048|14|-1|-1
freporte|13106|18|-1|-1
freporte|13419|18|-1|-1
freportn|13044|24|-1|-1
freportn|13045|12|-1|-1
freportn|13046|4|-1|-1
freportn|13047|10|-1|-1
freportn|13048|14|-1|-1
freportn|13106|18|-1|-1
freportn|13419|18|-1|-1
freportw|13044|24|-1|-1
freportw|13045|12|-1|-1
freportw|13046|4|-1|-1
freportw|13047|10|-1|-1
freportw|13048|14|-1|-1
freportw|13106|18|-1|-1
freportw|13419|18|-1|-1
frontiermtns|12640|2|-1|-1
frontiermtns|12775|4|-1|-1
frontiermtns|12776|4|-1|-1
frontiermtns|12777|4|-1|-1
frontiermtns|13044|28|-1|-1
frontiermtns|13045|14|-1|-1
frontiermtns|13046|10|-1|-1
frontiermtns|13047|4|-1|-1
frontiermtns|13048|8|-1|-1
frontiermtns|13106|10|-1|-1
frontiermtns|13419|12|-1|-1
frozenshadow|13044|2|-1|-1
frozenshadow|13073|20|-1|-1
frozenshadow|19122|28|-1|-1
frozenshadow|19127|10|-1|-1
frozenshadow|19130|40|-1|-1
gfaydark|13044|18|-1|-1
gfaydark|13045|4|-1|-1
gfaydark|13046|12|-1|-1
gfaydark|13047|10|-1|-1
gfaydark|13048|10|-1|-1
gfaydark|13419|12|-1|-1
gfaydark|14954|14|-1|-1
gfaydark|16594|10|1|99
gfaydark|20464|10|1|99
greatdivide|13044|2|-1|-1
greatdivide|13047|16|-1|-1
greatdivide|13048|8|-1|-1
greatdivide|19122|8|-1|-1
greatdivide|19123|8|-1|-1
greatdivide|19128|2|-1|-1
greatdivide|19130|32|-1|-1
greatdivide|19143|24|-1|-1
grobb|13044|15|-1|-1
grobb|13045|14|-1|-1
grobb|13046|14|-1|-1
grobb|13047|14|-1|-1
grobb|13048|14|-1|-1
grobb|13106|15|-1|-1
grobb|13419|14|-1|-1
growthplane|13044|14|-1|-1
growthplane|13045|6|-1|-1
growthplane|13047|12|-1|-1
growthplane|13048|10|-1|-1
growthplane|13106|6|-1|-1
growthplane|13419|24|-1|-1
growthplane|19141|16|-1|-1
growthplane|19142|12|-1|-1
gukbottom|13044|15|-1|-1
gukbottom|13045|14|-1|-1
gukbottom|13046|14|-1|-1
gukbottom|13047|14|-1|-1
gukbottom|13048|14|-1|-1
gukbottom|13106|15|-1|-1
gukbottom|13419|14|-1|-1
guktop|13044|15|-1|-1
guktop|13045|14|-1|-1
guktop|13046|14|-1|-1
guktop|13047|14|-1|-1
guktop|13048|14|-1|-1
guktop|13106|15|-1|-1
guktop|13419|14|-1|-1
halas|13044|32|-1|-1
halas|13045|6|-1|-1
halas|13046|6|-1|-1
halas|13047|18|-1|-1
halas|13048|4|-1|-1
halas|13106|12|-1|-1
halas|13419|22|-1|-1
hateplane|12567|22|-1|-1
hateplane|12568|12|-1|-1
hateplane|12574|32|-1|-1
hateplane|12575|26|-1|-1
hateplane|13044|4|-1|-1
hateplane|13047|4|-1|-1
highkeep|13044|36|-1|-1
highkeep|13045|4|-1|-1
highkeep|13046|6|-1|-1
highkeep|13047|10|-1|-1
highkeep|13048|8|-1|-1
highkeep|13106|16|-1|-1
highkeep|13419|20|-1|-1
highpass|13044|36|-1|-1
highpass|13045|4|-1|-1
highpass|13046|6|-1|-1
highpass|13047|10|-1|-1
highpass|13048|8|-1|-1
highpass|13106|16|-1|-1
highpass|13419|20|-1|-1
hole|13044|15|-1|-1
hole|13045|14|-1|-1
hole|13046|14|-1|-1
hole|13047|15|-1|-1
hole|13048|14|-1|-1
hole|13106|14|-1|-1
hole|13419|14|-1|-1
iceclad|13047|2|-1|-1
iceclad|13048|4|-1|-1
iceclad|13106|14|-1|-1
iceclad|19122|26|-1|-1
iceclad|19123|16|-1|-1
iceclad|19125|20|-1|-1
iceclad|19129|4|-1|-1
iceclad|19130|14|-1|-1
innothule|13044|18|-1|-1
innothule|13045|10|-1|-1
innothule|13046|6|-1|-1
innothule|13047|18|-1|-1
innothule|13048|6|-1|-1
innothule|13106|1|-1|-1
innothule|13419|8|-1|-1
innothule|14946|23|-1|-1
innothule|20466|10|1|99
kael|13044|2|-1|-1
kael|13047|4|-1|-1
kael|19122|24|-1|-1
kael|19123|20|-1|-1
kael|19125|12|-1|-1
kael|19130|20|-1|-1
kael|19131|18|-1|-1
kaesora|13044|15|-1|-1
kaesora|13045|14|-1|-1
kaesora|13046|14|-1|-1
kaesora|13047|15|-1|-1
kaesora|13048|14|-1|-1
kaesora|13106|14|-1|-1
kaesora|13419|14|-1|-1
kaladima|13044|36|-1|-1
kaladima|13045|10|-1|-1
kaladima|13046|10|-1|-1
kaladima|13047|12|-1|-1
kaladima|13048|6|-1|-1
kaladima|13106|8|-1|-1
kaladima|13419|18|-1|-1
kaladimb|13044|36|-1|-1
kaladimb|13045|10|-1|-1
kaladimb|13046|10|-1|-1
kaladimb|13047|12|-1|-1
kaladimb|13048|6|-1|-1
kaladimb|13106|8|-1|-1
kaladimb|13419|18|-1|-1
karnor|13044|15|-1|-1
karnor|13045|14|-1|-1
karnor|13046|14|-1|-1
karnor|13047|15|-1|-1
karnor|13048|14|-1|-1
karnor|13106|14|-1|-1
karnor|13419|14|-1|-1
kedge|1038|9|-1|-1
kedge|7007|12|-1|-1
kedge|13016|10|-1|-1
kedge|13019|18|-1|-1
kedge|13044|30|-1|-1
kedge|13047|3|-1|-1
kedge|13076|18|-1|-1
kerraridge|13044|28|-1|-1
kerraridge|13045|4|-1|-1
kerraridge|13046|16|-1|-1
kerraridge|13047|16|-1|-1
kerraridge|13048|6|-1|-1
kerraridge|13106|10|-1|-1
kerraridge|13419|20|-1|-1
kithicor|13044|16|-1|-1
kithicor|13045|6|-1|-1
kithicor|13046|4|-1|-1
kithicor|13047|20|-1|-1
kithicor|13048|6|-1|-1
kithicor|13106|2|-1|-1
kithicor|13419|10|-1|-1
kithicor|14920|20|-1|-1
kithicor|16490|16|1|99
kurn|13044|15|-1|-1
kurn|13045|14|-1|-1
kurn|13046|14|-1|-1
kurn|13047|15|-1|-1
kurn|13048|14|-1|-1
kurn|13106|14|-1|-1
kurn|13419|14|-1|-1
lakeofillomen|12404|6|-1|-1
lakeofillomen|12778|10|-1|-1
lakeofillomen|12779|6|-1|-1
lakeofillomen|12780|8|-1|-1
lakeofillomen|13044|28|-1|-1
lakeofillomen|13045|10|-1|-1
lakeofillomen|13046|4|-1|-1
lakeofillomen|13047|6|-1|-1
lakeofillomen|13048|10|-1|-1
lakeofillomen|13106|2|-1|-1
lakeofillomen|13419|10|-1|-1
lakerathe|13044|22|-1|-1
lakerathe|13045|10|-1|-1
lakerathe|13046|8|-1|-1
lakerathe|13047|10|-1|-1
lakerathe|13048|8|-1|-1
lakerathe|13106|12|-1|-1
lakerathe|13419|14|-1|-1
lakerathe|14951|16|-1|-1
lavastorm|13044|28|-1|-1
lavastorm|13045|2|-1|-1
lavastorm|13046|6|-1|-1
lavastorm|13047|18|-1|-1
lavastorm|13048|6|-1|-1
lavastorm|13106|12|-1|-1
lavastorm|13419|6|-1|-1
lavastorm|14927|22|-1|-1
lfaydark|13044|20|-1|-1
lfaydark|13046|12|-1|-1
lfaydark|13047|14|-1|-1
lfaydark|13048|2|-1|-1
lfaydark|13106|2|-1|-1
lfaydark|13419|18|-1|-1
lfaydark|14957|10|-1|-1
lfaydark|16594|22|1|99
mischiefplane|13044|26|-1|-1
mischiefplane|13045|12|-1|-1
mischiefplane|13046|8|-1|-1
mischiefplane|13047|14|-1|-1
mischiefplane|13048|12|-1|-1
mischiefplane|13106|12|-1|-1
mischiefplane|13419|6|-1|-1
mischiefplane|19133|10|-1|-1
mistmoore|13044|36|-1|-1
mistmoore|13045|8|-1|-1
mistmoore|13046|12|-1|-1
mistmoore|13047|2|-1|-1
mistmoore|13048|6|-1|-1
mistmoore|13106|10|-1|-1
mistmoore|13419|26|-1|-1
misty|13044|20|-1|-1
misty|13045|6|-1|-1
misty|13046|14|-1|-1
misty|13047|14|-1|-1
misty|13048|6|-1|-1
misty|13419|10|-1|-1
misty|14933|14|-1|-1
misty|16496|4|1|99
misty|20465|12|1|99
najena|13044|15|-1|-1
najena|13045|14|-1|-1
najena|13046|14|-1|-1
najena|13047|14|-1|-1
najena|13048|14|-1|-1
najena|13106|15|-1|-1
najena|13419|14|-1|-1
necropolis|13044|4|-1|-1
necropolis|13047|2|-1|-1
necropolis|19125|10|-1|-1
necropolis|19130|30|-1|-1
necropolis|19134|4|-1|-1
necropolis|19135|14|-1|-1
necropolis|19136|12|-1|-1
necropolis|19143|24|-1|-1
nektulos|13044|26|-1|-1
nektulos|13045|8|-1|-1
nektulos|13046|8|-1|-1
nektulos|13047|16|-1|-1
nektulos|13048|8|-1|-1
nektulos|13106|8|-1|-1
nektulos|13419|6|-1|-1
nektulos|14925|20|-1|-1
neriaka|13044|100|-1|-1
neriaka|13045|100|-1|-1
neriaka|13046|100|-1|-1
neriaka|13047|100|-1|-1
neriaka|13048|100|-1|-1
neriaka|13106|100|-1|-1
neriaka|13419|100|-1|-1
neriakb|13044|100|-1|-1
neriakb|13045|100|-1|-1
neriakb|13046|100|-1|-1
neriakb|13047|100|-1|-1
neriakb|13048|100|-1|-1
neriakb|13106|100|-1|-1
neriakb|13419|100|-1|-1
neriakc|13044|100|-1|-1
neriakc|13045|100|-1|-1
neriakc|13046|100|-1|-1
neriakc|13047|100|-1|-1
neriakc|13048|100|-1|-1
neriakc|13106|100|-1|-1
neriakc|13419|100|-1|-1
northkarana|12832|10|1|99
northkarana|13044|30|-1|-1
northkarana|13045|8|-1|-1
northkarana|13046|4|-1|-1
northkarana|13047|8|-1|-1
northkarana|13048|4|-1|-1
northkarana|13106|4|-1|-1
northkarana|13419|20|-1|-1
northkarana|14913|12|-1|-1
nro|12794|6|1|99
nro|13044|22|-1|-1
nro|13045|8|-1|-1
nro|13046|8|-1|-1
nro|13047|14|-1|-1
nro|13048|6|-1|-1
nro|13106|4|-1|-1
nro|13419|8|-1|-1
nro|14934|22|-1|-1
nurga|13044|10|-1|-1
nurga|13045|10|-1|-1
nurga|13046|10|-1|-1
nurga|13047|10|-1|-1
nurga|13048|10|-1|-1
nurga|13106|10|-1|-1
nurga|13419|10|-1|-1
oasis|12794|12|1|99
oasis|13044|14|-1|-1
oasis|13045|18|-1|-1
oasis|13046|8|-1|-1
oasis|13047|6|-1|-1
oasis|13048|8|-1|-1
oasis|13106|4|-1|-1
oasis|13419|8|-1|-1
oasis|14937|2|-1|-1
oggok|13044|15|-1|-1
oggok|13045|15|-1|-1
oggok|13046|15|-1|-1
oggok|13047|15|-1|-1
oggok|13048|15|-1|-1
oggok|13106|15|-1|-1
oggok|13419|15|-1|-1
oot|13044|24|-1|-1
oot|13045|16|-1|-1
oot|13046|10|-1|-1
oot|13047|12|-1|-1
oot|13048|2|-1|-1
oot|13106|2|-1|-1
oot|13419|14|-1|-1
oot|14969|20|2|99
overthere|12434|100|-1|-1
overthere|12787|100|-1|-1
overthere|12788|100|-1|-1
overthere|12790|100|-1|-1
paineel|13044|30|-1|-1
paineel|13045|12|-1|-1
paineel|13046|4|-1|-1
paineel|13047|22|-1|-1
paineel|13048|10|-1|-1
paineel|13106|8|-1|-1
paineel|13419|14|-1|-1
paw|13044|100|-1|-1
paw|13045|100|-1|-1
paw|13046|100|-1|-1
paw|13047|100|-1|-1
paw|13048|100|-1|-1
paw|13106|100|-1|-1
paw|13419|100|-1|-1
permafrost|13044|34|-1|-1
permafrost|13045|4|-1|-1
permafrost|13046|8|-1|-1
permafrost|13047|14|-1|-1
permafrost|13048|16|-1|-1
permafrost|13106|4|-1|-1
permafrost|13419|20|-1|-1
qcat|13044|28|-1|-1
qcat|13045|12|-1|-1
qcat|13046|10|-1|-1
qcat|13047|6|-1|-1
qcat|13048|18|-1|-1
qcat|13106|12|-1|-1
qcat|13419|20|-1|-1
qey2hh1|12832|22|1|99
qey2hh1|13044|22|-1|-1
qey2hh1|13045|8|-1|-1
qey2hh1|13046|4|-1|-1
qey2hh1|13047|6|-1|-1
qey2hh1|13048|2|-1|-1
qey2hh1|13106|6|-1|-1
qey2hh1|13419|8|-1|-1
qey2hh1|14912|22|-1|-1
qeynos|13044|18|-1|-1
qeynos|13045|12|-1|-1
qeynos|13046|6|-1|-1
qeynos|13047|22|-1|-1
qeynos|13048|6|-1|-1
qeynos|13106|18|-1|-1
qeynos|13419|18|-1|-1
qeynos2|13044|18|-1|-1
qeynos2|13045|12|-1|-1
qeynos2|13046|6|-1|-1
qeynos2|13047|22|-1|-1
qeynos2|13048|6|-1|-1
qeynos2|13106|18|-1|-1
qeynos2|13419|18|-1|-1
qeytoqrg|13044|18|-1|-1
qeytoqrg|13045|10|-1|-1
qeytoqrg|13046|6|-1|-1
qeytoqrg|13047|22|-1|-1
qeytoqrg|13048|14|-1|-1
qeytoqrg|13106|8|-1|-1
qeytoqrg|13419|8|-1|-1
qeytoqrg|14904|14|-1|-1
qrg|13044|38|-1|-1
qrg|13045|10|-1|-1
qrg|13046|8|-1|-1
qrg|13047|16|-1|-1
qrg|13048|4|-1|-1
qrg|13106|12|-1|-1
qrg|13419|12|-1|-1
rathemtn|13044|32|-1|-1
rathemtn|13045|4|-1|-1
rathemtn|13046|6|-1|-1
rathemtn|13047|12|-1|-1
rathemtn|13048|12|-1|-1
rathemtn|13106|6|-1|-1
rathemtn|13419|6|-1|-1
rathemtn|14950|22|-1|-1
rivervale|13044|15|-1|-1
rivervale|13045|15|-1|-1
rivervale|13046|15|-1|-1
rivervale|13047|15|-1|-1
rivervale|13048|15|-1|-1
rivervale|13106|15|-1|-1
rivervale|13419|15|-1|-1
runnyeye|13044|15|-1|-1
runnyeye|13045|15|-1|-1
runnyeye|13046|15|-1|-1
runnyeye|13047|15|-1|-1
runnyeye|13048|15|-1|-1
runnyeye|13106|15|-1|-1
runnyeye|13419|15|-1|-1
sebilis|13044|14|-1|-1
sebilis|13045|14|-1|-1
sebilis|13046|14|-1|-1
sebilis|13047|14|-1|-1
sebilis|13048|14|-1|-1
sebilis|13106|14|-1|-1
sebilis|13419|14|-1|-1
sirens|13044|4|-1|-1
sirens|13047|4|-1|-1
sirens|19120|14|-1|-1
sirens|19122|20|-1|-1
sirens|19123|14|-1|-1
sirens|19124|8|-1|-1
sirens|19125|8|-1|-1
sirens|19126|6|-1|-1
sirens|19130|22|-1|-1
skyfire|13044|16|-1|-1
skyfire|13047|22|-1|-1
skyshrine|13044|6|-1|-1
skyshrine|19122|20|-1|-1
skyshrine|19123|20|-1|-1
skyshrine|19130|28|-1|-1
skyshrine|19137|16|-1|-1
skyshrine|19138|10|-1|-1
sleeper|19122|10|-1|-1
sleeper|19123|10|-1|-1
sleeper|19125|4|-1|-1
sleeper|19128|12|-1|-1
sleeper|19130|22|-1|-1
sleeper|19136|10|-1|-1
sleeper|19143|32|-1|-1
soldunga|13044|15|-1|-1
soldunga|13045|15|-1|-1
soldunga|13046|15|-1|-1
soldunga|13047|15|-1|-1
soldunga|13048|15|-1|-1
soldunga|13106|15|-1|-1
soldunga|13419|15|-1|-1
soldungb|13044|15|-1|-1
soldungb|13045|15|-1|-1
soldungb|13046|15|-1|-1
soldungb|13047|15|-1|-1
soldungb|13048|15|-1|-1
soldungb|13106|15|-1|-1
soldungb|13419|15|-1|-1
soltemple|13044|15|-1|-1
soltemple|13045|15|-1|-1
soltemple|13046|15|-1|-1
soltemple|13047|15|-1|-1
soltemple|13048|15|-1|-1
soltemple|13106|15|-1|-1
soltemple|13419|15|-1|-1
southkarana|12832|12|1|99
southkarana|13044|26|-1|-1
southkarana|13045|4|-1|-1
southkarana|13046|2|-1|-1
southkarana|13047|12|-1|-1
southkarana|13048|2|-1|-1
southkarana|13106|4|-1|-1
southkarana|13419|16|-1|-1
southkarana|14914|22|-1|-1
sro|12794|12|1|99
sro|13044|14|-1|-1
sro|13045|18|-1|-1
sro|13046|8|-1|-1
sro|13047|6|-1|-1
sro|13048|8|-1|-1
sro|13106|4|-1|-1
sro|13419|8|-1|-1
sro|14935|16|-1|-1
steamfont|13044|38|-1|-1
steamfont|13045|8|-1|-1
steamfont|13046|4|-1|-1
steamfont|13047|16|-1|-1
steamfont|13048|4|-1|-1
steamfont|13106|6|-1|-1
steamfont|13419|10|-1|-1
steamfont|14956|14|-1|-1
stonebrunt|6973|16|-1|-1
stonebrunt|6974|6|-1|-1
stonebrunt|13044|18|-1|-1
stonebrunt|13045|10|-1|-1
stonebrunt|13046|4|-1|-1
stonebrunt|13047|10|-1|-1
stonebrunt|13048|26|-1|-1
stonebrunt|13106|14|-1|-1
stonebrunt|13419|4|-1|-1
swampofnohope|12632|10|-1|-1
swampofnohope|12784|16|-1|-1
swampofnohope|12785|10|-1|-1
swampofnohope|12786|6|-1|-1
swampofnohope|13044|22|-1|-1
swampofnohope|13045|18|-1|-1
swampofnohope|13046|8|-1|-1
swampofnohope|13047|2|-1|-1
swampofnohope|13106|6|-1|-1
swampofnohope|13419|2|-1|-1
templeveeshan|13044|2|-1|-1
templeveeshan|13047|2|-1|-1
templeveeshan|19130|34|-1|-1
templeveeshan|19136|30|-1|-1
templeveeshan|19137|10|-1|-1
templeveeshan|19138|8|-1|-1
templeveeshan|19139|6|-1|-1
templeveeshan|19143|8|-1|-1
thurgadina|13044|2|-1|-1
thurgadina|13047|4|-1|-1
thurgadina|19122|13|-1|-1
thurgadina|19123|13|-1|-1
thurgadina|19128|12|-1|-1
thurgadina|19130|36|-1|-1
thurgadina|19131|22|-1|-1
thurgadinb|13044|14|-1|-1
thurgadinb|13047|14|-1|-1
thurgadinb|19122|14|-1|-1
thurgadinb|19123|14|-1|-1
thurgadinb|19128|14|-1|-1
thurgadinb|19130|16|-1|-1
thurgadinb|19131|14|-1|-1
timorous|12791|8|-1|-1
timorous|12792|2|-1|-1
timorous|12793|14|-1|-1
timorous|12794|10|-1|-1
timorous|13044|18|-1|-1
timorous|13045|8|-1|-1
timorous|13047|10|-1|-1
timorous|13106|16|-1|-1
timorous|13419|14|-1|-1
tox|13044|20|-1|-1
tox|13045|2|-1|-1
tox|13046|8|-1|-1
tox|13047|14|-1|-1
tox|13048|4|-1|-1
tox|13106|10|-1|-1
tox|13419|18|-1|-1
tox|14938|24|-1|-1
trakanon|12767|14|-1|-1
trakanon|12769|4|-1|-1
trakanon|12787|4|-1|-1
trakanon|12796|12|-1|-1
trakanon|13044|36|-1|-1
trakanon|13045|10|-1|-1
trakanon|13047|6|-1|-1
trakanon|13106|12|-1|-1
trakanon|13419|4|-1|-1
unrest|13044|18|-1|-1
unrest|13045|6|-1|-1
unrest|13046|10|-1|-1
unrest|13047|28|-1|-1
unrest|13048|8|-1|-1
unrest|13106|6|-1|-1
unrest|13419|24|-1|-1
veeshan|13044|14|-1|-1
veeshan|13045|14|-1|-1
veeshan|13046|14|-1|-1
veeshan|13047|14|-1|-1
veeshan|13048|14|-1|-1
veeshan|13106|14|-1|-1
veeshan|13419|14|-1|-1
velketor|13044|4|-1|-1
velketor|13047|2|-1|-1
