eqid|spawngroupid|zone|x|y|z|heading|respawntime|variance|pathgrid|eq_condition_old|enabled|animation|boot_respawntime|clear_timer_onboot|boot_variance|force_z|min_expansion|max_expansion|content_flags|content_flags_disabled|z_eq_original|wowcustom
325093|55015|akanon|1081|-1038|28|76|1200|0|0|0|1|0|0|0|0|0|3|99|||29.799999|0
325094|55017|akanon|2027.0001|-516|-183.9375|171|1200|0|0|0|1|0|0|0|0|0|1|99|||-182|0
325095|55334|akanon|996|-465.00003|-32|150|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-28.200001|0
325096|55018|akanon|1367|-778|-28|125|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325097|221095|akanon|1199|-560|-41.96875|131|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-40|0
325098|221091|akanon|1221|-547.00006|-41.96875|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-40|0
325099|221090|akanon|1221|-538|-41.96875|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-40|0
325100|221093|akanon|1240|-538|-41.96875|130|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-40|0
325101|221092|akanon|1240|-547.00006|-41.96875|130|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-40|0
325102|221094|akanon|1182|-560|-41.96875|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-40|0
325103|221097|akanon|2081|-395.00003|-183.9375|224|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325104|221098|akanon|2081|-412.00003|-183.9375|39|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325105|221096|akanon|2102|-398|-183.9375|96|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325106|221072|akanon|2101|-393.00003|-183.9375|148|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325107|221071|akanon|2098|-410.00003|-183.9375|90|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325108|221103|akanon|1105.0001|-983.00006|28|158|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.799999|0
325109|221078|akanon|1108|-992|28|117|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325110|221077|akanon|1108|-988|28|124|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325111|221075|akanon|1102|-981|28|147|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.799999|0
325112|55333|akanon|1093|-975|28|202|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.799999|0
325113|221079|akanon|1120|-1039|29|47|1200|0|0|0|1|0|0|0|0|0|-1|-1|||30.875999|0
325114|221087|akanon|1073.0001|-1038|28|47|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.799999|0
325115|221085|akanon|1090|-1030.0001|28|6|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.799999|0
325116|221082|akanon|1103|-1029|28|94|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.799999|0
325117|221083|akanon|1099|-1032|28|86|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.799999|0
325118|221084|akanon|1094.0001|-1035|28|60|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.799999|0
325119|221081|akanon|1107|-1022.00006|28|124|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325120|221086|akanon|1050|-983.00006|28|227|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325121|221088|akanon|1055.0001|-979.00006|28|221|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325122|221089|akanon|1060|-975|28|177|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325123|221080|akanon|1072.2418|-1001.73566|28|218|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325124|55020|akanon|2061|-453|-183.9375|234|1200|0|0|0|1|0|0|0|0|0|3|99|||-182|0
325125|55021|akanon|2163.0002|-539|-183.9375|194|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325126|55022|akanon|2158|-581.00006|-183.9375|232|1200|0|0|0|1|0|0|0|0|0|3|99|||-182|0
325127|55023|akanon|2162|-595|-183.9375|66|1200|0|0|0|1|0|0|0|0|0|3|99|||-182|0
325128|55024|akanon|2171.0002|-591|-183.9375|96|1200|0|0|0|1|0|0|0|0|0|3|99|||-182|0
325129|55025|akanon|2163.0002|-595|-183.9375|62|1200|0|0|0|1|0|0|0|0|0|3|99|||-182|0
325130|55026|akanon|2073|-453|-183.9375|167|1200|0|0|0|1|0|0|0|0|0|3|99|||-182|0
325131|55027|akanon|1469.0001|-189.00002|-111.96875|2|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-110|0
325132|55176|akanon|230|7|-28|260|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325133|55177|akanon|662|144|-28|234|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325134|55178|akanon|602|-373|-28|35|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325135|55179|akanon|789|-384|-28|197|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325136|55180|akanon|1310|-734|-28|133|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325137|55181|akanon|1392|-524.00006|-82.96875|229|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-81|0
325138|55225|akanon|2178|-395.00003|-183.9375|64|360|0|32|0|1|0|0|0|0|0|-1|-1|||-182|0
325139|55225|akanon|2143|-436.00003|-183.9375|195|360|0|33|0|1|0|0|0|0|0|-1|-1|||-182|0
325140|55225|akanon|2001|-546|-183.9375|0|360|0|34|0|1|0|0|0|0|0|-1|-1|||-182|0
325141|55012|akanon|2002.0001|-533.00006|-183.9375|0|360|0|31|0|1|0|0|0|0|0|-1|-1|||-182|0
325142|55225|akanon|2083|-571|-183.9375|246|360|0|35|0|1|0|0|0|0|0|-1|-1|||-182|0
325143|55225|akanon|2090|-500|-183.9375|126|360|0|36|0|1|0|0|0|0|0|-1|-1|||-182|0
325144|55225|akanon|2010.0001|-459.00003|-183.9375|131|360|0|37|0|1|0|0|0|0|0|-1|-1|||-182|0
325145|55007|akanon|2138.0002|-586|-183.9375|128|360|0|5|0|1|0|0|0|0|0|-1|-1|||-182|0
325146|55011|akanon|2105|-506.00003|-183.9375|125|360|0|26|0|1|0|0|0|0|0|-1|-1|||-182|0
325147|55225|akanon|2105|-506.00003|-183.9375|128|360|0|26|0|1|0|0|0|0|0|-1|-1|||-182|0
325148|55007|akanon|2165|-397|-183.9375|122|360|0|6|0|1|0|0|0|0|0|-1|-1|||-182|0
325149|55011|akanon|2089|-628|-183.9375|195|360|0|27|0|1|0|0|0|0|0|-1|-1|||-182|0
325150|55007|akanon|2042|-470.00003|-183.9375|0|360|0|7|0|1|0|0|0|0|0|-1|-1|||-182|0
325151|55011|akanon|2051|-459.00003|-183.9375|66|360|0|28|0|1|0|0|0|0|0|-1|-1|||-182|0
325152|55007|akanon|2020|-528|-183.9375|195|360|0|18|0|1|0|0|0|0|0|-1|-1|||-182|0
325153|55007|akanon|2131|-425|-183.9375|60|360|0|19|0|1|0|0|0|0|0|-1|-1|||-182|0
325154|55011|akanon|2105|-546|-183.9375|63|360|0|29|0|1|0|0|0|0|0|-1|-1|||-182|0
325155|55225|akanon|2089|-628|-183.9375|200|360|0|27|0|1|0|0|0|0|0|-1|-1|||-182|0
325156|55007|akanon|2187|-361.00003|-183.9375|258|360|0|20|0|1|0|0|0|0|0|-1|-1|||-182|0
325157|55011|akanon|2231|-394.00003|-183.9375|195|360|0|30|0|1|0|0|0|0|0|-1|-1|||-182|0
325158|55007|akanon|2195|-547.00006|-183.9375|196|360|0|21|0|1|0|0|0|0|0|-1|-1|||-182|0
325159|55007|akanon|2119|-514|-183.9375|139|360|0|22|0|1|0|0|0|0|0|-1|-1|||-182|0
325160|55009|akanon|1029|-244.00002|-69.95414|238|1200|0|24|0|1|0|0|0|0|0|-1|-1|||-28.9|0
325161|224174|akanon|776|-397|-28|0|1200|0|25|0|1|0|0|0|0|0|-1|-1|||-26.122999|0
325162|55035|akanon|811.00006|-133|14.3712|0|1200|0|10|0|1|0|0|0|0|0|-1|-1|||30.629999|0
325163|55194|akanon|1979|-335|-125.9375|121|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-124.599998|0
325164|55035|akanon|822.00006|-188|0|0|1200|0|17|0|1|0|0|0|0|0|-1|-1|||3.1|0
325165|55035|akanon|817|-170|-71.96875|0|1200|0|16|0|1|0|0|0|0|0|-1|-1|||-68.800003|0
325166|55014|akanon|1339|-622.00006|-28|0|1200|0|13|0|1|0|0|0|0|0|-1|-1|||-24|0
325167|55035|akanon|1233|-898.00006|-38.57902|133|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-34.599998|0
325168|55185|akanon|1974.0001|-242.00002|-125.9375|0|1200|0|15|0|1|0|0|0|0|0|-1|-1|||-124|0
325169|55186|akanon|1335|-794|-63.96876|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-62.700001|0
325170|55039|akanon|1166.0001|-723|-28|0|1200|0|23|0|1|0|0|0|0|0|-1|-1|||-29.700001|0
325171|55040|akanon|729.00006|-192|-55.96876|194|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-54|0
325172|55041|akanon|784|-117.00001|0|142|1200|0|14|0|1|0|0|0|0|0|-1|-1|||1.8|0
325173|55043|akanon|470.00003|-51|-28|0|1200|0|12|0|1|0|0|0|0|0|-1|-1|||-26.700001|0
325174|55190|akanon|818|-109.00001|-31.88621|201|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325175|55191|akanon|202.00002|21|-28|0|1200|0|11|0|1|0|0|0|0|0|-1|-1|||-26.700001|0
325176|55046|akanon|826|-141|-32|131|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.700001|0
325177|55192|akanon|1299|-895|-32|66|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325178|55222|akanon|2045|-353.00003|-181.9375|93|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-180|0
325179|55171|akanon|-20|-16|0|3|1200|0|0|0|1|0|0|0|0|0|-1|-1|||1.8|0
325180|55172|akanon|238|-45.00001|10|64|1200|0|0|0|1|0|0|0|0|0|-1|-1|||11.2|0
325181|55196|akanon|1314|-379.00003|-81.96875|250|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-80|0
325182|55197|akanon|1268|-506.00003|-41.96875|32|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-40.700001|0
325183|55198|akanon|1364|-866|-32|131|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325184|55199|akanon|1307|-779.00006|-14|63|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-12.7|0
325185|55055|akanon|1281|-779.00006|-14|63|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-12.7|0
325186|55056|akanon|1029|-977|29|249|1200|0|0|0|1|0|0|0|0|0|-1|-1|||30.799999|0
325187|55058|akanon|827|-143.00002|-63.96876|130|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-70|0
325188|55200|akanon|763.00006|-186|-55.96876|117|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-54|0
325189|55202|akanon|764|-125|-32|193|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325190|55206|akanon|-16|-31|0|1|1200|0|0|0|1|0|0|0|0|0|-1|-1|||1.2|0
325191|55067|akanon|3|2|0|169|1200|0|0|0|1|0|0|0|0|0|-1|-1|||1.2|0
325192|55207|akanon|988|-458.00003|-32|195|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325193|55069|akanon|812|-138|-63.96876|194|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-70|0
325194|55208|akanon|796|-207|-32|128|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325195|55071|akanon|722.00006|-119|-16|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-14.1|0
325196|55209|akanon|760|-154|-31.88621|195|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325197|55210|akanon|229.00002|50|10|130|1200|0|0|0|1|0|0|0|0|0|-1|-1|||11.8|0
325198|55211|akanon|248|35|-28|133|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325199|55212|akanon|214.00002|15|-28|131|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325200|55076|akanon|214.00002|29|-28|131|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325201|55077|akanon|259|33|-28|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325202|55213|akanon|256|9|-28|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325203|55329|akanon|2083|-370.00003|-183.9375|255|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325204|221044|akanon|2083|-391|-183.9375|53|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325205|55081|akanon|1306|-743|-47.96875|187|1200|0|54|0|1|0|0|0|0|0|-1|-1|||-42.900002|0
325206|55082|akanon|1237.0001|-792|-47.96875|68|1200|0|9|0|1|0|0|0|0|0|-1|-1|||-45.11092|0
325207|55083|akanon|1358.0001|-800|-47.96875|58|1200|0|8|0|1|0|0|0|0|0|-1|-1|||-46|0
325208|55215|akanon|1273.0001|-797.00006|-39.96875|131|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-38.700001|0
325209|55216|akanon|1293|-777|-39.96875|61|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-38.700001|0
325210|55086|akanon|1325|-809|-32|72|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-38.700001|0
325211|55089|akanon|816|-107.00001|-63.96876|208|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-70|0
325212|55090|akanon|2020|-230|-195.90623|90|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-194|0
325213|55218|akanon|1940.2863|-369.34485|-125.9375|171|360|0|0|0|1|0|0|0|0|0|-1|-1|||-124|0
325214|55218|akanon|1941.8724|-215.37585|-125.9375|130|360|0|0|0|1|0|0|0|0|0|-1|-1|||-124|0
325215|55218|akanon|1482|-191|-111.96875|127|360|0|0|0|1|0|0|0|0|0|-1|-1|||-110|0
325216|55218|akanon|1028|-962.00006|28|67|360|0|0|0|1|0|0|0|0|0|-1|-1|||29.799999|0
325217|55218|akanon|724.00006|-118.00001|-55.96876|190|360|0|0|0|1|0|0|0|0|0|-1|-1|||-54|0
325218|55218|akanon|761|-127.00001|-55.96876|240|360|0|0|0|1|0|0|0|0|0|-1|-1|||-54|0
325219|55218|akanon|739|-147.00002|-55.96876|0|360|0|0|0|1|0|0|0|0|0|-1|-1|||-54|0
325220|55218|akanon|813.00006|-109.00001|-32|130|360|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325221|55218|akanon|-14|5|0|128|360|0|0|0|1|0|0|0|0|0|-1|-1|||1.8|0
325222|221104|akanon|1325.1741|-776.839|-28|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325223|55098|akanon|891.00006|-300|-22|68|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325224|55100|akanon|1347|-951.00006|-31.88621|192|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325225|221059|akanon|1332|-916.00006|-32|133|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325226|221060|akanon|1348.0001|-883.00006|-32|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325227|221051|akanon|1264.6183|-775.60864|-28|65|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325228|55101|akanon|904.00006|-283|-22|200|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-20.1|0
325229|55102|akanon|1250|-878|-32|67|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325230|55104|akanon|1252.1262|-715.801|-28|247|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.123989|0
325231|221067|akanon|1313.2908|-885.3958|-32|167|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325232|221068|akanon|1324.7137|-750.6173|-28|99|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325233|221069|akanon|1334.1311|-759.6828|-28|61|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325234|221070|akanon|1331|-706.00006|-20|61|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.123989|0
325235|221045|akanon|733.00006|153|-28|130|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325236|55105|akanon|1252|-945|-32|65|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325237|221058|akanon|1245|-945|-32|60|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325238|221105|akanon|1242.6552|-774.99725|-28|61|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.123989|0
325239|221106|akanon|1283.0476|-912.1599|-32|35|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325240|221050|akanon|484.00003|-114.00001|-28|59|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325241|55106|akanon|1173.6566|-759.9349|-28|257|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.123989|0
325242|221052|akanon|1285.6394|-887.2098|-32|219|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325243|55141|akanon|1208|-713.00006|-28|255|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.123989|0
325244|221053|akanon|1210|-707|-20|91|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.123989|0
325245|221054|akanon|1228|-705|-20|195|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.123989|0
325246|221055|akanon|1223.0001|-719|-28|194|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325247|55110|akanon|954.00006|-36|-39.96875|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-38|0
325248|55110|akanon|977|-36|-39.96875|66|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-38|0
325249|55144|akanon|1313.5192|-914.01245|-32|99|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325250|221063|akanon|963|-62|-24|28|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-22.1|0
325251|221064|akanon|987.00006|-51|-24|1|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-22.1|0
325252|221065|akanon|771|172.00002|-28|116|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325253|55220|akanon|1348.0001|-861.00006|-32|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325254|55220|akanon|1347.8896|-851.5552|-32|0|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325255|221061|akanon|1078|-1011.00006|28|63|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325256|55114|akanon|1182|-557|-47.96875|192|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-54|0
325257|55115|akanon|1200|-550|-41.96875|131|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-40|0
325258|55116|akanon|866|-474.00003|-32|63|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325259|55117|akanon|847.00006|-440|-31.88621|255|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325260|55118|akanon|902|-469|-31.88621|76|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325261|55119|akanon|2031|-594|-183.9375|30|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325262|55120|akanon|2108|-502.00003|-183.9375|213|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325263|55121|akanon|2024.0001|-578|-183.9375|233|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325264|55122|akanon|2069|-508.00003|-183.9375|47|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325265|55123|akanon|2022.0001|-589|-183.9375|256|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325266|55124|akanon|2100|-387.00003|-183.9375|167|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325267|55125|akanon|2082.0002|-387.00003|-183.9375|235|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325268|55126|akanon|2101|-406|-183.9375|127|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325269|55127|akanon|1169.0001|-614|-47.96875|65|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-54|0
325270|55347|akanon|1235|-580|-42.41281|62|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-40.700001|0
325271|55129|akanon|1046|-1007|28|255|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325272|55130|akanon|1049|-989|28|255|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325273|55131|akanon|1076|-1009|28|97|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325274|55132|akanon|1096|-978|28|97|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.799999|0
325275|55133|akanon|1082|-1033|28|171|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.799999|0
325276|55134|akanon|1108|-1025|28|120|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325277|55135|akanon|836.00006|-468.00003|-31.88621|30|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325278|55136|akanon|848|-430|-32|219|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-30.1|0
325279|221048|akanon|1053|-1012.00006|28|22|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325280|221047|akanon|1045|-1010|28|7|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325281|221049|akanon|1074|-1041.0001|28|31|1200|0|0|0|1|0|0|0|0|0|-1|-1|||29.875999|0
325282|55137|akanon|1336|-814|-53.05918|58|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-62|0
325283|55138|akanon|1183|-537|-41.96875|230|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-40|0
325284|55139|akanon|1190.7207|-577.91034|-35|65|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-33.099998|0
325285|55140|akanon|886.00006|-298|-22|2|1200|0|0|0|1|0|0|0|0|0|3|99|||-20.1|0
325286|221056|akanon|1323.976|-734.1276|-28|13|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325287|221057|akanon|1221|-704.00006|-20|197|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.123989|0
325288|221046|akanon|1170|-744|-28|255|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.123989|0
325289|55143|akanon|750|-172.00002|-32|260|1200|0|0|0|1|0|0|0|0|0|3|99|||-30.1|0
325290|221066|akanon|761|146|-28|65|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-26.1|0
325291|221062|akanon|2148|-443.00003|-183.9375|95|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-182|0
325292|55145|akanon|2147|-427.00003|-183.9375|157|1200|0|0|0|1|0|0|0|0|0|3|99|||-182|0
325293|55146|akanon|1231|-531.00006|-39|194|1200|0|0|0|1|0|0|0|0|0|3|99|||-38|0
325294|55147|akanon|1265|-923.00006|-32|132|1200|0|0|0|1|0|0|0|0|0|3|99|||-30.1|0
325295|55148|akanon|762|-139.00002|-16|163|1200|0|0|0|1|0|0|0|0|0|3|99|||-14.1|0
325296|55149|akanon|762|-154|-16|94|1200|0|0|0|1|0|0|0|0|0|3|99|||-14.1|0
325297|55150|akanon|1313|-710|-28|131|1200|0|0|0|1|0|0|0|0|0|2|99|||-26.1|0
325298|55151|akanon|484.00003|-125|-28|260|1200|0|0|0|1|0|0|0|0|0|2|99|||-26.1|0
325299|55152|akanon|500|38.00001|-28|220|1200|0|0|0|1|0|0|0|0|0|3|99|||-26.1|0
325300|55155|akanon|1254|-769|-28|61|360|0|0|0|1|0|0|0|0|0|-1|-1|||-24.799999|0
325301|55157|akanon|1238.1587|-914.3724|-32|195|1200|0|0|0|1|0|0|0|0|0|2|99|||-28.799999|0
325302|55158|akanon|498|-100|-28|108|1200|0|0|0|1|0|0|0|0|0|-1|-1|||-24.200001|0
325737|222342|befallen|-77|25|0|192|900|60|1|0|1|0|0|0|0|0|-1|-1|||3|0
325739|36094|befallen|-246|-39.00001|-1.78942|131|480|60|0|0|1|0|0|0|0|0|-1|-1|||3|0
325740|36004|befallen|-81|-91|0|235|480|60|0|0|1|0|0|0|0|0|4|99|||3.750999|0
325741|36004|befallen|-77|-117.00001|0|61|480|60|0|0|1|0|0|0|0|0|4|99|||3.750999|0
