category|contextkey|id
SpellID|maleform~1416~1|98668
SpellID|femaleform~1416~1|98669
SpellID|maleform~1431~1|98670
SpellID|femaleform~1431~1|98671
SpellID|stun~1439~2|98672
SpellID|stun~1446~1|98673
SpellID|bardsongeffect~1448|98674
SpellID|bardsongeffect~1449|98675
SpellID|bardsongeffect~1450|98676
SpellID|bardsongeffect~1451|98677
SpellID|bardsongeffect~1452|98678
SpellID|stun~1473~3|98679
SpellID|maleform~1474~1|98680
SpellID|femaleform~1474~1|98681
SpellID|stun~1484~3|98682
SpellID|stun~1544~1|98683
SpellID|heal~1548~1|98684
SpellID|maleform~1562~1|98685
SpellID|femaleform~1562~1|98686
SpellID|maleform~1563~1|98687
SpellID|femaleform~1563~1|98688
SpellID|maleform~1564~1|98689
SpellID|femaleform~1564~1|98690
SpellID|maleform~1611~1|98691
SpellID|femaleform~1611~1|98692
SpellID|maleform~1614~3|98693
SpellID|femaleform~1614~3|98694
SpellID|stun~1634~1|98695
SpellID|stun~1635~1|98696
SpellID|stun~1656~1|98697
SpellID|stun~1696~1|98698
SpellID|stun~1715~1|98699
SpellID|stun~1744~2|98700
SpellID|stun~1747~1|98701
SpellID|bardsongeffect~1750|98702
SpellID|bardsongeffect~1751|98703
SpellID|bardsongeffect~1752|98704
SpellID|bardsongeffect~1753|98705
SpellID|bardsongeffect~1756|98706
SpellID|bardsongeffect~1757|98707
SpellID|bardsongeffect~1758|98708
SpellID|bardsongeffect~1759|98709
SpellID|bardsongeffect~1760|98710
SpellID|bardsongeffect~1761|98711
SpellID|bardsongeffect~1762|98712
SpellID|bardsongeffect~1763|98713
SpellID|bardsongeffect~1764|98714
SpellID|bardsongeffect~1765|98715
SpellID|stun~1789~2|98716
SpellID|stun~1793~1|98717
SpellID|heal~1796~2|98718
SpellID|stun~1803~1|98719
SpellID|stun~1807~1|98720
SpellID|stun~1820~1|98721
SpellID|heal~1946~1|98722
SpellID|stun~1957~3|98723
SpellID|maleform~1961~2|98724
SpellID|femaleform~1961~2|98725
SpellID|stun~1968~3|98726
SpellID|stun~1970~2|98727
SpellID|stun~1971~3|98728
SpellID|bardsongeffect~1973|98729
SpellID|stun~2005~3|98730
SpellID|stun~2006~3|98731
SpellID|bardsongeffect~2007|98732
SpellID|stun~2047~3|98733
SpellID|stun~2048~3|98734
SpellID|bardsongeffect~2050|98735
SpellID|stun~2055~1|98736
SpellID|stun~2058~1|98737
SpellID|stun~2059~2|98738
SpellID|stun~2074~1|98739
SpellID|stun~2096~4|98740
SpellID|stun~2097~1|98741
SpellID|maleform~2114~1|98742
SpellID|femaleform~2114~1|98743
SpellID|maleform~2128~1|98744
SpellID|femaleform~2128~1|98745
SpellID|stun~2136~1|98746
SpellID|maleform~2146~2|98747
SpellID|femaleform~2146~2|98748
SpellID|stun~2157~1|98749
SpellID|heal~2165~1|98750
SpellID|stun~2190~1|98751
SpellID|maleform~2210~3|98752
SpellID|femaleform~2210~3|98753
SpellID|stun~2256~1|98754
SpellID|stun~2258~1|98755
SpellID|stun~2263~1|98756
SpellID|stun~2268~2|98757
SpellID|stun~2377~1|98758
SpellID|stun~2382~3|98759
SpellID|stun~2383~2|98760
SpellID|stun~2384~2|98761
SpellID|stun~2504~1|98762
SpellID|maleform~2523~1|98763
SpellID|femaleform~2523~1|98764
SpellID|maleform~2565~1|98765
SpellID|femaleform~2565~1|98766
SpellID|maleform~2566~2|98767
SpellID|femaleform~2566~2|98768
SpellID|stun~2581~1|98769
SpellID|stun~2582~1|98770
SpellID|stun~2587~1|98771
SpellID|bardsongeffect~2604|98772
SpellID|stun~2651~1|98773
SpellID|stun~2652~1|98774
SpellID|stun~2653~1|98775
SpellID|stun~2663~1|98776
SpellID|stun~2726~3|98777
SpellID|maleform~2750~2|98778
SpellID|femaleform~2750~2|98779
SpellID|stun~2805~3|98780
SpellID|stun~2809~4|98781
SpellID|stun~2810~4|98782
SpellID|stun~2816~2|98783
SpellID|stun~2822~3|98784
SpellID|maleform~2826~1|98785
SpellID|femaleform~2826~1|98786
SpellID|maleform~2832~1|98787
SpellID|femaleform~2832~1|98788
SpellID|stun~2842~1|98789
SpellID|stun~2889~3|98790
SpellID|stun~2891~3|98791
SpellID|maleform~2892~1|98792
SpellID|femaleform~2892~1|98793
SpellID|stun~2898~1|98794
SpellID|stun~2902~3|98795
SpellID|stun~2908~3|98796
SpellID|stun~2914~1|98797
SpellID|stun~2927~3|98798
SpellID|stun~2950~1|98799
SpellID|stun~2951~1|98800
SpellID|stun~2952~1|98801
SpellID|stun~2967~1|98802
SpellID|stun~3004~2|98803
SpellID|stun~3011~2|98804
SpellID|stun~3013~2|98805
SpellID|stun~3017~2|98806
SpellID|stun~3051~1|98807
SpellID|stun~3057~2|98808
SpellID|maleform~3063~1|98809
SpellID|femaleform~3063~1|98810
SpellID|stun~3071~2|98811
SpellID|stun~3152~1|98812
SpellID|stun~3153~1|98813
SpellID|stun~3166~1|98814
SpellID|stun~3167~2|98815
SpellID|stun~3168~1|98816
SpellID|stun~3170~2|98817
SpellID|stun~3172~2|98818
SpellID|stun~3174~2|98819
SpellID|stun~3179~3|98820
SpellID|stun~3222~2|98821
SpellID|maleform~3241~1|98822
SpellID|femaleform~3241~1|98823
SpellID|stun~3245~1|98824
SpellID|maleform~3271~2|98825
SpellID|femaleform~3271~2|98826
SpellID|maleform~3272~2|98827
SpellID|femaleform~3272~2|98828
SpellID|maleform~3273~2|98829
SpellID|femaleform~3273~2|98830
SpellID|maleform~3311~1|98831
SpellID|femaleform~3311~1|98832
SpellID|stun~3333~1|98833
SpellID|bardsongeffect~3365|98834
SpellID|bardsongeffect~3368|98835
SpellID|bardsongeffect~3374|98836
SpellID|stun~3426~1|98837
SpellID|stun~3434~2|98838
SpellID|stun~3464~2|98839
SpellID|heal~3469~1|98840
SpellID|stun~3481~1|98841
SpellID|stun~3482~1|98842
SpellID|maleform~3488~1|98843
SpellID|femaleform~3488~1|98844
SpellID|bardsongeffect~3566|98845
SpellID|bardsongeffect~3567|98846
SpellID|maleform~3579~1|98847
SpellID|femaleform~3579~1|98848
SpellID|maleform~3580~1|98849
SpellID|femaleform~3580~1|98850
SpellID|maleform~3586~1|98851
SpellID|femaleform~3586~1|98852
SpellID|stun~3588~2|98853
SpellID|stun~3590~2|98854
SpellID|stun~3621~2|98855
SpellID|bardsongeffect~3651|98856
SpellID|stun~3666~4|98857
SpellID|stun~3672~3|98858
SpellID|stun~3748~2|98859
SpellID|maleform~3750~1|98860
SpellID|femaleform~3750~1|98861
SpellID|stun~3755~4|98862
SpellID|stun~3757~4|98863
SpellID|stun~3760~2|98864
SpellID|stun~3762~2|98865
SpellID|stun~3775~2|98866
SpellID|stun~3776~2|98867
SpellID|stun~3777~2|98868
SpellID|stun~3785~1|98869
SpellID|maleform~3854~1|98870
SpellID|femaleform~3854~1|98871
SpellID|maleform~3855~1|98872
SpellID|femaleform~3855~1|98873
SpellID|maleform~3856~1|98874
SpellID|femaleform~3856~1|98875
SpellID|maleform~3857~1|98876
SpellID|femaleform~3857~1|98877
SpellID|stun~3878~2|98878
SpellID|stun~3912~1|98879
SpellID|stun~3940~2|98880
SpellID|stun~3941~2|98881
SpellID|stun~3944~1|98882
SpellID|stun~3945~1|98883
SpellID|maleform~3961~3|98884
SpellID|femaleform~3961~3|98885
SpellID|stun~3963~2|98886
SpellID|stun~3964~2|98887
SpellID|stun~3971~1|98888
SpellID|stun~3972~1|98889
SpellID|stun~3975~1|98890
SpellID|focus~Stretched Skin Drum~652~4~110|98891
SpellID|focus~Drum of the Jharin Recruit~652~4~100|98892
SpellID|focus~Lute of the Jharin Apprentice~51~2~100|98893
SpellID|focus~Flute of Eternal Night~251~1~120|98894
SpellID|focus~Lute of the Gypsy Princess~51~2~110|98895
SpellID|focus~Mistmoore Battle Drums~652~4~110|98896
SpellID|focus~Brahhms Horn~307~1~110|98897
SpellID|focus~Sharkskin Drum~652~4~120|98898
SpellID|focus~Gypsy Lute~51~2~110|98899
SpellID|focus~Lyran's Mystical Lute~51~2~150|98900
SpellID|focus~Kelin`s Seven Stringed Lute~51~2~140|98901
SpellID|focus~McVaxius` Horn of War~93~3~130|98902
SpellID|focus~Selo`s Drums of the March~652~4~140|98903
SpellID|focus~Lyssa`s Darkwood Piccolo~251~1~140|98904
SpellID|focus~Denon's Horn of Dissonance~94~3~140|98905
SpellID|focus~Ancient Thin Flute~251~1~80|98906
SpellID|focus~Draconic Fellowship Drum~652~4~130|98907
SpellID|focus~Draconic Fellowship Lute~51~2~140|98908
SpellID|focus~Draconic Fellowship Horn~498~3~130|98909
SpellID|focus~Scorpion Pincer~307~1~100|98910
SpellID|focus~Nostrolo Tambourine~652~4~120|98911
SpellID|focus~Hand Drum~652~4~80|98912
SpellID|focus~Wooden Flute~251~1~80|98913
SpellID|focus~Lute~51~2~100|98914
SpellID|focus~Horn~94~3~100|98915
SpellID|focus~Mandolin~51~2~100|98916
SpellID|focus~Minotaur Horn~307~1~100|98917
SpellID|focus~Custom Naliedin Lute~51~2~100|98918
SpellID|focus~Drum~652~4~100|98919
SpellID|focus~Raw Bamboo~251~1~80|98920
SpellID|focus~Flute Mouthpiece~251~1~80|98921
SpellID|focus~Lianna's Flute~251~1~80|98922
SpellID|focus~Agilmente's Flute of Flight~251~1~120|98923
SpellID|focus~Combine Hand Drum~652~4~100|98924
SpellID|focus~Combine Wooden Flute~251~1~100|98925
SpellID|focus~Combine Lute~51~2~120|98926
SpellID|focus~Combine Horn~94~3~120|98927
SpellID|focus~Combine Mandolin~51~2~120|98928
SpellID|focus~Broken Minotaur Lord's Horn~307~1~80|98929
SpellID|focus~Torin's Horn~93~3~120|98930
SpellID|focus~Mahlin's Mystical Bongos~652~4~110|98931
SpellID|focus~Alluring Horn~94~3~80|98932
SpellID|focus~Mystical Lute~51~2~110|98933
SpellID|focus~Singing Short Sword~382~5~80|98934
SpellID|focus~Crude Wooden Flute~251~1~80|98935
SpellID|focus~Efreeti War Horn~94~3~120|98936
SpellID|focus~Faun Flute~251~1~110|98937
SpellID|focus~Rapier of Curses~262~2~100|98938
SpellID|focus~Lyendlln's Lute~51~2~140|98939
SpellID|focus~Ervaj's Flute of Flight~251~1~120|98940
SpellID|focus~Denon's Horn of Disaster~94~3~140|98941
SpellID|focus~Tormented Flute~251~1~180|98942
SpellID|focus~Thunderous Drum of Karana~652~4~180|98943
SpellID|focus~Orcish Lute of Singing~51~2~110|98944
SpellID|focus~Tambourine of Rituals~750~4~120|98945
SpellID|focus~Walrus Skin Drum~652~4~130|98946
SpellID|focus~Immaculate Shell Horn~498~3~140|98947
SpellID|focus~Conch Shell Horn~498~3~110|98948
SpellID|focus~Flute of the Sacred Glade~251~1~150|98949
SpellID|focus~Ivory Horn~307~1~80|98950
SpellID|focus~A Flawless Ivory Horn~307~3~100|98951
SpellID|focus~Unicorn Horn~637~1~120|98952
SpellID|focus~Drums of the Beast~652~4~160|98953
SpellID|focus~Lute of the Howler~51~2~120|98954
SpellID|focus~A Mandolin~51~2~100|98955
SpellID|focus~Verlekarnorm's Horn of Disaster~93~3~120|98956
SpellID|basesplit~93874~1|98957
SpellID|wornblock~98312~1|98958
SpellID|basesplit~93867~1|98959
SpellID|wornblock~98310~1|98960
SpellID|basesplit~93869~1|98961
SpellID|wornblock~98311~1|98962
SpellID|basesplit~93168~1|98963
SpellID|wornblock~98180~1|98964
SpellID|wornblock~98181~1|98965
SpellID|basesplit~92006~1|98966
SpellID|basesplit~92008~1|98967
SpellID|basesplit~92019~1|98968
SpellID|basesplit~92019~2|98969
SpellID|goodprocblock~97700~1|98970
SpellID|goodprocblock~97700~2|98971
SpellID|clickyblock~96230~1|98972
SpellID|clickyblock~96230~2|98973
SpellID|basesplit~92022~1|98974
SpellID|clickyblock~96231~1|98975
SpellID|basesplit~92023~1|98976
SpellID|clickyblock~96232~1|98977
SpellID|clickyblock~96233~1|98978
SpellID|basesplit~92024~1|98979
SpellID|basesplit~92027~1|98980
SpellID|basesplit~92031~1|98981
SpellID|basesplit~92063~1|98982
SpellID|basesplit~92063~2|98983
SpellID|clickyblock~96341~1|98984
SpellID|clickyblock~96341~2|98985
SpellID|basesplit~92064~1|98986
SpellID|basesplit~92064~2|98987
SpellID|clickyblock~96343~1|98988
SpellID|clickyblock~96343~2|98989
SpellID|clickyblock~96342~1|98990
SpellID|clickyblock~96342~2|98991
SpellID|basesplit~92065~1|98992
SpellID|basesplit~92065~2|98993
SpellID|clickyblock~96344~1|98994
SpellID|clickyblock~96344~2|98995
SpellID|basesplit~92074~1|98996
SpellID|clickyblock~96349~1|98997
SpellID|clickyblock~96350~1|98998
SpellID|basesplit~92075~1|98999
SpellID|basesplit~92079~1|99000
SpellID|clickyblock~96360~1|99001
SpellID|basesplit~92080~1|99002
SpellID|clickyblock~96361~1|99003
SpellID|basesplit~92087~1|99004
SpellID|clickyblock~96381~1|99005
SpellID|clickyblock~96380~1|99006
SpellID|basesplit~92104~1|99007
SpellID|basesplit~92105~1|99008
SpellID|clickyblock~96415~1|99009
SpellID|clickyblock~96416~1|99010
SpellID|clickyblock~96417~1|99011
SpellID|clickyblock~96414~1|99012
SpellID|basesplit~92108~1|99013
SpellID|clickyblock~96428~1|99014
SpellID|basesplit~92109~1|99015
SpellID|clickyblock~96429~1|99016
SpellID|basesplit~92110~1|99017
SpellID|basesplit~92121~1|99018
SpellID|clickyblock~96438~1|99019
SpellID|basesplit~92122~1|99020
SpellID|clickyblock~96439~1|99021
SpellID|basesplit~92123~1|99022
SpellID|basesplit~92128~1|99023
SpellID|basesplit~92137~1|99024
SpellID|basesplit~92138~1|99025
SpellID|basesplit~92173~1|99026
SpellID|clickyblock~96509~1|99027
SpellID|clickyblock~96510~1|99028
SpellID|basesplit~92174~1|99029
SpellID|basesplit~92193~1|99030
SpellID|clickyblock~96522~1|99031
SpellID|basesplit~92197~1|99032
SpellID|clickyblock~96526~1|99033
SpellID|basesplit~92200~1|99034
SpellID|clickyblock~96529~1|99035
SpellID|basesplit~92217~1|99036
SpellID|basesplit~92237~1|99037
SpellID|basesplit~92242~1|99038
SpellID|clickyblock~96606~1|99039
SpellID|basesplit~92244~1|99040
SpellID|clickyblock~96608~1|99041
SpellID|basesplit~92247~1|99042
SpellID|clickyblock~96610~1|99043
SpellID|basesplit~98509~1|99044
SpellID|basesplit~98509~2|99045
SpellID|basesplit~98510~1|99046
SpellID|basesplit~98510~2|99047
SpellID|basesplit~92261~1|99048
SpellID|clickyblock~96637~1|99049
SpellID|clickyblock~96634~1|99050
SpellID|clickyblock~96635~1|99051
SpellID|clickyblock~96636~1|99052
SpellID|basesplit~92265~1|99053
SpellID|basesplit~92275~1|99054
SpellID|basesplit~92284~1|99055
SpellID|clickyblock~96665~1|99056
SpellID|basesplit~98511~1|99057
SpellID|basesplit~98512~1|99058
SpellID|basesplit~92292~1|99059
SpellID|basesplit~92306~1|99060
SpellID|basesplit~92306~2|99061
SpellID|basesplit~92306~3|99062
SpellID|basesplit~92307~1|99063
SpellID|basesplit~92307~2|99064
SpellID|basesplit~92310~1|99065
SpellID|clickyblock~96679~1|99066
SpellID|basesplit~92324~1|99067
SpellID|clickyblock~96692~1|99068
SpellID|basesplit~92325~1|99069
SpellID|basesplit~92330~1|99070
SpellID|basesplit~92331~1|99071
SpellID|basesplit~92335~1|99072
SpellID|basesplit~92335~2|99073
SpellID|basesplit~92335~3|99074
SpellID|basesplit~92342~1|99075
SpellID|clickyblock~96722~1|99076
SpellID|clickyblock~96723~1|99077
SpellID|basesplit~92346~1|99078
SpellID|clickyblock~96737~1|99079
SpellID|clickyblock~96736~1|99080
SpellID|basesplit~92351~1|99081
SpellID|basesplit~92353~1|99082
SpellID|clickyblock~96756~1|99083
SpellID|basesplit~92367~1|99084
SpellID|basesplit~92376~1|99085
SpellID|clickyblock~96771~1|99086
SpellID|clickyblock~96772~1|99087
SpellID|basesplit~92409~1|99088
SpellID|goodprocblock~97710~1|99089
SpellID|clickyblock~96790~1|99090
SpellID|clickyblock~96791~1|99091
SpellID|basesplit~92419~1|99092
SpellID|clickyblock~96809~1|99093
SpellID|basesplit~92420~1|99094
SpellID|clickyblock~96810~1|99095
SpellID|basesplit~92421~1|99096
SpellID|clickyblock~96811~1|99097
SpellID|basesplit~98514~1|99098
SpellID|basesplit~98514~2|99099
SpellID|basesplit~98515~1|99100
SpellID|basesplit~98515~2|99101
SpellID|basesplit~98516~1|99102
SpellID|basesplit~98516~2|99103
SpellID|basesplit~98517~1|99104
SpellID|basesplit~98517~2|99105
SpellID|basesplit~98518~1|99106
SpellID|basesplit~98519~1|99107
SpellID|basesplit~98520~1|99108
SpellID|basesplit~98520~2|99109
SpellID|basesplit~98521~1|99110
SpellID|basesplit~98521~2|99111
SpellID|basesplit~92431~1|99112
SpellID|basesplit~92442~1|99113
SpellID|basesplit~92447~1|99114
SpellID|basesplit~92447~2|99115
SpellID|clickyblock~96834~1|99116
SpellID|clickyblock~96834~2|99117
SpellID|basesplit~92448~1|99118
SpellID|basesplit~92450~1|99119
SpellID|basesplit~92451~1|99120
SpellID|clickyblock~96835~1|99121
SpellID|basesplit~92455~1|99122
SpellID|basesplit~92455~2|99123
SpellID|clickyblock~96838~1|99124
SpellID|clickyblock~96838~2|99125
SpellID|clickyblock~96837~1|99126
SpellID|clickyblock~96837~2|99127
SpellID|basesplit~92477~1|99128
SpellID|clickyblock~96846~1|99129
SpellID|basesplit~92488~1|99130
SpellID|basesplit~92501~1|99131
SpellID|basesplit~92513~1|99132
SpellID|basesplit~92514~1|99133
SpellID|basesplit~92515~1|99134
SpellID|clickyblock~96875~1|99135
SpellID|clickyblock~96867~1|99136
SpellID|clickyblock~96868~1|99137
SpellID|clickyblock~96869~1|99138
SpellID|clickyblock~96874~1|99139
SpellID|basesplit~92516~1|99140
SpellID|clickyblock~96878~1|99141
SpellID|clickyblock~96876~1|99142
SpellID|clickyblock~96877~1|99143
SpellID|basesplit~92519~1|99144
SpellID|basesplit~98527~1|99145
SpellID|basesplit~98528~1|99146
SpellID|basesplit~98535~1|99147
SpellID|basesplit~98536~1|99148
SpellID|basesplit~98537~1|99149
SpellID|basesplit~98537~2|99150
SpellID|basesplit~98537~3|99151
SpellID|basesplit~98538~1|99152
SpellID|basesplit~98538~2|99153
SpellID|basesplit~98538~3|99154
SpellID|basesplit~98551~1|99155
SpellID|basesplit~98552~1|99156
SpellID|basesplit~98559~1|99157
SpellID|basesplit~98560~1|99158
SpellID|basesplit~98561~1|99159
SpellID|basesplit~98562~1|99160
SpellID|basesplit~98563~1|99161
SpellID|basesplit~98564~1|99162
SpellID|basesplit~98567~1|99163
SpellID|basesplit~98568~1|99164
SpellID|basesplit~92609~1|99165
SpellID|basesplit~98572~1|99166
SpellID|basesplit~98573~1|99167
SpellID|basesplit~98574~1|99168
SpellID|basesplit~98575~1|99169
SpellID|basesplit~92642~1|99170
SpellID|basesplit~92642~2|99171
SpellID|goodprocblock~97712~1|99172
SpellID|goodprocblock~97712~2|99173
SpellID|basesplit~92655~1|99174
SpellID|clickyblock~96960~1|99175
SpellID|basesplit~92674~1|99176
SpellID|basesplit~98576~1|99177
SpellID|basesplit~98577~1|99178
SpellID|basesplit~98578~1|99179
SpellID|basesplit~98580~1|99180
SpellID|basesplit~98583~1|99181
SpellID|basesplit~98584~1|99182
SpellID|basesplit~98585~1|99183
SpellID|basesplit~98586~1|99184
SpellID|basesplit~98587~1|99185
SpellID|basesplit~98588~1|99186
SpellID|basesplit~98589~1|99187
SpellID|basesplit~98590~1|99188
SpellID|basesplit~98596~1|99189
SpellID|basesplit~98599~1|99190
SpellID|basesplit~98599~2|99191
SpellID|basesplit~98601~1|99192
SpellID|basesplit~98602~1|99193
SpellID|basesplit~98603~1|99194
SpellID|basesplit~98607~1|99195
SpellID|basesplit~98608~1|99196
SpellID|basesplit~98610~1|99197
SpellID|basesplit~98611~1|99198
SpellID|basesplit~92761~1|99199
SpellID|basesplit~92764~1|99200
SpellID|basesplit~92765~1|99201
SpellID|basesplit~92768~1|99202
SpellID|basesplit~92769~1|99203
SpellID|basesplit~92770~1|99204
SpellID|basesplit~92771~1|99205
SpellID|basesplit~92773~1|99206
SpellID|basesplit~92774~1|99207
SpellID|basesplit~92775~1|99208
SpellID|basesplit~92776~1|99209
SpellID|basesplit~92777~1|99210
SpellID|basesplit~92778~1|99211
SpellID|basesplit~92791~1|99212
SpellID|basesplit~92793~1|99213
SpellID|basesplit~92794~1|99214
SpellID|basesplit~92795~1|99215
SpellID|basesplit~92796~1|99216
SpellID|basesplit~92797~1|99217
SpellID|basesplit~92798~1|99218
SpellID|basesplit~92800~1|99219
SpellID|basesplit~92801~1|99220
SpellID|basesplit~92802~1|99221
SpellID|basesplit~92804~1|99222
SpellID|basesplit~92808~1|99223
SpellID|basesplit~92817~1|99224
SpellID|basesplit~92817~2|99225
SpellID|basesplit~92818~1|99226
SpellID|basesplit~92823~1|99227
SpellID|basesplit~92826~1|99228
SpellID|basesplit~92828~1|99229
SpellID|basesplit~92829~1|99230
SpellID|basesplit~92830~1|99231
SpellID|basesplit~92831~1|99232
SpellID|basesplit~92836~1|99233
SpellID|basesplit~92837~1|99234
SpellID|basesplit~92838~1|99235
SpellID|basesplit~92840~1|99236
SpellID|basesplit~92852~1|99237
SpellID|basesplit~92853~1|99238
SpellID|basesplit~92857~1|99239
SpellID|basesplit~92860~1|99240
SpellID|clickyblock~96983~1|99241
SpellID|basesplit~92861~1|99242
SpellID|clickyblock~96984~1|99243
SpellID|basesplit~92863~1|99244
SpellID|clickyblock~96986~1|99245
SpellID|basesplit~92866~1|99246
SpellID|clickyblock~96992~1|99247
SpellID|basesplit~92872~1|99248
SpellID|clickyblock~97008~1|99249
SpellID|basesplit~92873~1|99250
SpellID|clickyblock~97012~1|99251
SpellID|basesplit~92874~1|99252
SpellID|clickyblock~97015~1|99253
SpellID|basesplit~92875~1|99254
SpellID|clickyblock~97018~1|99255
SpellID|basesplit~92876~1|99256
SpellID|basesplit~92877~1|99257
SpellID|basesplit~92883~1|99258
SpellID|basesplit~92896~1|99259
SpellID|clickyblock~97022~1|99260
SpellID|basesplit~98630~1|99261
SpellID|basesplit~98631~1|99262
SpellID|basesplit~92900~1|99263
