name|text
AIRBrdBk1|Agilmente's Flute```He came to me one day and`propositioned me to create him`an instrument that would be sung`about for years to come. It was`to produce the most beautiful`sound, forever resonating in the`ears and minds of others.  I did`craft the flute and it was used`by him for many a year.`Upon his death, it was sung`about until the day it fell into`the hands of the Vampire.`The flute was destroyed, and`whilst the Vampire reveled at`its destruction.`Somehow a shrieking chord was`sprung forth from the flute`even as it was destroyed.`The sounds carried throughout`the land and many a bard heard`it.`It has since been heard, for`all Bards will play this chord`in honor of the beauty of the`flute lost. To this day, the`Vampire stares out his window,`and forever hear with his`exceptional ears, the sound`of the flute.
AIRBrdBk2|Visages of Evil``He is the bane of all that we`know and feel.`He is emotionless and cares`for nothing.`He is beyond redemption and`will slay you should he hear a`note spring forth from your`person. He watches tirelessly,`and sees into your soul.`Beware his wrath, but do not`fear him, for your music`should never be anything, but`from your heart's heart.
AIRClrBk1|Musings of a Priest``The healing touch is not one that`is always easily mastered.  Any`improper weave in the conjugation`of a healing type spell can`actually do the reverse and cause`damage. This is done primarily`from carelessness but often shows`an aptitude towards the darker`magicks which must be avoided at`all costs.`I find that many such people `often practice the dark art of`necromancy. Our weaves are very`similar, in fact, in comparison`to the weaves used by Javzov`Natoruz, a Erudite Necromancer`whom I had the distinct pleasure`of interrogating some time ago,`the weaves I heal with and those`he uses to cause decay are near`mirror images.  He was helpful`while on Lord Bayle's rack.`It has been since this time, that`myself and my order have begun to`search out candidates for the`order after comprehensively`testing them by funneling a bit`of spirit into them and viewing`the effect. In most cases, the`individual will show a rather`unremarkable affect, however, in`some cases we were able to view`a distinct pattern alteration.``In this particular case, the`subject was then not admitted`as a candidate and has since`taken up the dark arts, which in`my opinion, is perfect proof`for my hypothesis. It should be`something that is looked into by`the order at once.``Fejorus Eptalruj`High Priest, the Tribunal.
AIRClrBk2|Dwarven Advice``I ne'er thought that the Duke`would ever be lettin' me use his`spells, but I guess he be thinkin' I kin be casting better`magiks than some.  I know not`really, and can't care a lick`neither.  What I gotta tell you`boy, is that you be wackin' all`them buggers in the old Estate`over yonder.`But you ain't been spendin' your`time using the old healing`magiks. Aye, you kin blast em all`fine and good wieldin' the power`of our God there lad, but you`ain't known power till ye be`healin another dwarf.  Aye, 'tis a`good feelin'. Well, 'sides that`point, guess you got one yourself`there. It sure is funner than all`gettup t' be smackin' the heck`outta the bones.`Well, do what you were doin', just`don't get your sorry head bit`off by dem abominations.
AirCynthia10|Take this note to Cynthia Moonchaser.
AIRDruidBk1|Flowing Black Robes``It was a very calm day in the`Karanas and the plains' namesake`was blessing the land with a`bountiful amount of rain.  The`land grew silent as the rain`trailed off and the calls of`wildlife could be heard for`miles.  Suddenly, a distant cry`was heard and the sound of`cackling bones hit the man's ear.`He sprinted to the origin of the`sound, paying little heed to the`cuts and scratches he received`from running through the`brambles.  On scene he saw a`Teir'Dal dressed in a brilliant`black robe which to him appeared`to be flowing. At his side was an`abomination of bones, fiercely`fighting a noble treant. The`treant fought valiantly but`seemed to be outmatched.`The treant tried one last`desperate attempt to save`himself. He called to the sky and`soon after, a rain of hail`descended upon the Teir'Dal`and his hideous pet. The Teir'dal`fell back, and the man struck`from the brambles, taking the dark`one off guard. The two spent time`in a close-quartered fight whilst`the Treant dispatched the`Teir'dal's summoned abomination.`The Teir'dal fell that day, and`the man was rewarded with a`blessing from the living forest`itself.
AIRDruidBk2|The Blessing of Tunare``This story begins many years`ago when I was a child.  I had`wandered away from our village`and could not find my way back.`I spent many a day in the`forest, subsisting on grubs and`berries. I found myself near`death, and knew that I could do`nothing but pray that my journey`to the beyond would be swift.`I think she came to me in the`form of a wolf.  She licked my`wounds, and it was at that time`I felt renewed. I got to my feet`and stared at her in complete`awe. Never before had I seen an`animal which carried itself in`this manner.  Its regal face`stared back at me, tilting its`head to the side to better`evaluate me. I chuckled briefly` in response.`The wolf turned a bit of a smile`as its lips flared a bit,`showing its sharp and pointed`canines.  The wolf ended up`leaving, but from that point`in my life, I knew my calling.`The wolf could very well have`slain me as I lay there weak,`but instead, gave me a new`life. This life is the life I`still walk to this day.``I feel a peace that I do not`even believe that the spiritual`monks have obtained.  It is`with her blessing that I walk`these lands, protecting them,`guarding them, renewing them.
AIREnchBk1|The Power of Suggestion`The ability of an enchanter to`cause others to succumb to their`will is an incredible asset. It`is not as easy as it seems`however.  An enchanter must first`know the name of the person whom`they wish to cast upon.  Then,`they must win a battle of wills`with their intended victim. If`victorious, the person is now`under the enchanter's control.`It is at this time that an`enchanter's true nature shows`itself.  If evil, the enchanter`will use this power to extort`favors or in extreme cases, use`the person as an assassin.`Enchanters of a goodly nature`find the invasion of another's`mind both morally and ethically`wrong, and will only use their`powers in self-defense.
AIREnchBk2|Invisible Men and Their Uses``We have within our power`the ability to summon forth`from the Plane of Air an`invisible servant.  This servant`is skilled in the ways of battle,`can serve as a personal servant`around the house, and is great at`aiding in the carrying of spell`components while in the rough.``First, lets take a look at the`invisible man's combat`capabilities.  Offensively, they`do not provide the punch the`mages' elementals happen to`provide.  However, they do excel`at the art of defense, which can`be incredibly useful in, shall we`say, sticky  circumstances.`Many enchanters use only this,`never realizing the many`potentials for these servants.`Second, the invisible man can aid`an enchanter at home.  Imagine,`a mute person you cannot see`that cleans everything almost`before it was dirtied in the`first place.  He is also useful`as a package carrier while taking`that trip down to the market.`For those more adventurous`enchanters, the invisible man`is also an invaluable travelling`companion.`On the road, the invisible man`serves as both bodyguard and`mule.  He carries your travel`supplies, and if you are set upon`by bandits in the Karanas, he is`more than able to fend them off`while you gate back to Erudin.
AIRFalStry|The Tale of Falorn Sargus``  Falorn was born a lusty lad in`the frozen plains of the`Everfrost. As he grew, he`outstripped his peers in both`stature and wits.`  In his tenth year, Falorn's`tribe was slaughtered by orcs.`For an unknown reason the orc`chieftain spared  Falorn, and`took him as his personal slave.`  Though the chief was a cruel and`torturous master, Falorn thrived`under him.  Time passed and the`hardships forged Falorn into a`powerful warrior.`  Falorn became free in his eighth`year of enslavement.  The orcan`tribe sought shelter in what`appeared to be an empty cave`during a severe snowstorm.  The`hibernating glacial bear within`awoke and tore through the orcs.`While the orcs scattered, Falorn`scrambled for a weapon. He found`an axe one of them had discarded`in his hurry to escape the`enraged bear.  Falorn grabbed the`axe and carefully took aim.  His`arm sprang forward like a coiled`spring and the axe tumbled`through the air towards the`enraged beast.  With a meaty thwack,`the axe lodged in the base of the`bear's skull, killing it.  Grim-`faced, Falorn went to the bear`pulled his axe from the`carcass and strode away.`  Now free, Falorn went south.`It was not long before tales`spread of a tall barbarian`berserker who could not be`defeated.  Years passed, and both`Falorn's skills and fame grew.`After nearly a decade, Falorn`returned to the frozen wastes`of Everfrost a scarred and`grizzled veteran of many battles.`  As he traversed the frozen`tundra, Falorn met with the Ice`Wolf Northman tribe. Falorn`traveled with the Ice Wolves for`a time and decided to join them.`  Falorn approached the`tribe elders and stated his`intent.  The elders named Falorn`worthy and presented him with`three tests, the tests of`strength, skill and force.`  Falorn accepted, and after much`toil won his right to join the`Ice Wolf tribe.
AirJulyn10|Deliver this parchment to the Quartermaster and ye shall start the journey of helping others.
AIRMagiBk1|The Power of Two`A magician has many tools at his`or her disposal.  Oftentimes a`magician can accomplish tasks`that many others cannot. This is`done by the ability to summon`anything and everything that he`or she would need.  A magician is`self-sufficient, and can maintain`his or her own existence`completely bereft of the`assistance of others.`It is rare to see a magician that`is not followed by an elemental.`This summoning is but one of many,`but is obviously the most`beneficial to the caster. These`elementals come in a variety of`shapes and in a variety of sizes,`each unique in its own way.  A`wise magician will have a variety`of elemental summonings in his`spell arsenal, and will use each`as the situation demands.  The`most notable use of these`elementals is in battle.  For if`a magician knows his enemy's`weakness, it is very likely that`he has an elemental that will`exploit it.``Gwysan FireHand`High Enchanter of Ak'Anon
AIRMagiBk2|The Existence of Essence``It is channeling the caster's`essence that allows him to `conjure items from nothing.  The`items are not created from thin`air, they are woven from the`caster's inner essence.  Should`the caster grow weary, that`fact will be represented in the`item that is summoned.  It will`be of a much lower quality.`The item may even dissipate into`nothingness if the caster is`tired or attempting to summon`something beyond his skill.  `As a caster's essence becomes`more refined, he is able to`attempt intricate summonings.`Some of the most prominent`magicians have been able to`summon up incredible items`of power that are permanent`fixtures in the world.
AIRMonBk1|To quest is to quest for`knowledge.  Our wisdom reaches`far, and our knowledge is great`for the inner peace that we have`obtained supercedes wealth and`power.  What is power but a`foolish facade that will blind`even the most righteous of men?`By understanding thyself, and thy`neighbor, you understand the`tranquility that is offered to`all who but seek it.`Seek not thine enemy, but know`them, and power will hold no`meaning for you.  Only the`enlightened walk this path, a`path you are well upon.``Written by``Wu the Tranquil
AIRMonBk2|``If you understand this, then`you are truly worthy.````Ton Po`Grandmaster of the Ashen Order
AIRNecBk1|Necropotence`The struggle lasted for hours.`The battlefield was littered with`bodies. The air stank of `corruption. A man walked among`them. His robes, black in color,`enshrouded his body as he walked`the night. He surveyed the field,`a field of bones and flesh, a`flash of ivory could be seen`deep within the cowl of the robe`as he smiled to himself.`He knew that his lord had grown`in strength this day.  The figure`began arranging the bodies of the`slain, collecting pieces suitable`for his creation.  He uttered a`few words in prayer to his dark`lord, the Prince of Hate, and he`went into motion.  The corpse,`lifeless before him, arose,`no more a man, but an abomination,`animated by the sheer will of the`man and the power of his lord.`This day, the field was littered`with bones and flesh. This day,`by the dead and the dying he gave`them honor and let them live again`as his servant.``This day, he knew power.
AIRNecBk2|Your power is your own.  Give it`not to anyone, and you shall hold`all.  Fear not others for they`are weak and know not the true`power.  Slay those who oppose you`and keep close those who are`strong yet stupid.  Know thy enemy`and slay him.``Lanys T`Vyl`Daughter of Hate
AIRNoble|Nobility sets a paladin apart from all other warriors.  You have shown yourself to be one who follows the path of nobility like no other.  You have my blessing upon you.``Inte Akera`High Paladin of Prexus
AIROgogBk|Da warrierz life eez a guud un.`Dey kin do meny tinkgz dat udderz`kin not.  Deyz guud bashaz cuz`dey hav beeg swurdz det kin`smash reel guud.  Meez smash much`cuz meez guud basher.  Uuz kin be`guud basher eef uuz lissun to da`weend whun uuz here.  Meez like`diz plaze.``Ogog
AIRPalBk1|The Power of the Gods`      and its effect upon`      The Land of Norrath``It has been many years since the`land has felt the presence of the`humanoid races.  It has seen the`rise and fall of empires. In time`all of these mighty empires may`fall, but one thing is certain;`The gods will forever remain and`so shall ye if ye serve them.`A holy knight is rare, for it`involves the cleanliness of both`body and mind. To walk the path`of virtue is in fact a difficult`task. Temptation will be felt at`every corner, every whisper in`your ear. The time will come when`a choice must be made, and the`holy knight makes the choice best`suited for valor and honor. Walk`the path of virtue and you shall`remain forever true to the One.
AIRPalBk2|The Fall From Grace``I be tellin' ye that I know the`way me mate fell from the grace`of his god there.  He be fightin'`and bashin' out in front of`Butcher.  The gobbies were movin'`in makin' their presence known,`and the King 'imself was there`fightin.  We got 'em back, pushin'`and pushin' till they ain't`fightin' any more but he went on a`fightin'.``They were screamin' and hollerin',`beggin' fer their measly little`lives and he warn't listenin'.`Ye see, he was caught up in the`ol' battle rage and was a fightin'`like there was no tomorrow.`The gods don't be lookin' kindly`on this and he be a warrior now,`plain and simple.``I guess he likes it that way, but`he be whinin' all the time how he`doesn't hear Brell singin' in his`ear no more. Aye, 'twas a sad day,`one that I be takin' to me` grave.
AIRRangBk1|Day 327, Sisterhood Island.``Again my brother came to me.`He asked that I return to the`ways of Tunare and again,`I refused. I have no desire to`follow a god who carries with`her such inequality between the`sexes. For generations, the elves`have always shown favor to the`male elven rangers.`They ignored all of the good`we had done for the forest of`the Faydarks. So we left. We left`for very good reason. Here we are`able to accomplish very much the`same thing, with one exception.`All of us are equal under the`sun. Each of us knows our own`worth and appreciates the`freedom we have been given.`Know thyself and know thy`abilities so says the Mistress`of the Island. Live by it.
AIRRangBk2|The Pledge of the Glade``I would rather die than allow the`degradation of the lands I`protect. It is my duty handed`down by our god that I hold dear.`I respect none who defile our`glades nor any others who idly`watch. We are to take swift and`severe action against those who`interfere with the balance of`nature.``Slay them we will should they`continue.``Watch the horizon, for we shall`come, and it shall be your life`that will be forfeit should you`stand in our way.
AIRRogBk1|The Art of Stealth and Shadows``For one to walk the path of`Shadow one must have ability and`dexterity. This having been said,`it is not typical of an oafish`troll to be successful in the art`that is detailed here.`The shadows are everywhere, they`surround us in a blanket of`security which we must walk if we`are to remain unseen.`Shadow is easily followed should`one train their eye to see them.`Even in the brightest of light`can be found shadows. Light is`what creates shadow, do not`forget it. Some incredibly`effective assassins have been`rumored to have created the`shadows from nothing, a feat I`have yet to reproduce.  Such is`the way of the walker of shadows.``We must learn, we must better`ourselves, and we must prevail.`For while we lack the protections`of magiks and the healings of our`gods, we show forever, the dark`hands of fate among men.
AIRRogBk2|Breaking and Entering``Breaking and Entering, perhaps`the single most useful skill for`a thief who seeks a life of`wealth, must be the ability to`enter any structure with `complete silence.`The silence must seep from their`every pore allowing them the`ability to be unseen and unheard.``When entering a residence or`locale from which a thief will`steal, a wise thief would walk a`given path, set out days or weeks`before. A foolish thief would`enter and spend his time in`discovery. Time is of the essence`in most instances and any missed`step can bring about your demise.`In essence, a thief must remember`that if he is fast, quiet, and`prepared he prosper greatly.
AIRSacrfce|The sacrifices a paladin makes while on his path are many.  This sacrifice has shown me that you truly follow the path of a paladin.  Take my blessing with pride, you deserve it.``Inte Akera`High Paladin of Prexus
AIRShadBk1|Meez idvise to yoo``Meez bin wit' meez god fer meny`muunz now. Meez know da tingz dat`heez needz me ta do end meez do`eet. All dat wun need ta be a guud`god nite eez eef uuz a guud`basher end uuz know ta talk ta `urz god end do whut heez sez, den`uuz be most power Ogre in da`land. Sept me uv cors.
AIRShadBk2|The Dark Blade`              and`   The Warriors of the Shadow``We are the warriors who fill the`void between magic and blade.`We harness the power of all that`is evil to make our swords and `hearts as hard as steel.  If you`are weak you will die.`I can only hope that it will`be by my hand.`The light shall fall always, at`the hands of the devout and the`faithful, for we know the way,`and we choose to walk it.`Steel thyself child, and walk`the Shadowed Road, for only then`will you know personal power,`and the power of the gods.
AIRShamBk1|To My Brother,`May he Rest In Peace.``I miss you brother, fer I have`not seen your face in the flesh`fer quite some time now. I feel`yer spirit though and I be`watchin' you in the beyond.`You still watch over me, and`fer that I be grateful.```Yer tireless spirit is`comfertin' fer me, and I live`not a day, without thinkin' of`ye and yer wisdom. I am growin'`weary of the land, and seek out`the respite that ye have.`Perhaps with the veil being`lifted beyond the skies I can`find what ye have.``Your Brother Eternal.
AIRShamBk2|Alkeme``Meez no much bout da mixink of`tingz. Wee shamanz guud at dat`cuz weez know whut eez whut.`Meez know dat many peeplz gunna`find meny new tingz dat dey kin`make, und whun dey do, meez`gunna tell ye how.
AirStump10|Take this note to Stump Giantslayer.
AIRWizBk1|Power of Fire and Ice`We draw as a group from many`powers, most of which include`that of our own inner essence.`This power can be manifested in`many forms.  Our preferred form is`that of Fire and Ice. Each have`properties which can affect a`wide variety of creatures if used`in the correct form.  This is our`single most powerful ally in our`quest for knowledge and power.``Solusek Ro has shown us the way`and we must have the will to`manifest the power.
AIRWizBk2|Channeling``Once one has mastered the art of`projecting one's will upon the`plane, one is then able to learn`to channel this power and use it`to its utmost effectiveness.`With this having been said, it`is important to remember then,`that the channeling of specific`magikal energy can be a dangerous`endeavor.  A wizard must always`remember to focus his energies to`a point when directly casting`upon one other individual. If you`were to mischannel any amount of`energy, you would risk damaging`both you and your companions.`If the intention is to cause a`widespread amount of destruction`then it is important to channel a`wide range of essence.`This manner of attack is often`more exhausting and will require`a great deal of concentration`whilst casting. It is imperative`then that you always be aware of`your current essence, and gauge`your opponents well.
AKACleGM01|Journey to the Abbey of Deep Musing, where Iony Gredlong awaits.  She is the Master Cleric of the Deep Muses.  Take this note to her, and she will instruct you further.
AKACleGM02|You have chosen to become part of the Dark Reflection, and embrace the very shadows that have haunted and chased you your whole life.  There is no turning back know. . .seek out Evah Xokez, she will instruct you further.
AKAEEncGM1|In the mirror of this wretched society, we await. . .the time grows ever near, for us to shatter these rose-colored visions of Ak'Anon's citizens, and let their eyes fall upon the image of our true selves.  The Dark Reflection readies its soldiers of Bertoxxulous, hidden away deep beneath Ak'Anon, in the Mines of Malfunction.  Rilgor Plegnog is your new master now. . .do not keep him waiting.
AKAEMagGM1|In the mirror of this wretched society, we await. . .the time grows ever near, for us to shatter these rose-colored visions of Ak'Anon's citizens, and let their eyes fall upon the image of our true selves.  The Dark Reflection readies its soldiers of Bertoxxulous, hidden away deep beneath Ak'Anon, in the Mines of Malfunction.  Vaenor Husga is your new master now. . .do not keep him waiting.
AKAEncGM01|Greetings young pupil, your new school awaits you.  Seek out the Eldritch Collective at the Library Mechanimagica.  Give this Registration Letter to master Juline Urncaller, she will introduce you to your new course of studies.
AKAERogGM1|In the mirror of this wretched society, we await. . .the time grows ever near, for us to shatter these rose-colored visions of Ak'Anon's citizens, and let their eyes fall upon the image of our true selves.  The Dark Reflection readies its soldiers of Bertoxxulous, hidden away deep beneath Ak'Anon, in the Mines of Malfunction.  Kaxon Frennor is your new master now. . .do not keep him waiting.
AKAEWarGM1|In the mirror of this wretched society, we await. . .the time grows ever near, for us to shatter these rose-colored visions of Ak'Anon's citizens, and let their eyes fall upon the image of our true selves.  The Dark Reflection readies its soldiers of Bertoxxulous, hidden away deep beneath Ak'Anon, in the Mines of Malfunction.  Naygog Mitope is your new master now. . .do not keep him waiting.
AKAEWizGM1|In the mirror of this wretched society, we await. . .the time grows ever near, for us to shatter these rose-colored visions of Ak'Anon's citizens, and let their eyes fall upon the image of our true selves.  The Dark Reflection readies its soldiers of Bertoxxulous, hidden away deep beneath Ak'Anon, in the Mines of Malfunction.  Velena Corgtec is your new master now. . .do not keep him waiting.
AKAMagGM01|Welcome new student of the Eldritch Collective.  Take this Registration Letter to master Wuggan Azusphere at the Library Mechanimagica.  He will be your new instructor.  Study hard, and you shall obtain your goals.
AKANecGM01|In the mirror of this wretched society, we await. . .the time grows ever near, for us to shatter these rose-colored visions of Ak'Anon's citizens, and let their eyes fall upon the image of our true selves.  The Dark Reflection readies its soldiers of Bertoxxulous, hidden away deep beneath Ak'Anon, in the Mines of Malfunction.  Eonis Mournunder is your new master now. . .do not keep him waiting.
AKANews0|Tinker's News and World Report`Volume 7; Issue 2`*****************************``----------------------------`Lanys Cult Mucks with Rathe`----------------------------``Reports are flooding in from `the Mountains of Rathe that `the group known as the `Primordial Malice, in an `attempt to resurrect their `dead-as-a-doornail sweetheart `Lanys T'Vyl, managed to screw `up the job and unleashed chaos`upon the area. Sightings `include long dead dragons `coming to life, nightmarish `beings of ineffable evil and `various other toothy monstrous`horrors.``Travelers in the area should `exercise extreme caution when `navigating this region.``----------------------------`Freaks in Northern Ro`----------------------------``In the Northern Deserts of Ro,`a group known as the Followers`of Tishe Virm has made an `appearance. Apparently there `for a feast which takes place `only every other (human) `generation, they are `attempting to call forth the `being they call Tishe Virm.``The method they use to attempt`to do this is rather `disturbing. Apparently, they `soak corpses in a solution and`then plant them in the ground.`Then through some horribly `malign magic, they grow fungus`and rise from the dead. The `fungus is used to entice this `Tishe Virm thing out of `hibernation. Freaks!``Our local scholars have `uncovered even more disturbing`news! It seems that the feast `is not what they claim. The `feast is apparently for this `Tishe Virm thing with the main`course being the attendees of `said feast. We urge travellers`to the eastern coast of `Antonica to avoid this `festival if they know what is `good for them.
