type|level|hp|mana|armor|str|agi|sta|inte|spi|min_dmg|max_dmg
attacker|11|186|158|528|30|10|32|26|28|11|19
attacker|12|206|192|562|31|10|36|27|29|12|20
attacker|13|226|203|595|32|11|40|28|30|12|20
attacker|14|247|228|630|33|11|44|29|31|12|22
attacker|15|269|252|665|34|12|48|31|32|15|24
attacker|16|291|275|700|36|12|52|31|33|15|26
attacker|17|313|300|734|38|12|55|32|34|18|28
attacker|18|337|314|768|39|13|59|34|36|16|28
attacker|19|361|352|802|40|13|63|34|37|18|30
attacker|20|387|378|836|42|14|67|36|38|19|31
attacker|21|415|393|872|44|14|71|37|39|21|32
attacker|22|445|420|906|46|14|75|38|41|21|33
attacker|23|477|448|940|47|15|79|39|42|22|35
attacker|24|511|477|975|49|16|83|40|43|23|36
attacker|25|546|505|1008|50|16|87|42|44|24|38
attacker|26|583|534|1042|52|16|91|43|46|25|39
attacker|27|618|564|1078|53|17|95|43|47|26|40
attacker|28|656|582|1110|55|17|99|45|48|27|42
attacker|29|693|625|1145|57|18|103|46|49|28|43
attacker|30|727|657|1178|57|18|107|48|51|29|44
attacker|31|762|677|1213|59|19|111|49|52|30|46
attacker|32|796|720|1248|60|19|115|50|53|30|47
attacker|33|832|742|1281|62|20|119|51|54|32|48
attacker|34|867|776|1316|63|20|123|52|56|32|49
attacker|35|904|822|1349|65|21|127|54|57|33|51
attacker|36|941|845|1455|66|21|131|55|59|35|53
attacker|37|980|880|1567|68|21|135|56|60|35|54
attacker|38|1017|917|1683|70|22|139|58|62|36|55
attacker|39|1058|953|1807|72|22|143|59|63|37|57
attacker|40|1099|961|1937|74|23|148|61|65|38|58
attacker|41|1137|1026|2072|76|23|152|62|66|41|62
attacker|42|1185|1064|2216|81|23|156|63|67|43|65
attacker|43|1232|1104|2367|86|24|160|65|69|46|70
attacker|44|1279|1143|2527|93|25|164|65|70|50|76
attacker|45|1326|1182|2693|96|25|169|67|72|52|79
attacker|46|1377|1223|2749|98|26|173|68|73|53|80
attacker|47|1393|1264|2802|100|26|177|70|75|55|83
attacker|48|1481|1306|2855|102|27|181|72|76|55|84
attacker|49|1535|1348|2910|104|27|186|73|78|57|87
attacker|50|1590|1393|2964|107|28|190|75|80|59|89
attacker|51|1646|1436|3017|109|29|194|76|81|59|90
attacker|52|1702|1482|3072|111|29|199|77|82|61|93
attacker|53|1761|1528|3126|113|30|203|79|84|62|94
attacker|54|1818|1573|3178|115|30|207|80|85|64|97
attacker|55|1877|1631|3232|117|31|212|82|88|65|98
attacker|56|1938|1667|3287|120|31|216|83|89|66|100
attacker|57|1999|1727|3340|122|32|221|84|90|68|103
attacker|58|2062|1764|3394|124|33|225|87|92|85|128
attacker|59|2127|1825|3447|127|33|230|88|94|91|137
attacker|60|2193|1876|3748|129|34|234|90|96|113|171
attacker|61|2258|1915|4044|132|35|239|105|99|130|195
attacker|62|2326|1979|4340|133|36|243|108|102|142|214
attacker|63|2392|2019|4636|136|37|248|112|105|151|227
attacker|64|2460|2084|4932|138|38|252|115|108|160|241
attacker|65|2531|2150|5228|141|39|257|119|110|170|255
attacker|66|2603|2193|5523|143|39|261|122|113|180|270
attacker|67|2678|2260|5821|146|41|266|124|115|190|285
attacker|68|2754|2304|6116|148|41|271|127|118|220|331
attacker|69|2832|2373|6412|151|42|275|130|120|241|361
attacker|70|2910|2431|6708|153|43|280|133|122|261|392
attacker|71|3070|2489|7007|155|47|285|134|125|269|403
attacker|72|3225|2550|7305|158|50|289|136|127|276|415
attacker|73|3384|2610|7604|161|54|294|138|130|284|427
attacker|74|3546|2671|7903|177|58|299|139|190|293|440
attacker|75|3710|2744|8204|195|63|304|141|194|302|453
attacker|76|3874|2807|8503|214|67|309|143|196|310|466
attacker|77|4044|2870|8803|236|72|314|144|200|320|480
attacker|78|4214|2935|9104|260|78|318|146|202|330|494
attacker|79|4387|3000|9405|285|84|323|148|206|340|509
attacker|80|4567|3077|9706|314|90|328|150|209|350|524
defender|1|43|15|32|21|8|21|23|23|1|1
defender|2|57|29|34|22|8|22|23|23|1|3
defender|3|74|44|74|22|8|23|23|25|2|4
defender|4|89|59|132|23|8|24|24|25|3|5
defender|5|106|74|202|24|9|24|24|25|4|6
defender|6|124|88|289|25|9|25|24|26|4|8
defender|7|142|103|393|26|9|26|24|26|5|9
defender|8|162|118|517|27|10|27|25|26|6|10
defender|9|182|132|661|28|10|28|25|27|6|12
defender|10|205|147|831|29|10|29|25|27|7|13
defender|11|229|158|875|30|10|32|26|28|8|14
defender|12|253|192|931|31|10|36|27|29|9|15
defender|13|278|203|987|32|11|40|28|30|9|15
defender|14|304|228|1044|33|11|44|29|31|9|16
defender|15|331|252|1102|34|12|48|31|32|11|18
defender|16|358|275|1160|36|12|52|31|33|11|19
defender|17|385|300|1217|38|12|55|32|34|13|21
defender|18|415|314|1273|39|13|59|34|36|12|21
defender|19|444|352|1330|40|13|63|34|37|13|22
defender|20|476|378|1386|42|14|67|36|38|14|23
defender|21|510|393|1446|44|14|71|37|39|15|25
defender|22|548|420|1503|46|14|75|38|41|15|25
defender|23|586|448|1559|47|15|79|39|42|16|26
defender|24|628|477|1617|49|16|83|40|43|16|27
defender|25|671|505|1672|50|16|87|42|44|18|29
defender|26|716|534|1729|52|16|91|43|46|19|30
defender|27|759|564|1788|53|17|95|43|47|19|31
defender|28|805|582|1842|55|17|99|45|48|20|32
defender|29|850|625|1900|57|18|103|46|49|20|32
defender|30|892|657|1955|57|18|107|48|51|21|34
defender|31|935|677|2012|59|19|111|49|52|22|35
defender|32|977|720|2071|60|19|115|50|53|22|36
defender|33|1021|742|2125|62|20|119|51|54|23|37
defender|34|1064|776|2184|63|20|123|52|56|23|37
defender|35|1110|822|2238|65|21|127|54|57|24|39
defender|36|1155|845|2415|66|21|131|55|59|25|40
defender|37|1202|880|2602|68|21|135|56|60|26|41
defender|38|1249|917|2795|70|22|139|58|62|26|42
defender|39|1298|953|3002|72|22|143|59|63|27|43
defender|40|1349|988|3219|74|23|148|61|65|28|44
defender|41|1395|1026|3444|76|23|152|62|66|30|47
defender|42|1453|1064|3685|81|23|156|63|67|31|49
defender|43|1510|1104|3936|86|24|160|65|69|34|53
defender|44|1569|1143|4203|93|25|164|65|70|36|58
defender|45|1626|1182|4480|96|25|169|67|72|38|60
defender|46|1689|1223|4573|98|26|173|68|73|38|61
defender|47|1751|1264|4641|100|26|177|70|75|40|63
defender|48|1815|1306|4749|102|27|181|72|76|40|64
defender|49|1881|1348|4841|104|27|186|73|78|42|66
defender|50|1949|1393|4931|107|28|190|75|80|43|68
defender|51|2017|1436|5018|109|29|194|76|81|43|68
defender|52|2087|1482|5110|111|29|199|77|82|45|71
defender|53|2158|1528|5200|113|30|203|79|84|45|72
defender|54|2229|1573|5287|115|30|207|80|85|47|74
defender|55|2300|1631|5376|117|31|212|82|88|48|75
defender|56|2375|1667|5468|120|31|216|83|89|48|76
defender|57|2450|1727|5556|122|32|221|84|90|50|78
defender|58|2527|1764|5645|124|33|225|87|92|63|99
defender|59|2606|1825|5734|127|33|230|88|94|68|107
defender|60|2686|1876|6236|129|34|234|90|96|87|134
defender|61|2767|1915|6730|132|35|239|105|99|100|154
defender|62|2849|1979|7223|133|36|243|108|102|110|169
defender|63|2932|2019|7717|136|37|248|112|105|117|180
defender|64|3014|2084|8210|138|38|252|115|108|125|191
defender|65|3101|2150|8704|141|39|257|119|110|132|202
defender|66|3189|2193|9197|143|39|261|122|113|140|214
defender|67|3280|2260|9693|146|41|266|124|115|148|226
defender|68|3374|2304|10186|148|41|271|127|118|173|264
defender|69|3468|2373|10679|151|42|275|130|120|189|289
defender|70|3564|2431|11173|153|43|280|133|122|207|314
defender|71|3742|2489|11670|155|47|285|134|125|212|323
defender|72|3915|2550|12165|158|50|289|136|127|218|332
defender|73|4094|2610|12662|161|54|294|138|130|225|342
defender|74|4276|2671|13159|177|58|299|139|190|231|352
defender|75|4461|2744|13658|195|63|304|141|194|238|362
defender|76|4647|2807|14155|214|67|309|143|196|244|371
defender|77|4837|2870|14652|236|72|314|144|200|250|381
defender|78|5029|2935|15151|260|78|318|146|202|257|392
defender|79|5226|3000|15650|285|84|323|148|206|264|403
defender|80|5428|3077|16148|314|90|328|150|209|271|414
powerful|1|43|15|28|21|8|21|23|23|1|1
powerful|2|57|29|30|22|8|22|23|23|1|4
powerful|3|74|44|64|22|8|23|23|25|3|5
powerful|4|89|59|115|23|8|24|24|25|4|6
powerful|5|106|74|176|24|9|24|24|25|5|7
powerful|6|124|88|251|25|9|25|24|26|5|10
powerful|7|142|103|342|26|9|26|24|26|6|11
powerful|8|162|118|449|27|10|27|25|26|8|12
powerful|9|182|132|574|28|10|28|25|27|8|15
powerful|10|205|147|722|29|10|29|25|27|9|16
powerful|11|229|158|760|30|10|32|26|28|10|17
powerful|12|253|192|809|31|10|36|27|29|11|18
powerful|13|278|203|858|32|11|40|28|30|11|18
powerful|14|304|228|907|33|11|44|29|31|11|20
powerful|15|331|252|958|34|12|48|31|32|14|22
powerful|16|358|275|1008|36|12|52|31|33|14|23
powerful|17|385|300|1058|38|12|55|32|34|16|26
powerful|18|415|314|1106|39|13|59|34|36|15|26
powerful|19|444|352|1156|40|13|63|34|37|16|27
powerful|20|476|378|1204|42|14|67|36|38|18|28
powerful|21|510|393|1257|44|14|71|37|39|19|31
powerful|22|548|420|1306|46|14|75|38|41|19|31
powerful|23|586|448|1355|47|15|79|39|42|20|32
powerful|24|628|477|1405|49|16|83|40|43|20|33
powerful|25|671|505|1453|50|16|87|42|44|23|35
powerful|26|716|534|1502|52|16|91|43|46|24|37
powerful|27|759|564|1554|53|17|95|43|47|24|38
powerful|28|805|582|1601|55|17|99|45|48|25|39
powerful|29|850|625|1651|57|18|103|46|49|25|39
powerful|30|892|657|1699|57|18|107|48|51|26|42
powerful|31|935|677|1748|59|19|111|49|52|28|43
powerful|32|977|720|1800|60|19|115|50|53|28|44
powerful|33|1021|742|1847|62|20|119|51|54|29|45
powerful|34|1064|776|1898|63|20|123|52|56|29|45
powerful|35|1110|822|1945|65|21|127|54|57|30|48
powerful|36|1155|845|2099|66|21|131|55|59|31|49
powerful|37|1202|880|2261|68|21|135|56|60|33|50
powerful|38|1249|917|2429|70|22|139|58|62|33|51
powerful|39|1298|953|2609|72|22|143|59|63|34|52
powerful|40|1349|988|2797|74|23|148|61|65|35|54
powerful|41|1395|1026|2993|76|23|152|62|66|38|57
powerful|42|1453|1064|3202|81|23|156|63|67|39|60
powerful|43|1510|1104|3420|86|24|160|65|69|43|65
powerful|44|1569|1143|3652|93|25|164|65|70|45|71
powerful|45|1626|1182|3893|96|25|169|67|72|48|73
powerful|46|1689|1223|3974|98|26|173|68|73|48|74
powerful|47|1751|1264|4033|100|26|177|70|75|50|77
powerful|48|1815|1306|4127|102|27|181|72|76|50|78
powerful|49|1881|1348|4207|104|27|186|73|78|53|81
powerful|50|1949|1393|4285|107|28|190|75|80|54|83
powerful|51|2017|1436|4361|109|29|194|76|81|55|84
powerful|52|2087|1482|4441|111|29|199|77|82|57|87
powerful|53|2158|1528|4519|113|30|203|79|84|58|88
powerful|54|2229|1573|4594|115|30|207|80|85|60|91
powerful|55|2300|1631|4672|117|31|212|82|88|61|92
powerful|56|2375|1667|4752|120|31|216|83|89|61|94
powerful|57|2450|1727|4828|122|32|221|84|90|63|96
powerful|58|2527|1764|4906|124|33|225|87|92|79|120
powerful|59|2606|1825|4983|127|33|230|88|94|85|129
powerful|60|2686|1876|5419|129|34|234|90|96|106|161
powerful|61|2767|1915|5848|132|35|239|105|99|122|184
powerful|62|2849|1979|6276|133|36|243|108|102|134|202
powerful|63|2932|2019|6705|136|37|248|112|105|142|215
powerful|64|3014|2084|7134|138|38|252|115|108|151|228
powerful|65|3101|2150|7563|141|39|257|119|110|160|241
powerful|66|3189|2193|7990|143|39|261|122|113|169|255
powerful|67|3280|2260|8422|146|41|266|124|115|179|269
powerful|68|3374|2304|8849|148|41|271|127|118|208|314
powerful|69|3468|2373|9278|151|42|275|130|120|227|342
powerful|70|3564|2431|9707|153|43|280|133|122|247|372
powerful|71|3742|2489|10139|155|47|285|134|125|254|382
powerful|72|3915|2550|10569|158|50|289|136|127|261|393
powerful|73|4094|2610|11001|161|54|294|138|130|268|404
powerful|74|4276|2671|11433|177|58|299|139|190|277|417
powerful|75|4461|2744|11867|195|63|304|141|194|285|429
powerful|76|4647|2807|12299|214|67|309|143|196|266|441
powerful|77|4837|2870|12731|236|72|314|144|200|302|454
powerful|78|5029|2935|13165|260|78|318|146|202|310|467
powerful|79|5226|3000|13599|285|84|323|148|206|320|481
powerful|80|5428|3077|14033|314|90|328|150|209|329|495
spirit|1|25|11|13|15|6|15|16|16|1|1
spirit|2|32|20|15|15|6|15|16|16|1|3
spirit|3|42|31|32|15|6|16|16|18|2|4
spirit|4|50|41|56|16|6|17|17|18|3|5
spirit|5|60|52|85|17|6|17|17|18|4|6
spirit|6|71|62|122|18|6|18|17|18|4|8
spirit|7|81|72|166|18|6|18|17|18|5|8
spirit|8|92|83|218|19|7|19|18|18|6|9
spirit|9|104|92|279|20|7|20|18|19|6|11
spirit|10|117|103|351|20|7|20|18|19|7|13
spirit|11|130|111|370|21|7|22|18|20|8|13
spirit|12|144|134|393|22|7|25|19|20|8|14
spirit|13|158|142|417|22|8|28|20|21|8|14
spirit|14|173|160|441|23|8|31|20|22|8|15
spirit|15|188|176|466|24|8|34|22|22|11|17
spirit|16|204|193|490|25|8|36|22|23|11|18
spirit|17|219|210|514|27|8|39|22|24|13|20
spirit|18|236|220|538|27|9|41|24|25|11|20
spirit|19|253|246|561|28|9|44|24|26|13|21
spirit|20|271|265|585|29|10|47|25|27|13|22
spirit|21|291|275|610|31|10|50|26|27|15|22
spirit|22|312|294|634|32|10|53|27|29|15|23
spirit|23|334|314|658|33|11|55|27|29|15|25
spirit|24|358|334|683|34|11|58|28|30|16|25
spirit|25|382|354|706|35|11|61|29|31|17|27
spirit|26|408|374|729|36|11|64|30|32|18|27
spirit|27|433|395|755|37|12|67|30|33|18|28
spirit|28|459|407|777|39|12|69|32|34|19|29
spirit|29|485|438|802|40|13|72|32|34|20|30
spirit|30|509|460|825|40|13|75|34|36|20|31
spirit|31|533|474|849|41|13|78|34|36|21|32
spirit|32|557|504|874|42|13|81|35|37|21|33
spirit|33|582|519|897|43|14|83|36|38|22|34
spirit|34|607|543|921|44|14|86|36|39|22|34
spirit|35|633|575|944|46|15|89|38|40|23|36
spirit|36|659|592|1019|46|15|92|39|41|25|37
spirit|37|686|616|1097|48|15|95|39|42|25|38
spirit|38|712|642|1178|49|15|97|41|43|25|39
spirit|39|741|667|1265|50|15|100|41|44|26|40
spirit|40|769|673|1356|52|16|104|43|46|27|41
spirit|41|796|718|1450|53|16|106|43|46|29|43
spirit|42|830|745|1551|57|16|109|44|47|30|46
spirit|43|862|773|1657|60|17|112|46|48|32|49
spirit|44|895|800|1769|65|18|115|46|49|35|53
spirit|45|928|827|1885|67|18|118|47|50|36|55
spirit|46|964|856|1924|69|18|121|48|51|37|56
spirit|47|975|885|1961|70|18|124|49|53|39|58
spirit|48|1037|914|1999|71|19|127|50|53|39|59
spirit|49|1075|944|2037|73|19|130|51|55|40|61
spirit|50|1113|975|2075|75|20|133|53|56|41|62
spirit|51|1152|1005|2112|76|20|136|53|57|41|63
spirit|52|1191|1037|2150|78|20|139|54|57|43|65
spirit|53|1233|1070|2188|79|21|142|55|59|43|66
spirit|54|1273|1101|2225|81|21|145|56|60|45|68
spirit|55|1314|1142|2262|82|22|148|57|62|46|69
spirit|56|1357|1167|2301|84|22|151|58|62|46|70
spirit|57|1399|1209|2338|85|22|155|59|63|48|72
spirit|58|1443|1235|2376|87|23|158|61|64|60|90
spirit|59|1489|1278|2413|89|23|161|62|66|64|96
spirit|60|1535|1313|2624|90|24|164|63|67|79|120
spirit|61|1581|1341|2831|92|25|167|74|69|91|137
spirit|62|1628|1385|3038|93|25|170|76|71|99|150
spirit|63|1674|1413|3245|95|26|174|78|74|106|159
spirit|64|1722|1459|3452|97|27|176|81|76|112|169
spirit|65|1772|1505|3660|99|27|180|83|77|119|179
spirit|66|1822|1535|3866|100|27|183|85|79|126|189
spirit|67|1875|1582|4075|102|29|186|87|81|133|200
spirit|68|1928|1613|4281|104|29|190|89|83|154|232
spirit|69|1982|1661|4488|106|29|193|91|84|169|253
spirit|70|2037|1702|4696|107|30|196|93|85|183|274
spirit|71|2149|1742|4905|109|33|200|94|88|188|282
spirit|72|2258|1785|5114|111|35|202|95|89|193|291
spirit|73|2369|1827|5323|113|38|206|97|91|199|299
spirit|74|2482|1870|5532|124|41|209|97|133|205|308
spirit|75|2597|1921|5743|137|44|213|99|136|211|317
spirit|76|2712|1965|5952|150|47|216|100|137|217|326
spirit|77|2831|2009|6162|165|50|220|101|140|224|336
spirit|78|2950|2055|6373|182|55|223|102|141|231|346
spirit|79|3071|2100|6584|200|59|226|104|144|238|356
spirit|80|3197|2154|6794|220|63|230|105|146|245|367
