raceid|genderid|helmtextureid|textureindex|colortintid|faceindex|creaturedisplay_dbcid
1|0|0|1|20008|5|38434
1|0|1|1|20008|2|38435
1|0|0|1|20008|6|38436
1|0|1|1|20008|3|38437
1|0|0|1|20008|7|38438
1|0|1|1|20008|4|38439
1|0|1|1|20008|5|38440
1|0|1|1|20008|6|38441
1|0|1|1|20008|7|38442
1|0|0|2|20002|1|38443
1|0|0|2|20002|2|38444
1|0|0|2|20002|3|38445
1|0|2|2|20002|1|38446
1|0|0|2|20002|4|38447
1|0|2|2|20002|2|38448
1|0|0|2|20002|5|38449
1|0|0|3|0|1|38450
1|0|2|2|20002|3|38451
1|0|0|2|20002|6|38452
1|0|0|3|0|2|38453
1|0|2|2|20002|4|38454
1|0|0|2|20002|7|38455
1|0|0|3|0|3|38456
1|0|2|2|20002|5|38457
1|0|2|2|20002|6|38458
1|0|2|2|20002|7|38459
1|0|0|3|0|4|38460
1|0|3|3|0|1|38461
1|0|0|3|0|5|38462
1|0|3|3|0|2|38463
1|0|3|3|0|3|38464
1|0|3|3|0|4|38465
1|0|3|3|0|5|38466
1|0|3|3|0|6|38467
1|0|0|3|0|6|38468
1|0|0|3|0|7|38469
1|0|3|3|0|7|38470
1|0|0|1|20003|1|38471
1|0|0|1|20003|2|38472
1|0|0|1|20003|3|38473
1|0|0|1|20003|4|38474
1|0|0|1|20003|5|38475
1|0|0|1|20003|6|38476
1|0|0|1|20003|7|38477
1|0|1|1|20003|1|38478
1|0|1|1|20003|2|38479
1|0|1|1|20003|3|38480
1|0|1|1|20003|4|38481
1|0|1|1|20003|5|38482
1|0|1|1|20003|6|38483
1|0|1|1|20003|7|38484
1|0|0|2|20001|1|38485
1|0|0|2|20001|2|38486
1|0|2|2|20001|1|38487
1|0|0|2|20001|3|38488
1|0|2|2|20001|2|38489
1|0|0|2|20001|4|38490
1|0|2|2|20001|3|38491
1|0|0|2|20001|5|38492
1|0|2|2|20001|4|38493
1|0|0|2|20001|6|38494
1|0|2|2|20001|5|38495
1|0|0|2|20001|7|38496
1|0|2|2|20001|6|38497
1|0|2|2|20001|7|38498
1|0|0|1|20011|1|38499
1|0|0|1|20011|2|38500
1|0|1|1|20011|1|38501
1|0|0|1|20011|3|38502
1|0|0|1|20004|1|38503
1|0|1|1|20011|2|38504
1|0|0|1|20011|4|38505
1|0|0|1|20004|2|38506
1|0|1|1|20004|1|38507
1|0|1|1|20011|3|38508
1|0|0|1|20011|5|38509
1|0|0|1|20004|3|38510
1|0|1|1|20004|2|38511
1|0|1|1|20011|4|38512
1|0|0|1|20011|6|38513
1|0|0|1|20004|4|38514
1|0|1|1|20004|3|38515
1|0|1|1|20011|5|38516
1|0|0|1|20011|7|38517
1|0|0|1|20004|5|38518
1|0|1|1|20004|4|38519
1|0|1|1|20011|6|38520
1|0|0|1|20004|6|38521
1|0|1|1|20004|5|38522
1|0|1|1|20011|7|38523
1|0|0|1|20004|7|38524
1|0|1|1|20004|6|38525
1|0|1|1|20004|7|38526
1|0|2|2|20003|1|38527
1|0|2|2|20003|2|38528
1|0|2|2|20003|3|38529
1|0|0|2|20003|1|38530
1|0|2|2|20003|4|38531
1|0|0|2|20003|2|38532
1|0|2|2|20003|5|38533
1|0|0|2|20003|3|38534
1|0|2|2|20003|6|38535
1|0|0|2|20003|4|38536
1|0|2|2|20003|7|38537
1|0|0|2|20003|5|38538
1|0|0|2|20003|6|38539
1|0|0|2|20003|7|38540
1|0|0|2|20004|1|38543
1|0|2|2|20004|1|38544
1|0|0|2|20004|2|38545
1|0|2|2|20004|2|38546
1|0|0|2|20004|3|38547
1|0|2|2|20004|3|38548
1|0|0|2|20004|4|38549
1|0|2|2|20004|4|38550
1|0|0|2|20004|5|38551
1|0|2|2|20004|5|38552
1|0|0|2|20004|6|38553
1|0|2|2|20004|6|38554
1|0|0|2|20004|7|38555
1|0|2|2|20004|7|38556
1|0|0|2|20006|1|38557
1|0|0|2|20006|2|38558
1|0|0|2|20006|3|38559
1|0|0|2|20006|4|38560
1|0|0|2|20006|5|38561
1|0|0|2|20006|6|38562
1|0|0|2|20006|7|38563
1|0|2|2|20009|1|38564
1|0|2|2|20009|2|38565
1|0|2|2|20009|3|38566
1|0|2|2|20009|4|38567
1|0|0|2|20009|1|38568
1|0|2|2|20009|5|38569
1|0|2|2|20006|1|38570
1|0|0|2|20009|2|38571
1|0|2|2|20009|6|38572
1|0|2|2|20006|2|38573
1|0|0|2|20009|3|38574
1|0|2|2|20009|7|38575
1|0|2|2|20006|3|38576
1|0|0|2|20009|4|38577
1|0|2|2|20006|4|38578
1|0|0|2|20009|5|38579
1|0|2|2|20006|5|38580
1|0|0|2|20009|6|38581
1|0|2|2|20006|6|38582
1|0|0|2|20009|7|38583
1|0|2|2|20006|7|38584
1|0|0|2|20007|1|38585
1|0|0|2|20007|2|38586
1|0|0|2|20007|3|38587
1|0|0|2|20007|4|38588
1|0|0|2|20007|5|38589
1|0|0|2|20007|6|38590
1|0|0|2|20007|7|38591
1|0|2|2|20007|1|38592
1|0|2|2|20007|2|38593
1|0|2|2|20007|3|38594
1|0|2|2|20007|4|38595
1|0|2|2|20007|5|38596
1|0|2|2|20007|6|38597
1|0|2|2|20007|7|38598
1|0|0|10|0|1|38599
1|0|0|10|0|2|38600
1|0|0|10|0|3|38601
1|0|0|10|0|4|38602
1|0|0|10|0|5|38603
1|0|0|10|0|6|38604
1|0|0|10|0|7|38605
1|0|2|2|20010|1|38606
1|0|0|2|20010|1|38607
1|0|2|2|20010|2|38608
1|0|0|2|20010|2|38609
1|0|2|2|20010|3|38610
1|0|0|2|20010|3|38611
1|0|2|2|20010|4|38612
1|0|0|2|20010|4|38613
1|0|2|2|20010|5|38614
1|0|0|2|20010|5|38615
1|0|2|2|20010|6|38616
1|0|0|2|20010|6|38617
1|0|2|2|20010|7|38618
1|0|0|2|20010|7|38619
1|0|0|2|20005|1|38620
1|0|0|2|20005|2|38621
1|0|0|2|20005|3|38622
1|0|2|2|20005|1|38623
1|0|0|2|20005|4|38624
1|0|2|2|20005|2|38625
1|0|0|2|20005|5|38626
1|0|2|2|20005|3|38627
1|0|0|2|20005|6|38628
1|0|2|2|20005|4|38629
1|0|0|2|20005|7|38630
1|0|2|2|20005|5|38631
1|0|2|2|20005|6|38632
1|0|2|2|20005|7|38633
1|0|2|2|20008|1|38634
1|0|0|2|20008|1|38635
1|0|2|2|20008|2|38636
1|0|0|2|20008|2|38637
1|0|2|2|20008|3|38638
1|0|0|2|20008|3|38639
1|0|2|2|20008|4|38640
1|0|0|2|20008|4|38641
1|0|2|2|20008|5|38642
1|0|0|2|20008|5|38643
1|0|2|2|20008|6|38644
1|0|0|2|20008|6|38645
1|0|2|2|20008|7|38646
1|0|0|2|20008|7|38647
1|0|0|3|20002|1|38648
1|0|0|3|20002|2|38649
1|0|0|3|20002|3|38650
1|0|0|3|20002|4|38651
1|0|0|3|20002|5|38652
1|0|0|3|20002|6|38653
1|0|0|3|20002|7|38654
1|0|3|3|20002|1|38655
1|0|3|3|20002|2|38656
1|0|3|3|20002|3|38657
1|0|3|3|20002|4|38658
1|0|3|3|20002|5|38659
1|0|3|3|20002|6|38660
1|0|3|3|20002|7|38661
1|0|0|11|0|1|38662
1|0|0|11|0|2|38663
1|0|0|11|0|3|38664
1|0|0|11|0|4|38665
1|0|0|11|0|5|38666
1|0|0|11|0|6|38667
1|0|0|11|0|7|38668
1|0|0|10|20001|1|38669
1|0|0|10|20001|2|38670
1|0|0|10|20001|3|38671
1|0|0|10|20001|4|38672
1|0|0|10|20001|5|38673
1|0|0|10|20001|6|38674
1|0|0|10|20001|7|38675
1|0|0|3|20001|1|38676
1|0|0|3|20001|2|38677
1|0|0|3|20001|3|38678
1|0|0|2|20011|1|38679
1|0|0|3|20001|4|38680
1|0|3|3|20001|1|38681
1|0|0|2|20011|2|38682
1|0|0|3|20001|5|38683
1|0|3|3|20001|2|38684
1|0|0|2|20011|3|38685
1|0|0|3|20001|6|38686
1|0|0|3|20001|7|38687
1|0|0|2|20011|4|38688
1|0|2|2|20011|1|38689
1|0|3|3|20001|3|38690
1|0|0|2|20011|5|38691
1|0|2|2|20011|2|38692
1|0|3|3|20001|4|38693
1|0|0|2|20011|6|38694
1|0|2|2|20011|3|38695
1|0|3|3|20001|5|38696
1|0|0|2|20011|7|38697
1|0|2|2|20011|4|38698
1|0|3|3|20001|6|38699
1|0|2|2|20011|5|38700
1|0|3|3|20001|7|38701
1|0|2|2|20011|6|38702
1|0|2|2|20011|7|38703
1|0|0|3|20006|1|38704
1|0|0|3|20006|2|38705
1|0|3|3|20006|1|38706
1|0|0|3|20006|3|38707
1|0|3|3|20006|2|38708
1|0|0|3|20006|4|38709
1|0|3|3|20006|3|38710
1|0|0|3|20006|5|38711
1|0|3|3|20006|4|38712
1|0|0|3|20006|6|38713
1|0|3|3|20006|5|38714
1|0|0|3|20006|7|38715
1|0|3|3|20006|6|38716
1|0|3|3|20006|7|38717
1|0|0|12|0|1|38718
1|0|0|12|0|2|38719
1|0|0|12|0|3|38720
1|0|0|12|0|4|38721
1|0|0|12|0|5|38722
1|0|0|12|0|6|38723
1|0|0|12|0|7|38724
1|0|0|10|20007|1|38725
1|0|0|10|20007|2|38726
1|0|0|10|20007|3|38727
1|0|0|10|20007|4|38728
1|0|0|10|20007|5|38729
1|0|0|10|20007|6|38730
1|0|0|10|20007|7|38731
1|0|0|3|20007|1|38732
1|0|0|3|20007|2|38733
1|0|3|3|20007|1|38734
1|0|0|3|20007|3|38735
1|0|3|3|20007|2|38736
1|0|0|3|20007|4|38737
1|0|3|3|20007|3|38738
1|0|0|3|20007|5|38739
1|0|3|3|20007|4|38740
1|0|0|3|20007|6|38741
1|0|3|3|20007|5|38742
1|0|0|3|20007|7|38743
1|0|3|3|20007|6|38744
1|0|3|3|20007|7|38745
1|0|0|3|20009|1|38746
1|0|3|3|20009|1|38747
1|0|0|3|20009|2|38748
1|0|3|3|20009|2|38749
1|0|0|3|20009|3|38750
1|0|3|3|20009|3|38751
1|0|0|3|20009|4|38752
1|0|3|3|20009|4|38753
1|0|0|3|20009|5|38754
1|0|3|3|20009|5|38755
1|0|0|3|20009|6|38756
1|0|3|3|20009|6|38757
1|0|0|3|20009|7|38758
1|0|3|3|20009|7|38759
1|0|3|3|20008|1|38760
1|0|3|3|20008|2|38761
1|0|3|3|20008|3|38762
1|0|3|3|20008|4|38763
1|0|0|3|20008|1|38764
1|0|3|3|20008|5|38765
1|0|0|3|20008|2|38766
1|0|3|3|20008|6|38767
1|0|0|3|20008|3|38768
1|0|3|3|20008|7|38769
1|0|0|3|20008|4|38770
1|0|0|3|20008|5|38771
1|0|0|3|20008|6|38772
1|0|0|3|20008|7|38773
1|0|3|3|20005|1|38774
1|0|3|3|20005|2|38775
1|0|3|3|20005|3|38776
1|0|3|3|20005|4|38777
1|0|3|3|20005|5|38778
1|0|0|13|0|1|38779
1|0|3|3|20005|6|38780
1|0|0|3|20005|1|38781
1|0|0|3|20005|2|38782
1|0|3|3|20005|7|38783
1|0|0|13|0|2|38784
1|0|0|3|20005|3|38785
1|0|0|13|0|3|38786
1|0|0|3|20005|4|38787
1|0|0|13|0|4|38788
1|0|0|3|20005|5|38789
1|0|0|13|0|5|38790
1|0|0|3|20005|6|38791
1|0|0|13|0|6|38792
1|0|0|3|20005|7|38793
1|0|0|13|0|7|38794
1|0|0|10|20009|1|38795
1|0|0|10|20009|2|38796
1|0|0|10|20009|3|38797
1|0|0|10|20009|4|38798
1|0|0|10|20009|5|38799
1|0|0|10|20009|6|38800
1|0|0|10|20009|7|38801
1|0|3|3|20003|1|38802
1|0|3|3|20003|2|38803
1|0|3|3|20003|3|38804
1|0|3|3|20003|4|38805
1|0|3|3|20003|5|38806
1|0|3|3|20003|6|38807
1|0|3|3|20003|7|38808
1|0|0|10|20005|1|38809
1|0|0|10|20005|2|38810
1|0|0|10|20005|3|38811
1|0|0|10|20005|4|38812
1|0|0|10|20005|5|38813
1|0|0|10|20005|6|38814
1|0|0|10|20005|7|38815
1|0|0|3|20003|1|38816
1|0|0|3|20003|2|38817
1|0|0|3|20003|3|38818
1|0|0|3|20003|4|38819
1|0|0|3|20003|5|38820
1|0|0|3|20003|6|38821
1|0|0|3|20003|7|38822
1|0|0|10|20006|1|38823
1|0|0|10|20006|2|38824
1|0|0|10|20006|3|38825
1|0|0|10|20006|4|38826
1|0|0|10|20006|5|38827
1|0|0|10|20006|6|38828
1|0|0|10|20006|7|38829
1|0|0|10|20003|1|38830
1|0|0|10|20003|2|38831
1|0|0|10|20003|3|38832
1|0|0|10|20003|4|38833
1|0|0|10|20003|5|38834
1|0|0|10|20003|6|38835
1|0|0|10|20003|7|38836
1|0|3|3|20004|1|38837
1|0|3|3|20004|2|38838
1|0|3|3|20004|3|38839
1|0|0|3|20004|1|38840
1|0|3|3|20004|4|38841
1|0|0|3|20004|2|38842
1|0|0|14|0|1|38843
1|0|3|3|20004|5|38844
1|0|0|3|20004|3|38845
1|0|0|14|0|2|38846
1|0|3|3|20004|6|38847
1|0|0|3|20004|4|38848
1|0|0|14|0|3|38849
1|0|0|14|0|4|38850
1|0|0|3|20004|5|38851
1|0|3|3|20004|7|38852
1|0|0|14|0|5|38853
1|0|0|3|20004|6|38854
1|0|0|14|0|6|38855
1|0|0|3|20004|7|38856
1|0|0|14|0|7|38857
1|0|0|11|20002|1|38858
1|0|0|11|20002|2|38859
1|0|0|11|20002|3|38860
1|0|0|11|20002|4|38861
1|0|0|11|20002|5|38862
1|0|0|11|20002|6|38863
1|0|0|11|20002|7|38864
1|0|0|10|20008|1|38865
1|0|0|10|20008|2|38866
1|0|0|10|20008|3|38867
1|0|0|10|20008|4|38868
1|0|0|10|20008|5|38869
1|0|0|10|20008|6|38870
1|0|0|10|20008|7|38871
1|0|0|11|20001|1|38872
1|0|0|11|20001|2|38873
1|0|0|11|20001|3|38874
1|0|0|11|20001|4|38875
1|0|0|11|20001|5|38876
1|0|0|11|20001|6|38877
1|0|0|11|20001|7|38878
1|0|3|3|20010|1|38879
1|0|3|3|20010|2|38880
1|0|0|3|20010|1|38881
1|0|3|3|20010|3|38882
1|0|0|3|20010|2|38883
1|0|3|3|20010|4|38884
1|0|0|3|20010|3|38885
1|0|3|3|20010|5|38886
1|0|0|3|20010|4|38887
1|0|3|3|20010|6|38888
1|0|0|3|20010|5|38889
1|0|3|3|20010|7|38890
1|0|0|3|20010|6|38891
1|0|0|3|20010|7|38892
1|0|0|11|20006|1|38893
1|0|0|11|20006|2|38894
1|0|0|15|0|1|38895
1|0|0|11|20006|3|38896
1|0|0|15|0|2|38897
1|0|0|11|20006|4|38898
1|0|0|15|0|3|38899
1|0|0|11|20006|5|38900
1|0|0|15|0|4|38901
1|0|0|11|20006|6|38902
1|0|0|15|0|5|38903
1|0|0|11|20006|7|38904
1|0|0|15|0|6|38905
1|0|0|15|0|7|38906
1|0|0|11|20005|1|38908
1|0|0|11|20005|2|38909
1|0|0|11|20004|1|38910
1|0|0|11|20005|3|38911
1|0|0|11|20004|2|38912
1|0|0|11|20005|4|38913
1|0|0|11|20004|3|38914
1|0|0|11|20005|5|38915
1|0|0|11|20004|4|38916
1|0|0|11|20005|6|38917
1|0|0|11|20004|5|38918
1|0|0|11|20005|7|38919
1|0|0|11|20004|6|38920
1|0|0|11|20004|7|38921
1|0|0|12|20002|1|38922
1|0|0|12|20002|2|38923
1|0|0|12|20002|3|38924
1|0|0|12|20002|4|38925
1|0|0|12|20002|5|38926
1|0|0|12|20002|6|38927
1|0|0|12|20002|7|38928
1|0|0|12|20009|1|38929
1|0|0|12|20009|2|38930
1|0|0|12|20009|3|38931
1|0|0|12|20009|4|38932
1|0|0|12|20009|5|38933
1|0|0|12|20009|6|38934
1|0|0|12|20009|7|38935
1|0|0|12|20006|1|38936
1|0|0|12|20006|2|38937
1|0|0|12|20006|3|38938
1|0|0|12|20006|4|38939
1|0|0|12|20001|1|38940
1|0|0|12|20006|5|38941
1|0|0|12|20001|2|38942
1|0|0|12|20006|6|38943
1|0|0|12|20001|3|38944
1|0|0|12|20006|7|38945
1|0|0|12|20001|4|38946
1|0|0|12|20001|5|38947
1|0|0|12|20001|6|38948
1|0|0|12|20001|7|38949
1|0|0|16|0|1|38950
1|0|0|16|0|2|38951
1|0|0|16|0|3|38952
1|0|0|16|0|4|38953
1|0|0|16|0|5|38954
1|0|0|16|0|6|38955
1|0|0|16|0|7|38956
1|0|0|10|20011|1|38957
1|0|0|10|20011|2|38958
1|0|0|10|20011|3|38959
1|0|0|10|20011|4|38960
1|0|0|10|20011|5|38961
1|0|0|10|20011|6|38962
1|0|0|10|20011|7|38963
1|0|0|12|20003|1|38964
1|0|0|12|20003|2|38965
1|0|0|12|20003|3|38966
1|0|0|12|20003|4|38967
1|0|0|12|20003|5|38968
1|0|0|12|20003|6|38969
1|0|0|12|20003|7|38970
1|0|0|12|20008|1|38971
1|0|0|12|20008|2|38972
1|0|0|12|20008|3|38973
1|0|0|12|20008|4|38974
1|0|0|12|20008|5|38975
1|0|0|12|20008|6|38976
1|0|0|12|20008|7|38977
1|0|0|13|20007|1|38978
1|0|0|13|20007|2|38979
1|0|0|13|20007|3|38980
1|0|0|13|20007|4|38981
1|0|0|13|20007|5|38982
1|0|0|13|20007|6|38983
1|0|0|13|20007|7|38984
1|0|0|12|20005|1|38985
1|0|0|12|20005|2|38986
1|0|0|12|20005|3|38987
1|0|0|12|20005|4|38988
1|0|0|12|20005|5|38989
1|0|0|12|20005|6|38990
1|0|0|12|20005|7|38991
1|0|0|13|20006|1|38992
1|0|0|13|20006|2|38993
1|0|0|13|20006|3|38994
1|0|0|13|20006|4|38995
1|0|0|13|20006|5|38996
1|0|0|13|20006|6|38997
1|0|0|13|20006|7|38998
1|0|0|13|20001|1|38999
1|0|0|13|20001|2|39000
1|0|0|13|20001|3|39001
1|0|0|13|20001|4|39002
1|0|0|13|20001|5|39003
1|0|0|13|20001|6|39004
1|0|0|13|20001|7|39005
1|0|0|12|20004|1|39006
1|0|0|12|20004|2|39007
1|0|0|12|20004|3|39008
1|0|0|12|20004|4|39009
1|0|0|12|20011|1|39010
1|0|0|12|20004|5|39011
1|0|0|12|20011|2|39012
1|0|0|12|20004|6|39013
1|0|0|12|20011|3|39014
1|0|0|12|20004|7|39015
1|0|0|12|20011|4|39016
1|0|0|12|20011|5|39017
1|0|0|12|20011|6|39018
1|0|0|12|20011|7|39019
1|0|0|3|20011|1|39020
1|0|0|3|20011|2|39021
1|0|0|3|20011|3|39022
1|0|0|3|20011|4|39023
1|0|0|3|20011|5|39024
1|0|0|3|20011|6|39025
1|0|0|3|20011|7|39026
1|0|3|3|20011|1|39027
1|0|3|3|20011|2|39028
1|0|3|3|20011|3|39029
1|0|3|3|20011|4|39030
1|0|3|3|20011|5|39031
1|0|3|3|20011|6|39032
1|0|3|3|20011|7|39033
1|0|0|13|20003|1|39034
1|0|0|13|20003|2|39035
1|0|0|13|20003|3|39036
1|0|0|13|20003|4|39037
1|0|0|13|20003|5|39038
1|0|0|13|20003|6|39039
1|0|0|13|20003|7|39040
1|0|0|13|20005|1|39041
1|0|0|13|20005|2|39042
1|0|0|13|20005|3|39043
1|0|0|13|20005|4|39044
1|1|0|0|0|1|39045
1|0|0|13|20005|5|39046
1|1|0|0|0|2|39047
1|0|0|13|20005|6|39048
1|1|0|0|0|3|39049
1|0|0|13|20005|7|39050
1|1|0|0|0|4|39051
1|1|0|0|0|5|39052
1|1|0|0|0|6|39053
1|1|0|0|0|7|39054
1|0|0|13|20008|1|39055
1|0|0|13|20008|2|39056
1|0|0|13|20008|3|39057
1|0|0|13|20008|4|39058
1|0|0|13|20008|5|39059
1|0|0|13|20008|6|39060
1|0|0|13|20008|7|39061
1|0|0|14|20001|1|39062
1|0|0|14|20001|2|39063
1|0|0|14|20001|3|39064
1|0|0|14|20001|4|39065
1|0|0|14|20001|5|39066
1|0|0|14|20001|6|39067
1|0|0|14|20001|7|39068
1|0|0|14|20009|1|39069
1|0|0|14|20009|2|39070
1|0|0|14|20009|3|39071
1|0|0|14|20009|4|39072
1|0|0|14|20009|5|39073
1|0|0|14|20009|6|39074
1|0|0|14|20009|7|39075
1|0|0|13|20011|1|39076
1|0|0|13|20011|2|39077
1|0|0|13|20011|3|39078
1|0|0|13|20011|4|39079
1|0|0|13|20011|5|39080
1|0|0|13|20011|6|39081
1|0|0|13|20011|7|39082
1|1|0|1|0|1|39083
1|1|0|1|0|2|39084
1|1|0|1|0|3|39085
1|1|0|1|0|4|39086
1|1|0|1|0|5|39087
1|1|0|1|0|6|39088
1|1|0|1|0|7|39089
1|0|0|14|20003|1|39090
1|0|0|14|20003|2|39091
1|0|0|14|20003|3|39092
1|0|0|14|20003|4|39093
1|0|0|14|20003|5|39094
1|0|0|14|20003|6|39095
1|0|0|14|20003|7|39096
1|1|1|1|0|1|39097
1|1|1|1|0|2|39098
1|1|1|1|0|3|39099
1|1|1|1|0|4|39100
1|1|1|1|0|5|39101
1|1|1|1|0|6|39102
1|1|1|1|0|7|39103
1|0|0|14|20005|1|39104
1|0|0|14|20005|2|39105
1|0|0|14|20005|3|39106
1|0|0|14|20005|4|39107
1|0|0|14|20005|5|39108
1|0|0|14|20005|6|39109
1|0|0|14|20005|7|39110
1|0|0|15|20001|1|39111
1|0|0|15|20001|2|39112
1|0|0|15|20001|3|39113
1|0|0|15|20001|4|39114
1|0|0|15|20001|5|39115
1|0|0|15|20001|6|39116
1|0|0|15|20001|7|39117
1|0|0|14|20008|1|39118
1|0|0|14|20008|2|39119
1|0|0|14|20008|3|39120
1|0|0|14|20008|4|39121
1|0|0|14|20008|5|39122
1|0|0|14|20008|6|39123
1|0|0|14|20008|7|39124
1|0|0|13|20010|1|39125
1|0|0|13|20010|2|39126
1|0|0|13|20010|3|39127
1|0|0|13|20010|4|39128
1|0|0|14|20010|1|39129
1|0|0|13|20010|5|39130
1|0|0|14|20010|2|39131
1|0|0|13|20010|6|39132
1|0|0|13|20010|7|39133
