id|recipe_id|item_id|successcount|componentcount|iscontainer
171|20|24497|1|0|0
173|20|17048|0|0|1
174|20|17163|0|0|1
175|21|9753|0|1|0
176|21|13047|0|1|0
177|21|14238|0|1|0
178|21|22748|0|1|0
179|21|9753|1|0|0
180|21|23580|1|0|0
181|21|24497|1|0|0
183|21|17048|0|0|1
184|21|17163|0|0|1
185|22|9753|0|1|0
186|22|13047|0|1|0
187|22|14238|0|1|0
188|22|14972|0|1|0
189|22|9753|1|0|0
190|22|23580|1|0|0
191|22|24497|1|0|0
193|22|17048|0|0|1
194|22|17163|0|0|1
195|23|9753|0|1|0
196|23|13047|0|1|0
197|23|14238|0|1|0
198|23|22764|0|1|0
199|23|9753|1|0|0
200|23|23580|1|0|0
201|23|24497|1|0|0
203|23|17048|0|0|1
204|23|17163|0|0|1
205|24|9753|0|1|0
206|24|13047|0|1|0
207|24|14238|0|1|0
208|24|22762|0|1|0
209|24|9753|1|0|0
210|24|23580|1|0|0
211|24|24497|1|0|0
213|24|17048|0|0|1
214|24|17163|0|0|1
215|25|9753|0|1|0
216|25|13047|0|1|0
217|25|14238|0|1|0
218|25|22769|0|1|0
219|25|9753|1|0|0
220|25|23580|1|0|0
221|25|24497|1|0|0
223|25|17048|0|0|1
224|25|17163|0|0|1
225|26|9753|0|1|0
226|26|13047|0|1|0
227|26|14238|0|1|0
228|26|22760|0|1|0
229|26|9753|1|0|0
230|26|23580|1|0|0
231|26|24497|1|0|0
233|26|17048|0|0|1
234|26|17163|0|0|1
235|27|9753|0|1|0
236|27|13047|0|1|0
237|27|14238|0|1|0
238|27|22752|0|1|0
239|27|9753|1|0|0
240|27|23580|1|0|0
241|27|24497|1|0|0
243|27|17048|0|0|1
244|27|17163|0|0|1
245|28|9753|0|1|0
246|28|13047|0|1|0
247|28|14238|0|1|0
248|28|14980|0|1|0
249|28|9753|1|0|0
250|28|23580|1|0|0
251|28|24497|1|0|0
253|28|17048|0|0|1
254|28|17163|0|0|1
255|29|9753|0|1|0
256|29|13047|0|1|0
257|29|14238|0|1|0
258|29|14981|0|1|0
259|29|9753|1|0|0
260|29|23580|1|0|0
261|29|24497|1|0|0
263|29|17048|0|0|1
264|29|17163|0|0|1
265|30|9753|0|1|0
266|30|13047|0|1|0
267|30|14238|0|1|0
268|30|14982|0|1|0
269|30|9753|1|0|0
270|30|23580|1|0|0
271|30|24497|1|0|0
273|30|17048|0|0|1
274|30|17163|0|0|1
275|31|9753|0|1|0
276|31|13047|0|1|0
277|31|14238|0|1|0
278|31|14983|0|1|0
279|31|9753|1|0|0
280|31|23580|1|0|0
281|31|24497|1|0|0
283|31|17048|0|0|1
284|31|17163|0|0|1
285|32|9753|0|1|0
286|32|13047|0|1|0
287|32|14238|0|1|0
288|32|14984|0|1|0
289|32|9753|1|0|0
290|32|23580|1|0|0
291|32|24497|1|0|0
293|32|17048|0|0|1
294|32|17163|0|0|1
295|33|9753|0|1|0
296|33|13047|0|1|0
297|33|14238|0|1|0
298|33|14985|0|1|0
299|33|9753|1|0|0
300|33|23580|1|0|0
301|33|24497|1|0|0
303|33|17048|0|0|1
304|33|17163|0|0|1
305|34|9753|0|1|0
306|34|13047|0|1|0
307|34|14238|0|1|0
308|34|14986|0|1|0
309|34|9753|1|0|0
310|34|23580|1|0|0
311|34|24497|1|0|0
313|34|17048|0|0|1
314|34|17163|0|0|1
315|35|9753|0|1|0
316|35|13047|0|1|0
317|35|14238|0|1|0
318|35|14987|0|1|0
319|35|9753|1|0|0
320|35|23580|1|0|0
321|35|24497|1|0|0
323|35|17048|0|0|1
324|35|17163|0|0|1
325|36|9753|0|1|0
326|36|13047|0|1|0
327|36|14238|0|1|0
328|36|14988|0|1|0
329|36|9753|1|0|0
330|36|23580|1|0|0
331|36|24497|1|0|0
333|36|17048|0|0|1
334|36|17163|0|0|1
335|37|9753|0|1|0
336|37|13047|0|1|0
337|37|14238|0|1|0
338|37|22768|0|1|0
339|37|9753|1|0|0
340|37|23580|1|0|0
341|37|24497|1|0|0
343|37|17048|0|0|1
344|37|17163|0|0|1
345|38|9753|0|1|0
346|38|13047|0|1|0
347|38|14238|0|1|0
348|38|22757|0|1|0
349|38|9753|1|0|0
350|38|23580|1|0|0
351|38|24497|1|0|0
353|38|17048|0|0|1
354|38|17163|0|0|1
355|39|9753|0|1|0
356|39|12444|0|1|0
357|39|13047|0|1|0
358|39|14238|0|1|0
359|39|9753|1|0|0
360|39|23580|1|0|0
361|39|24497|1|0|0
363|39|17048|0|0|1
364|39|17163|0|0|1
365|40|9753|0|1|0
366|40|13047|0|1|0
367|40|14238|0|1|0
368|40|14917|0|1|0
369|40|9753|1|0|0
370|40|23580|1|0|0
371|40|24497|1|0|0
373|40|17048|0|0|1
374|40|17163|0|0|1
375|41|9753|0|1|0
376|41|13047|0|1|0
377|41|14238|0|1|0
378|41|22761|0|1|0
379|41|9753|1|0|0
380|41|23580|1|0|0
381|41|24497|1|0|0
383|41|17048|0|0|1
384|41|17163|0|0|1
385|42|21565|0|1|0
386|42|22751|0|1|0
387|42|13076|2|0|0
388|42|16498|2|0|0
389|42|21565|1|0|0
390|42|17048|0|0|1
391|42|17163|0|0|1
392|43|21565|0|1|0
393|43|22747|0|1|0
394|43|13076|2|0|0
395|43|16498|2|0|0
396|43|21565|1|0|0
397|43|17048|0|0|1
398|43|17163|0|0|1
399|10081|21565|0|1|0
400|10081|14975|0|1|0
401|10081|13076|2|0|0
402|10081|16498|2|0|0
403|10081|21565|1|0|0
404|10081|17048|0|0|1
405|10081|17163|0|0|1
411|45|12561|0|1|0
412|45|12607|0|1|0
413|45|16598|0|1|0
414|45|16493|2|0|0
415|45|17048|0|0|1
416|45|17163|0|0|1
423|47|21565|0|1|0
424|47|22745|0|1|0
425|47|13101|5|0|0
426|47|21565|1|0|0
428|47|17048|0|0|1
429|47|17163|0|0|1
430|48|11951|0|1|0
431|48|16486|0|1|0
432|48|22702|0|1|0
433|48|22722|1|0|0
434|48|17048|0|0|1
435|48|17163|0|0|1
436|49|11951|0|1|0
437|49|16486|0|1|0
438|49|22700|0|1|0
439|49|22704|1|0|0
440|49|17048|0|0|1
441|49|17163|0|0|1
442|50|11951|0|1|0
443|50|16486|0|1|0
444|50|22701|0|1|0
445|50|22713|1|0|0
446|50|17048|0|0|1
447|50|17163|0|0|1
448|51|9753|0|1|0
449|51|13047|0|1|0
450|51|14238|0|1|0
451|51|22747|0|1|0
452|51|9753|1|0|0
453|51|9782|1|0|0
454|51|24494|1|0|0
456|51|17048|0|0|1
457|51|17163|0|0|1
458|52|9753|0|1|0
459|52|13047|0|1|0
460|52|14238|0|1|0
461|52|22766|0|1|0
462|52|9753|1|0|0
463|52|23580|1|0|0
464|52|24496|1|0|0
466|52|17048|0|0|1
467|52|17163|0|0|1
468|53|9753|0|1|0
469|53|13047|0|1|0
470|53|14238|0|1|0
471|53|22773|0|1|0
472|53|9753|1|0|0
473|53|23580|1|0|0
474|53|24496|1|0|0
476|53|17048|0|0|1
477|53|17163|0|0|1
478|54|9753|0|1|0
479|54|13047|0|1|0
480|54|14238|0|1|0
481|54|22775|0|1|0
482|54|9753|1|0|0
483|54|23580|1|0|0
484|54|24496|1|0|0
486|54|17048|0|0|1
487|54|17163|0|0|1
488|55|9753|0|1|0
489|55|13047|0|1|0
490|55|14238|0|1|0
491|55|14978|0|1|0
492|55|9753|1|0|0
493|55|23580|1|0|0
494|55|24496|1|0|0
496|55|17048|0|0|1
497|55|17163|0|0|1
498|56|9753|0|1|0
499|56|13047|0|1|0
500|56|14238|0|1|0
501|56|22774|0|1|0
502|56|9753|1|0|0
503|56|9772|1|0|0
504|56|24496|1|0|0
506|56|17048|0|0|1
507|56|17163|0|0|1
508|57|9753|0|1|0
509|57|13047|0|1|0
510|57|14238|0|1|0
511|57|14989|0|1|0
512|57|9753|1|0|0
513|57|23580|1|0|0
514|57|24496|1|0|0
516|57|17048|0|0|1
517|57|17163|0|0|1
518|58|9753|0|1|0
519|58|13047|0|1|0
520|58|14238|0|1|0
521|58|14990|0|1|0
522|58|9753|1|0|0
523|58|23580|1|0|0
524|58|24496|1|0|0
526|58|17048|0|0|1
527|58|17163|0|0|1
528|59|9753|0|1|0
529|59|13047|0|1|0
530|59|14238|0|1|0
531|59|14991|0|1|0
532|59|9753|1|0|0
533|59|23580|1|0|0
534|59|24496|1|0|0
536|59|17048|0|0|1
537|59|17163|0|0|1
538|60|9753|0|1|0
539|60|13047|0|1|0
540|60|14238|0|1|0
541|60|14992|0|1|0
542|60|9753|1|0|0
543|60|23580|1|0|0
544|60|24496|1|0|0
546|60|17048|0|0|1
547|60|17163|0|0|1
548|61|9753|0|1|0
549|61|13047|0|1|0
550|61|14238|0|1|0
551|61|14993|0|1|0
552|61|9753|1|0|0
553|61|23580|1|0|0
554|61|24496|1|0|0
556|61|17048|0|0|1
557|61|17163|0|0|1
558|62|9753|0|1|0
559|62|13047|0|1|0
560|62|14238|0|1|0
561|62|14994|0|1|0
562|62|9753|1|0|0
563|62|23580|1|0|0
564|62|24496|1|0|0
566|62|17048|0|0|1
567|62|17163|0|0|1
568|63|9753|0|1|0
569|63|13047|0|1|0
570|63|14238|0|1|0
571|63|14995|0|1|0
572|63|9753|1|0|0
573|63|23580|1|0|0
574|63|24496|1|0|0
576|63|17048|0|0|1
577|63|17163|0|0|1
578|64|9753|0|1|0
579|64|13047|0|1|0
580|64|14238|0|1|0
581|64|14996|0|1|0
582|64|9753|1|0|0
583|64|23580|1|0|0
584|64|24496|1|0|0
586|64|17048|0|0|1
587|64|17163|0|0|1
588|65|9753|0|1|0
589|65|13047|0|1|0
590|65|14238|0|1|0
591|65|14940|0|1|0
592|65|9753|1|0|0
593|65|23580|1|0|0
594|65|24496|1|0|0
596|65|17048|0|0|1
597|65|17163|0|0|1
598|66|9753|0|1|0
599|66|13047|0|1|0
600|66|14238|0|1|0
601|66|14939|0|1|0
602|66|9753|1|0|0
603|66|23580|1|0|0
604|66|24496|1|0|0
606|66|17048|0|0|1
607|66|17163|0|0|1
608|67|9753|0|1|0
609|67|13047|0|1|0
610|67|14238|0|1|0
611|67|14919|0|1|0
612|67|9753|1|0|0
613|67|23580|1|0|0
614|67|24496|1|0|0
616|67|17048|0|0|1
617|67|17163|0|0|1
618|68|9753|0|1|0
619|68|13047|0|1|0
620|68|14238|0|1|0
621|68|14974|0|1|0
622|68|9753|1|0|0
623|68|23580|1|0|0
624|68|24496|1|0|0
626|68|17048|0|0|1
627|68|17163|0|0|1
628|69|9753|0|1|0
629|69|13047|0|1|0
630|69|14238|0|1|0
631|69|22746|0|1|0
632|69|9753|1|0|0
633|69|23580|1|0|0
634|69|24496|1|0|0
636|69|17048|0|0|1
637|69|17163|0|0|1
638|70|13259|0|1|0
639|70|16486|0|1|0
640|70|22702|0|1|0
641|70|22727|1|0|0
642|70|17048|0|0|1
643|70|17163|0|0|1
644|71|13259|0|1|0
645|71|16486|0|1|0
646|71|22700|0|1|0
647|71|22709|1|0|0
648|71|17048|0|0|1
649|71|17163|0|0|1
650|72|9753|0|1|0
651|72|13047|0|1|0
652|72|14238|0|1|0
653|72|14973|0|1|0
654|72|9753|1|0|0
655|72|23580|1|0|0
656|72|24498|1|0|0
658|72|17048|0|0|1
659|72|17163|0|0|1
660|73|13069|0|1|0
661|73|16486|0|1|0
662|73|22702|0|1|0
663|73|22743|1|0|0
664|73|17048|0|0|1
665|73|17163|0|0|1
666|74|13069|0|1|0
667|74|16486|0|1|0
668|74|22700|0|1|0
669|74|22733|1|0|0
670|74|17048|0|0|1
671|74|17163|0|0|1
672|75|13069|0|1|0
673|75|16486|0|1|0
674|75|22701|0|1|0
675|75|22738|1|0|0
676|75|17048|0|0|1
677|75|17163|0|0|1
678|76|9753|0|1|0
679|76|13047|0|1|0
680|76|14238|0|1|0
681|76|30887|0|1|0
682|76|9753|1|0|0
683|76|23580|1|0|0
684|76|29171|1|0|0
686|76|17048|0|0|1
687|76|17163|0|0|1
688|113|9753|0|1|0
689|113|13047|0|1|0
690|113|14238|0|1|0
691|113|14988|0|1|0
692|113|9753|1|0|0
693|113|23580|1|0|0
694|113|24497|1|0|0
696|113|17048|0|0|1
697|113|17163|0|0|1
698|114|9753|0|1|0
699|114|13047|0|1|0
700|114|14238|0|1|0
701|114|14989|0|1|0
702|114|9753|1|0|0
703|114|23580|1|0|0
704|114|24496|1|0|0
706|114|17048|0|0|1
707|114|17163|0|0|1
708|115|9753|0|1|0
709|115|13047|0|1|0
710|115|14238|0|1|0
711|115|14990|0|1|0
712|115|9753|1|0|0
713|115|23580|1|0|0
714|115|24496|1|0|0
716|115|17048|0|0|1
717|115|17163|0|0|1
718|116|9753|0|1|0
719|116|13047|0|1|0
720|116|14238|0|1|0
721|116|14991|0|1|0
722|116|9753|1|0|0
723|116|23580|1|0|0
724|116|24496|1|0|0
726|116|17048|0|0|1
727|116|17163|0|0|1
728|92|9753|0|1|0
729|92|13047|0|1|0
730|92|14238|0|1|0
731|92|22760|0|1|0
732|92|9753|1|0|0
733|92|23580|1|0|0
734|92|24497|1|0|0
736|92|17048|0|0|1
737|92|17163|0|0|1
738|78|9753|0|1|0
739|78|13047|0|1|0
740|78|14238|0|1|0
741|78|14977|0|1|0
742|78|9753|1|0|0
743|78|23580|1|0|0
744|78|24497|1|0|0
746|78|17048|0|0|1
747|78|17163|0|0|1
748|79|9753|0|1|0
749|79|13047|0|1|0
750|79|14238|0|1|0
751|79|22763|0|1|0
752|79|9753|1|0|0
753|79|23580|1|0|0
754|79|24497|1|0|0
756|79|17048|0|0|1
757|79|17163|0|0|1
758|80|9753|0|1|0
759|80|13047|0|1|0
760|80|14238|0|1|0
761|80|22771|0|1|0
762|80|9753|1|0|0
763|80|23580|1|0|0
764|80|24497|1|0|0
766|80|17048|0|0|1
767|80|17163|0|0|1
768|81|9753|0|1|0
769|81|13047|0|1|0
770|81|14238|0|1|0
771|81|22759|0|1|0
772|81|9753|1|0|0
773|81|23580|1|0|0
774|81|24497|1|0|0
776|81|17048|0|0|1
777|81|17163|0|0|1
778|83|9753|0|1|0
779|83|13047|0|1|0
780|83|14238|0|1|0
781|83|22772|0|1|0
782|83|9753|1|0|0
783|83|23580|1|0|0
784|83|24497|1|0|0
786|83|17048|0|0|1
787|83|17163|0|0|1
788|84|9753|0|1|0
789|84|13047|0|1|0
790|84|14238|0|1|0
791|84|22745|0|1|0
792|84|9753|1|0|0
793|84|23580|1|0|0
794|84|24497|1|0|0
796|84|17048|0|0|1
797|84|17163|0|0|1
798|85|9753|0|1|0
799|85|13047|0|1|0
800|85|14238|0|1|0
801|85|22750|0|1|0
802|85|9753|1|0|0
803|85|23580|1|0|0
804|85|24497|1|0|0
806|85|17048|0|0|1
807|85|17163|0|0|1
808|86|9753|0|1|0
809|86|13047|0|1|0
810|86|14238|0|1|0
811|86|22765|0|1|0
812|86|9753|1|0|0
813|86|23580|1|0|0
814|86|24497|1|0|0
816|86|17048|0|0|1
817|86|17163|0|0|1
818|87|9753|0|1|0
819|87|13047|0|1|0
820|87|14238|0|1|0
821|87|22748|0|1|0
822|87|9753|1|0|0
823|87|23580|1|0|0
824|87|24497|1|0|0
826|87|17048|0|0|1
827|87|17163|0|0|1
828|88|9753|0|1|0
829|88|13047|0|1|0
830|88|14238|0|1|0
831|88|14972|0|1|0
832|88|9753|1|0|0
833|88|23580|1|0|0
834|88|24497|1|0|0
836|88|17048|0|0|1
837|88|17163|0|0|1
838|89|9753|0|1|0
839|89|13047|0|1|0
840|89|14238|0|1|0
841|89|22764|0|1|0
842|89|9753|1|0|0
843|89|23580|1|0|0
844|89|24497|1|0|0
846|89|17048|0|0|1
847|89|17163|0|0|1
848|90|9753|0|1|0
849|90|13047|0|1|0
850|90|14238|0|1|0
851|90|22762|0|1|0
852|90|9753|1|0|0
853|90|23580|1|0|0
854|90|24497|1|0|0
856|90|17048|0|0|1
857|90|17163|0|0|1
858|91|9753|0|1|0
859|91|13047|0|1|0
860|91|14238|0|1|0
861|91|22769|0|1|0
862|91|9753|1|0|0
863|91|23580|1|0|0
864|91|24497|1|0|0
866|91|17048|0|0|1
867|91|17163|0|0|1
868|93|9753|0|1|0
869|93|13047|0|1|0
870|93|14238|0|1|0
871|93|22752|0|1|0
872|93|9753|1|0|0
873|93|23580|1|0|0
874|93|24497|1|0|0
876|93|17048|0|0|1
877|93|17163|0|0|1
878|94|9753|0|1|0
879|94|13047|0|1|0
880|94|14238|0|1|0
881|94|14980|0|1|0
882|94|9753|1|0|0
883|94|23580|1|0|0
884|94|24497|1|0|0
886|94|17048|0|0|1
887|94|17163|0|0|1
888|95|9753|0|1|0
889|95|13047|0|1|0
890|95|14238|0|1|0
891|95|22773|0|1|0
892|95|9753|1|0|0
893|95|23580|1|0|0
894|95|24496|1|0|0
896|95|17048|0|0|1
897|95|17163|0|0|1
898|96|9753|0|1|0
899|96|13047|0|1|0
900|96|14238|0|1|0
901|96|14973|0|1|0
902|96|9753|1|0|0
903|96|23580|1|0|0
904|96|24498|1|0|0
906|96|17048|0|0|1
907|96|17163|0|0|1
908|97|9753|0|1|0
909|97|13047|0|1|0
910|97|14238|0|1|0
911|97|22775|0|1|0
912|97|9753|1|0|0
913|97|23580|1|0|0
914|97|24496|1|0|0
916|97|17048|0|0|1
917|97|17163|0|0|1
918|98|9753|0|1|0
919|98|13047|0|1|0
920|98|14238|0|1|0
921|98|14978|0|1|0
922|98|9753|1|0|0
923|98|23580|1|0|0
924|98|24496|1|0|0
926|98|17048|0|0|1
927|98|17163|0|0|1
928|99|9753|0|1|0
929|99|13047|0|1|0
930|99|14238|0|1|0
931|99|22767|0|1|0
932|99|9753|1|0|0
933|99|23580|1|0|0
934|99|24497|1|0|0
936|99|17048|0|0|1
937|99|17163|0|0|1
938|100|9753|0|1|0
939|100|13047|0|1|0
940|100|14238|0|1|0
941|100|14976|0|1|0
942|100|9753|1|0|0
943|100|23580|1|0|0
944|100|24497|1|0|0
946|100|17048|0|0|1
947|100|17163|0|0|1
948|101|9753|0|1|0
949|101|13047|0|1|0
950|101|14238|0|1|0
951|101|22766|0|1|0
952|101|9753|1|0|0
953|101|23580|1|0|0
954|101|24496|1|0|0
956|101|17048|0|0|1
957|101|17163|0|0|1
958|102|9753|0|1|0
959|102|13047|0|1|0
960|102|14238|0|1|0
961|102|22770|0|1|0
962|102|9753|1|0|0
963|102|23580|1|0|0
964|102|24497|1|0|0
965|102|17048|0|0|1
966|103|9753|0|1|0
967|103|13047|0|1|0
968|103|14238|0|1|0
969|103|14919|0|1|0
970|103|9753|1|0|0
971|103|23580|1|0|0
972|103|24496|1|0|0
974|103|17048|0|0|1
975|103|17163|0|0|1
976|104|9753|0|1|0
977|104|13047|0|1|0
978|104|14238|0|1|0
979|104|30887|0|1|0
980|104|9753|1|0|0
981|104|23580|1|0|0
982|104|29171|1|0|0
984|104|17048|0|0|1
985|104|17163|0|0|1
986|105|9753|0|1|0
987|105|13047|0|1|0
988|105|14238|0|1|0
989|105|30889|0|1|0
990|105|9753|1|0|0
991|105|23580|1|0|0
992|105|29173|1|0|0
994|105|17048|0|0|1
995|105|17163|0|0|1
996|106|9753|0|1|0
997|106|13047|0|1|0
998|106|14238|0|1|0
999|106|14981|0|1|0
1000|106|9753|1|0|0
1001|106|23580|1|0|0
1002|106|24497|1|0|0
1004|106|17048|0|0|1
1005|106|17163|0|0|1
1006|107|9753|0|1|0
1007|107|13047|0|1|0
1008|107|14238|0|1|0
1009|107|14982|0|1|0
1010|107|9753|1|0|0
1011|107|23580|1|0|0
1012|107|24497|1|0|0
1014|107|17048|0|0|1
1015|107|17163|0|0|1
1016|108|9753|0|1|0
1017|108|13047|0|1|0
1018|108|14238|0|1|0
1019|108|14983|0|1|0
1020|108|9753|1|0|0
1021|108|23580|1|0|0
1022|108|24497|1|0|0
1024|108|17048|0|0|1
1025|108|17163|0|0|1
1026|109|9753|0|1|0
1027|109|13047|0|1|0
1028|109|14238|0|1|0
1029|109|14984|0|1|0
1030|109|9753|1|0|0
1031|109|23580|1|0|0
1032|109|24497|1|0|0
1034|109|17048|0|0|1
1035|109|17163|0|0|1
1036|110|9753|0|1|0
1037|110|13047|0|1|0
1038|110|14238|0|1|0
1039|110|14985|0|1|0
1040|110|9753|1|0|0
1041|110|23580|1|0|0
1042|110|24497|1|0|0
1044|110|17048|0|0|1
1045|110|17163|0|0|1
1046|111|9753|0|1|0
1047|111|13047|0|1|0
1048|111|14238|0|1|0
1049|111|14986|0|1|0
1050|111|9753|1|0|0
1051|111|23580|1|0|0
1052|111|24497|1|0|0
1054|111|17048|0|0|1
1055|111|17163|0|0|1
1056|112|9753|0|1|0
1057|112|13047|0|1|0
1058|112|14238|0|1|0
1059|112|14987|0|1|0
1060|112|9753|1|0|0
1061|112|23580|1|0|0
1062|112|24497|1|0|0
1064|112|17048|0|0|1
1065|112|17163|0|0|1
1066|117|9753|0|1|0
1067|117|13047|0|1|0
1068|117|14238|0|1|0
1069|117|14992|0|1|0
1070|117|9753|1|0|0
1071|117|23580|1|0|0
1072|117|24496|1|0|0
1074|117|17048|0|0|1
1075|117|17163|0|0|1
1076|118|9753|0|1|0
1077|118|13047|0|1|0
1078|118|14238|0|1|0
1079|118|14993|0|1|0
1080|118|9753|1|0|0
1081|118|23580|1|0|0
1082|118|24496|1|0|0
1084|118|17048|0|0|1
1085|118|17163|0|0|1
1086|119|9753|0|1|0
1087|119|13047|0|1|0
1088|119|14238|0|1|0
1089|119|14994|0|1|0
1090|119|9753|1|0|0
1091|119|23580|1|0|0
1092|119|24496|1|0|0
1094|119|17048|0|0|1
1095|119|17163|0|0|1
1096|120|9753|0|1|0
1097|120|13047|0|1|0
1098|120|14238|0|1|0
1099|120|14995|0|1|0
1100|120|9753|1|0|0
1101|120|23580|1|0|0
1102|120|24496|1|0|0
1104|120|17048|0|0|1
1105|120|17163|0|0|1
1106|121|9753|0|1|0
1107|121|13047|0|1|0
1108|121|14238|0|1|0
1109|121|14996|0|1|0
1110|121|9753|1|0|0
1111|121|23580|1|0|0
1112|121|24496|1|0|0
1114|121|17048|0|0|1
1115|121|17163|0|0|1
1116|122|9753|0|1|0
1117|122|13047|0|1|0
1118|122|14238|0|1|0
1119|122|14940|0|1|0
1120|122|9753|1|0|0
1121|122|23580|1|0|0
1122|122|24496|1|0|0
1124|122|17048|0|0|1
1125|122|17163|0|0|1
1126|123|9753|0|1|0
1127|123|13047|0|1|0
1128|123|14238|0|1|0
1129|123|14939|0|1|0
1130|123|9753|1|0|0
1131|123|23580|1|0|0
1132|123|24496|1|0|0
1134|123|17048|0|0|1
1135|123|17163|0|0|1
1136|124|9753|0|1|0
1137|124|13047|0|1|0
1138|124|14238|0|1|0
1139|124|22768|0|1|0
1140|124|9753|1|0|0
1141|124|23580|1|0|0
1142|124|24497|1|0|0
1144|124|17048|0|0|1
1145|124|17163|0|0|1
1146|125|9753|0|1|0
1147|125|13047|0|1|0
1148|125|14238|0|1|0
1149|125|22757|0|1|0
1150|125|9753|1|0|0
1151|125|23580|1|0|0
1152|125|24497|1|0|0
1154|125|17048|0|0|1
1155|125|17163|0|0|1
1156|126|9753|0|1|0
1157|126|12444|0|1|0
1158|126|13047|0|1|0
1159|126|14238|0|1|0
1160|126|9753|1|0|0
1161|126|23580|1|0|0
1162|126|24497|1|0|0
1164|126|17048|0|0|1
1165|126|17163|0|0|1
1166|127|9753|0|1|0
1167|127|13047|0|1|0
1168|127|14238|0|1|0
1169|127|22749|0|1|0
1170|127|9753|1|0|0
1171|127|23580|1|0|0
1172|127|24497|1|0|0
1174|127|17048|0|0|1
1175|127|17163|0|0|1
