SourceZoneShortName|SourceBoxTopNW_X|SourceBoxTopNW_Y|SourceBoxTopNW_Z|SourceBoxBottomSE_X|SourceBoxBottomSE_Y|SourceBoxBottomSE_Z|TargetZoneShortName|TargetPosX|TargetPosY|TargetPosZ|TargetPosOrientation|AreaTriggerDBCID|Comment
commons|188.57043|-1619.7473|200|168.57043|-1649.7473|-100|ecommons|178.77795|5081.238|-55.21852|east|6588|
commons|168.57043|-1619.7473|200|148.57043|-1649.7473|-100|ecommons|158.77795|5081.238|-55.24875|east|6589|
commons|148.57043|-1619.7473|200|128.57043|-1649.7473|-100|ecommons|138.77795|5081.238|-59.04755|east|6590|
commons|128.57043|-1619.7473|200|108.57043|-1649.7473|-100|ecommons|118.77795|5081.238|-61.21719|east|6591|
commons|108.57043|-1619.7473|200|88.57043|-1649.7473|-100|ecommons|98.77795|5081.238|-63.38926|east|6592|
commons|88.57043|-1619.7473|200|68.57044|-1649.7473|-100|ecommons|78.77796|5081.238|-65.57221|east|6593|
commons|68.57044|-1619.7473|200|48.57044|-1649.7473|-100|ecommons|58.77796|5081.238|-67.75633|east|6594|
commons|48.57044|-1619.7473|200|28.57044|-1649.7473|-100|ecommons|28.777962|5081.238|-67.75633|east|6595|
commons|28.57044|-1619.7473|200|8.57043|-1649.7473|-100|ecommons|18.77796|5081.238|-71.67793|east|6596|
commons|8.57043|-1619.7473|200|-11.42957|-1649.7473|-100|ecommons|-1.22204|5081.238|-73.3291|east|6597|
commons|-11.42957|-1619.7473|200|-31.42957|-1649.7473|-100|ecommons|-21.22204|5081.238|-74.9805|east|6598|
commons|-31.42957|-1619.7473|200|-51.42957|-1649.7473|-100|ecommons|-41.22204|5081.238|-76.60054|east|6599|
commons|-51.42957|-1619.7473|200|-71.42957|-1649.7473|-100|ecommons|-61.22204|5081.238|-74.32892|east|6600|
commons|-71.42957|-1619.7473|200|-91.42957|-1649.7473|-100|ecommons|-81.22204|5081.238|-72.67789|east|6601|
commons|-91.42957|-1619.7473|200|-111.42957|-1649.7473|-100|ecommons|-101.22204|5081.238|-71.02627|east|6602|
commons|-111.42957|-1619.7473|200|-131.42957|-1649.7473|-100|ecommons|-121.22204|5081.238|-69.37551|east|6603|
commons|-131.42957|-1619.7473|200|-151.42957|-1649.7473|-100|ecommons|-141.22205|5081.238|-67.70735|east|6604|
commons|-151.42957|-1619.7473|200|-171.42957|-1649.7473|-100|ecommons|-161.22205|5081.238|-63.88151|east|6605|
commons|-171.42957|-1619.7473|200|-191.42957|-1649.7473|-100|ecommons|-181.22205|5081.238|-61.70198|east|6606|
commons|-191.42957|-1616.6412|200|-211.42957|-1646.6412|-100|ecommons|-201.22205|5081.238|-59.53065|east|6607|
commons|-211.42957|-1616.6412|200|-231.42957|-1646.6412|-100|ecommons|-221.22205|5081.238|-57.36602|east|6608|
commons|-231.42957|-1616.6412|200|-251.42957|-1646.6412|-100|ecommons|-241.22205|5081.238|-55.23859|east|6609|
commons|-251.42957|-1616.6412|200|-271.42957|-1646.6412|-100|ecommons|-261.22205|5081.238|-57.77957|east|6610|
commons|-271.42957|-1616.6412|200|-291.42957|-1646.6412|-100|ecommons|-281.22205|5081.238|-62.2374|east|6611|
commons|-291.42957|-1616.6412|200|-311.42957|-1646.6412|-100|ecommons|-301.22205|5081.238|-66.69694|east|6612|
commons|-311.42957|-1616.6412|200|-331.42957|-1646.6412|-100|ecommons|-321.22205|5081.238|-71.1566|east|6613|
commons|-331.42957|-1616.6412|200|-351.42957|-1646.6412|-100|ecommons|-341.22205|5081.238|-75.5964|east|6614|
commons|-351.42957|-1616.6412|200|-371.42957|-1646.6412|-100|ecommons|-361.22205|5081.238|-77.52223|east|6615|
commons|-371.42957|-1616.6412|200|-391.42957|-1646.6412|-100|ecommons|-381.22205|5081.238|-80.16994|east|6616|
commons|-391.42957|-1616.6412|200|-411.42957|-1646.6412|-100|ecommons|-401.22205|5081.238|-82.81663|east|6617|
commons|-411.42957|-1616.6412|200|-431.42957|-1646.6412|-100|ecommons|-421.22205|5081.238|-85.46321|east|6618|
commons|-431.42957|-1616.6412|200|-451.42957|-1646.6412|-100|ecommons|-441.22205|5081.238|-88.07124|east|6619|
commons|-451.42957|-1616.6412|200|-471.42957|-1646.6412|-100|ecommons|-461.22205|5081.238|-86.1452|east|6620|
commons|-471.42957|-1616.6412|200|-491.42957|-1646.6412|-100|ecommons|-481.22205|5081.238|-83.48681|east|6621|
commons|-491.42957|-1616.6412|200|-511.42957|-1646.6412|-100|ecommons|-501.22205|5081.238|-80.83623|east|6622|
commons|-511.42957|-1616.6412|200|-531.42957|-1646.6412|-100|ecommons|-521.22205|5081.238|-78.19815|east|6623|
commons|-531.42957|-1616.6412|200|-551.42957|-1646.6412|-100|ecommons|-541.22205|5081.238|-75.56072|east|6624|
commons|-551.42957|-1616.6412|200|-571.42957|-1646.6412|-100|ecommons|-561.22205|5081.238|-72.99214|east|6625|
commons|-571.42957|-1616.6412|200|-591.42957|-1646.6412|-100|ecommons|-581.22205|5081.238|-68.53781|east|6626|
commons|-591.42957|-1616.6412|200|-611.42957|-1646.6412|-100|ecommons|-601.22205|5081.238|-64.08618|east|6627|
commons|-611.42957|-1616.6412|200|-631.42957|-1646.6412|-100|ecommons|-621.22205|5081.238|-59.63455|east|6628|
commons|-631.42957|-1616.6412|200|-651.42957|-1646.6412|-100|ecommons|-641.22205|5081.238|-55.16695|east|6629|
commons|-651.42957|-1616.6412|200|-671.4296|-1646.6412|-100|ecommons|-661.22205|5081.238|-48.64752|east|6630|
commons|-671.4296|-1616.6412|200|-691.4296|-1646.6412|-100|ecommons|-681.2221|5081.238|-37.26086|east|6631|
commons|-691.4296|-1616.6412|200|-711.4296|-1646.6412|-100|ecommons|-701.2221|5081.238|-25.87295|east|6632|
commons|-711.4296|-1616.6412|200|-731.4296|-1646.6412|-100|ecommons|-721.2221|5081.238|-14.48513|east|6633|
commons|-731.4296|-1616.6412|200|-751.4296|-1646.6412|-100|ecommons|-741.2221|5081.238|-3.14824|east|6634|
commons|-751.4296|-1616.6412|200|-771.4296|-1646.6412|-100|ecommons|-761.2221|5081.238|1.77987|east|6635|
commons|-771.4296|-1616.6412|200|-791.4296|-1646.6412|-100|ecommons|-781.2221|5081.238|8.53109|east|6636|
commons|-791.4296|-1616.6412|200|-811.4296|-1646.6412|-100|ecommons|-801.2221|5081.238|15.28844|east|6637|
commons|-811.4296|-1616.6412|200|-831.4296|-1646.6412|-100|ecommons|-821.2221|5081.238|22.05007|east|6638|
commons|-831.4296|-1616.6412|200|-851.4296|-1646.6412|-100|ecommons|-841.2221|5081.238|28.71917|east|6639|
commons|-851.4296|-1616.6412|200|-871.4296|-1646.6412|-100|ecommons|-861.2221|5081.238|23.79154|east|6640|
commons|-871.4296|-1616.6412|200|-891.4296|-1646.6412|-100|ecommons|-881.2221|5081.238|17.03313|east|6641|
commons|-891.4296|-1616.6412|200|-911.4296|-1646.6412|-100|ecommons|-901.2221|5081.238|10.27455|east|6642|
commons|-911.4296|-1616.6412|200|-931.4296|-1646.6412|-100|ecommons|-921.2221|5081.238|3.51596|east|6643|
commons|-931.4296|-1616.6412|200|-951.4296|-1646.6412|-100|ecommons|-941.2221|5081.238|-3.18436|east|6644|
commons|-951.4296|-1616.6412|200|-971.4296|-1646.6412|-100|ecommons|-961.2221|5081.238|-2.89686|east|6645|
commons|-971.4296|-1616.6412|200|-991.4296|-1646.6412|-100|ecommons|-981.2221|5081.238|-4.13442|east|6646|
commons|-991.4296|-1616.6412|200|-1011.4296|-1646.6412|-100|ecommons|-1001.2221|5081.238|-5.37218|east|6647|
commons|-1011.4296|-1616.6412|200|-1031.4296|-1646.6412|-100|ecommons|-1021.2221|5081.238|-6.61162|east|6648|
commons|-1031.4296|-1616.6412|200|-1051.4296|-1646.6412|-100|ecommons|-1041.222|5081.238|-7.81411|east|6649|
commons|-1051.4296|-1616.6412|200|-1071.4296|-1646.6412|-100|ecommons|-1061.222|5081.238|-1.55318|east|6650|
commons|-1071.4296|-1616.6412|200|-1091.4296|-1646.6412|-100|ecommons|-1081.222|5081.238|6.10742|east|6651|
commons|-1091.4296|-1616.6412|200|-1111.4296|-1646.6412|-100|ecommons|-1101.222|5081.238|13.76288|east|6652|
commons|-1111.4296|-1616.6412|200|-1151.4296|-1646.6412|-100|ecommons|-1121.222|5081.238|21.4182|east|6653|
commons|1026.848|4180.347|6.00025|987.9424|4119.9688|-52.59354|kithicor|1361.59|-1139.8022|-52.09364|south|6654|
crushbone|-640.91986|187.12971|39.22133|-732.241|141.98131|-0.5|gfaydark|2561.2478|-52.1425|15.84388|south|6655|
crystal|519.928528|340.859924|-28.3493|468.644196|291.212128|-89.116493|eastwastes|-4058.768555|477.434357|141.921707|north|6656|North Exit
crystal|-394.98764|440.774506|17.51745|-554.011841|84.993629|-163.931259|eastwastes|-3405.954346|1062.937866|146.646667|east|6657|South Exit
dalnir|23.85568|178.40024|17.28203|-18.79923|82.44439|-12.23305|warslikswood|2581.5823|4587.689|-244.7187|west|6658|Main walk entry
dalnir|-334.30612|-67.59629|-166.47002|-353.67056|-90.82137|-187.70293|warslikswood|2581.5823|4587.689|-244.7187|west|6659|Telepad at bottom
dreadlands|4832.9976|42.4639|1087.8408|2864.0774|-1472.7836|40.85949|burningwood|-4247.9624|-712.7452|245.30704|north|6660|
dreadlands|315.32785|-6036.4497|184.67426|269.80844|-6161.773|129.15038|firiona|240.61523|6047.3896|-82.96683|south|6661|
dreadlands|2417.94|-3442.504|183.32556|2262.425|-3551.5894|126.86848|frontiermtns|-3835.8362|-3291.4106|-350.40543|east|6662|
dreadlands|720.8398|-1986.1693|63.5326|675.6936|-2042.7568|18.18397|karnor|115.77283|341.60504|0|east|6663|Karnor North entry
dreadlands|521.4804|-1985.0062|65.16252|477.24945|-2037.9551|18.46846|karnor|-81.99735|341.94525|0|east|6664|Karnor South entry
droga|1446.1595|394.33636|25.0835|1425.3035|313.317|-9.34797|frontiermtns|3289.7305|2965.2542|341.7234|north|6665|
droga|-1404.6549|291.3384|-173.3319|-1477.7313|141.99892|-200.27715|nurga|-1039.5504|104.37832|-111.9687|south|6666|West
droga|-1330.795|-802.67065|-31.32692|-1392.7249|-946.4886|-86.24844|nurga|-847.5603|-918.77094|-175.9374|south|6667|East
eastkarana|3388.7104|-2134.5554|322.49536|3160.392|-2401.1218|-100|beholder|-1385.247|-659.5757|60.639446|north|6668|
eastkarana|-3062.7537|-8301.24|737.2701|-3082.3718|-8324.481|689.4064|highpass|818.4624|132.79713|0.00012|west|6669|
eastkarana|38.20243|1198.4314|32.24181|-13.26593|1182.5352|-37.84368|northkarana|10.66486|-3093.4902|-37.34351|west|6670|
eastwastes|-1212.371704|7520.412598|961.969116|-2494.604248|6180.241699|-124.392838|greatdivide|-1772.666504|-4285.662109|107.773491|west|6671|
eastwastes|-3839.737061|-5865.626953|907.302551|-5018.033691|-6339.946289|456.292053|iceclad|-4511.333496|10415.71484|547.042664|east|6672|
eastwastes|-6088.517578|7222.353516|29.686569|-6484.625977|7022.57666|-355.867401|kael|-13.30809|-667.010071|119.937477|west|6673|
ecommons|1168.778|5131.238|200|1148.778|5101.238|-100|commons|1158.5704|-1599.7473|6.93344|west|6674|
ecommons|1148.778|5131.238|200|1128.778|5101.238|-100|commons|1138.5704|-1599.7473|0.91472|west|6675|
ecommons|1128.778|5131.238|200|1108.778|5101.238|-100|commons|1118.5704|-1599.7473|-5.10422|west|6676|
ecommons|1108.778|5131.238|200|1088.778|5101.238|-100|commons|1098.5704|-1599.7473|-11.12293|west|6677|
ecommons|1088.778|5131.238|200|1068.778|5101.238|-100|commons|1078.5704|-1599.7473|-17.14171|west|6678|
ecommons|1068.778|5131.238|200|1048.778|5101.238|-100|commons|1058.5704|-1599.7473|-23.1229|west|6679|
ecommons|1048.778|5131.238|200|1028.778|5101.238|-100|commons|1038.5704|-1599.7473|-29.55414|west|6680|
ecommons|1028.778|5131.238|200|1008.7779|5101.238|-100|commons|1018.5704|-1599.7473|-35.98554|west|6681|
ecommons|1008.7779|5131.238|200|988.7779|5101.238|-100|commons|998.5704|-1599.7473|-42.41664|west|6682|
ecommons|988.7779|5131.238|200|968.7779|5101.238|-100|commons|978.5704|-1599.7473|-48.84781|west|6683|
ecommons|968.7779|5131.238|200|948.7779|5101.238|-100|commons|958.5704|-1599.7473|-55.186|west|6684|
ecommons|948.7779|5131.238|200|928.7779|5101.238|-100|commons|938.5704|-1599.7473|-55.18493|west|6685|
ecommons|928.7779|5131.238|200|908.7779|5101.238|-100|commons|918.5704|-1599.7473|-55.18593|west|6686|
ecommons|908.7779|5131.238|200|888.7779|5101.238|-100|commons|898.5704|-1599.7473|-55.18605|west|6687|
ecommons|888.7779|5131.238|200|868.7779|5101.238|-100|commons|878.5704|-1599.7473|-55.18601|west|6688|
ecommons|868.7779|5131.238|200|848.7779|5101.238|-100|commons|858.5704|-1599.7473|-55.1674|west|6689|
ecommons|848.7779|5131.238|200|828.7779|5101.238|-100|commons|838.5704|-1599.7473|-51.76118|west|6690|
ecommons|828.7779|5131.238|200|808.7779|5101.238|-100|commons|818.5704|-1599.7473|-48.35477|west|6691|
ecommons|808.7779|5131.238|200|788.7779|5101.238|-100|commons|798.5704|-1599.7473|-44.94869|west|6692|
ecommons|788.7779|5131.238|200|768.7779|5101.238|-100|commons|778.5704|-1599.7473|-41.54238|west|6693|
ecommons|768.7779|5131.238|200|748.7779|5101.238|-100|commons|758.5704|-1599.7473|-38.16563|west|6694|
ecommons|748.7779|5131.238|200|728.7779|5101.238|-100|commons|738.5704|-1599.7473|-36.14721|west|6695|
ecommons|728.7779|5131.238|200|708.7779|5101.238|-100|commons|718.5704|-1599.7473|-34.12835|west|6696|
ecommons|708.7779|5131.238|200|688.7779|5101.238|-100|commons|698.5704|-1599.7473|-32.10965|west|6697|
ecommons|688.7779|5131.238|200|668.77795|5101.238|-100|commons|678.5704|-1599.7473|-30.09084|west|6698|
ecommons|668.77795|5131.238|200|648.77795|5101.238|-100|commons|658.57043|-1599.7473|-28.14197|west|6699|
ecommons|648.77795|5131.238|200|628.77795|5101.238|-100|commons|638.57043|-1599.7473|-30.15644|west|6700|
ecommons|628.77795|5131.238|200|608.77795|5101.238|-100|commons|618.57043|-1599.7473|-32.17074|west|6701|
ecommons|608.77795|5131.238|200|588.77795|5101.238|-100|commons|598.57043|-1599.7473|-34.18509|west|6702|
ecommons|588.77795|5131.238|200|568.77795|5101.238|-100|commons|578.57043|-1599.7473|-36.20723|west|6703|
ecommons|568.77795|5131.238|200|548.77795|5101.238|-100|commons|558.57043|-1599.7473|-38.2499|west|6704|
ecommons|548.77795|5131.238|200|528.77795|5101.238|-100|commons|538.57043|-1599.7473|-41.65613|west|6705|
ecommons|528.77795|5131.238|200|508.77795|5101.238|-100|commons|518.57043|-1599.7473|-45.06249|west|6706|
ecommons|508.77795|5131.238|200|488.77795|5101.238|-100|commons|498.57043|-1599.7473|-48.46841|west|6707|
ecommons|488.77795|5131.238|200|468.77795|5101.238|-100|commons|478.57043|-1599.7473|-51.87499|west|6708|
ecommons|468.77795|5131.238|200|448.77795|5101.238|-100|commons|458.57043|-1599.7473|-55.21737|west|6709|
ecommons|448.77795|5131.238|200|428.77795|5101.238|-100|commons|438.57043|-1599.7473|-55.21851|west|6710|
ecommons|428.77795|5131.238|200|408.77795|5101.238|-100|commons|418.57043|-1599.7473|-55.21744|west|6711|
ecommons|408.77795|5131.238|200|388.77795|5101.238|-100|commons|398.57043|-1599.7473|-55.21863|west|6712|
ecommons|388.77795|5131.238|200|368.77795|5101.238|-100|commons|378.57043|-1599.7473|-55.2187|west|6713|
ecommons|368.77795|5131.238|200|348.77795|5101.238|-100|commons|358.57043|-1599.7473|-55.2187|west|6714|
ecommons|348.77795|5131.238|200|328.77795|5101.238|-100|commons|338.57043|-1599.7473|-55.21845|west|6715|
ecommons|328.77795|5131.238|200|308.77795|5101.238|-100|commons|318.57043|-1599.7473|-55.21866|west|6716|
ecommons|308.77795|5131.238|200|288.77795|5101.238|-100|commons|298.57043|-1599.7473|-55.21865|west|6717|
ecommons|288.77795|5131.238|200|268.77795|5101.238|-100|commons|278.57043|-1599.7473|-55.21758|west|6718|
