zone_shortname|creature_name|menu_text|option_id|option_text|Type|ReactionValue|PositionX|PositionY|PositionZ|Heading|AddedX|AddedY|DelayMS
airplane|Dason_Goldblade|Greetings,  $N.  Are you pure of heart and soul?|2|Summon Dirkog Steelhand|despawn|self|||||||
airplane|Denise_Songweaver|Hail and well met  $N! I give the second half of the test of songs. If you are ready, choose between the tests of brass, wind, and harmony.|1|I am finished for now.  Let Cilin Spellsinger return.|say|Very well,  $N.  Farewell.|||||||
airplane|Denise_Songweaver|Hail and well met  $N! I give the second half of the test of songs. If you are ready, choose between the tests of brass, wind, and harmony.|1|I am finished for now.  Let Cilin Spellsinger return.|despawn|self|||||||
airplane|Deric_Lennox|Greetings there lad. Come seekin glory then have ya? Alrighty then, glorious ye shall be. Take me tests here, and I will show ya the light there. Take ye the Test of Resolution, of Theurgy, or the Weak?|1|I am finished for now.  Let Josin Faithbringer return.|say|Very well,  $N.  Farewell.|||||||
airplane|Deric_Lennox|Greetings there lad. Come seekin glory then have ya? Alrighty then, glorious ye shall be. Take me tests here, and I will show ya the light there. Take ye the Test of Resolution, of Theurgy, or the Weak?|1|I am finished for now.  Let Josin Faithbringer return.|despawn|self|||||||
airplane|Dirkog_Steelhand|Leave me be, ye orc kissin' son o' Innoruuk!|1|I am finished for now.  Let Dason Goldblade return.|say|Very well,  $N.  Farewell.|||||||
airplane|Dirkog_Steelhand|Leave me be, ye orc kissin' son o' Innoruuk!|1|I am finished for now.  Let Dason Goldblade return.|despawn|self|||||||
airplane|Drakis_Bloodcaster|Greetings, $R. Are you ready to begin?|1|Summon Jzil GSix|spawnunique|71074|1305|654.9|-769.999939|22|||
airplane|Drakis_Bloodcaster|Greetings, $R. Are you ready to begin?|2|Summon Dugaas Helpyre|spawnunique|71084|1305|661.6|-769.999939|22|||
airplane|Drakis_Bloodcaster|Greetings, $R. Are you ready to begin?|1|Summon Jzil GSix|say|Farewell.|||||||
airplane|Drakis_Bloodcaster|Greetings, $R. Are you ready to begin?|1|Summon Jzil GSix|despawn|self|||||||
airplane|Drakis_Bloodcaster|Greetings, $R. Are you ready to begin?|2|Summon Dugaas Helpyre|say|Farewell.|||||||
airplane|Drakis_Bloodcaster|Greetings, $R. Are you ready to begin?|2|Summon Dugaas Helpyre|despawn|self|||||||
airplane|Dugaas_Helpyre|So, you dare be seen in my precense. Truly a brave fool you are. You come seeking fame and glory here do you? Well fool, perhaps you will get what you seek. Shall you take the test of the Heart, the Hands, or the Finger?|1|I am finished for now.  Let Drakis Bloodcaster return.|say|Very well,  $N.  Farewell.|||||||
airplane|Dugaas_Helpyre|So, you dare be seen in my precense. Truly a brave fool you are. You come seeking fame and glory here do you? Well fool, perhaps you will get what you seek. Shall you take the test of the Heart, the Hands, or the Finger?|1|I am finished for now.  Let Drakis Bloodcaster return.|despawn|self|||||||
airplane|Enchanter_Jolas|Greetings,  $N.  Have you come here to test your powers of enchantment?|1|Summon Enderbite|spawnunique|71085|1303.2|640|-769.999939|0.4|||
airplane|Enchanter_Jolas|Greetings,  $N.  Have you come here to test your powers of enchantment?|2|Summon Lelulean|spawnunique|71104|1303.2|640|-769.999939|0.4|||
airplane|Enchanter_Jolas|Greetings,  $N.  Have you come here to test your powers of enchantment?|1|Summon Enderbite|say|Till next time!  Farewell!|||||||
airplane|Enchanter_Jolas|Greetings,  $N.  Have you come here to test your powers of enchantment?|1|Summon Enderbite|despawn|self|||||||
airplane|Enchanter_Jolas|Greetings,  $N.  Have you come here to test your powers of enchantment?|2|Summon Lelulean|say|Till next time!  Farewell!|||||||
airplane|Enchanter_Jolas|Greetings,  $N.  Have you come here to test your powers of enchantment?|2|Summon Lelulean|despawn|self|||||||
airplane|Enderbite|Great, let us waste no more time! I have three tests from which you can choose from. They are Disillusion, Memorization, and Incapacitation.|1|I am finished for now.  Let Enchanter Jolas return.|say|Very well,  $N.  Farewell.|||||||
airplane|Enderbite|Great, let us waste no more time! I have three tests from which you can choose from. They are Disillusion, Memorization, and Incapacitation.|1|I am finished for now.  Let Enchanter Jolas return.|despawn|self|||||||
airplane|Falorn|Do not waste my time,  $N.  Do you wish to take the test of blades or not? Or do you have one of my old trinkets you wish to trade in?|1|I am finished for now.  Let Torgon Blademaster return.|say|Very well,  $N.  Farewell.|||||||
airplane|Falorn|Do not waste my time,  $N.  Do you wish to take the test of blades or not? Or do you have one of my old trinkets you wish to trade in?|1|I am finished for now.  Let Torgon Blademaster return.|despawn|self|||||||
airplane|Fenalla_Moonshadow|We are children of the trees, friends and protectors of nature. We are brothers and sisters to the wolves and bears. The call of the Great Pine has filled your heart and led you here to be tested.|1|I am finished for now.  Let Strandar Pinemist return.|say|Very well,  $N.  Farewell.|||||||
airplane|Fenalla_Moonshadow|We are children of the trees, friends and protectors of nature. We are brothers and sisters to the wolves and bears. The call of the Great Pine has filled your heart and led you here to be tested.|1|I am finished for now.  Let Strandar Pinemist return.|despawn|self|||||||
airplane|Frederic_Calermin|Great, let us waste no more time! I offer to you three challenges. Clarification, Empowerment, and Shielding. Please choose one of these.|1|I am finished for now.  Let Magus Frinon return.|say|Very well,  $N.  Farewell.|||||||
airplane|Frederic_Calermin|Great, let us waste no more time! I offer to you three challenges. Clarification, Empowerment, and Shielding. Please choose one of these.|1|I am finished for now.  Let Magus Frinon return.|despawn|self|||||||
airplane|Gina_McStargan|Greetings,  $N. I will test you in the tests of might, health, and sight. Which will it be?|1|I am finished for now.  Let Medicine Man Veetra return.|say|Very well,  $N.  Farewell.|||||||
airplane|Gina_McStargan|Greetings,  $N. I will test you in the tests of might, health, and sight. Which will it be?|1|I am finished for now.  Let Medicine Man Veetra return.|despawn|self|||||||
airplane|Gordon_Treecaller|Hello  $N, I can only hope that my disturbance was necessary. Ahh, you seem to be decently adept with a blade. Would you like to be tested in the element of thunder, the blade, or the art of ranged attack?|1|I am finished for now.  Let Ranger Spirit return.|say|Very well,  $N.  Farewell.|||||||
airplane|Gordon_Treecaller|Hello  $N, I can only hope that my disturbance was necessary. Ahh, you seem to be decently adept with a blade. Would you like to be tested in the element of thunder, the blade, or the art of ranged attack?|1|I am finished for now.  Let Ranger Spirit return.|despawn|self|||||||
airplane|Gorgalosk|Greetings,  $N. This is my domain and I hope you have a peaceful stay. That is, unless the [lunatic sent you].|1|The lunatic sent me.|say|Oh, I see. I suppose you [want these cursed markers] that lunatic made me hold?|||||||
airplane|Gorgalosk|Greetings,  $N. This is my domain and I hope you have a peaceful stay. That is, unless the [lunatic sent you].|2|I want these cursed markers.|say|I am afraid that I can not just give them away. The lunatic had them cursed. They make me do [strange things]|||||||
airplane|Gorgalosk|Greetings,  $N. This is my domain and I hope you have a peaceful stay. That is, unless the [lunatic sent you].|3|What strange things?|say|Like ATTACK you!|||||||
airplane|Gorgalosk|Greetings,  $N. This is my domain and I hope you have a peaceful stay. That is, unless the [lunatic sent you].|3|What strange things?|attackplayer||||||||
airplane|Gragrot|Hail! So you think you are a mighty Knight of Shadows? We must test these skills. Are you ready to begin the test?|1|I am finished for now.  Let Sarkis Ebonblade return.|say|Very well,  $N.  Farewell.|||||||
airplane|Gragrot|Hail! So you think you are a mighty Knight of Shadows? We must test these skills. Are you ready to begin the test?|1|I am finished for now.  Let Sarkis Ebonblade return.|despawn|self|||||||
airplane|Gregori_Lightbringer|Hail and well met! You have traveled far indeed to cross my path. I will be testing you in compassion, sacrifice, and love. Are you ready for the test of the heart,  $N?|1|I am finished for now.  Let Dason Goldblade return.|say|Very well,  $N.  Farewell.|||||||
airplane|Gregori_Lightbringer|Hail and well met! You have traveled far indeed to cross my path. I will be testing you in compassion, sacrifice, and love. Are you ready for the test of the heart,  $N?|1|I am finished for now.  Let Dason Goldblade return.|despawn|self|||||||
airplane|Gwan|Greetings, $N.|1|Hail, Gwan.|emote|ignores you.|||||||
airplane|Gwan|Greetings, $N.|2|I am prepared.|attackplayer||||||||
airplane|Holwin|Peace to you,  $N.  I see that you have come far along the path of tranquility and enlightenment.  Do you wish to test yourself further, and perhaps complete the path you started on so long ago?|1|Summon Wu the Enlightened|spawnunique|71097|1332.3|660|-769.999939|189.9|||
airplane|Holwin|Peace to you,  $N.  I see that you have come far along the path of tranquility and enlightenment.  Do you wish to test yourself further, and perhaps complete the path you started on so long ago?|2|Summon Ton Po|spawnunique|71096|1315|660|-769.999939|189.9|||
airplane|Holwin|Peace to you,  $N.  I see that you have come far along the path of tranquility and enlightenment.  Do you wish to test yourself further, and perhaps complete the path you started on so long ago?|1|Summon Wu the Enlightened|say|Farewell.|||||||
airplane|Holwin|Peace to you,  $N.  I see that you have come far along the path of tranquility and enlightenment.  Do you wish to test yourself further, and perhaps complete the path you started on so long ago?|1|Summon Wu the Enlightened|despawn|self|||||||
airplane|Holwin|Peace to you,  $N.  I see that you have come far along the path of tranquility and enlightenment.  Do you wish to test yourself further, and perhaps complete the path you started on so long ago?|2|Summon Ton Po|say|Farewell.|||||||
airplane|Holwin|Peace to you,  $N.  I see that you have come far along the path of tranquility and enlightenment.  Do you wish to test yourself further, and perhaps complete the path you started on so long ago?|2|Summon Ton Po|despawn|self|||||||
airplane|Josin_Faithbringer|Greetings,  $N.  Are you ready to begin your test of faith?|1|Summon Alan Harten|spawnunique|71080|1361.6|660.7|-769.999939|193.2|||
airplane|Josin_Faithbringer|Greetings,  $N.  Are you ready to begin your test of faith?|2|Summon Deric Lennox|spawnunique|71083|1338|660.7|-769.999939|193.2|||
airplane|Josin_Faithbringer|Greetings,  $N.  Are you ready to begin your test of faith?|1|Summon Alan Harten|say|Farewell.|||||||
airplane|Josin_Faithbringer|Greetings,  $N.  Are you ready to begin your test of faith?|1|Summon Alan Harten|despawn|self|||||||
airplane|Josin_Faithbringer|Greetings,  $N.  Are you ready to begin your test of faith?|2|Summon Deric Lennox|say|Farewell.|||||||
airplane|Josin_Faithbringer|Greetings,  $N.  Are you ready to begin your test of faith?|2|Summon Deric Lennox|despawn|self|||||||
airplane|Jzil_GSix|Ah, so you have come to be tested. Many fine things can be your reward. There are three tests which I can administer. Shall you take the test of flight, power, or mind?|1|I am finished for now.  Let Drakis Bloodcaster return.|say|Very well,  $N.  Farewell.|||||||
airplane|Jzil_GSix|Ah, so you have come to be tested. Many fine things can be your reward. There are three tests which I can administer. Shall you take the test of flight, power, or mind?|1|I am finished for now.  Let Drakis Bloodcaster return.|despawn|self|||||||
airplane|Kendrick|Great, let us waste no more time! Do you wish to begin your test of Thievery, Silence, or Trickery?|1|I am finished for now.  Let Thalik Silenthand return.|say|Very well,  $N.  Farewell.|||||||
airplane|Kendrick|Great, let us waste no more time! Do you wish to begin your test of Thievery, Silence, or Trickery?|1|I am finished for now.  Let Thalik Silenthand return.|despawn|self|||||||
airplane|Kihun_Solstin|So, you have made it this far. I am Kihun Solstin, the Master of Wind. I control the unfettered Element like none other. As you should have learned, Air is the most potent of Elements. It fuels Fire, Water is comprised of it, and Earth cannot restrain it. Knowing this, do you seek the Element of Wind?|1|I want to see the master.|spawnunique|71040|1346.3|604.5|-769.999817|0|||
airplane|Lelulean|Great, let us waste no more time! I have three tests from which you can choose from. They are Illusion, Metamorphism, and Deception.|1|I am finished for now.  Let Enchanter Jolas return.|say|Very well,  $N.  Farewell.|||||||
airplane|Lelulean|Great, let us waste no more time! I have three tests from which you can choose from. They are Illusion, Metamorphism, and Deception.|1|I am finished for now.  Let Enchanter Jolas return.|despawn|self|||||||
airplane|Magus_Frinon|Greetings,  $N.  Have you come here to test your abilities as a magician?|1|Summon Frederic Calermin|spawnunique|71088|1304.1|614.5|-769.999939|255|||
airplane|Magus_Frinon|Greetings,  $N.  Have you come here to test your abilities as a magician?|2|Summon Roanis Elindar|spawnunique|71094|1304.1|614.5|-769.999939|255|||
airplane|Magus_Frinon|Greetings,  $N.  Have you come here to test your abilities as a magician?|1|Summon Frederic Calermin|say|Till next time!  Farewell!|||||||
airplane|Magus_Frinon|Greetings,  $N.  Have you come here to test your abilities as a magician?|1|Summon Frederic Calermin|despawn|self|||||||
airplane|Magus_Frinon|Greetings,  $N.  Have you come here to test your abilities as a magician?|2|Summon Roanis Elindar|say|Till next time!  Farewell!|||||||
airplane|Magus_Frinon|Greetings,  $N.  Have you come here to test your abilities as a magician?|2|Summon Roanis Elindar|despawn|self|||||||
airplane|Medicine_Man_Veetra|Good day to you,  $N. Are you a shaman of [much experience]?|1|Summon Gina McStargan|spawnunique|71087|1401.9|631.9|-769.999939|129.8|||
airplane|Medicine_Man_Veetra|Good day to you,  $N. Are you a shaman of [much experience]?|2|Summon Ooga|spawnunique|71093|1399|653.4|-769.999939|129.8|||
airplane|Medicine_Man_Veetra|Good day to you,  $N. Are you a shaman of [much experience]?|1|Summon Gina McStargan|say|I am no longer needed and will take my leave.|||||||
airplane|Medicine_Man_Veetra|Good day to you,  $N. Are you a shaman of [much experience]?|1|Summon Gina McStargan|despawn|self|||||||
airplane|Medicine_Man_Veetra|Good day to you,  $N. Are you a shaman of [much experience]?|2|Summon Ooga|say|I am no longer needed and will take my leave.|||||||
airplane|Medicine_Man_Veetra|Good day to you,  $N. Are you a shaman of [much experience]?|2|Summon Ooga|despawn|self|||||||
airplane|Neasin_Leornic|Great, let us waste no more time! Do you wish to begin your test of concentration, focus, or meditation?|1|I am finished for now.  Let Wizard Schrock return.|say|Very well,  $N.  Farewell.|||||||
airplane|Neasin_Leornic|Great, let us waste no more time! Do you wish to begin your test of concentration, focus, or meditation?|1|I am finished for now.  Let Wizard Schrock return.|despawn|self|||||||
airplane|Ogog|Ogog not smart, but Ogog smarter than you.  You ready for Ogog or no?|1|I am finished for now.  Let Torgon Blademaster return.|say|Very well,  $N.  Farewell.|||||||
airplane|Ogog|Ogog not smart, but Ogog smarter than you.  You ready for Ogog or no?|1|I am finished for now.  Let Torgon Blademaster return.|despawn|self|||||||
airplane|Ooga|Euh? You come see Ooga about shaman tests? Me can test in shrink, the snake, or witch doctor! What yuz want to test in?|1|I am finished for now.  Let Medicine Man Veetra return.|say|Very well,  $N.  Farewell.|||||||
airplane|Ooga|Euh? You come see Ooga about shaman tests? Me can test in shrink, the snake, or witch doctor! What yuz want to test in?|1|I am finished for now.  Let Medicine Man Veetra return.|despawn|self|||||||
airplane|Overseer_of_Air|So you have awakened me!! It seems my brother was not much of a challenge. Before we get on to business, there are some matters that must be addressed. But enough talk, let's address these matters first.|1|What matters must be addressed?|say|The matter at hand is where you are to go after this. I believe that crazy halfling will be showing up. But if by chance he oversleeps, there is some information you should have.|||||||
airplane|Overseer_of_Air|So you have awakened me!! It seems my brother was not much of a challenge. Before we get on to business, there are some matters that must be addressed. But enough talk, let's address these matters first.|2|What information?|say|You have come to my home. This is also home to the soul carriers and essence harvesters. On the mortal plane, they are still natural enemies, but have learned to live together and are now peaceful creatures here in the Plane of Sky. Be forewarned that as you proceed about your tour, each gate you must reach and pass through will become substantially harder.|||||||
airplane|Overseer_of_Air|So you have awakened me!! It seems my brother was not much of a challenge. Before we get on to business, there are some matters that must be addressed. But enough talk, let's address these matters first.|3|Tell me of the challenge.|say|The challenge in which you defeated him - are you going to offer me that same challenge?|||||||
airplane|Overseer_of_Air|So you have awakened me!! It seems my brother was not much of a challenge. Before we get on to business, there are some matters that must be addressed. But enough talk, let's address these matters first.|4|Let us get on to business.|say|What business?!?!  I'll show you some business!|||||||
airplane|Overseer_of_Air|So you have awakened me!! It seems my brother was not much of a challenge. Before we get on to business, there are some matters that must be addressed. But enough talk, let's address these matters first.|4|Let us get on to business.|attackplayer||||||||
airplane|Ranger_Spirit|Greetings,  $N. Are you a true servant of the Pine?|1|Summon Relinin Skyrunner|spawnunique|71095|1399.5|617.1|-769.999939|129.4|||
airplane|Ranger_Spirit|Greetings,  $N. Are you a true servant of the Pine?|2|Summon Gordon Treecaller|spawnunique|71090|1400.1|592.8|-769.999939|129.4|||
airplane|Ranger_Spirit|Greetings,  $N. Are you a true servant of the Pine?|1|Summon Relinin Skyrunner|say|Relinin Skyrunner, I summon thee.|||||||
airplane|Ranger_Spirit|Greetings,  $N. Are you a true servant of the Pine?|1|Summon Relinin Skyrunner|despawn|self|||||||
airplane|Ranger_Spirit|Greetings,  $N. Are you a true servant of the Pine?|2|Summon Gordon Treecaller|say|Gordon Treecaller, I summon thee.|||||||
airplane|Ranger_Spirit|Greetings,  $N. Are you a true servant of the Pine?|2|Summon Gordon Treecaller|despawn|self|||||||
airplane|Rayne|Great, let us waste no more time! Do you wish to begin your test of Deception, Stealth, or Cunning?|1|I am finished for now.  Let Thalik Silenthand return.|say|Very well,  $N.  Farewell.|||||||
airplane|Rayne|Great, let us waste no more time! Do you wish to begin your test of Deception, Stealth, or Cunning?|1|I am finished for now.  Let Thalik Silenthand return.|despawn|self|||||||
airplane|Relinin_Skyrunner|Greetings  $N. I can only assume my reasons for being summoned is that you wish to take the tests. Would you like to be tested in the body, in defense, or in the element of earth?|1|I am finished for now.  Let Ranger Spirit return.|say|Very well,  $N.  Farewell.|||||||
airplane|Relinin_Skyrunner|Greetings  $N. I can only assume my reasons for being summoned is that you wish to take the tests. Would you like to be tested in the body, in defense, or in the element of earth?|1|I am finished for now.  Let Ranger Spirit return.|despawn|self|||||||
airplane|Roanis_Elindar|Great, let us waste no more time!  I offer to you four challenges.  Summoning, interpretation, gesticulation, and displacement.  Please choose one of these.|1|I am finished for now.  Let Magus Frinon return.|say|Very well,  $N.  Farewell.|||||||
airplane|Roanis_Elindar|Great, let us waste no more time!  I offer to you four challenges.  Summoning, interpretation, gesticulation, and displacement.  Please choose one of these.|1|I am finished for now.  Let Magus Frinon return.|despawn|self|||||||
airplane|Sarkis_Ebonblade|Greetings.  $N.  Have you come here to test your dark powers of skill and spell casting?|1|Summon Gragrot|spawnunique|71063|1351.9|563.3|-769.999939|63.4|||
airplane|Sarkis_Ebonblade|Greetings.  $N.  Have you come here to test your dark powers of skill and spell casting?|2|Summon Tynicon DLin|spawnunique|71098|1351.9|563.3|-769.999939|63.4|||
airplane|Sarkis_Ebonblade|Greetings.  $N.  Have you come here to test your dark powers of skill and spell casting?|1|Summon Gragrot|say|Farewell.|||||||
airplane|Sarkis_Ebonblade|Greetings.  $N.  Have you come here to test your dark powers of skill and spell casting?|1|Summon Gragrot|despawn|self|||||||
airplane|Sarkis_Ebonblade|Greetings.  $N.  Have you come here to test your dark powers of skill and spell casting?|2|Summon Tynicon DLin|say|Till next time!  Farewell!|||||||
airplane|Sarkis_Ebonblade|Greetings.  $N.  Have you come here to test your dark powers of skill and spell casting?|2|Summon Tynicon DLin|despawn|self|||||||
airplane|Sirran_the_Lunatic|Ehem! What? Oh, hello there! Sirran be my name. Yes? So, come to the Plane of Sky, have you? Killed all my fairies! Hah! So! Do you wish to know how to traverse this plane? Or should I just go away? I know much about this plane. You would do well to listen!|1|What can you do?|say|I can tell you how to get from island to island, so, nyah!  I can also tell you about the Veil. Hold on to everything you find up here.  It may come in handy.|||||||
airplane|Sirran_the_Lunatic|Ehem! What? Oh, hello there! Sirran be my name. Yes? So, come to the Plane of Sky, have you? Killed all my fairies! Hah! So! Do you wish to know how to traverse this plane? Or should I just go away? I know much about this plane. You would do well to listen!|2|Tell me about this plane.|say|Ahah! Wise you are and tell you I will. Hrm? Don't have wings, do you? Fairies have swords! Fairies stole my lucky feet! Hand me them, one by one, and be in for a treat! Haha!|||||||
airplane|Sirran_the_Lunatic|Ehem! What? Oh, hello there! Sirran be my name. Yes? So, come to the Plane of Sky, have you? Killed all my fairies! Hah! So! Do you wish to know how to traverse this plane? Or should I just go away? I know much about this plane. You would do well to listen!|3|Tell me about the Veil.|say|The veil is dissolving!  Centuries ago, when Veeshan brought me to this place, she sealed the plane with the Veil.  By you being here, it is evidence that the Veil is lifting.|||||||
airplane|Sirran_the_Lunatic|Ehem! What? Oh, hello there! Sirran be my name. Yes? So, come to the Plane of Sky, have you? Killed all my fairies! Hah! So! Do you wish to know how to traverse this plane? Or should I just go away? I know much about this plane. You would do well to listen!|4|Citanul eht Narris, liah.|say|Lortap llaw taerg eht fo lahsram, Narris lahsram ma I. Flesym ecudortni ot em wolla. Sgniteerg|||||||
airplane|Sirran_the_Lunatic|Ehem! What? Oh, hello there! Sirran be my name. Yes? So, come to the Plane of Sky, have you? Killed all my fairies! Hah! So! Do you wish to know how to traverse this plane? Or should I just go away? I know much about this plane. You would do well to listen!|5|Llaw eht htiw eno I ma.|say|Kcul doog! Ouy rof ydaer si erips eht fo retsis eht won, sdik boj doog.|||||||
airplane|Sirran_the_Lunatic|Ehem! What? Oh, hello there! Sirran be my name. Yes? So, come to the Plane of Sky, have you? Killed all my fairies! Hah! So! Do you wish to know how to traverse this plane? Or should I just go away? I know much about this plane. You would do well to listen!|5|Llaw eht htiw eno I ma.|spawnunique|71076|-1035|-929|1088.812622|64|||
airplane|Strandar_Pinemist|Greetings, young one. Are you a [child of the trees]?|1|Summon Will Treewalker|spawnunique|71099|1311.4|563|-769.999939|65.4|||
airplane|Strandar_Pinemist|Greetings, young one. Are you a [child of the trees]?|2|Summon Fenalla Moonshadow|spawnunique|71086|1329.3|562.5|-769.999939|65.4|||
airplane|Strandar_Pinemist|Greetings, young one. Are you a [child of the trees]?|1|Summon Will Treewalker|say|Welcome, Will Treewalker.|||||||
airplane|Strandar_Pinemist|Greetings, young one. Are you a [child of the trees]?|1|Summon Will Treewalker|despawn|self|||||||
airplane|Strandar_Pinemist|Greetings, young one. Are you a [child of the trees]?|2|Summon Fenalla Moonshadow|say|Welcome, Fenalla Moonshadow.|||||||
airplane|Strandar_Pinemist|Greetings, young one. Are you a [child of the trees]?|2|Summon Fenalla Moonshadow|despawn|self|||||||
airplane|Thalik_Silenthand|Greetings,  $N.  Do you believe you are a great rogue?|1|Summon Rayne|spawnunique|71061|1372.6|563.3|-769.999939|63.4|||
airplane|Thalik_Silenthand|Greetings,  $N.  Do you believe you are a great rogue?|2|Summon Kendrick|spawnunique|71068|1372.6|563.3|-769.999939|63.4|||
airplane|Thalik_Silenthand|Greetings,  $N.  Do you believe you are a great rogue?|1|Summon Rayne|say|Farewell.|||||||
airplane|Thalik_Silenthand|Greetings,  $N.  Do you believe you are a great rogue?|1|Summon Rayne|despawn|self|||||||
airplane|Thalik_Silenthand|Greetings,  $N.  Do you believe you are a great rogue?|2|Summon Kendrick|say|Farewell.|||||||
airplane|Thalik_Silenthand|Greetings,  $N.  Do you believe you are a great rogue?|2|Summon Kendrick|despawn|self|||||||
airplane|Ton_Po|So, I have been called upon to test you, and test you I shall. I will give you the option of choosing your test though enlightened one. Shall you take the test of Strength, Sight, or Speed?|1|I am finished for now.  Let Holwin return.|say|Very well,  $N.  Farewell.|||||||
airplane|Ton_Po|So, I have been called upon to test you, and test you I shall. I will give you the option of choosing your test though enlightened one. Shall you take the test of Strength, Sight, or Speed?|1|I am finished for now.  Let Holwin return.|despawn|self|||||||
airplane|Torgon_Blademaster|Greetings,  $N. Are you a [true warrior]?|1|Summon Falorn|spawnunique|71067|1392.4|563.3|-769.999939|63.4|||
airplane|Torgon_Blademaster|Greetings,  $N. Are you a [true warrior]?|2|Summon Ogog|spawnunique|71064|1392.4|563.3|-769.999939|63.4|||
airplane|Torgon_Blademaster|Greetings,  $N. Are you a [true warrior]?|1|Summon Falorn|say|Falorn, come forth!|||||||
airplane|Torgon_Blademaster|Greetings,  $N. Are you a [true warrior]?|1|Summon Falorn|despawn|self|||||||
airplane|Torgon_Blademaster|Greetings,  $N. Are you a [true warrior]?|2|Summon Ogog|say|Farewell.|||||||
airplane|Torgon_Blademaster|Greetings,  $N. Are you a [true warrior]?|2|Summon Ogog|despawn|self|||||||
airplane|Tynicon_DLin|Great, let us waste no more time! I offer to you four challenges. Disempowement, Envenoming, Raising of the Dead, or Necropotence. Choose one to be tested on.|1|I am finished for now.  Let Sarkis Ebonblade return.|say|Very well,  $N.  Farewell.|||||||
airplane|Tynicon_DLin|Great, let us waste no more time! I offer to you four challenges. Disempowement, Envenoming, Raising of the Dead, or Necropotence. Choose one to be tested on.|1|I am finished for now.  Let Sarkis Ebonblade return.|despawn|self|||||||
airplane|Will_Treewalker|Children of the trees, friend and protector of nature. We are brothers and sisters to the wolves and bears. The call of the Great Pine has filled your soul and you have found your way here to be tested. Are you ready to be tested?|1|I am finished for now.  Let Strandar Pinemist return.|say|Very well,  $N.  Farewell.|||||||
airplane|Will_Treewalker|Children of the trees, friend and protector of nature. We are brothers and sisters to the wolves and bears. The call of the Great Pine has filled your soul and you have found your way here to be tested. Are you ready to be tested?|1|I am finished for now.  Let Strandar Pinemist return.|despawn|self|||||||
airplane|Wizard_Schrock|Greetings,  $N. Do you believe that you are a [great Wizard]?|1|Summon Neasin Leornic|spawnunique|71092|1304.3|585|-769.999939|0.1|||
airplane|Wizard_Schrock|Greetings,  $N. Do you believe that you are a [great Wizard]?|2|Summon Abec Ianor|spawnunique|71079|1304.3|585|-769.999939|0.1|||
