id|zone|npc_name|eq_npc_id|event|emote_type|chance|param1|param2|min_expansion|max_expansion|text|comment
27|chardok|The_thick|103174|proximity|emote|100|25|60000|-1|-1|dust is beginning to clog your throat and nostrils.|event_enter box trigger
28|chardok|Your_feet_splash|103213|proximity|emote|100|25|60000|-1|-1|through shallow puddles as you walk along.|event_enter box trigger
29|commons|Duggin_Scumber|21136|timer|emote|100|120000|240000|-1|-1|runs up and steals the note. 'Aha!! Foolish Qeynite or whatever you call yourself!! I have found the note and now I shall take it to my superior!! Just try and catch me!!'|event_waypoint_arrive bark (approximated as timer)
30|commons|Mojax_Hikspin|21120|timer|say|100|120000|240000|-1|-1|Here you are. I hid it in this box behind the marker. Take it to Eastyana of the Temple of Marr. Goodbye.|event_waypoint_arrive bark (approximated as timer)
31|crushbone|Lord_Darish|58028|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
32|crushbone|Lord_Darish|58028|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
33|crushbone|Lord_Darish|58028|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
34|crushbone|Orc_Scoutsman|58042|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
35|crushbone|Orc_Scoutsman|58042|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
36|crushbone|Orc_Scoutsman|58042|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
37|crushbone|Orc_Warden|58047|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
38|crushbone|Orc_Warden|58047|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
39|crushbone|Orc_Warden|58047|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
40|crushbone|The_Prophet|58031|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
41|crushbone|The_Prophet|58031|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
42|crushbone|The_Prophet|58031|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
43|crushbone|orc_centurion|58009|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
44|crushbone|orc_centurion|58009|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
45|crushbone|orc_centurion|58009|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
46|crushbone|orc_centurion|58061|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
47|crushbone|orc_centurion|58061|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
48|crushbone|orc_centurion|58061|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
49|crushbone|orc_centurion|58062|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
50|crushbone|orc_centurion|58062|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
51|crushbone|orc_centurion|58062|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
52|crushbone|orc_centurion|58064|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
53|crushbone|orc_centurion|58064|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
54|crushbone|orc_centurion|58064|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
55|crushbone|orc_emissary|58041|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
56|crushbone|orc_emissary|58041|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
57|crushbone|orc_emissary|58041|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
58|crushbone|orc_slaver|58029|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
59|crushbone|orc_slaver|58029|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
60|crushbone|orc_slaver|58029|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
61|crushbone|orc_slaver|58065|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
62|crushbone|orc_slaver|58065|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
63|crushbone|orc_slaver|58065|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
64|crushbone|orc_taskmaster|58040|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
65|crushbone|orc_taskmaster|58040|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
66|crushbone|orc_taskmaster|58040|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
67|crushbone|orc_trainer|58035|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
68|crushbone|orc_trainer|58035|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
69|crushbone|orc_trainer|58035|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
70|crushbone|orc_warlord|58002|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
71|crushbone|orc_warlord|58002|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
72|crushbone|orc_warlord|58002|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
73|crushbone|royal_guard|58030|combat|say|100|0|0|-1|-1|Death!! Death to all who oppose the Crushbone orcs!!|event_combat speech
74|crushbone|royal_guard|58030|combat|say|100|0|0|-1|-1|Hail, Emperor Crush!!|event_combat speech
75|crushbone|royal_guard|58030|combat|say|100|0|0|-1|-1|Fall before the might of Clan Crushbone!!|event_combat speech
76|dalnir|a_coerced_channeler|104001|death|shout|100|0|0|-1|-1|the river of Xinth...|event_death_complete speech
77|eastkarana|#Guard_Elias|15193|timer|say|100|120000|240000|-1|-1|Hello, Milea. It is unfortunate for you that your friends have led me right to you. Soon you will join Nerissa in the afterlife. Do you have any last words?|event_waypoint_arrive bark (approximated as timer)
78|eastkarana|Sir_Morgan|15045|timer|say|100|120000|240000|-1|-1|Hello, Wimbley, old chap!|event_waypoint_arrive bark (approximated as timer)
79|eastkarana|Sir_Morgan|15045|timer|say|100|120000|240000|-1|-1|Almost there...|event_waypoint_arrive bark (approximated as timer)
80|eastkarana|Sir_Morgan|15045|timer|say|100|120000|240000|-1|-1|Well, here we are! It is just a short jaunt through the pass ahead. Just remember to take the high road. I'm off, then. Good luck!|event_waypoint_arrive bark (approximated as timer)
81|eastwastes|#Peffin_Ambersnow|116038|combat|shout|100|0|0|-1|-1|Take me if you can outlander! Your hunt ends here...I hope you enjoy the taste of Kromrif steel!|event_combat speech
82|ecommons|Sergeant_Slate|22067|timer|say|100|120000|240000|-1|-1|Condition report soldier!|event_waypoint_arrive bark (approximated as timer)
83|erudsxing|Ooglyn|98009|timer|say|100|120000|240000|-1|-1|Ok, here is place for you to for waiting. Hab fun shaman!|event_waypoint_arrive bark (approximated as timer)
84|everfrost|Tundra_Jack|30061|timer|say|100|120000|240000|-1|-1|Come on, Iceberg! Time to do a little mining.|event_waypoint_arrive bark (approximated as timer)
85|everfrost|Tundra_Jack|30061|timer|say|100|120000|240000|-1|-1|Silver and Gold!!.. Silver and Gold!!|event_waypoint_arrive bark (approximated as timer)
86|everfrost|Tundra_Jack|30061|timer|say|100|120000|240000|-1|-1|Nothin'!!|event_waypoint_arrive bark (approximated as timer)
87|fearplane|Cazic_Thule|72003|combat|shout|100|0|0|-1|-1|Denizens of Fear, your master commands you to come forth to his aid!!|event_combat speech
88|fearplane|Cazic_Thule|72005|combat|shout|100|0|0|-1|-1|Denizens of Fear, your master commands you to come forth to his aid!!|event_combat speech
89|fieldofbone|Gharg_Oberbord|78090|timer|emote|100|3100000|3100000|-1|-1|laughs heartily at one of the skeletons.|event_timer bark
90|firiona|#Hero_Goxnok|84401|combat|say|100|0|0|-1|-1|Die by the power of Greenmist!!|event_combat speech
91|firiona|Sergeant_Daelione|84008|timer|shout|100|120000|240000|-1|-1|We march Onward!|event_waypoint_arrive bark (approximated as timer)
92|freporte|Brunar_Rankin|10173|timer|say|100|120000|240000|-1|-1|Here is my catch for today, Gregor|event_waypoint_arrive bark (approximated as timer)
93|freporte|Brunar_Rankin|10173|timer|say|100|120000|240000|-1|-1|Ho hum, what a lovely day !|event_waypoint_arrive bark (approximated as timer)
94|freporte|Henna_Treghost|10172|timer|say|100|1040000|1040000|-1|-1|Let's hear some music.|event_timer bark
95|freporte|Henna_Treghost|10172|timer|say|100|1040000|1040000|-1|-1|Music!! Music!!|event_timer bark
96|freporte|Henna_Treghost|10172|timer|say|100|1040000|1040000|-1|-1|Play us some music bard!!|event_timer bark
97|freporte|Henna_Treghost|10172|timer|say|100|1040000|1040000|-1|-1|Let's liven this pub up!|event_timer bark
98|freporte|Henna_Treghost|10172|timer|say|100|1040000|1040000|-1|-1|Try to cheer this place up, bard.|event_timer bark
99|freporte|Henna_Treghost|10172|timer|say|100|1040000|1040000|-1|-1|Where is the music? I don't pay you bards to drink all the grog!!|event_timer bark
100|freporte|Henna_Treghost|10172|timer|say|100|1040000|1040000|-1|-1|Sing us a melody.|event_timer bark
101|freportw|Krazen_Loosh|9143|timer|say|100|120000|240000|-1|-1|Hello, Alayle. We just got a message from Qeynos. I think you should come with me.|event_waypoint_arrive bark (approximated as timer)
102|freportw|Lady_Shae|9058|timer|say|100|120000|240000|-1|-1|I will be back soon, Pandos. Please keep an eye on my room for me.|event_waypoint_arrive bark (approximated as timer)
103|freportw|Shintl_Lowbrew|9056|timer|say|100|120000|240000|-1|-1|Any mail for room number two?|event_waypoint_arrive bark (approximated as timer)
104|freportw|a_prisoner|9138|timer|say|100|150000|150000|-1|-1|unngh!!.. Biggle and boo.. Goggle froo..|event_timer bark
105|freportw|a_prisoner|9138|timer|say|100|150000|150000|-1|-1|ahhhh!!.. Tiggle bumble coo.. Bog n' Goo..|event_timer bark
106|freportw|peasant_woman|9122|timer|emote|100|3000000|3000000|-1|-1|grunts as she tries to fill two buckets of [water]. Her frail arms strain at her work and pain fills her eyes with tears.|event_timer bark
107|frozenshadow|a_distant_voice|111164|proximity|say|100|45|60000|-1|-1|She took us during the battle. She could feel us dying during our struggle with the heretics. She brought us here, far from home. Do you see why you must go back now? Look at what she has done. They do not see, they think they are home. She feeds her captive souls with knowledge to power her tools of domination. Soon they will be bricks and steel, used for nothing but war.|event_enter box trigger
108|frozenshadow|a_haunting_voice|111146|proximity|say|100|25|60000|-1|-1|Please, you must turn back. They no longer recognize, they no longer know.|event_enter box trigger
109|gfaydark|a_drunkard|54261|timer|say|100|120000|240000|-1|-1|Please.. Can anyone spare some coppers? <Hic>.. Anyone?|event_waypoint_arrive bark (approximated as timer)
110|growthplane|#a_thifling_sprite|127009|timer|emote|100|45000|45000|-1|-1|makes an odd series of gurgles and murmurs to itself. It seems like the random collection of unintelligeble noise is supposed to simulate language.|event_timer bark
111|growthplane|Tunarean_Earthmelder|127042|timer|emote|100|90000|90000|-1|-1|seems to pulse as its roots dig into the ground around it.|event_timer bark
112|growthplane|a_guardian_power|127037|timer|emote|100|120000|240000|-1|-1|roars loudly and stomps on the ground as it looks into the trees as if in challenge to anything that would harm the sifaye.|event_waypoint_arrive bark (approximated as timer)
113|growthplane|a_mumbling_totem_man|127046|timer|emote|100|120000|240000|-1|-1|mumbles and clicks to itself as it stares at the huge totem.|event_waypoint_arrive bark (approximated as timer)
114|growthplane|a_mumbling_totem_man|127046|timer|emote|100|120000|240000|-1|-1|clicks to itself as it circles the ancient totem.|event_waypoint_arrive bark (approximated as timer)
115|growthplane|a_reverent_treant|127013|timer|emote|100|30000|30000|-1|-1|rumbles. Its voice sounds like bark cracking and moving in a strange hum of song. It seems to be humming to the large tree.|event_timer bark
116|growthplane|a_reverent_treant|127013|timer|emote|100|30000|30000|-1|-1|whispers, like wind through the tree tops, as it speaks hushed words to the tree.|event_timer bark
117|growthplane|a_thifling_orator|127041|timer|say|100|180000|180000|-1|-1|Step three is... uh... I forgets but step four is growth. Dont forget!|event_timer bark
118|hateplane|A_blood|76046|proximity|emote|100|25|60000|-1|-1|chilling cry echoes through the darkened streets|event_enter box trigger
119|hateplane|A_wise|76061|proximity|emote|100|25|60000|-1|-1|man would not find himself invading the realm of Innoruuk.|event_enter box trigger
120|hateplane|The_stench|76390|proximity|emote|100|25|60000|-1|-1|of decay is overpowering|event_enter box trigger
121|hateplane|You_really|76389|proximity|emote|100|25|60000|-1|-1|hate this place.|event_enter box trigger
122|hateplane|You_would|76058|proximity|emote|100|25|60000|-1|-1|much rather be in a safe and warm inn than this hellish dimension.|event_enter box trigger
123|highkeep|Isabella_Cellus|6167|timer|say|100|120000|240000|-1|-1|Would you please leave me alone?!|event_waypoint_arrive bark (approximated as timer)
124|highkeep|Isabella_Cellus|6167|timer|say|100|120000|240000|-1|-1|I need to get out of here.|event_waypoint_arrive bark (approximated as timer)
125|highkeep|Isabella_Cellus|6167|timer|say|100|120000|240000|-1|-1|Would you please stop following me!!|event_waypoint_arrive bark (approximated as timer)
126|highkeep|Isabella_Cellus|6167|timer|say|100|120000|240000|-1|-1|I just adore this place.|event_waypoint_arrive bark (approximated as timer)
127|iceclad|Bilf|110056|timer|emote|100|70000|70000|-1|-1|rolls a pair of handcarved dice. 'Har har! The bones be favorin' me today!'|event_timer bark
128|iceclad|Bilf|110056|timer|emote|100|70000|70000|-1|-1|rolls a pair of handcarved dice. 'Bah! You loaded these dice! I never roll this bad!'|event_timer bark
129|iceclad|Bilf|110056|timer|emote|100|70000|70000|-1|-1|gets a strange smile and throws down a couple of chips. 'Time ta ante up. I'm feelin' lucky.'|event_timer bark
130|iceclad|Ergrez_Shortpaw|110010|timer|emote|100|120000|120000|-1|-1|works at skinning and cleaning the raw furs around him.|event_timer bark
131|iceclad|Lodizal|110003|timer|emote|100|120000|240000|-1|-1|sniffs and turns slowly, its huge head swinging from side to side as it looks for food.|event_waypoint_arrive bark (approximated as timer)
132|iceclad|Lodizal|110003|timer|emote|100|120000|240000|-1|-1|roars at the village angrily, its trail of destruction stretching behind.|event_waypoint_arrive bark (approximated as timer)
133|iceclad|Lodizal|110003|timer|emote|100|120000|240000|-1|-1|bellows one last time, its fiery maw satiated by its angry feeding. It heads towards the ocean, its gut full and its anger quenched.|event_waypoint_arrive bark (approximated as timer)
134|iceclad|Lodizal|110003|timer|emote|100|120000|240000|-1|-1|bellows and thrashes around. His flippers kick hard snow and ice into the air. His maw snaps and opens like a promise of death.|event_waypoint_arrive bark (approximated as timer)
135|iceclad|Madan_Eflik|110040|timer|emote|100|3000000|3000000|-1|-1|rubs her arms to warm herself up. 'Did you find me something other than biscuits yet? What? No? Stay on your side of the igloo, then, Sojan!|event_timer bark
136|iceclad|Madan_Eflik|110040|timer|emote|100|3000000|3000000|-1|-1|shivers violently. 'I hate this place. My sister always told me I shouldn't be a pirate and that you were nothing but a clockwork grease pouring imbecile!'|event_timer bark
137|iceclad|Novyak_the_Lookout|110070|timer|say|100|2400000|2400000|-1|-1|Guys, can I get down now please?|event_timer bark
138|kael|The_sound_of|113422|proximity|emote|100|45|60000|-1|-1|chanting seems to be coming from all directions.|event_enter box trigger
139|kael|a_fish|113087|proximity|emote|100|45|60000|-1|-1|nearly jumps onto the ice.|event_enter box trigger
140|kael|a_gust_of_wind|113560|proximity|emote|100|45|60000|-1|-1|blows through the cavern.|event_enter box trigger
141|kael|water|113431|proximity|emote|100|45|60000|-1|-1|drips from the stalactite to the stalagmite.|event_enter box trigger
142|kaesora|failed_crypt_raider|88092|death|say|100|0|0|-1|-1|Never.. to feel the mist.. again..|event_death_complete speech
143|kaladimb|Jark|67056|timer|emote|100|4200000|4200000|-1|-1|strikes the wall with his pick. A dull clang sounds throughout the cave. 'Arrr. Nothin' here either.|event_timer bark
144|kerraridge|Urkath_Greyface|74022|timer|say|100|3000000|3000000|-1|-1|Errrrrmf. If only just that [wish] for Urrkath?|event_timer bark
145|kithicor|General_V-ghera|20205|timer|emote|100|6000|6000|-1|-1|picks up something from the ground.|event_timer bark
146|lakerathe|#Natasha_Whitewater|51138|spawn|shout|100|0|0|-1|-1|The Triumvirate of Water has decreed your fate, Shmendrik Lavawalker!! I am here to deliver said fate!!|event_spawn speech
147|lakerathe|Princess_Lenya_Thex|51176|spawn|shout|100|0|0|-1|-1|I am free..|event_spawn speech
148|lakerathe|Princess_Lenya_Thex|51176|spawn|emote|100|0|0|-1|-1|<glug>' She motions to you to follow her to shore.'|event_spawn speech
149|lavastorm|Eejag|27119|spawn|shout|100|0|0|-1|-1|What imbecile dares challenge a Celestial Fist?! Do you even know who you are challenging? HA! You are nothing but an insect! I will enjoy crushing you, I have not charred the flesh of an idiot in decades! If you truly wish to fight me, the battle shall be held in my own element. Come, challenger, come down to the pits of flowing fire.|event_spawn speech
150|mischiefplane|#Lithiniath|126014|timer|shout|100|120000|240000|-1|-1|The madness has fled my mind and I am once again whole! Give Gelistial my regards, I must leave this place and try to quell the madness I have inflicted.|event_waypoint_arrive bark (approximated as timer)
151|mischiefplane|Rissa|126235|timer|say|100|120000|240000|-1|-1|Ahhhhhh! Someone help me! This crazy Bixie is chasing me!|event_waypoint_arrive bark (approximated as timer)
152|mischiefplane|Rissa|126235|timer|say|100|120000|240000|-1|-1|Its almost got me! Someone help!|event_waypoint_arrive bark (approximated as timer)
153|mischiefplane|Rissa|126235|timer|say|100|120000|240000|-1|-1|Won't anyone help me! Ahhh!|event_waypoint_arrive bark (approximated as timer)
154|mischiefplane|Rissa|126235|timer|say|100|120000|240000|-1|-1|NO NO NO NO! I can keep running! You will not catch me you crazed Bixie!|event_waypoint_arrive bark (approximated as timer)
155|mischiefplane|Rissa|126235|timer|say|100|120000|240000|-1|-1|These legs will carry me to salvation! Someone get this Bixie off me!|event_waypoint_arrive bark (approximated as timer)
156|mischiefplane|Rissa|126235|timer|say|100|120000|240000|-1|-1|Maybe if it rains, her wings will be wet and I can get her!|event_waypoint_arrive bark (approximated as timer)
157|mischiefplane|Rissa|126235|timer|say|100|120000|240000|-1|-1|Blast it all! No help! No help from anyone I see! AHHHHHH!|event_waypoint_arrive bark (approximated as timer)
158|mischiefplane|Vinny_V._D-vicci|126277|timer|say|100|94000|94000|-1|-1|I'm fishing fishing fishing. I fish the whole week through. Just fishing fishing fishing. It's what I always do.|event_timer bark
159|misty|Blixkin_Entopop|33066|combat|say|100|0|0|-1|-1|What do you think you are doing?!?|event_combat speech
160|misty|Blixkin_Entopop|33066|timer|say|100|120000|240000|-1|-1|Ember?! Ember?! Where are you, girl?!|event_waypoint_arrive bark (approximated as timer)
161|misty|Ella_Foodcrafter|33077|timer|emote|100|120000|240000|-1|-1|hums a little as she drops off supplies for the deputies.|event_waypoint_arrive bark (approximated as timer)
162|misty|Ella_Foodcrafter|33077|timer|say|100|120000|240000|-1|-1|Hope things are going well here.|event_waypoint_arrive bark (approximated as timer)
163|misty|Ella_Foodcrafter|33077|timer|say|100|120000|240000|-1|-1|Air's nice as always out here.|event_waypoint_arrive bark (approximated as timer)
164|neriaka|Pungla|40088|combat|say|100|0|0|-1|-1|Guards! Guards!|event_combat speech
165|neriaka|Rolynn_B-Div|40003|timer|say|100|120000|240000|-1|-1|Hear yee. Master Narex of the Indigo Brotherhood is offering one gold piece for every Leatherfoot Raider skullcap.|event_waypoint_arrive bark (approximated as timer)
166|neriakb|#a_leatherfoot_spy|41104|spawn|say|100|0|0|-1|-1|I have been discovered!!! You will never stop us from reclaiming the Nektulos for Karana, $name!!|event_spawn speech
167|neriakc|Lokar_To-Biath|42106|death|say|100|0|0|-1|-1|The death of a Dark Bargainer never goes unnoticed!|event_death_complete speech
168|neriakc|Mare_X-Lottl|42051|timer|say|100|4200000|4200000|-1|-1|Yoohoo!|event_timer bark
169|neriakc|Verina_Tomb|42112|combat|say|100|0|0|-1|-1|Hatred is the Universal Truth.|event_combat speech
170|northkarana|Guard_Shilster|13021|timer|emote|100|120000|240000|-1|-1|stumbles and says, 'Hey fools. Blackburrow stout for sale five gold. Load up now 'cause it's going fast! Just make sure you enjoy it in privacy or you might get arrested, ha haaaa!'|event_waypoint_arrive bark (approximated as timer)
171|northkarana|Guard_Shilster|13021|timer|emote|100|120000|240000|-1|-1|burps loudly and says, 'Your loss. Back to the bridge I go to keep us safe from the enemy or whatever it is I'm supposed to be doing out there.'|event_waypoint_arrive bark (approximated as timer)
172|oot|Dayle_Jornin|69153|timer|say|100|120000|240000|-1|-1|Join the Pirates of Gunthak, wench, or die!!|event_waypoint_arrive bark (approximated as timer)
173|oot|Sentry_Xyrin|69132|timer|say|100|3600000|3600000|-1|-1|Heeelp! The evil undead on this isle are overwhelming!|event_timer bark
174|oot|Zyle_Bensmill|69092|timer|say|100|120000|240000|-1|-1|Join the Pirates of Gunthak, wench, or die!!|event_waypoint_arrive bark (approximated as timer)
175|overthere|Captain_Rottgrime|93085|timer|say|100|120000|240000|-1|-1|Atteeennntion !!|event_waypoint_arrive bark (approximated as timer)
176|overthere|General_V-Deers|93087|timer|say|100|120000|240000|-1|-1|Forward.. march!! Your left.. Your.. left, right, march! Eighty.. second.. dragoon soldier!! Pick up your weapon and follow me!!|event_waypoint_arrive bark (approximated as timer)
177|overthere|Nekexin_Virulence|93043|timer|emote|100|1800000|1800000|-1|-1|chuckles to himself as he notices blades of grass disintegrate beneath his feet. He stares out over the water as if watching for some sign.|event_timer bark
178|paineel|Elia_Athrex|75020|timer|say|100|3100000|3100000|-1|-1|The cold of souls and stench of death! Always, here, do I find it...|event_timer bark
179|permafrost|Lady_Vox|73057|proximity|proximity|100|30|60000|-1|-1|I will not fight you, but I shall banish you!|event_enter box trigger
180|qey2hh1|Brother_Estle|12043|timer|say|100|120000|240000|-1|-1|I believe here is where I am to wait for the [blessed oil].|event_waypoint_arrive bark (approximated as timer)
181|qey2hh1|Brother_Estle|12043|timer|say|100|120000|240000|-1|-1|Cleanse your souls, sinners! The way of life is found through the [Prime Healer]. Repent and join us!|event_waypoint_arrive bark (approximated as timer)
182|qey2hh1|Cleet_Miller|12108|timer|emote|100|120000|240000|-1|-1|gathers up a bale of straw|event_waypoint_arrive bark (approximated as timer)
183|qey2hh1|Cleet_Miller_Jr|12029|timer|emote|100|120000|240000|-1|-1|gathers up a bale of straw|event_waypoint_arrive bark (approximated as timer)
184|qey2hh1|Furball_Miller|12041|timer|emote|100|120000|240000|-1|-1|gathers up a bale of straw|event_waypoint_arrive bark (approximated as timer)
185|qey2hh1|Yiz_Pon|12006|combat|say|100|0|0|-1|-1|He has found me! Help meeeeeee!|event_combat speech
186|qeynos|#Guard_Sylus|1182|timer|say|100|120000|240000|-1|-1|Come along, prisoner.|event_waypoint_arrive bark (approximated as timer)
187|qeynos|Behroe_Dlexon|1000|death|say|100|0|0|-1|-1|Your actions will not go unnoticed! The League of Antonican Bards has many members all over this continent.|event_death_complete speech
188|qeynos|Caleah_Herblender|1118|timer|say|100|350000|350000|-1|-1|Drawna.. Are we all out of bat fur again?|event_timer bark
189|qeynos|Danaria_Hollin|1066|timer|say|100|120000|240000|-1|-1|I would like an Erudian tart, please.|event_waypoint_arrive bark (approximated as timer)
190|qeynos|Danaria_Hollin|1066|timer|say|100|120000|240000|-1|-1|Time in the pub shall keep them from advancing to the next level of the mind. When will they learn?|event_waypoint_arrive bark (approximated as timer)
191|qeynos|Danaria_Hollin|1066|timer|say|100|120000|240000|-1|-1|A magnificent piece of workmanship! The clock, too.|event_waypoint_arrive bark (approximated as timer)
192|qeynos|Den_Magason|1153|timer|say|100|120000|240000|-1|-1|Psst.. Hey, you there.. Yeah, you.. You need some [blank scroll sheets].. I just got a special shipment of things in.. Come on, it's just what you're looking for.. I know you.|event_waypoint_arrive bark (approximated as timer)
