id|wowid|starterwowid|enabled|always_gen|Name|override_quality|override_item_class_id|override_item_subclass_id|itemtype|foodtype|bait_potency|icon|price|override_buy_stack_price|bagtype|orig_bagtype|bagslots|stacksize|orig_stacksize|damage|delay|alt_damage|alt_delay|alt_dps|classes|slots|aagi|ac|acha|adex|aint|asta|astr|awis|hp|mana|resistmagic|resistdisease|resistpoison|resistcold|resistfire|nodrop|norent|bagsize|source_tradeskill|item_display_file|material|color|bagwr|banedmgamt|banedmgbody|banedmgrace|bardtype|bardvalue|book|casttime|casttime_|deity|elemdmgtype|elemdmgamt|factionamt1|factionamt2|factionamt3|factionamt4|factionmod1|factionmod2|factionmod3|factionmod4|booktextname|focuseffect|fvnodrop|itemclass|light|lore|magic|maxcharges|races|range|reclevel|recskill|reqlevel|sellrate|size|skillmodtype|skillmodvalue|tradeskills|weight|booktype|recastdelay|recasttype|stackable|clickeffect|clickeffect_wow|clickequipwowid|clickessencewowid|clicktype|clicklevel|clicklevel2|proceffect|procrate|proclevel|proclevel2|procenchant_spellIDWOW|procenchant_effectIDEQ|worneffect|worntype|wornlevel|wornlevel2|worn_wow_spellid|focustype|scrolleffect|scrolltype|source|clickunk7|procunk1|procunk7|wornunk7|focusunk7|scrollunk7|clickname|wornname|bardeffect|bardeffecttype|bardlevel2|bardlevel|bardunk1|bardunk7|gmflag|soulbound|wowid_head|wowid_neck|wowid_shoulder|wowid_back|wowid_wrists|wowid_hands|wowid_waist|wowid_legs|wowid_feet|wowid_finger|wowid_trinket|wowid_ranged|wowid_mainhand
1011|85010|110452|1|0|Cloth Pants|1|-1|-1|10|0|0|631|340|-1|0|0|0|1|1|0|0|0|0|0|32767|262144|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Cloth Pants|0|0|13183|0|0|0|0|1|2|0|0|0|7|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1012|85011|110453|1|0|Cloth Sandals|1|-1|-1|10|0|0|666|260|-1|0|0|0|1|1|0|0|0|0|0|32767|524288|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Cloth Sandals|0|0|13183|0|0|0|0|1|1|0|0|0|5|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1013|85012|-1|1|0|Small Cloth Cap|1|-1|-1|10|0|0|639|200|-1|0|0|0|1|1|0|0|0|0|0|32767|4|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Small Cloth Cap|0|0|3256|0|0|0|0|1|1|0|0|0|2|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1014|85013|-1|1|0|Small Cloth Veil|1|-1|-1|10|0|0|677|160|-1|0|0|0|1|1|0|0|0|0|0|32767|8|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Small Cloth Veil|0|0|3256|0|0|0|0|1|1|0|0|0|2|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1015|85014|-1|1|0|Small Cloth Choker|1|-1|-1|10|0|0|500|160|-1|0|0|0|1|1|0|0|0|0|0|32767|32|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Small Cloth Choker|0|0|3256|0|0|0|0|1|1|0|0|0|2|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1016|85015|-1|1|0|Small Cloth Shirt|1|-1|-1|10|0|0|678|500|-1|0|0|0|1|1|0|0|0|0|0|32767|131072|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Small Cloth Shirt|0|0|3256|0|0|0|0|1|2|0|0|0|8|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1017|85016|-1|1|0|Small Cloth Shawl|1|-1|-1|10|0|0|665|180|-1|0|0|0|1|1|0|0|0|0|0|32767|64|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Small Cloth Shawl|0|0|3256|0|0|0|0|1|1|0|0|0|2|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1018|85017|-1|1|0|Small Cloth Cape|1|-1|-1|10|0|0|656|260|-1|0|0|0|1|1|0|0|0|0|0|32767|256|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Small Cloth Cape|0|0|3256|0|0|0|0|1|2|0|0|0|4|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1019|85018|-1|1|0|Small Cloth Cord|1|-1|-1|10|0|0|572|180|-1|0|0|0|1|1|0|0|0|0|0|32767|1048576|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Small Cloth Cord|0|0|3256|0|0|0|0|1|1|0|0|0|2|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1020|85019|-1|1|0|Small Cloth Sleeves|1|-1|-1|10|0|0|670|220|-1|0|0|0|1|1|0|0|0|0|0|32767|128|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Small Cloth Sleeves|0|0|3256|0|0|0|0|1|1|0|0|0|3|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1021|85020|-1|1|0|Small Cloth Wristband|1|-1|-1|10|0|0|638|180|-1|0|0|0|1|1|0|0|0|0|0|32767|1536|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Small Cloth Wristband|0|0|3256|0|0|0|0|1|1|0|0|0|2|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1022|85021|-1|1|0|Small Cloth Gloves|1|-1|-1|10|0|0|517|260|-1|0|0|0|1|1|0|0|0|0|0|32767|4096|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Small Cloth Gloves|0|0|3256|0|0|0|0|1|1|0|0|0|3|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1023|85022|-1|1|0|Small Cloth Pants|1|-1|-1|10|0|0|631|340|-1|0|0|0|1|1|0|0|0|0|0|32767|262144|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Small Cloth Pants|0|0|3256|0|0|0|0|1|2|0|0|0|5|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1024|85023|-1|1|0|Small Cloth Sandals|1|-1|-1|10|0|0|666|260|-1|0|0|0|1|1|0|0|0|0|0|32767|524288|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Small Cloth Sandals|0|0|3320|0|0|0|0|1|1|0|0|0|4|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1025|85024|-1|1|0|Large Cloth Cap|1|-1|-1|10|0|0|639|200|-1|0|0|0|1|1|0|0|0|0|0|32767|4|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Large Cloth Cap|0|0|13058|0|0|0|0|1|1|0|0|0|4|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1026|85025|-1|1|0|Large Cloth Veil|1|-1|-1|10|0|0|677|160|-1|0|0|0|1|1|0|0|0|0|0|32767|8|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Large Cloth Veil|0|0|13058|0|0|0|0|1|1|0|0|0|3|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1027|85026|-1|1|0|Large Cloth Choker|1|-1|-1|10|0|0|500|160|-1|0|0|0|1|1|0|0|0|0|0|32767|32|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Large Cloth Choker|0|0|13058|0|0|0|0|1|1|0|0|0|3|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1028|85027|-1|1|0|Large Cloth Shirt|1|-1|-1|10|0|0|678|500|-1|0|0|0|1|1|0|0|0|0|0|32767|131072|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Large Cloth Shirt|0|0|13058|0|0|0|0|1|2|0|0|0|13|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1029|85028|-1|1|0|Large Cloth Shawl|1|-1|-1|10|0|0|665|180|-1|0|0|0|1|1|0|0|0|0|0|32767|64|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Large Cloth Shawl|0|0|13058|0|0|0|0|1|1|0|0|0|4|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1030|85029|-1|1|0|Large Cloth Cape|1|-1|-1|10|0|0|656|260|-1|0|0|0|1|1|0|0|0|0|0|32767|256|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Large Cloth Cape|0|0|13058|0|0|0|0|1|2|0|0|0|6|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1031|85030|-1|1|0|Large Cloth Cord|1|-1|-1|10|0|0|572|180|-1|0|0|0|1|1|0|0|0|0|0|32767|1048576|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Large Cloth Cord|0|0|13058|0|0|0|0|1|1|0|0|0|3|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1032|85031|-1|1|0|Large Cloth Sleeves|1|-1|-1|10|0|0|670|220|-1|0|0|0|1|1|0|0|0|0|0|32767|128|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Large Cloth Sleeves|0|0|13058|0|0|0|0|1|1|0|0|0|5|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1033|85032|-1|1|0|Large Cloth Wristband|1|-1|-1|10|0|0|638|180|-1|0|0|0|1|1|0|0|0|0|0|32767|1536|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Large Cloth Wristband|0|0|13058|0|0|0|0|1|1|0|0|0|4|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1034|85033|-1|1|0|Large Cloth Gloves|1|-1|-1|10|0|0|517|260|-1|0|0|0|1|1|0|0|0|0|0|32767|4096|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Large Cloth Gloves|0|0|13058|0|0|0|0|1|1|0|0|0|5|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1035|85034|-1|1|0|Large Cloth Pants|1|-1|-1|10|0|0|631|340|-1|0|0|0|1|1|0|0|0|0|0|32767|262144|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Large Cloth Pants|0|0|13058|0|0|0|0|1|2|0|0|0|9|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1036|85035|-1|1|0|Large Cloth Sandals|1|-1|-1|10|0|0|666|260|-1|0|0|0|1|1|0|0|0|0|0|32767|524288|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Large Cloth Sandals|0|0|13058|0|0|0|0|1|1|0|0|0|6|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
1037|85036|-1|1|0|Fur Lined Shoes|-1|-1|-1|10|0|0|666|260|-1|0|0|0|1|1|0|0|0|0|0|32767|524288|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|-1|-1|0|-1|IT63|0|0|0|0|0|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|0||0|0|0|0|Fur Lined Shoes|0|0|13183|0|0|0|0|1|1|0|0|0|5|0|0|0|0|-1|-1|-1|-1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|ALKABOR|0|0|0|0|0|0|||0|0|0|0|0|0|0|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
