contextkey|gameobjectdisplayinfo_id
gameobject~drawbridge~TYPE30|11094
gameobject~wmdoor~TYPE0|11095
gameobject~erdoor4~TYPE0|11096
gameobject~undoor2~TYPE0|11097
gameobject~undoor~TYPE0|11098
gameobject~undoor~TYPE5|11099
gameobject~unsdoor~TYPE5|11100
gameobject~portc2~TYPE75|11101
gameobject~drawbridge1~TYPE30|11102
gameobject~portc1~TYPE76|11103
gameobject~d10x12~TYPE5|11104
gameobject~door3~TYPE0|11105
gameobject~ervault~TYPE0|11106
gameobject~erjail~TYPE0|11107
gameobject~erm~TYPE0|11108
gameobject~egm~TYPE0|11109
gameobject~airport~TYPE58|11110
gameobject~it28~TYPE0|11111
gameobject~door1~TYPE5|11112
gameobject~qcm~TYPE0|11113
gameobject~door4~TYPE0|11114
gameobject~fpm~TYPE0|11115
gameobject~feldoor~TYPE2|11116
gameobject~feldoor2~TYPE15|11117
gameobject~feldoor~TYPE15|11118
gameobject~haldoor~TYPE0|11119
gameobject~haldoor~TYPE5|11120
gameobject~bam~TYPE0|11121
gameobject~hlm~TYPE0|11122
gameobject~hom~TYPE0|11123
gameobject~rif~TYPE0|11124
gameobject~feldoor~TYPE0|11125
gameobject~him~TYPE0|11126
gameobject~hif~TYPE0|11127
gameobject~vudoor~TYPE5|11128
gameobject~dwm~TYPE0|11129
gameobject~kam~TYPE0|11130
gameobject~speardown~TYPE66|11131
gameobject~akadoor~TYPE0|11132
gameobject~akadoor~TYPE6|11133
gameobject~akadoor~TYPE1|11134
gameobject~gnm~TYPE0|11135
gameobject~clm~TYPE0|11136
gameobject~nerdoor~TYPE0|11137
gameobject~nerdoor~TYPE1|11138
gameobject~door2~TYPE17|11139
gameobject~door5~TYPE5|11140
gameobject~dam~TYPE0|11141
gameobject~door2~TYPE2|11142
gameobject~door2~TYPE15|11143
gameobject~ngm~TYPE0|11144
gameobject~soltempdoor401~TYPE6|11145
gameobject~soltempdoor400~TYPE1|11146
gameobject~soltempdoor200~TYPE1|11147
gameobject~soltempdoor300~TYPE1|11148
gameobject~soltempdoor101~TYPE26|11149
gameobject~soltempdoor500~TYPE1|11150
gameobject~soltempdoor501~TYPE6|11151
gameobject~pndresser101~TYPE15|11152
gameobject~kndoor102~TYPE0|11153
gameobject~kndoor102~TYPE5|11154
gameobject~ikm~TYPE0|11155
gameobject~icf~TYPE0|11156
gameobject~sbdoor102~TYPE22|11157
gameobject~sbdoor102~TYPE0|11158
gameobject~cmgate101~TYPE21|11159
gameobject~cmdoor2~TYPE2|11160
gameobject~cmdoor2~TYPE0|11161
gameobject~cmdoor2~TYPE72|11162
gameobject~cmdoor2~TYPE7|11163
gameobject~cmdoor1~TYPE0|11164
gameobject~dndoor102~TYPE0|11165
gameobject~dndoor101~TYPE1|11166
gameobject~padoor101~TYPE2|11167
gameobject~padoor102~TYPE7|11168
gameobject~hhcell~TYPE16|11169
gameobject~hhcell~TYPE1|11170
gameobject~parock105~TYPE7|11171
gameobject~ksdoor102~TYPE0|11172
gameobject~ksdoor101~TYPE0|11173
gameobject~ksdoor102~TYPE5|11174
gameobject~kndoor101~TYPE0|11175
gameobject~kndoor103~TYPE5|11176
gameobject~kndoor103~TYPE0|11177
gameobject~it44~TYPE0|11178
gameobject~kurdoor100~TYPE0|11179
gameobject~howler~TYPE58|11180
gameobject~padoor103~TYPE66|11181
gameobject~parock105~TYPE0|11182
gameobject~erf~TYPE0|11183
gameobject~sbdoor103~TYPE71|11184
gameobject~sbdoor101~TYPE72|11185
gameobject~sbdoor104~TYPE72|11186
gameobject~sbdoor103~TYPE72|11187
gameobject~sbdoor103~TYPE0|11188
gameobject~sbdoor101~TYPE70|11189
gameobject~draggrave100~TYPE58|11190
gameobject~warrendoor200~TYPE0|11191
gameobject~cscarrock200~TYPE0|11192
gameobject~kurbrazier100~TYPE58|11193
gameobject~freportbrazier~TYPE58|11194
gameobject~sacbowlfire~TYPE58|11195
gameobject~faybrazier~TYPE58|11196
gameobject~kelbraz~TYPE58|11197
gameobject~nerbrazier~TYPE58|11198
gameobject~erbrazier~TYPE58|11199
gameobject~ogbrazier~TYPE58|11200
gameobject~campfire~TYPE58|11201
gameobject~tiki~TYPE58|11202
gameobject~akalight1~TYPE58|11203
gameobject~kalbraz~TYPE58|11204
gameobject~trtmbdoor101~TYPE0|11205
gameobject~vetele101~TYPE57|11206
gameobject~vedoor101~TYPE0|11207
gameobject~vedoor101~TYPE5|11208
gameobject~vedrawbr101~TYPE30|11209
gameobject~hhcell2~TYPE70|11210
gameobject~hhcell~TYPE70|11211
gameobject~door3~TYPE5|11212
gameobject~tfswitch200~TYPE58|11213
gameobject~ccdoor200~TYPE1|11214
gameobject~com~TYPE0|11215
gameobject~shrineglobe202~TYPE58|11216
gameobject~telecrys200~TYPE58|11217
gameobject~icrock203c~TYPE58|11218
gameobject~mirror200~TYPE58|11219
gameobject~vejewl101~TYPE58|11220
gameobject~knbookc101~TYPE15|11221
gameobject~brazier200~TYPE58|11222
gameobject~icrock203c~TYPE0|11223
gameobject~frzshdent200~TYPE58|11224
gameobject~kaeldoor200~TYPE1|11225
gameobject~kaeldoor200~TYPE76|11226
gameobject~stg~TYPE0|11227
gameobject~pomdoor201~TYPE0|11228
gameobject~jntree104~TYPE58|11229
gameobject~brisport202~TYPE58|11230
gameobject~chandalier200~TYPE58|11231
gameobject~pomdoor202~TYPE0|11232
gameobject~pomdoor200~TYPE58|11233
gameobject~pomdoor200~TYPE0|11234
gameobject~pomdoor203~TYPE0|11235
gameobject~pomdoor200~TYPE5|11236
gameobject~pomdoor206~TYPE30|11237
gameobject~pomdoor205~TYPE0|11238
gameobject~pomdoor205~TYPE5|11239
gameobject~knbookc101~TYPE25|11240
gameobject~brisport202~TYPE25|11241
gameobject~brisport202~TYPE26|11242
gameobject~knbookc101~TYPE26|11243
gameobject~pomthrone200~TYPE58|11244
gameobject~sltome200~TYPE58|11245
gameobject~pomdoor201~TYPE75|11246
gameobject~pomdoor204~TYPE0|11247
gameobject~pomdoor204~TYPE5|11248
gameobject~purptree200~TYPE58|11249
gameobject~pomtorch200~TYPE58|11250
gameobject~erplant4~TYPE58|11251
gameobject~bookreg200~TYPE58|11252
gameobject~erplant3~TYPE58|11253
gameobject~brisport200~TYPE58|11254
gameobject~pomchess201~TYPE58|11255
gameobject~dndoor251~TYPE6|11256
gameobject~dndoor250~TYPE1|11257
gameobject~electmonu201~TYPE58|11258
gameobject~dndoor204~TYPE6|11259
gameobject~dndoor203~TYPE1|11260
gameobject~dndoor204~TYPE26|11261
gameobject~dndoor202~TYPE1|11262
gameobject~dndoor201~TYPE6|11263
gameobject~sirock202~TYPE0|11264
gameobject~sshrinewal201~TYPE0|11265
gameobject~skygate200~TYPE76|11266
gameobject~marbdoor200~TYPE76|11267
gameobject~skysym200~TYPE58|11268
gameobject~vedrstat102~TYPE58|11269
gameobject~marbdoor200~TYPE74|11270
gameobject~mistgate~TYPE66|11271
gameobject~skygate201~TYPE76|11272
gameobject~shrinegate200~TYPE76|11273
gameobject~skytome200~TYPE58|11274
gameobject~skyjewel200~TYPE58|11275
gameobject~skyjewel201~TYPE58|11276
gameobject~skyglobe200~TYPE58|11277
gameobject~gom~TYPE0|11278
gameobject~shrinegate200~TYPE77|11279
gameobject~kelseydoor2~TYPE5|11280
gameobject~kelseydoor~TYPE0|11281
gameobject~kelseydoor2~TYPE6|11282
gameobject~sltdoor200~TYPE35|11283
gameobject~slff200~TYPE156|11284
gameobject~tvdoor200~TYPE76|11285
gameobject~tvdoor200~TYPE1|11286
gameobject~tvdoor200~TYPE0|11287
gameobject~tvdoor200~TYPE75|11288
gameobject~minipom200~TYPE58|11289
gameobject~thurgdoor204~TYPE5|11290
gameobject~thurgdoor200~TYPE0|11291
gameobject~throck202a~TYPE12|11292
gameobject~thurgdoor202~TYPE60|11293
gameobject~thurgdoor202~TYPE5|11294
gameobject~thurgdoor202~TYPE10|11295
gameobject~drovdoor200~TYPE0|11296
gameobject~drdoor201~TYPE0|11297
gameobject~pogtree200~TYPE58|11298
gameobject~icrock203a~TYPE0|11299
gameobject~electmonu200~TYPE58|11300
gameobject~cddoor101~TYPE76|11301
gameobject~cddoor102~TYPE0|11302
gameobject~srw~TYPE0|11303
gameobject~erdoor4~TYPE5|11304
gameobject~erdoor3~TYPE0|11305
gameobject~it203~TYPE0|11306
gameobject~kalhsedr~TYPE0|11307
gameobject~kalhsedr~TYPE6|11308
gameobject~it65~TYPE0|11309
gameobject~it14~TYPE0|11310
