id|emoteid|event|type|text
197|123|3|0|My comrades will avenge my death.
198|124|4|0|Hail! I'd love to stop and chat with ya but I'm running late to an appointment in Freeport with a fletcher interested in my superior wooden shafts.
199|125|1|0|Death to all who oppose Innoruuk's will!!
200|125|3|0|Innoruuk has seen what you have done. His hate, along with the Dismal Rage, will find you.
201|126|1|0|For the glory of the Deathfist Magistrate, your blood shall run!!
202|126|3|0|Aaarrghh!!  The Deathfist shall hunt you down.  My death will not go unnoticed.
203|127|1|0|Ye be messin with the wrong dwarf!  I'll smash ye'r head in like a ripe marr cherry!
204|127|3|0|Argh!  I shall be rewarded in the Kingdom of Brell for my victories over the children of Veeshan!
205|128|1|0|Not even the dragons of Velious can content with my mastery of the elements!  Prepare to meet your fate, fool!
206|128|3|0|No!  It must..not..end..like this!
207|129|1|0|I'll smash you with my savage fists!
208|129|3|0|Ungh.. I go now to join the spirits.
209|130|1|0|For the glory o' the Wolves!!
210|130|3|0|The Wolves o' the North shall track ye down and avenge me death.
212|130|9|0|Fer Halas!! One more victory fer the Wolves o' the North!!
213|131|4|0|H-ha.. H-hai.. Hail!! It is v-v-very.. C-cold out here. You sh-sh-should light a c-c-campfire.
214|132|1|0|Great Tribunal, help me to smite this foe!!
215|133|1|0|You dare insult an IceBear?!
216|134|4|0|Brrrrrr!! Grr.. Grreetings. It is freezing out here!!
217|135|1|0|Orc stomp, orc kill - orc weapons, your blood will spill.
218|135|3|0|Argh! Clan Deathfist will spill blood for my death!
219|136|1|0|Eeeeeraaaaaaawwwwwwwk!
220|137|1|0|You should not have dared!
221|137|3|0|You will pay, and pay dearly, for this.  The Claws will exterminate you.
222|138|1|0|I have no time for this foolishness!  Die quickly, so that I may continue my search.
223|138|3|0|My son, I have failed you!
224|139|1|0|Why do you even bother to challenge our power?  You can not win.
225|139|3|0|How?  How did you defeat me?  Perhaps the Claws were right?  Mother Veeshan, forgive my foolishness!
226|140|1|0|Oh ho!  The insects try to sting me!  I shall dine well this day!
227|141|1|0|Bouncer smash you!!
228|141|9|0|Ha!! Bouncers best. I am victorioo.. Victer.. I win!!
230|142|1|0|Errrrrr.  Die soft skin!
231|143|7|1|materializes before you. It seems to make a quick appraisal of you before fading from your sight.
232|144|1|0|Halt!!  Who goes there?
233|145|1|0|Stand where you are, scum!!
234|145|9|0|Let your death be a warning to all who dare oppose the Freeport Militia!
236|146|1|0|You're not welcome in Freeport
237|146|9|0|Let your death be a warning to all who dare oppose the Freeport Militia!
239|147|1|0|Die, dog!!
240|147|3|0|You shall never get my testimony. I shall fight you from the grave!! Ha Ha Ha!! You cannot stop the undead!! Foolish mortal!! Your foul deeds have earned my contempt.
241|147|9|0|Let your death be a warning to all who dare oppose the Freeport Militia!
243|148|1|1|smacks the flat of his blade against the palm of his hand and says, 'You want a taste of this, $name?!!'
244|148|9|1|smirks and shakes his head.  'That's what you get for messing with the Freeport Militia!!'
246|149|1|0|That was not a very intelligent thing to do.
247|149|3|0|There is no place to hide for one who slays an arcane scientist.
248|150|1|0|Prepare to bleed!!
249|151|1|1|rattles and strikes!
250|152|1|1|gnashes its translucent mandibles.
251|152|3|1|is motionless, trapped in this reality.
252|153|1|1|moves inward ready to strike.
253|153|3|1|pitches forward, clutching his wounds.
254|154|1|1|begins to clatter.
255|154|8|1|clatters and shakes!
256|155|3|1|clatters to the ground, finally at rest.
257|155|1|0|WHO DISTURBS OUR REST?
258|156|1|0|Tiktakiyiyiyi!
259|156|3|0|ai...yiyiyiyiyi....erp!
260|157|1|0|Aiyiyiyiyiyiyi!
261|157|3|0|ai...yiyiyiyiyi....erp!
262|158|1|1|seeks your flesh.
263|158|3|1|is still, but there are always more to take its place.
264|159|1|1|erupts, loosing a swarm!
265|160|1|1|has decided to feed on live meat.  Yours.
266|160|3|1|flaps its huge wings one last time, then is still.
267|161|1|1|gives an unearthly hiss and attacks!
268|161|3|1|writhes, releasing its grasp on order, dissolving into entropy
269|162|1|0|Yitititi!  Look!  Aiyi, maka rik ro ne vis ka Vaniki!  Someone dares challenge Vaniki!
270|162|3|0|yiyiyi...Vaniki sa mo nis raka ma. aaaah...Vaniki dies, but so do you!
271|163|1|0|Viyiyiyi!
272|163|3|0|poit....narfnarf...erp!
273|164|1|0|Wikiwikiwiki!
274|164|3|0|Neeeeeeeee........
275|165|1|0|Vaka ral na ve rikari wili Paebala!  Die, for the Paebala must live!
276|165|3|0|Bata atnaza Paebala Neb'ri ! Bata vetari na ve, Paebala?. I am no longer Neb of the living, I die!  Who shall lead the Paebala now?
277|166|1|0|That wasn't a very intelligent thing to do.
278|166|4|0|Hail. I am in a bit of a hurry. Please excuse me.
279|167|1|0|I have friends in very high places!!
280|167|3|0|You have no idea what a big mistake you made. Either my fellow rogues shall find you or the Freeport Mi.. Unnnghh...
281|168|1|1|howls and lunges for your throat
282|169|1|1|growls and attack you.
283|170|1|0|Die like the dog you are...
284|171|1|0|Brell guide my hammer!
285|172|1|0|For the glory of Thurgadin!
286|173|1|1|roars as it tosses back its head and attacks you
287|174|1|1|calls for help as it swings at your head
288|175|1|0|Prepare to die!
289|175|3|0|Start digging your grave.  The Indigo Brotherhood shall find you.
290|176|1|0|You have made a big mistake choosing to battle a high member of the Circle of Unseen Hands. Now you shall pay!!
291|176|3|0|Big mistake, my friend!! The Circle of Unseen Hands shall surely find and cut you down for the death of the nephew of Renux Herkanon. My bodyguards will be waiting for you!!
292|176|4|0|I do not desire any company other than my bodyguards. Be off!!
293|177|9|0|For the protection of all Fier'Dal, there shall be no mercy for your kind.
294|177|1|0|For the defense of Kelethin!!
295|177|3|0|Your name shall be added to the Guards of Faydark's most wanted list.
296|178|1|0|Frrroooaaakkk!
297|179|1|0|Do you wish to exist in darkness?  I can be arranged.
298|180|1|0|Your blood shall slain the stones at your feet, mortal.
299|180|2|0|There is no finer death than to fall in battle against the foes of my creator.
300|181|1|0|None shall defile the realm of our master!
301|181|2|0|Innoruuk, I have failed you!
302|182|1|1|hisses and lunges toward you.
303|182|2|0|NOOO!
304|183|1|0|Uninvited guests to our master's home be shown the way out!
305|183|2|0|Perhaps this death will release my soul from this accursed place.
306|184|1|0|How dare you violate this sacred place, you shall rot!
307|184|3|0|Where am I?
308|185|1|0|I shall defeat you with my superior skill and style!
309|185|2|0|My form was weak, your style was excellent.  I hate you!
310|186|1|0|hold still, this will only hurt for an eternity.
311|187|1|0|My mother taught me not to play with my food, but what fun is that?
312|187|3|0|What?!?  I should have easily evaded that blow!
313|188|1|0|Feel the rage of our master!
314|188|2|0|This is no victory for you!  Your hate grows with every kill!
315|189|1|0|Hatred is the only truth.
316|189|3|0|This is no victory for you!  Your hate grows with every kill!
317|190|1|1|snaps at you.
318|190|2|1|screeches and lays broken before you.
319|191|1|0|You have chosen opponents most unwisely, I am at utmost power in this place!
320|191|3|0|I fall, but Innoruuk shall prevail!
321|192|1|0|Be gone defiler!
322|192|3|0|My soul serves Innoruuk!
323|193|1|0|Die!
324|193|2|1|sags to the ground, defeated.
325|194|1|0|You are almost beneath notice, but our master commands your death.
326|194|2|1|blinks in confusion, obviously surprised that she has met her end at the hands of mere mortals.
327|195|1|0|Eeeaiiiiiiiiiiiiieeeee!
328|195|2|1|spurts foul smelling blood, and is still.
329|196|1|0|You have some nerve!
330|196|3|0|One day I shall lure you to your doom, but not this day, it seems.
331|197|1|0|I shall slow your heart and shatter your soul.
332|197|2|0|Careful which paths you follow in life, mortals!  Fill yourself with hate and you will become a tool of Innoruuk.
333|198|1|0|Welcome to the realm of Innoruuk, I expect to enjoy your stay!
334|198|2|0|Fill yourself with hate and you will become a tool of Innoruuk.
335|199|1|0|How dare you attack a member of the Qeynos Guard!!
336|199|3|0|Fool!!  I was sent by the Commander of the Qeynos Guard.  You will surely be punished..unggh!!
337|200|1|0|That was not a very intelligent thing to do.
338|201|1|0|Grraahh!  Must destroy all who set foot in orc territory!!!
339|202|1|0|Argg!!!  This is now orc territory and all trespassers must DIE!!!
340|203|4|0|Yeah. hello. I'm Prak. co-owner of the Golden Rooster. If you're thirsty. we have some great imported ales at our bar. If you're looking for a little excitement. try your hand at a little King's Court. We aim to please. my friend.
341|204|1|1|drifts threateningly toward its enemies.
342|204|2|1|wails as his corpse is torn free
343|205|1|1|creates a monstrous shadow as it approaches.
344|205|3|1|fills the air with a hollow thud as it falls.
345|206|1|1|charges ahead with a dreadful fury.
346|206|3|1|collapses and makes a deep impression in the ground
347|207|1|1|thunders forward with an unstoppable force.
348|207|3|1|falls to the ground with a deafening crash.
349|208|1|1|grinds as it unfurls its stone wings and attacks.
350|208|3|1|cracks and fractures into still jagged stone.
351|209|1|1|makes the ground shake with deadly intent.
352|209|3|1|cracks and splinters into massive sheets of ore.
353|210|1|1|shouts in a shrill voice as it lunges to attack, 'Defeat the invaders!  They seek to invade our lair!'
354|210|3|1|let's out a loud squeak as it falls to the ground.
355|211|1|1|hobbles ahead with a menacing mossy grin.
356|211|3|1|breaks apart into an uneven loamy clod.
357|212|1|1|outstretches its arms and aims to crush your skull.
358|212|3|1|collapses into a heap of grimy dirt.
359|213|1|1|rushes forward as dirt sprays off its limbs.
360|213|3|1|crumbles into broken earth.
361|214|9|0|Those who play with da Basher always gets bashed good!!
362|214|1|0|I shall pluck you limb from limb!!
363|214|3|0|Curse you!! Da bashers will have yer head.
364|215|1|0|To the Overworld with you, foul beast!  The House of Odon is upon you!
365|216|1|0|What sport it shall be to hunt you. Run, while you can!
366|217|1|0|None shall flee from the might of House Legola!
367|218|0|0|Let no evil beings stand in the way of the righteousness of the Paladins of Tunare!
368|218|1|0|Run!!  I have need of the hunt!!
369|219|1|0|Pargh!  Lynuga not like you!  Lynuga squish you!
370|219|3|0|My clan brothers of Broken Skull Rock will make you pay for this!!
371|220|1|0|Die!! Another trophy for the House of Funter!!
372|221|1|0|The hand of the House of Ostodl shall cut you down.
373|222|1|0|Foolish being!! You dare attack a Deepwater knight!!  You shall perish for such audacity!
374|223|1|0|The end is near!! Prepare to die!!
375|224|1|0|Your head shall make a fine trophy upon my mantle!!
376|225|1|0|Grrrrr. Bark. Bark. Grrrrr.
377|226|1|0|Rrr!  Kejaan guide my claws!  You disturrrb our peace no more!
378|227|1|0|Rrrrrr.. I rrremove you from ourrr peaceful island!
379|228|1|0|Furless fool.  I will show you what I have learned in my years!  Kejaan guide my hand!
380|229|4|0|Rrrrrrrr...
381|230|1|0|Leave ourrr island now!  Or you will be rrremoved in pieces!
382|231|1|0|Grrrreeeoww!!!  I shall gut you like a fish for your vile ways!!
383|232|1|0|Rrrrrowwrrrr!!  For the great spirit of our ancestor, Kejaan, I shall rid our lands of your vile presence!
384|233|1|0|<Bark!> Grrrr!
385|234|1|0|Guards!  Come smash!
386|234|3|0|My comrades will avenge my death.
387|235|7|0|Grrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrraaaaaaaaaaaaaaaaaaaaaaaaaaaaah!
388|236|7|0|I will not fail my master this time!
389|237|1|1|growls fiercely, saliva foaming around its ferocious, jagged maw, 'This is our home now!  Begone, or the legions of TomEar shall slay you all'
390|237|3|0|My comrades will avenge my death.
391|237|9|0|Bbbaarrrrkkk!!!  Another intruder has fallen at the hands of the TomEar.  Who is next to fall?  HHhhooooowwwLLLL!!!
393|238|1|0|Hail.. Prime.. Healer!!
394|238|2|0|Temple.. Life.. Get you!!  Yes..
395|239|7|0|Diiiiiiieeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee!
396|240|1|0|Dark magic, aid me in slaying this fool!!
397|240|3|0|A fallen heretic shall be avenged by dark magic.
398|241|1|1|glares menacingly as the air fills with the smell of ash and smoke.
399|241|3|1|falls as its remains turn to a fine ash.
400|242|1|1|narrows its eyes which glow with an inner heat.
401|242|3|1|falls and begins to smolder.
402|243|1|1|charges, leaving a trail of burning footprints across the ground.
403|243|3|1|collapses and begins to crumble into glowing embers.
404|244|1|1|raises its bones and advances.
405|244|3|1|shatters as it hits the ground, its bones scattered.
406|245|1|1|screeches as it spots potential prey.
407|245|3|1|falls to the ground as its wings give out.
408|246|1|1|charges ahead with the intent to pummel its victim.
409|246|3|1|dissipates as it hits the ground.
410|247|1|1|opens its jaws and scuttles forward.
411|247|3|1|sinks to the ground, its scales dripping with rivulets of blood.
412|248|1|1|charges as its multi-faceted eyes shimmer like fire.
413|248|3|1|oozes fiery blood across the ground.
414|249|1|1|snarls and attacks.
415|249|3|1|shudders and collapses.
416|250|1|1|slithers towards its prey, ready to attack.
417|250|3|1|sinks to the ground, its scales dripping with rivulets of blood.
418|251|1|1|drips glowing red venom that burns like lamp oil when it hits the ground.
419|251|3|1|oozes a thick smoke from its many wounds.
420|252|1|1|scuttles from the shadows.
421|252|3|1|falls in a heap and continues dripping poison from its fangs.
422|253|1|1|lunges, baring its fang.
423|253|3|1|snarls and collapses.
424|254|1|1|circles in to attack.
425|254|3|1|crumples into a tangled mass of blood and broken wings.
426|255|1|1|twists into battle, gathering loose debris as it goes.
427|255|3|1|slows its spinning until it eventually disappears entirely.
428|256|1|1|swivels its body towards potential prey.
429|256|3|1|falls to the ground dead, although its legs continue to twitch.
430|257|1|1|flies into a battle as strong winds blows all around.
431|257|3|1|unleashes a low rumbling moan.
432|258|7|1|appears in the misty corpse of the fallen spirit. The mist that makes up its shape then begins to dissipate.
433|259|1|0|Your blood shall stain the flora of this sylvan wood!!  For King Naythox and the glory of the Neriak Empire!!!
434|260|1|0|You shall die this day, foolish whelp, but it is not unto me that you will give you live, but to firiona Vie's failure you shall perish!
435|260|3|0|A single battle you have won, but so quick to think that this will be the end?  I, like Fear, am eternal, and in your dreams, I shall forever haunt.
436|261|1|0|Come, sisters!! A fool to test our blades upon!!
437|261|3|0|Unngh..  The dervish cutthroats will learn of this.
438|262|1|0|Please run.  I do not wish to hurt you.
439|262|3|0|Oooh..  I am sorry we had to battle.  I am not like my sisters.  I only wanted to live in peace..
440|263|1|0|You have happened upon the territory of the dervish cutthroats.  Now, you pay the price!
441|263|3|0|Aargh!!  Watch your back, fool.  The dervish cutthroats are everywh.. Ungh..
442|264|1|0|Let me show you the high power of the Crushbone oracles!!
443|264|3|0|You shall have all the Crushbone orc legions on your tail for my death!
444|265|1|0|Help me!  Let me out!  Don't leave me here!
445|265|3|0|My comrades will avenge my death.
446|266|1|0|Submit before the sovereign might of Mayong Mistmoore!
447|267|1|0|Do not underestimate the might of Mistmoore!
448|268|3|0|With my last breath, I call upon the vengeance of House Mistmoore!  Stalk the filth that strikes against our house and leave their organs strewn about the Lesser Faydark!
450|269|1|0|zzzzzzztone hivvvvvvvvv
451|270|2|0|Foolish children.  My magic surpasses the boundaries of life and death.
452|271|1|0|Innoruuk!  I call forth your power to help me vanquish these false prophets!
453|272|1|0|You have met your match!!
454|272|3|0|You have earned the vengeance of Faydark's Champions.
455|273|1|0|All shall die before the might of the Fabulous Four!!
456|273|3|0|The entire Eldritch Collective shall feel the vibrations of my passing.  They will know of your foul deed.
457|274|1|0|Fabulous Four, attack!!
458|274|3|0|My comrades will avenge my death.
459|275|1|0|It's bashing time!!
460|275|3|0|My brothers of the Stormguard shall avenge me!!  Your days are numbered!
461|276|1|0|Die, like the fool you are!
462|276|3|0|My comrades will avenge my death.
464|278|1|1|screeches shrilly as it swoops in to attack.
465|278|3|1|falls to the ground with a pathetic screech.
466|279|1|0|You are a fool to have attacked me!
467|279|3|0|Evil shall never triumph over good!
468|280|1|0|I shall sing of your demise!
469|281|1|0|Damn my eyes! You're just another mirage!
470|282|1|0|Your actions and history are a personal affront to all I stand for!
471|282|3|0|My comrades will avenge my death.
472|283|1|0|Smash you. . . No one bash better than Mudtoe.
473|283|2|0|Oooh!!  That hurt.  Oggok ogres find you.  Smash you.
474|284|9|0|Aye!!  There be no quarter among the Pirates of Gunthak!
475|284|1|0|Dead men tell no tales!!
476|284|3|0|You have run me through!  Beware the Pirates of Gunthak.. They will avenge me... Unngh!!
477|285|1|0|Raise your weapon!!  Let us begin the battle!
478|285|3|0|Th... the Sisterhood of Erollisi... and the Champions of Faydark... <cough>... shall... <cough>... avenge my... d... death!
