zone_shortname|creature_name|hail_text
akanon|Naygog_Mitope|Hail $N. I train those young gnomes who wish to serve as a warrior in the service of the Dark Reflection and our patron, Bertoxxulous the Plaguelord. Decay and destruction are powerful forces that influence Norrath. It is the duty of the Warriors of the Dark Reflection to bring destruction to the weak and injury to the strong so that our fellow gnomes may be reminded of their own mortality and new strong individuals may rise to power before Bertoxxulous decides it is their time to decay and be replaced like countless before them.
akanon|Rebbie_Romblerum|Hail $N!
akanon|Rylin_Coil|Yikes! Don't startle a fellow like that!
akanon|Sanfyrd_Featherhead|Greetings! I am the operator of this scrapyard. If you have any scrap metal, I would be glad to purchase it from you in loads of four. The Gemchoppers no longer allow me to accept blackbox fragments and micro servos.
akanon|Silox_Azrix|Silox Azrix gives you a crooked smile. 'Hello there, $N. I'm doin some important 'meditations' to my god here. Maybe you can go somewhere else?'
akanon|Soulbinder_Toglonoit|Greetings $N. When a hero of our world is slain their soul returns to the place it was last bound and the body is reincarnated. As a member of the Order of Eternity it is my duty to bind your soul to this location if that is your wish.
akanon|Tergon_Brenclog|Eh!!? What do I see before me? A young upstart? Some child pretending to be a great mind? If you wish to test your mettle then you will assist Tergon. Will you Help Tergon or are you far too superior to deal with such things?
akanon|Tilkzog_Mournunder|Hail $N. I am Tilkzog Mournunder, Necromancer of the Dark Reflection. It is my duty here to assist not only the young necromancers of the Dark Reflection but also those wizards, magicians, and enchanters that have been called into the service of the Plague Bringer. I will aid you in obtaining an outfit of durable clothing suitable for a young sorcerer of the Dark Reflection. Once you have been adequately outfitted for venturing beyond our homeland in service of the Plague Bringer return to me and I will assist you in obtaining a staff of dark reflections.
akanon|Tobon_Starpyre|It is good to see the young show an interest in the ways of magic. Its circles can be used in tandem with our unique ways of tinkering. Have you joined the Eldritch Collective or are you merely curious?
akanon|Welno_Tanboots|Greetings there $N! I am Welno Tanboots Assassin of Akanon. I pride myself on being one of the few to train our younger prospects in the ways of the rogue.
akanon|Welno_Tanlonikan|Greetings there $N! I am Welno Tanlonikan Assassin of Akanon. I pride myself on being one of the few to train our younger prospects in the ways of the rogue. If you are a young gnome rogue in training then I might have some tasks for you.
akanon|Xalirilan_Zarinokosalio|Oi there! Its nice to meet you. You must excuse me for I am currently working on a special spell for my studies. I would love to talk but I have to teach a class very soon to the new initiates and I don't have my lesson prepared yet. Are you also a young initiate of the Eldritch Collective? If you are then I hope you will be ready for the lesson.
akanon|Zapho_the_Ancient|Oh! Please excuse me. I was busy creating some new illusions for my collection. Hello there, $N! I am Zapho the Ancient. My return from the halls of the Realm of Heroes is the will of Bertoxxulous. I must watch over those who catch the eyes of the gods and recognize their heroic deeds.
akanon|Zenrel_Ottonoggin|You look like you could use a copy of the Tinker's News and World report. $N. Find out everything that is happening both below ground and above. Buy a copy now. It's cheap.
arena|Soulbinder_Gendal|Greetings $N. When a hero of our world is slain their soul returns to the place it was last bound and the body is reincarnated. As a member of the Order of Eternity it is my duty to bind your soul to this location if that is your wish.
befallen|#Sir_Ariam_Arcanum|My thanks for destroying these minions of Befallen's masters. This accursed place rends my soul trying to twist me to its purposes. My time here is short, so i must get this task done quikly.
beholder|Diggs_Duggun|ail, dere! Ain'tcha a sight fer me sore eyes! I knows dat we're strangers an' all, but might I ask a boon of ye?
burningwood|Atheling_Plague|Ahh!! A conversationalist. How good to meet you, $N. Yes. I have heard of you. Go ahead and ask for that which has brought you to my tower and emboldened you to slay my weaker minions.
burningwood|Entalon|Entalon smiles at you with a wide grin. 'You are quite brave to approach me and speak. On any other day, I would not give you the opportunity. Fortunately for you, I am preoccupied with my master's quest.'
burningwood|Faelin_Bloodbriar|Didn't think I was gone for good, did you? We're that much closer to finishing this trial of our strength, thanks to you.
burningwood|Naxot_Deepwater|Beware these woods! The sarnak claim this land as their own and wicked creatures walk beneath the burning foliage.
burningwood|Slixin_Klex|So long ago... The burning of our land?
burningwood|Telin_Darkforest|Telin Darkforest looks at you serenely. 'Hello, wanderer.'
burningwood|a_sarnak_imitator|a sarnak imitator hisses at you
butcher|#Kanthuk_Ogrebane|Hello.
butcher|Dapper_Blackhammer|Hello, $N. What brings you to this neck of the mountains? Do you have any work for me?
butcher|Dru_Razbind|Greetings, my friend. What brings you so far from the trodden path? I hope you do not plan on stealing my fishing spot.
butcher|Glorin_Binfurr|Pleasure to meet you. Keep your eye out for the ship. You don't want to miss it.
butcher|Guard_Gonin|Greetings, friend! Welcome to Fort Gonin. Home to me and my slow-witted brother, Kyte.
butcher|Guard_Kyte|Hail! Welcome to my little base of operations. It is not much, but my glory will soon march upon the land.
butcher|Kandin_Firepot|Hello, there! Don't have time to talk. I'm workin', workin', workin'! Careful! Don't slip in the oil!
butcher|Siltria_Marwind|Hail. $N -Are you interested in helping the League of Antonican Bards by delivering some mail?
butcher|Vedico_Windwisper|Hello, $N. Have you seen the port master? I am here to complain about the shoddy service.
butcher|Walnan|Hallo, $N! I am Walnan, elementalist, summoner, wanderer, and sometimes teacher. Might you be a elementalist in search of the truth?
butcher|a_greedy_beggar|Hello there $N. I don't suppose you can spare some coins? I'm just a poor halfling that is far away from home. I can't afford anything to eat or drink. Anything you can offer me will be of help.
butcher|a_lesser_spirit|Did you take this person's life, shaman?
cabeast|#Prime_Patriarch_Vuzx|Greetings. I only train those who follow the path of the Patriarchs of Cabilis and have yet to develop their powers over the beasts of the wild.
cabeast|Arch_Duke_Xog|These are the sacred unholy grounds of the Crusaders of Greenmist and the Scaled Mystics. If you do not belong to us, you must leave this temple at once or learn great suffering in the name of Cazic-Thule.
cabeast|Brewer_Prixal|I, Brewer Prixal, am the maker of the heartiest drinks in all of Kunark! Have a look at my astonishing assortment of beverages!
cabeast|Clerk_Doval|Clerk Doval takes a sip of lager and looks up at you. 'Ahh! An adventurer of sorts? Looking for work, are we? If you have the time, I might have a bit of a proposition for you.'
cabeast|Crusader_Zixo|Do you come to me empty handed, knave? Did you lose your pike?
cabeast|Drill_Master_Dal|Yes, yes!! What do I have here?!! Another new recruit? If so, then speak up! If not, then leave and do not waste my time nor risk your life. I also seek a legion soldier if you be one.
cabeast|Drill_Master_Kyg|Welcome. Welcome!! Time to train. Time to fight. Time to serve the Iksar Empire. You will need weapons. I have the footman pike for all new recruits to earn.
cabeast|Drill_Master_Vygan|I am a Drill Master of the Legion of Cabilis. I have no time for idle chitchat. Be off if you were not summoned to this fortress! Find that guild which was chosen for you as an egg.
cabeast|Grand_Master_Glox|Grand Master Glox shows no reaction to your greeting.
cabeast|Grype|Grype gulps down the rest of his ale. 'Looks like I'll need another.
cabeast|Haggle_Baron_Klok|Haggle Baron Klok smells of fine scents and has very oily, shiny skin. 'Greetings! Who are you? If you came to speak with the Haggle Baron, you must have matters of heavy coin to discuss. Ha ha! I love heavy coin!'
cabeast|Half_Elf_Maiden|What do you want? You do not look like the type of person the Baron usually sends to me.
cabeast|Hierophant_Dexl|Hierophant Dexl seems to be preocupied. He is examining an egg. 'What?!! Who has sent you to me? Bah!! Away with you.' He ignores you and continues chanting.'
cabeast|Hierophant_Granix|Leave me in peace $N, I have little desire for company now. The Faceless sends visions to me that may hold the fate of our race in sway.
cabeast|Hierophant_Oxyn|Greetings, and may the pain of the ancients guide you. You have come to us for guidance, have you not? We are the Hierophants of Cabilis and we guide the young Scale Mystics. All petitioners shall speak with me of temple tasks.
cabeast|Hierophant_Zand|Hierophant Zand raises his hand and looks up. 'May the wisdom of the ancients lead your soul to suffering and everlasting pain. Such is the will of Cazic-Thule. I see something in your eyes, Hatz. Have you lost something... your cudgel perhaps?
cabeast|Himart_Kichith|Greetings young one, I am Himart Kichith, shaman of the Scaled Mystics and storekeeper of valuable knowledge of the past. I am always looking for knowledge of the past in the form of spells and rare scrolls. If you are interested in a tidy profit perhaps you would be willing to help me.
cabeast|Klok_Dytar|Going scouting in the wilds of Kunark? Wait!! Before you do. buy all you need from me. I am a survival outfitter. You most assuredly will need a water extractor and purification tablets. If not those. then perhaps a poncho or machete to protect you from the elements and chop through the bush.
cabeast|Klok_Ephmir|Klok Ephmir stares at you with a wicked smirk. 'So you share the Brood's love of frogloks, do you? Alive, they provide much trouble. Dead, they provide much delight. I have found many uses for the frogloks. From fine meat to fine mats. Be sure to ask if you do not see something you desire.'
cabeast|Klok_Foxmyr|Klok Foxmyr is baiting hooks with mud crabs. He reeks of fish. 'I smells the blood of a fisherman in you. Buy a pole and some bait. See the size of the fish you can haul in from the waters of Cabilis.
cabeast|Klok_Gogon|Klok Gogon sets down a wooden stave and brushes the wood chips from his apron. 'Good day to you! Might I suggest a fine bow or perhaps you need fletching material? Whatever widdling component it may be, Klok Gogon sells it.
cabeast|Klok_Hoga|Klok Hoga turns to shake your hand. Clay covers his hand and now yours as well. 'Greetings! Looking for treasures? There is no greater treasure than the one a lizard creates for itself from the mud and the clay.
cabeast|Klok_Ixmid|Searching for the sparklies are we? Look and see. See what I have found on my journeys into the outlands.
cabeast|Klok_Mugruk|Welcome to my shop, sss. Only the finessst I have. I make for you jussst as I make for the emperor's harem. Many bristle silk garmentsss do they need. Ssss.. Lucky man, the emperor isss.
cabeast|Klok_Poklon|Greetings, thirsty traveler. Pull up a stool and lay yer copper down. Its time to drink and be merry. Just don't get too merry or I will have to call the troopers.
cabeast|Klok_Scaznar|It is best for you to buy some of my armor. It is far better than anything a lizard could create on his own. You do the adventuring and leave the stitching to good old Scaznar. Tailoring is my rebirth.
cabeast|Klok_Tempar|Klok Tempar picks up cloth apparel and displays the items for you. 'Look at this. Chafe, it doesn't. Nothing is better on the scales than fine cloth. Lets a lizard's skin breathe so smell does not overtake the senses. Yes. Cloth is what you need.
cabeast|Klok_Unlar|Klok Unlar wipes flour from his hands and turns to greet you. 'Welcome! Please look over my many treats. Do not think of the coin you shall spend. Heavy coin buys the finest and sweetest of treats. Feel free to ask me about any of the rare pies you see as I can tell you exactly how I make them.
cabeast|Klok_Vednir|Look at you. Encumbered you could be. Encumbered with great treasures. Treasures from all corners of Kunark. Go and find them. but first you will need to outfit yourself with packs of fine craftsmanship. Lucky for you. that is what I do best... craft packs.
cabeast|Klok_Wyga|Do not complain to me of the prices. I charge what the Haggle Baron instructs me to charge.
cabeast|Librarian_Zimor|Hail, citizen, I hope that you are here to assist. We are gathering Crusaders to make an assault on the Libraries of Chardok. The slave creations have thrived in their sanctuary for too long. The tomes and texts they have stolen to fill their library belong us. They are even rumored to have a text on the Sacred Khukri of Rile, the Greenmist. If you see such a tome, you must bring it to me immediately. May Cazic-Thule guide you!
cabeast|Lord_Gikzic|You dare to intrude upon the presence of a Lord of Pain?! Such foolish acts can only be those of a knight in training. Are you a knight in training?
cabeast|Lord_Korzin|What is it you seek? Eternal suffering?
cabeast|Lord_Qyzar|Lord Qyzar looks upon you with a sneer. 'What is the year of our birth and who was our Father?'
cabeast|Master_Bain|Welcome. Who has sent you to me?
cabeast|Master_Glox|That took you long enough. Well then, are you ready to prove your agility to me?
cabeast|Master_Niska|Master Niska bows with elegance and grace. You can see her arms rippling with muscles. 'Greetings. We are the Swifttails. We are the harnessers of the elements. We are the tails of discipline. To achieve rebirth into our caste is a great honor indeed. We can be identified by our adornments. You should display that which we have given you to adorn your arms with pride. You do have your Shackle of Dust, correct?'
cabeast|Master_Raska|Hmmph!! Expect to be a great master such as I? Maybe. You still appear to be a whiff.
cabeast|Prime_Hierophant_Vek|Praise to the ancients, my friend! There is much suffering to be given unto the world. I am the Prime Hierophant of the Temple of Terror. Through me and my fellow priests flows the wisdom of our ancestors.
cabeast|Sarth_Scarscale|Sarth Scarscale hisses at you loudly. 'So, you bear the mantle of a crusader, yes? I am known as Sarth and shall reward you, provided you prove your worthiness to our cause, child of Rile.'
cabeast|Shezlie_Furscale|Be careful around here. $N. Injured broodlings are no use to anyone. Many of these structures are yet unstable and could fall at any time. If you're a mystic, I can teach you how to protect yourself.
cabeast|Sirtha_Scarscale|Sirtha Scarscale eyes you intently. 'So, yet another hatchling approaches us. I am known as Sirtha and that is Sarth. We are of Rile's children. Who do you call your father, broodling?'
cabeast|Smithy_Bashdyn|Shields up. my friend!! My talents of rebirth are here to aid thee. Only the finest shields shall you find among my works of art.
cabeast|Smithy_Krikt|I have much work to do for the Legion of Cabilis! Have you come to view my wares, or to learn the art of weapon smithing so that you may assist me in crafting weapons for our warriors?
cabeast|Smithy_Qag|Greetings, $N. We are exceptionally busy today - I trust that your business is of suitable import.' Smithy Qag flicks his tail, covered with the scars of the forge. 'Or have you come to assist in our new project?
cabeast|Smithy_Vyx|I have heard of a great piercing weapon created to pierce the skin of the wurms. Such a weapon would be quite devastating!
cabeast|Smithy_Xzatik|Greetings, $N! I have the finest Skyiron Ores for sale! Feel free to examine the quality of my ores! I am also charged with teaching members of the Legion techniques to work Skyiron, craft Skyiron Targ Shields, and Cabilis Scale Mail.
cabeast|Smithy_Ygen|Good day! If you wish to survive the wilds of Kunark, you had best purchase some of my wares. Here you may find he finest metals forged by the finest smiths.
cabeast|Soulbinder_Shakar|Greetings $N. When a hero of our world is slain their soul returns to the place it was last bound and the body is reincarnated. As a member of the Order of Eternity it is my duty to bind your soul to this location if that is your wish.
cabeast|Squire_Gristle|Hail Broodling! When you walk the halls of this tower, you should always display the status that you have earned within our ranks. It brings me pride to see the might of the brood displayed by one such as you while I reflect here in the tower. Do you have the tool of your caste with you at this time?
cabeast|The_Toilmaster|Do not bother me unless you wish to join the chain gang. Now go away or I shall have my slaves chop you as they chop this granite!
cabeast|Trooper_Azalin|Look to the center of Cabilis and you shall find the Kloks. They will have all the provisions you will need for any adventuring you may do.
cabeast|Trooper_Begzei|This is the city of Cabilis. New Sebilis. Someday. Emperor Vekin shall lead us into the halls of Sebilis and retake the old capital from the vile claws of the dragon which now resides within. Until then. this is our capital.
cabeast|Trooper_Byzin|I have no time for conversation. Go. and leave me to my duties.
cabeast|Trooper_Feglesh|If sweets are your fancy. seek out the chefs of Cabilis. They have much to offer.
cabeast|Trooper_Fryp|Hail, citizen! Have you been fishing lately? The water is alive with sewer catfish. Unfortunately, there are also the barracudas!
cabeast|Trooper_Googin|Trooper Googin gnashes his teeth and gives you a threatening look.
cabeast|Trooper_Ishlin|I wish to earn heavy coin so I can meet with the Kloks in the Haggle Baron's house. They are said to have the finest merchandise available in Cabilis.
cabeast|Trooper_Keplar|You want to be like Trooper Keplar? Who does not? You must first be summoned to rebirth within Fortress Talishan. If you have not. then you can not be like this grand one.
cabeast|Trooper_Nagraz|Welcome to Cabilis. Capital of the new Iksar Empire. One day all shall fear us as they once did. One day. we shall take this entire orb and enslave it. The wretched wurms shall not stop us this time.
cabeast|Trooper_Nishnish|Hail, citizen! Keep clear of the waterways which run through this grand city. For swimming they are not. Many times have playful broodlings fallen prey to the sharp teeth of barracudas.
cabeast|Trooper_Rofylin|I was once part of an expeditionary force sent deep into the Emerald Jungle. We searched for the ruins of Torsis. It is there that we hoped to find the armory of the Army of Ik. We did not succeed and lost most of our number to the evil within.
cabeast|Trooper_Shestar|My father was a great blacksmith. He taught me how to make great items such as the Shestar scaled coif. Alas, smithing was not my rebirth, but rather the life of a warrior.
cabeast|War_Baron_Eator|War Baron Eator turns to you and snorts in anger. Some mucus lands on your cheek. 'Troopers! I thought I ordered you to keep all new recruits away from this chamber! Go, child. The War Baron of Cabilis has no time for games. See this intruder out!!'
cabeast|War_Historian_Kobl|You have come to learn. have you not? I have knowledge of importance to young warriors of the legion. Or perhaps you are a scribe seeking my unique writing materials!
cabeast|Weaponsmith_Grugl|Come to assist in the testing of the bashing equipment? Nah. Not you. You are too small. You must be here to practice your forging.
cabeast|Zazlan_Furscale|Zazlan Furscale looks you up and down and mumbles to himself. Much too thin is this one to be put to work. Leave before you hurt yourself and we have to feed you to the critters in the pit.
cabeast|an_Iksar_crusader|an Iksar crusader clicks his heels together at attention. 'Hail, follower of Pain. Have you been sent to me?'
cabwest|Gryzil|Looking for a challenging fray? Perhaps there is a combatant waiting for a duel within the Gauntlet.
cabwest|Harbinger_Glosk|Harbinger Glosk halts his chanting. 'You dare to interrupt me? You had best have a good reason. I care not for small talk.'
cabwest|Izarod_Fristan|Hail there. $N. So you are ready to learn more about our ways? Do you wish to try and expand your knowledge of our arcane arts? Then venture far from here to the darkest depths of our once great empire and seek the minions that inhabit the ruins. The arcane powers will come in the form of scrolls.
cabwest|Jaxxtz|Greetings, $N, Perhaps you've come to purchase some of my rare supplies? I have a special blend of eleven herbs and spices......oh wait.....I'm sold out of that......anyway. What can I do for you?
cabwest|Jondin|Greetings. friend. I have many fine herbs for sale. My prices are reasonable for I am not governed by the Haggle Baron. If you fancy yourself an adventurer. I would like to hire you for a simple mission.
cabwest|Kamzar|Much beauty can be found upon the skins of our enemies. And... even upon that of our own allies?
cabwest|Keeper_Bile|Keeper Bile bows before you as a gesture of kindness and respect. 'Greetings. I am Bile, Keeper of the Apprentice Ranks. My knowledge is that of the first circle of necromancy. I was once a great necromancer, but now i have a greater calling to protect the words of Kotiz. I also Conduct many tests to ensure the spells are deciphered correctly. I am in need of an apprentice to collect components.
cabwest|Keeper_Pain|Keeper Pain raises his gaze from his tomes to greet you. 'Ahh!! Welcome, seeker of knowledge! Come to fill your brains, have you? Look closer, adventurer. I have scribed some very powerful spells.
